agentId;time;posX;posZ;speed
1;0,1200;-18,3033;4,8500;0,1826
2;0,1200;-18,7221;6,9792;0,1827
3;0,1200;-16,1810;9,2940;0,1825
4;0,1200;-16,6755;7,5803;0,1815
5;0,1200;-17,2368;4,2748;4,0943
6;0,1200;-13,0347;6,2539;0,1827
7;0,1200;-8,6922;9,7838;0,1826
8;0,1200;-14,1681;9,2395;0,1817
9;0,1200;-10,1224;6,6480;0,1826
10;0,1200;-13,1954;9,7585;0,1825
11;0,1200;-11,7953;1,9815;0,1826
12;0,1200;-7,3806;6,0228;0,1818
13;0,1200;-4,2693;7,8906;0,1822
14;0,1200;-2,3875;9,8438;0,1822
15;0,1200;-5,3596;2,6247;0,1826
16;0,1200;-2,6538;2,7240;0,0588
17;0,1200;-5,6018;4,0425;0,1628
18;0,1200;-1,5253;7,2954;0,1826
19;0,1200;2,9459;7,0359;0,1165
20;0,1200;1,7288;8,0855;0,1814
21;0,1200;-0,2021;4,2810;0,1394
22;0,1200;3,1762;6,4546;0,1827
23;0,1200;0,3949;2,9680;0,1822
24;0,1200;7,3351;6,6992;0,1826
25;0,1200;8,2953;3,4134;0,1826
26;0,1200;5,3504;7,3625;0,1489
27;0,1200;8,0225;6,8990;0,1821
28;0,1200;9,8907;6,9668;0,1824
29;0,1200;11,5690;3,8985;0,1825
30;0,1200;17,0610;2,2686;0,0693
31;0,1200;16,6506;3,9369;0,1826
32;0,1200;15,4733;4,7030;0,1825
33;0,1200;13,8570;3,3988;0,1827
34;0,1200;16,1741;7,3490;0,0652
35;0,1200;19,2428;4,9318;0,1826
36;0,1200;18,6369;8,0376;0,1245
37;0,1200;-16,6943;-5,6541;0,1826
38;0,1200;-19,4103;-3,0443;0,1824
39;0,1200;-15,0852;-5,1386;0,1826
40;0,1200;-14,6990;-9,3644;0,1056
41;0,1200;-15,3624;-7,0488;0,1825
42;0,1200;-12,9884;-8,5902;0,1827
43;0,1200;-11,2630;-9,8565;0,1223
44;0,1200;-9,2020;-9,4244;0,1820
45;0,1200;-8,5565;-7,0716;0,1826
46;0,1200;-10,3363;-3,0104;0,1821
47;0,1200;-3,1723;-5,7620;0,1826
48;0,1200;-2,3399;-6,1916;0,1412
49;0,1200;-4,7516;-9,9919;0,1826
50;0,1200;-4,6806;-2,4354;0,1820
51;0,1200;-7,3430;-8,2288;0,1827
52;0,1200;0,7602;-6,8701;0,1190
53;0,1200;3,4032;-4,4019;1,0063
54;0,1200;2,0577;-9,4910;0,1826
55;0,1200;4,5807;-3,5317;0,9443
56;0,1200;8,8573;-9,8140;0,1825
57;0,1200;6,4275;-3,4259;0,1217
58;0,1200;8,0925;-3,7905;0,1825
59;0,1200;6,7185;-2,4880;0,1001
60;0,1200;6,4733;-5,5887;0,1827
61;0,1200;7,3077;-2,0819;0,1827
62;0,1200;16,5837;-5,0798;0,0588
63;0,1200;13,4646;-2,8940;0,0553
64;0,1200;12,9910;-6,4007;0,1826
65;0,1200;14,6185;-2,9550;0,1826
66;0,1200;16,0075;-6,1400;0,1826
67;0,1200;15,7103;-9,5299;0,1589
68;0,1200;11,4759;-3,9824;0,1826
1;0,2400;-18,3020;4,7923;0,4804
2;0,2400;-18,7120;6,9225;0,4795
3;0,2400;-16,1892;9,2373;0,4771
4;0,2400;-16,6615;7,5246;0,4784
5;0,2400;-17,2379;4,2748;0,0094
6;0,2400;-13,0227;6,1973;0,4824
7;0,2400;-8,7117;9,7301;0,4754
8;0,2400;-14,1433;9,1881;0,4757
9;0,2400;-10,1337;6,5912;0,4820
10;0,2400;-13,1911;9,7007;0,4823
11;0,2400;-11,7787;1,9263;0,4804
12;0,2400;-7,3232;6,0270;0,4800
13;0,2400;-4,2726;7,8331;0,4801
14;0,2400;-2,4244;9,7994;0,4815
15;0,2400;-5,3470;2,5683;0,4820
16;0,2400;-2,6709;2,7148;0,1620
17;0,2400;-5,5938;3,9946;0,4046
18;0,2400;-1,4959;7,2457;0,4808
19;0,2400;2,9470;6,9948;0,3427
20;0,2400;1,7206;8,0316;0,4545
21;0,2400;-0,1835;4,2340;0,4207
22;0,2400;3,1619;6,3985;0,4824
23;0,2400;0,4281;2,9211;0,4790
24;0,2400;7,3417;6,6426;0,4753
25;0,2400;8,2978;3,3558;0,4803
26;0,2400;5,3856;7,3243;0,4328
27;0,2400;8,0264;6,8432;0,4660
28;0,2400;9,8685;6,9136;0,4805
29;0,2400;11,5286;3,8571;0,4821
30;0,2400;17,0256;2,2561;0,3124
31;0,2400;16,6240;3,8858;0,4807
32;0,2400;15,4709;4,6453;0,4812
33;0,2400;13,8787;3,3452;0,4820
34;0,2400;16,1744;7,3290;0,1667
35;0,2400;19,2377;4,8741;0,4824
36;0,2400;18,6504;7,9916;0,3989
37;0,2400;-16,6928;-5,5963;0,4819
38;0,2400;-19,3654;-3,0084;0,4793
39;0,2400;-15,1041;-5,0839;0,4821
40;0,2400;-14,7204;-9,3256;0,3695
41;0,2400;-15,3700;-6,9914;0,4822
42;0,2400;-12,9774;-8,5334;0,4824
43;0,2400;-11,2572;-9,8281;0,2412
44;0,2400;-9,2117;-9,3689;0,4697
45;0,2400;-8,5738;-7,0163;0,4824
46;0,2400;-10,3561;-2,9572;0,4730
47;0,2400;-3,1168;-5,7460;0,4811
48;0,2400;-2,3170;-6,1475;0,4144
49;0,2400;-4,7149;-9,9471;0,4823
50;0,2400;-4,6396;-2,4721;0,4584
51;0,2400;-7,2909;-8,2038;0,4818
52;0,2400;0,7384;-6,8301;0,3799
53;0,2400;3,3471;-4,4161;0,4819
54;0,2400;2,0232;-9,4445;0,4823
55;0,2400;4,6005;-3,5323;0,1648
