time;evacuated_count
3,340;1
4,380;2
4,800;3
5,000;4
5,900;5
6,580;6
6,860;7
6,940;8
7,160;9
7,560;10
7,980;11
9,140;12
9,420;13
9,740;14
10,060;15
10,260;16
10,460;17
10,940;18
11,920;19
12,200;20
13,440;21
13,840;22
14,000;23
14,700;24
14,860;25
15,480;26
16,140;27
17,240;28
17,400;29
17,680;30
18,020;31
18,300;32
19,000;33
19,640;34
19,760;35
20,040;36
20,060;37
20,440;38
21,240;39
22,500;40
22,720;41
22,820;42
23,940;43
24,240;44
24,560;45
25,500;46
25,880;47
26,060;48
26,280;49
26,440;50
26,740;51
26,760;52
27,120;53
27,240;54
27,520;55
27,600;56
28,180;57
29,820;58
30,280;59
31,120;60
31,980;61
32,000;62
32,380;63
32,560;64
32,900;65
33,200;66
33,660;67
42,500;68
