time;density;speed
0,520;0,3183;1,0260
0,520;0,3183;0,9809
0,520;0,3183;1,0026
0,520;0,3183;1,0046
0,520;0,3183;0,0406
0,520;0,3183;0,9657
0,520;0,3183;0,8875
0,520;0,6366;0,9883
0,520;0,3183;1,0295
0,520;0,6366;0,9883
0,520;0,3183;1,0267
0,520;0,3183;0,9924
0,520;0,3183;0,9644
0,520;0,3183;1,0061
0,520;0,3183;1,0114
0,520;0,3183;0,5619
0,520;0,3183;0,8700
0,520;0,3183;0,9606
0,520;0,6366;0,7841
0,520;0,3183;0,9398
0,520;0,3183;0,9011
0,520;0,6366;0,7841
0,520;0,3183;1,0238
0,520;0,6366;0,9736
0,520;0,3183;1,0106
0,520;0,3183;0,9858
0,520;0,6366;0,9736
0,520;0,3183;1,0029
0,520;0,3183;0,9805
0,520;0,3183;0,8332
0,520;0,3183;1,0168
0,520;0,3183;0,9730
0,520;0,3183;1,0229
0,520;0,3183;0,2974
0,520;0,3183;1,0114
0,520;0,3183;0,8647
0,520;0,3183;1,0242
0,520;0,3183;0,9656
0,520;0,3183;1,0290
0,520;0,3183;0,9117
0,520;0,3183;0,9715
0,520;0,3183;0,9981
0,520;0,3183;0,6659
0,520;0,3183;1,0113
0,520;0,3183;1,0096
0,520;0,3183;1,0092
0,520;0,6366;0,9481
0,520;0,6366;0,9481
0,520;0,3183;1,0006
0,520;0,3183;0,9122
0,520;0,3183;1,0215
0,520;0,3183;0,8485
0,520;0,3183;0,9955
0,520;0,3183;1,0245
0,520;0,3183;0,3177
0,520;0,3183;1,0233
0,520;0,6366;0,8955
0,520;0,3183;0,8402
0,520;0,9549;0,9128
0,520;0,3183;0,8800
0,520;0,6366;0,9314
0,520;0,6366;0,8141
0,520;0,3183;0,8620
0,520;0,3183;1,0158
0,520;0,3183;1,0257
0,520;0,6366;0,8141
0,520;0,3183;0,9421
0,520;0,3183;0,9280
1,040;0,3183;1,7247
1,040;0,3183;1,6816
1,040;0,3183;1,5393
1,040;0,3183;1,6524
1,040;0,3183;0,9205
1,040;0,3183;1,4184
1,040;0,3183;1,3843
1,040;0,6366;1,2028
1,040;0,3183;1,8640
1,040;0,6366;1,2028
1,040;0,3183;1,5805
1,040;0,3183;1,6365
1,040;0,3183;1,5376
