time;agentId;headwayDistance;headwayVelocity
0,2600;1;1,1778;0,0094
0,2600;2;2,1390;0,4784
0,2600;3;1,7750;0,4784
0,2600;4;1,7750;0,4771
0,2600;5;1,1778;0,4804
0,2600;6;2,9105;0,4820
0,2600;7;3,4465;0,4820
0,2600;8;1,0768;0,4823
0,2600;9;2,8792;0,4800
0,2600;10;1,0768;0,4757
0,2600;11;4,4484;0,4824
0,2600;12;2,6706;0,4046
0,2600;13;2,6951;0,4815
0,2600;14;2,6951;0,4801
0,2600;15;1,4499;0,4046
0,2600;16;2,6732;0,4820
0,2600;17;1,4499;0,4820
0,2600;18;2,7232;0,4815
0,2600;19;0,6371;0,4824
0,2600;20;1,6046;0,3427
0,2600;21;1,4491;0,4790
0,2600;22;0,6371;0,3427
0,2600;23;1,4491;0,4207
0,2600;24;0,7125;0,4660
0,2600;25;3,2603;0,4821
0,2600;26;2,0663;0,4753
0,2600;27;0,7125;0,4753
0,2600;28;1,8373;0,4660
0,2600;29;2,4196;0,4820
0,2600;30;1,6690;0,4807
0,2600;31;1,3743;0,4812
0,2600;32;1,3743;0,4807
0,2600;33;2,0507;0,4812
0,2600;34;2,5644;0,3989
0,2600;35;2,7988;0,4807
0,2600;36;2,5644;0,1667
0,2600;37;1,6639;0,4821
0,2600;38;3,7094;0,4819
0,2600;39;1,6639;0,4819
0,2600;40;1,9229;0,4824
0,2600;41;1,9208;0,4819
0,2600;42;1,9229;0,3695
0,2600;43;2,0930;0,4697
0,2600;44;2,0930;0,2412
0,2600;45;1,7640;0,4818
0,2600;46;4,4331;0,4824
0,2600;47;0,8845;0,4144
0,2600;48;0,8845;0,4811
0,2600;49;3,1054;0,4818
0,2600;50;3,6015;0,4811
0,2600;51;1,7640;0,4824
0,2600;52;2,9102;0,4823
0,2600;53;1,5465;0,1648
0,2600;54;2,9102;0,3799
0,2600;55;1,5465;0,4819
0,2600;56;4,8357;0,4747
0,2600;57;0,9778;0,3637
0,2600;58;1,6731;0,3941
