time;density;specific_flow
0,120;0,0000;0,0000
0,240;0,0000;0,0000
0,360;0,0000;0,0000
0,480;0,0000;0,0000
0,600;0,0000;0,0000
0,720;0,0000;0,0000
0,840;0,0000;0,0000
0,960;0,0000;0,0000
1,080;0,0000;0,0000
1,180;0,0000;0,0000
1,300;0,0000;0,0000
1,420;0,0000;0,0000
1,520;0,0000;0,0000
1,640;0,0000;0,0000
1,740;0,0000;0,0000
1,860;0,0000;0,0000
1,960;0,0000;0,0000
2,080;0,0000;0,0000
2,200;0,0000;0,0000
2,320;0,0000;0,0000
2,440;0,0000;0,0000
2,560;0,0000;0,0000
2,660;0,0000;0,0000
2,780;0,1415;0,2688
2,900;0,1415;0,2660
3,000;0,1415;0,2672
3,120;0,1415;0,2692
3,240;0,1415;0,2680
3,360;0,0000;0,0000
3,460;0,0000;0,0000
3,580;0,0000;0,0000
3,700;0,0000;0,0000
3,800;0,0000;0,0000
3,920;0,1415;0,3145
4,040;0,1415;0,3138
4,160;0,1415;0,3106
4,280;0,2829;0,5675
4,380;0,2829;0,5715
4,500;0,2829;0,5260
4,620;0,2829;0,5110
4,740;0,2829;0,5182
4,860;0,1415;0,2737
4,980;0,1415;0,3000
5,100;0,0000;0,0000
5,200;0,0000;0,0000
5,320;0,1415;0,2573
5,440;0,1415;0,2569
5,560;0,1415;0,2566
5,680;0,1415;0,2571
5,800;0,1415;0,2566
5,920;0,0000;0,0000
6,020;0,2829;0,4390
6,140;0,2829;0,4391
6,260;0,2829;0,4386
6,380;0,4244;0,6554
6,500;0,4244;0,6648
6,620;0,4244;0,6406
6,740;0,4244;0,6405
6,840;0,4244;0,6613
6,960;0,1415;0,2730
7,080;0,2829;0,5481
7,200;0,1415;0,2698
7,320;0,1415;0,2700
7,440;0,2829;0,5320
7,560;0,2829;0,5307
7,680;0,1415;0,2618
7,800;0,1415;0,2618
7,920;0,1415;0,2621
8,020;0,0000;0,0000
8,140;0,0000;0,0000
8,260;0,0000;0,0000
8,380;0,0000;0,0000
8,500;0,0000;0,0000
8,620;0,1415;0,2428
8,740;0,1415;0,2430
8,840;0,2829;0,5017
8,960;0,2829;0,5060
9,080;0,2829;0,5059
9,200;0,2829;0,5207
9,320;0,2829;0,5212
9,440;0,2829;0,4835
9,560;0,2829;0,4836
9,660;0,2829;0,4835
9,780;0,2829;0,4705
9,900;0,2829;0,4822
10,020;0,4244;0,7404
10,140;0,2829;0,5141
10,260;0,4244;0,7557
10,360;0,2829;0,5045
10,480;0,1415;0,2282
10,600;0,1415;0,2285
10,720;0,1415;0,2285
10,840;0,1415;0,2280
10,960;0,0000;0,0000
11,080;0,0000;0,0000
11,180;0,1415;0,2125
11,300;0,1415;0,2124
11,420;0,1415;0,2123
11,540;0,2829;0,3582
11,660;0,2829;0,3851
11,780;0,2829;0,4154
11,900;0,2829;0,4347
12,000;0,1415;0,2397
12,120;0,1415;0,2412
12,240;0,0000;0,0000
12,360;0,0000;0,0000
12,480;0,0000;0,0000
12,600;0,1415;0,1867
12,720;0,1415;0,1867
12,820;0,1415;0,1867
12,940;0,1415;0,1867
13,060;0,1415;0,1867
13,180;0,1415;0,1865
13,300;0,4244;0,6329
13,420;0,4244;0,6331
13,540;0,2829;0,4463
13,640;0,2829;0,4453
13,760;0,2829;0,4454
13,880;0,1415;0,2052
14,000;0,1415;0,2049
14,120;0,2829;0,4550
14,240;0,2829;0,4550
14,340;0,2829;0,4545
14,460;0,2829;0,4550
14,580;0,2829;0,4550
14,700;0,2829;0,4553
14,820;0,2829;0,4148
14,940;0,1415;0,2095
15,060;0,1415;0,2092
15,160;0,1415;0,2099
15,280;0,1415;0,2099
15,400;0,1415;0,2099
15,520;0,1415;0,2325
15,640;0,1415;0,2325
15,760;0,1415;0,2325
15,880;0,1415;0,2325
15,980;0,1415;0,2323
16,100;0,1415;0,2322
16,200;0,0000;0,0000
16,320;0,0000;0,0000
16,420;0,0000;0,0000
16,520;0,0000;0,0000
16,640;0,1415;0,2423
16,740;0,2829;0,4642
16,840;0,2829;0,4641
16,940;0,2829;0,4641
17,060;0,2829;0,4640
17,160;0,4244;0,7621
17,260;0,2829;0,5049
17,380;0,4244;0,7486
17,480;0,2829;0,5361
17,580;0,2829;0,5435
17,680;0,2829;0,5530
17,800;0,2829;0,5000
17,900;0,2829;0,5032
18,000;0,2829;0,5028
18,120;0,1415;0,2598
18,220;0,1415;0,2602
18,320;0,0000;0,0000
18,420;0,0000;0,0000
18,540;0,1415;0,2922
18,640;0,1415;0,2922
18,740;0,1415;0,2921
18,860;0,1415;0,2924
18,960;0,1415;0,2924
19,060;0,2829;0,4523
19,160;0,2829;0,4521
19,280;0,2829;0,4521
19,380;0,4244;0,6889
19,480;0,5659;0,9352
19,600;0,5659;0,9325
19,700;0,4244;0,6953
19,800;0,2829;0,4044
19,900;0,4244;0,6605
20,020;0,4244;0,7084
20,120;0,1415;0,2672
20,220;0,1415;0,2668
20,340;0,1415;0,2669
20,440;0,1415;0,2674
20,540;0,0000;0,0000
20,660;0,0000;0,0000
20,760;0,1415;0,3021
20,860;0,1415;0,3021
20,960;0,1415;0,3021
21,080;0,1415;0,3019
21,180;0,1415;0,3019
21,280;0,0000;0,0000
21,400;0,0000;0,0000
21,500;0,0000;0,0000
21,600;0,0000;0,0000
21,700;0,0000;0,0000
21,820;0,1415;0,2254
21,920;0,1415;0,2255
22,020;0,1415;0,2253
22,140;0,1415;0,2252
22,240;0,2829;0,5568
22,340;0,4244;0,8234
22,440;0,4244;0,8156
22,560;0,2829;0,4817
22,660;0,2829;0,4588
22,760;0,1415;0,2682
22,880;0,0000;0,0000
22,980;0,0000;0,0000
23,080;0,0000;0,0000
23,180;0,0000;0,0000
23,300;0,0000;0,0000
23,400;0,0000;0,0000
23,500;0,2829;0,4897
23,620;0,2829;0,4899
23,720;0,2829;0,4901
23,820;0,2829;0,4903
23,920;0,2829;0,4904
24,040;0,2829;0,4782
24,140;0,2829;0,4765
24,240;0,2829;0,4775
24,360;0,1415;0,2685
24,460;0,1415;0,2671
24,560;0,1415;0,2664
24,680;0,1415;0,1710
24,780;0,1415;0,1710
24,880;0,1415;0,1710
24,980;0,1415;0,1710
25,100;0,1415;0,1709
25,200;0,1415;0,1710
25,300;0,4244;0,5964
25,420;0,4244;0,5962
25,520;0,2829;0,4254
25,620;0,2829;0,4254
25,720;0,4244;0,6391
25,840;0,5659;0,8780
25,940;0,4244;0,6668
26,040;0,4244;0,6800
26,160;0,5659;0,9313
26,260;0,5659;0,9623
26,360;0,4244;0,6927
26,460;0,2829;0,4823
26,580;0,5659;0,8578
26,680;0,5659;0,8861
26,780;0,2829;0,4252
26,900;0,4244;0,6434
27,000;0,5659;0,9611
