metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;42,500
rset_95s;32,560
rset_90s;31,980
rset_50s;19,640
mean_speed_ms;1,4209
std_speed_ms;0,3975
max_speed_ms;2,3993
mean_exit_density_pm2;0,1571
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0462
specific_flow_mean_pms;0,2543
specific_flow_peak_pms;1,0116
throughput_ps;1,6000
throughput_Exit_Main_ps;1,6000
collisions_agent_agent;152
collisions_agent_wall;165
mean_headway_m;1,0279
min_headway_m;0,3455
std_headway_m;0,8142
