time;density;speed
0,520;0,3183;0,9999
0,520;0,3183;0,9402
0,520;0,3183;0,8270
0,520;0,3183;0,9602
0,520;0,3183;0,1825
0,520;0,6366;0,9249
0,520;0,6366;0,9249
0,520;0,3183;0,7371
0,520;0,3183;0,9931
0,520;0,3183;0,9842
0,520;0,3183;0,9176
0,520;0,3183;0,9460
0,520;0,3183;1,0215
0,520;0,3183;0,5904
0,520;0,6366;0,8625
0,520;0,6366;0,8625
0,520;0,3183;0,9724
0,520;0,3183;0,9591
0,520;0,3183;0,8961
0,520;0,3183;0,9824
0,520;0,3183;0,9783
0,520;0,3183;1,0097
0,520;0,3183;1,0238
0,520;0,3183;0,7588
0,520;0,3183;0,9653
0,520;0,6366;0,9782
0,520;0,3183;0,8345
0,520;0,6366;0,9782
0,520;0,3183;0,9803
0,520;0,6366;0,9279
0,520;0,9549;0,9573
0,520;0,3183;0,9572
0,520;0,6366;0,9408
0,520;0,3183;0,8870
0,520;0,3183;0,7811
0,520;0,3183;1,0053
0,520;0,3183;0,9421
0,520;0,3183;0,9835
0,520;0,6366;0,5643
0,520;0,6366;0,5643
0,520;0,3183;1,0288
0,520;0,3183;1,0168
0,520;0,3183;0,7670
0,520;0,3183;0,8975
0,520;0,3183;0,8428
0,520;0,3183;0,4106
0,520;0,3183;0,9824
0,520;0,3183;0,9687
0,520;0,3183;0,9574
0,520;0,3183;1,0180
0,520;0,3183;1,0135
0,520;0,3183;0,9517
0,520;0,6366;0,9790
0,520;0,3183;1,0294
0,520;0,6366;0,9790
0,520;0,3183;0,4905
0,520;0,3183;0,9438
0,520;0,3183;0,8286
0,520;0,3183;0,9523
0,520;0,3183;0,4571
0,520;0,3183;1,0128
0,520;0,3183;1,0089
0,520;0,3183;0,9359
0,520;0,9549;0,9344
0,520;0,3183;0,7747
0,520;0,6366;0,9321
0,520;0,3183;1,0253
0,520;0,6366;0,9509
1,040;0,3183;1,7942
1,040;0,3183;1,5998
1,040;0,6366;1,4733
1,040;0,6366;1,4733
1,040;0,3183;1,1163
1,040;0,6366;1,4806
1,040;0,6366;1,4806
1,040;0,3183;1,5424
1,040;0,3183;1,6418
1,040;0,3183;1,4412
1,040;0,3183;1,5643
1,040;0,3183;1,6459
1,040;0,3183;1,4402
1,040;0,3183;1,4064
1,040;0,6366;1,5584
1,040;0,6366;1,5584
1,040;0,3183;1,6082
1,040;0,3183;1,5086
1,040;0,3183;1,2387
1,040;0,3183;1,5875
1,040;0,3183;1,8503
1,040;0,3183;1,6555
1,040;0,3183;1,6280
1,040;0,3183;1,5010
1,040;0,3183;1,4999
1,040;0,6366;1,4399
1,040;0,3183;1,6867
1,040;0,6366;1,4399
1,040;0,3183;1,8257
1,040;0,6366;1,4592
1,040;0,9549;1,5446
1,040;0,3183;1,5772
1,040;0,6366;1,4993
1,040;0,3183;1,7569
1,040;0,3183;1,4348
1,040;0,3183;1,4334
1,040;0,3183;1,7945
1,040;0,3183;1,6464
1,040;0,3183;1,6895
1,040;0,3183;0,7341
1,040;0,3183;1,6036
1,040;0,3183;1,6849
1,040;0,3183;1,2581
1,040;0,3183;1,6217
1,040;0,3183;1,5122
1,040;0,3183;0,6396
1,040;0,3183;1,7627
1,040;0,3183;1,7134
1,040;0,3183;1,6434
1,040;0,3183;1,8112
1,040;0,3183;1,9076
1,040;0,3183;1,5802
1,040;0,6366;1,5359
1,040;0,3183;1,8336
1,040;0,6366;1,5359
1,040;0,6366;1,2750
1,040;0,3183;1,5919
1,040;0,6366;1,2750
1,040;0,3183;1,5113
1,040;0,3183;0,2282
1,040;0,3183;1,8201
1,040;0,3183;1,6946
1,040;0,3183;1,5173
1,040;0,9549;1,5330
1,040;0,3183;1,1971
1,040;0,9549;1,5330
1,040;0,3183;1,9026
1,040;0,9549;1,5330
1,560;0,3183;1,7982
1,560;0,3183;1,6114
1,560;0,6366;1,5003
1,560;0,6366;1,5003
1,560;0,3183;1,8290
1,560;0,6366;1,7475
1,560;0,6366;1,7475
1,560;0,6366;1,6016
1,560;0,3183;1,6204
1,560;0,3183;1,6453
1,560;0,6366;1,6016
1,560;0,3183;1,8899
1,560;0,3183;1,6856
1,560;0,3183;1,3337
1,560;0,9549;1,2135
1,560;0,9549;1,2135
1,560;0,9549;1,2135
1,560;0,3183;1,7969
1,560;0,6366;0,9397
1,560;0,3183;1,6492
1,560;0,3183;1,9684
1,560;0,6366;0,9397
1,560;0,3183;1,6283
1,560;0,3183;1,8558
1,560;0,3183;1,5040
1,560;0,6366;1,4571
1,560;0,3183;1,7018
1,560;0,6366;1,4571
1,560;0,3183;2,0481
1,560;0,6366;1,7009
1,560;0,6366;1,7009
1,560;0,3183;1,7296
1,560;0,3183;1,7147
1,560;0,3183;1,7775
1,560;0,3183;1,8650
1,560;0,3183;1,4336
1,560;0,3183;1,9003
1,560;0,3183;1,6488
1,560;0,3183;2,1201
1,560;0,3183;1,2711
1,560;0,3183;1,6032
1,560;0,3183;1,6458
1,560;0,3183;1,5507
1,560;0,3183;1,9043
1,560;0,3183;1,5107
1,560;0,3183;1,0788
1,560;0,6366;2,0217
1,560;0,3183;1,7655
1,560;0,3183;2,0412
1,560;0,6366;2,0217
1,560;0,3183;2,1141
1,560;0,3183;1,8057
1,560;0,6366;1,5197
1,560;0,3183;1,9487
1,560;0,6366;1,5197
1,560;1,2732;1,3864
1,560;0,6366;1,4236
1,560;0,9549;1,3175
1,560;0,9549;1,3175
1,560;0,3183;0,8034
1,560;0,3183;1,9561
1,560;0,3183;2,0376
1,560;0,3183;1,7498
1,560;0,9549;1,6171
1,560;0,3183;1,1925
1,560;0,9549;1,6171
1,560;0,3183;2,1379
1,560;0,9549;1,6171
2,080;0,3183;1,7342
2,080;0,3183;1,6128
2,080;0,6366;1,5751
2,080;0,6366;1,5751
2,080;0,3183;1,8947
2,080;0,6366;1,5274
2,080;0,3183;1,1647
2,080;0,6366;1,0355
2,080;0,3183;1,7060
2,080;0,3183;1,5058
2,080;0,9549;1,4698
2,080;0,3183;1,5254
2,080;0,3183;1,6823
2,080;0,3183;1,4069
2,080;0,6366;1,6389
2,080;0,6366;1,2188
2,080;0,9549;1,3701
2,080;0,3183;1,7731
2,080;0,6366;1,0641
2,080;0,3183;1,6489
2,080;0,6366;1,3994
2,080;0,9549;1,2522
2,080;0,3183;1,5399
2,080;0,3183;1,8562
2,080;0,3183;1,5019
2,080;0,6366;1,3774
2,080;0,3183;1,7022
2,080;0,6366;1,3774
2,080;0,3183;1,1461
2,080;0,3183;1,7145
2,080;0,3183;1,5068
2,080;0,3183;1,8993
2,080;0,3183;1,7155
2,080;0,3183;1,3270
2,080;0,6366;1,8229
2,080;0,6366;1,8229
2,080;0,3183;1,9001
2,080;0,3183;1,5969
2,080;0,3183;2,4496
2,080;0,3183;1,2746
2,080;0,3183;1,6031
2,080;0,3183;1,4209
2,080;0,3183;1,7007
2,080;0,3183;1,7459
2,080;0,3183;1,5114
2,080;0,3183;1,5379
2,080;0,6366;2,0203
2,080;0,6366;1,8298
2,080;0,3183;2,0375
2,080;0,9549;1,9408
2,080;0,3183;2,0514
2,080;0,3183;1,7183
2,080;0,6366;1,5498
2,080;0,3183;1,9509
2,080;0,6366;1,5498
2,080;1,2732;1,5235
2,080;0,6366;1,4562
2,080;0,9549;1,6318
2,080;0,9549;1,6318
2,080;0,3183;1,4855
2,080;0,3183;1,9555
2,080;0,6366;1,6373
2,080;0,3183;1,7517
2,080;0,6366;1,5602
2,080;0,6366;1,6373
2,080;0,6366;1,3699
2,080;0,3183;2,1448
2,080;0,9549;1,5180
2,600;0,3183;1,7279
2,600;0,3183;1,6131
2,600;0,3183;1,7889
2,600;0,3183;1,3593
2,600;0,3183;1,8959
2,600;0,6366;1,6667
2,600;0,6366;1,4330
2,600;0,9549;1,3040
2,600;0,6366;1,4330
2,600;0,9549;1,3563
2,600;0,9549;1,6266
2,600;0,3183;1,9097
2,600;0,3183;1,6192
2,600;0,3183;1,0941
2,600;0,9549;1,3453
2,600;0,9549;1,3453
2,600;0,9549;1,3453
2,600;0,3183;1,8018
2,600;0,3183;1,0121
2,600;0,3183;1,5930
2,600;0,6366;1,4294
2,600;0,6366;1,4294
2,600;0,3183;1,5066
2,600;0,3183;1,8536
2,600;0,3183;1,5032
2,600;0,6366;1,2847
2,600;0,3183;1,7018
2,600;0,9549;1,3159
2,600;0,3183;1,5973
2,600;0,6366;1,4482
2,600;0,6366;1,4482
2,600;0,3183;1,8885
2,600;0,3183;1,7114
2,600;0,6366;1,8132
2,600;0,6366;1,7979
2,600;0,6366;1,7979
2,600;0,3183;1,9015
2,600;0,3183;1,6476
2,600;0,6366;2,0263
2,600;0,3183;1,2751
2,600;0,6366;2,0263
2,600;0,3183;1,5420
2,600;0,3183;1,7708
2,600;0,6366;1,2612
2,600;0,3183;1,5119
2,600;0,3183;1,5541
2,600;0,9549;1,6315
2,600;0,9549;1,6315
2,600;0,3183;2,0371
2,600;0,9549;1,6315
2,600;0,6366;1,9586
2,600;0,6366;1,9586
2,600;0,6366;1,2579
2,600;0,6366;1,6249
2,600;0,9549;1,4729
2,600;1,2732;1,5150
2,600;0,9549;1,3596
2,600;0,9549;1,5605
2,600;0,9549;1,5605
2,600;0,3183;1,7087
2,600;0,3183;1,8278
2,600;0,6366;1,8132
2,600;0,3183;1,7529
2,600;0,3183;1,8181
2,600;0,3183;0,9358
2,600;0,6366;1,4649
2,600;0,3183;1,9719
2,600;0,6366;1,4649
3,120;0,3183;1,0646
3,120;0,3183;1,6128
3,120;0,3183;1,5311
3,120;0,3183;1,3626
3,120;0,3183;1,9007
3,120;0,9549;1,1900
3,120;0,6366;1,4342
3,120;1,2732;1,0047
3,120;0,6366;1,4342
3,120;1,2732;0,8455
3,120;1,2732;1,0047
3,120;0,3183;1,9474
3,120;0,3183;1,6649
3,120;0,3183;1,3978
3,120;0,6366;1,1824
3,120;0,9549;1,0310
3,120;0,6366;0,8460
3,120;0,6366;1,7150
3,120;0,3183;1,2934
3,120;0,3183;1,6482
3,120;0,3183;2,0863
3,120;0,3183;1,2793
3,120;0,6366;1,7150
3,120;0,3183;1,8526
3,120;0,6366;1,1613
3,120;1,2732;1,0159
3,120;0,3183;1,7018
3,120;1,2732;0,9364
3,120;0,3183;1,9155
3,120;0,6366;1,5399
3,120;0,6366;1,5399
3,120;0,3183;1,7874
3,120;0,6366;1,5329
3,120;0,3183;1,9833
3,120;0,6366;1,3043
3,120;0,6366;1,3043
3,120;0,3183;1,7183
3,120;0,3183;1,6443
3,120;0,6366;1,9088
3,120;0,3183;1,2751
3,120;0,6366;1,9088
3,120;0,3183;1,6274
3,120;0,3183;1,7665
3,120;0,6366;0,8257
3,120;0,3183;1,5081
3,120;0,3183;1,5535
3,120;0,9549;1,4403
3,120;1,2732;1,5429
3,120;0,3183;1,7429
3,120;1,2732;1,5429
3,120;0,6366;1,7694
3,120;0,6366;1,7694
3,120;0,6366;1,0208
3,120;1,2732;1,5428
3,120;0,9549;1,2975
3,120;1,5915;0,9617
3,120;1,2732;0,9364
3,120;0,9549;1,0225
3,120;0,9549;1,0225
3,120;0,3183;1,7218
3,120;0,3183;1,9554
3,120;0,6366;1,5329
3,120;0,6366;1,4598
3,120;0,3183;1,8176
3,120;0,6366;1,4598
3,120;0,6366;1,5731
3,120;0,3183;1,8928
3,120;0,6366;1,5731
3,640;0,9549;1,5017
3,640;0,3183;1,6121
3,640;0,6366;0,7269
3,640;0,6366;0,7269
3,640;0,3183;1,5168
3,640;0,9549;0,2903
3,640;0,6366;1,2494
3,640;1,2732;0,3787
3,640;0,6366;1,2494
3,640;1,2732;0,6134
3,640;1,2732;0,3787
3,640;0,3183;1,9315
3,640;0,3183;1,4449
3,640;0,3183;1,4064
3,640;0,3183;1,5113
3,640;0,6366;0,7885
3,640;0,6366;0,7885
3,640;0,6366;1,6319
3,640;0,3183;1,7022
3,640;0,3183;1,6340
3,640;0,3183;2,0890
3,640;0,3183;1,7034
3,640;0,6366;1,6319
3,640;0,3183;1,8490
3,640;0,9549;0,9045
3,640;1,5915;1,1277
3,640;0,3183;1,7017
3,640;1,5915;1,0977
3,640;0,3183;2,0528
3,640;0,9549;1,5302
3,640;0,6366;1,5821
3,640;0,3183;1,8963
3,640;0,9549;1,4362
3,640;0,3183;1,9540
3,640;0,6366;1,3528
3,640;0,6366;1,3528
3,640;0,3183;1,7855
3,640;0,3183;1,6378
3,640;0,9549;1,5017
3,640;0,3183;1,2749
3,640;0,9549;1,5017
3,640;0,3183;1,6727
3,640;0,6366;1,0308
3,640;0,3183;1,1964
3,640;0,3183;1,4596
3,640;0,3183;1,5359
3,640;0,9549;1,3141
3,640;0,9549;1,5638
3,640;0,6366;1,3797
3,640;1,5915;1,2243
3,640;0,6366;1,9606
3,640;0,6366;1,9606
3,640;0,6366;0,7472
3,640;0,9549;1,5638
3,640;0,9549;0,8924
3,640;1,5915;1,1402
3,640;0,9549;1,3418
3,640;0,6366;1,2299
3,640;0,6366;1,0706
3,640;0,3183;1,6943
3,640;0,3183;1,9117
3,640;0,3183;1,9744
3,640;0,6366;1,2608
3,640;0,3183;1,8167
3,640;0,9549;1,3160
3,640;0,6366;1,5648
3,640;0,3183;1,3209
3,640;0,6366;1,5648
4,160;0,9549;1,4576
4,160;0,3183;1,5895
4,160;0,6366;0,7100
4,160;0,6366;0,7100
4,160;0,3183;1,7896
4,160;0,9549;0,2999
4,160;0,6366;1,1954
4,160;0,9549;0,2999
4,160;0,6366;1,1954
4,160;0,6366;1,4118
4,160;0,9549;0,2999
4,160;0,3183;1,9513
4,160;0,6366;1,4445
4,160;0,6366;1,4445
4,160;0,3183;1,6746
4,160;0,6366;1,2867
4,160;0,6366;1,2867
4,160;0,6366;1,2539
4,160;0,3183;1,7267
4,160;0,3183;1,5652
4,160;0,3183;2,1164
4,160;0,3183;1,3445
4,160;0,6366;1,2539
4,160;0,3183;1,5490
4,160;1,2732;1,1654
4,160;0,9549;1,0254
4,160;0,3183;1,6738
4,160;0,9549;1,3680
4,160;0,3183;2,0804
4,160;0,9549;0,9307
4,160;0,6366;1,0154
4,160;0,3183;1,9005
4,160;0,6366;1,4547
4,160;0,9549;1,3534
4,160;0,9549;1,3534
4,160;0,9549;1,3534
4,160;0,3183;1,6769
4,160;0,3183;1,6390
4,160;0,9549;1,4576
4,160;0,3183;1,2751
4,160;0,9549;1,4576
4,160;0,3183;1,6814
4,160;0,6366;1,4118
4,160;0,3183;1,2815
4,160;0,3183;1,5118
4,160;0,3183;1,5542
4,160;1,2732;1,2952
4,160;0,9549;1,6301
4,160;0,9549;1,4456
4,160;1,5915;1,5901
4,160;0,6366;1,9625
4,160;0,6366;1,9625
4,160;0,6366;0,9264
4,160;0,9549;1,6301
4,160;0,9549;1,1825
4,160;0,6366;1,3365
4,160;0,6366;1,5890
4,160;0,6366;1,3365
4,160;0,9549;1,0254
4,160;0,3183;1,7231
4,160;0,3183;1,8827
4,160;0,3183;2,1320
4,160;0,9549;0,9581
4,160;0,3183;1,8180
4,160;0,9549;1,2235
4,160;0,6366;1,5311
4,160;0,3183;1,5801
4,160;0,6366;1,5311
4,660;0,6366;1,6421
4,660;0,3183;1,4680
4,660;0,6366;0,8082
4,660;0,6366;0,8082
4,660;0,3183;1,7657
4,660;1,2732;0,4968
4,660;1,2732;0,4077
4,660;0,9549;0,3891
4,660;0,6366;0,5108
4,660;0,6366;1,6027
4,660;1,2732;0,4968
4,660;0,3183;1,9517
4,660;0,6366;1,5269
4,660;0,6366;1,5269
4,660;0,3183;1,6273
4,660;0,6366;1,5388
4,660;0,6366;1,5388
4,660;0,6366;1,1214
4,660;0,3183;1,7201
