time;evacuated_count
2,500;1
4,240;2
5,380;3
5,540;4
6,600;5
6,780;6
8,160;7
8,480;8
10,500;9
11,340;10
11,680;11
12,440;12
14,000;13
14,580;14
15,620;15
15,900;16
16,020;17
16,400;18
16,700;19
16,860;20
17,300;21
17,420;22
18,360;23
18,500;24
19,060;25
19,600;26
19,720;27
20,060;28
20,160;29
20,220;30
20,760;31
20,820;32
21,080;33
21,300;34
21,620;35
23,700;36
23,920;37
23,980;38
24,280;39
24,600;40
24,900;41
24,980;42
25,280;43
25,560;44
26,420;45
27,280;46
27,460;47
27,700;48
28,040;49
28,240;50
28,380;51
28,760;52
29,520;53
30,200;54
30,940;55
31,720;56
32,140;57
32,440;58
33,400;59
33,780;60
33,960;61
34,860;62
35,060;63
35,540;64
67,380;65
144,200;66
