agentId;time;posX;posZ;speed
1;0,1200;-17,1278;4,2810;5,4028
2;0,1200;-16,5548;6,7806;0,1797
3;0,1200;-15,8848;9,2587;0,1822
4;0,1200;-19,6432;5,1346;0,1823
5;0,1200;-17,5048;8,5514;0,0336
6;0,1200;-12,2979;9,2270;0,1825
7;0,1200;-13,4066;9,2433;0,1819
8;0,1200;-13,3446;6,1926;0,1825
9;0,1200;-9,2514;7,1283;0,1827
10;0,1200;-11,5347;5,8059;2,3469
11;0,1200;-14,0466;5,0372;0,1827
12;0,1200;-2,8595;6,1554;0,1826
13;0,1200;-4,5126;6,7952;0,1817
14;0,1200;-5,5599;8,1792;0,8341
15;0,1200;-2,8987;4,7084;0,1826
16;0,1200;-4,0792;3,1037;0,1822
17;0,1200;-3,7447;4,6345;0,1826
18;0,1200;2,9271;6,4573;0,1825
19;0,1200;3,7739;7,8669;0,1790
20;0,1200;-0,3155;6,7696;0,1091
21;0,1200;3,3947;1,9489;1,4672
22;0,1200;0,1350;4,3505;0,1824
23;0,1200;0,3981;7,2468;0,1774
24;0,1200;7,7536;2,7176;0,1812
25;0,1200;5,4359;5,6089;0,1820
26;0,1200;10,6311;9,2728;0,1826
27;0,1200;5,9861;6,3953;0,1826
28;0,1200;6,9457;8,5752;0,1827
29;0,1200;6,7161;2,0015;0,0809
30;0,1200;16,0503;7,1993;0,0900
31;0,1200;16,9073;4,5156;0,1016
32;0,1200;13,1294;6,0282;0,1163
33;0,1200;17,4178;5,8022;0,1811
34;0,1200;14,4439;7,4625;0,1825
35;0,1200;18,9321;3,1604;0,1825
36;0,1200;18,4089;6,4552;0,1822
37;0,1200;-16,4377;-7,4244;0,1820
38;0,1200;-15,6864;-3,4232;0,1826
39;0,1200;-15,2254;-5,9136;0,1826
40;0,1200;-17,8951;-5,7955;3,1805
41;0,1200;-16,9736;-3,1020;0,1825
42;0,1200;-12,1953;-4,6949;0,1677
43;0,1200;-9,8708;-4,4192;0,1816
44;0,1200;-11,0261;-9,8628;0,0671
45;0,1200;-11,1295;-6,4549;0,1827
46;0,1200;-12,1777;-7,2254;2,2831
47;0,1200;-7,4558;-5,3935;0,1826
48;0,1200;-5,0830;-9,4164;0,1676
49;0,1200;-2,8001;-8,6337;0,1815
50;0,1200;-5,0237;-4,8186;1,3095
51;0,1200;-2,8786;-4,3141;0,1673
52;0,1200;2,9351;-7,3484;0,0525
53;0,1200;2,3930;-9,2449;0,1823
54;0,1200;0,9739;-6,9004;0,1804
55;0,1200;1,7748;-2,9331;0,1826
56;0,1200;8,6127;-1,9431;0,1409
57;0,1200;8,6570;-8,4993;0,1823
58;0,1200;7,5865;-6,4611;0,1822
59;0,1200;6,0710;-6,7520;0,1805
60;0,1200;9,5831;-6,6001;0,1815
61;0,1200;5,7474;-9,2168;0,1730
62;0,1200;16,3447;-9,1449;0,1825
63;0,1200;17,1903;-3,8610;0,5342
64;0,1200;17,3764;-9,7667;0,1821
65;0,1200;13,7796;-5,9482;0,1825
66;0,1200;12,6740;-9,5087;0,1822
67;0,1200;12,7988;-4,9041;0,1826
68;0,1200;10,9055;-3,1882;0,1350
1;0,2400;-17,1275;4,2848;0,0318
2;0,2400;-16,5643;6,7317;0,4151
3;0,2400;-15,9047;9,2045;0,4815
4;0,2400;-19,6111;5,0868;0,4800
5;0,2400;-17,5035;8,5344;0,1425
6;0,2400;-12,3030;9,1699;0,4775
7;0,2400;-13,4074;9,1855;0,4812
8;0,2400;-13,3376;6,1353;0,4810
9;0,2400;-9,2682;7,0735;0,4781
10;0,2400;-11,5422;5,7569;0,4129
11;0,2400;-14,0174;4,9874;0,4806
12;0,2400;-2,9164;6,1485;0,4780
13;0,2400;-4,5477;6,7497;0,4796
14;0,2400;-5,5550;8,1747;0,0561
15;0,2400;-2,9187;4,6541;0,4821
16;0,2400;-4,1088;3,0544;0,4794
17;0,2400;-3,7620;4,5796;0,4802
18;0,2400;2,9235;6,4011;0,4697
19;0,2400;3,7604;7,8212;0,3976
20;0,2400;-0,3152;6,7377;0,2662
21;0,2400;3,3948;1,9473;0,0133
22;0,2400;0,1494;4,2948;0,4794
23;0,2400;0,4190;7,1987;0,4370
24;0,2400;7,7810;2,6696;0,4604
25;0,2400;5,4764;5,5681;0,4792
26;0,2400;10,6131;9,2178;0,4823
27;0,2400;6,0114;6,3438;0,4777
28;0,2400;6,9500;8,5178;0,4795
29;0,2400;6,7394;1,9921;0,2095
30;0,2400;16,0588;7,2220;0,2022
31;0,2400;16,8872;4,4765;0,3666
32;0,2400;13,1566;5,9924;0,3743
33;0,2400;17,3848;5,7582;0,4582
34;0,2400;14,4497;7,4050;0,4812
35;0,2400;18,9377;3,1030;0,4807
36;0,2400;18,4275;6,4011;0,4770
37;0,2400;-16,4259;-7,3681;0,4794
38;0,2400;-15,7034;-3,3680;0,4813
39;0,2400;-15,2360;-5,8567;0,4820
40;0,2400;-17,8785;-5,7478;0,4211
41;0,2400;-16,9659;-3,0447;0,4816
42;0,2400;-12,1788;-4,6421;0,4609
43;0,2400;-9,8743;-4,3633;0,4665
44;0,2400;-11,0221;-9,8432;0,1666
45;0,2400;-11,1271;-6,3971;0,4825
46;0,2400;-12,1788;-7,1745;0,4243
47;0,2400;-7,3979;-5,3917;0,4823
48;0,2400;-5,0390;-9,3831;0,4603
49;0,2400;-2,7965;-8,5763;0,4794
50;0,2400;-4,9960;-4,8092;0,2436
51;0,2400;-2,8552;-4,3635;0,4551
52;0,2400;2,9504;-7,3624;0,1722
53;0,2400;2,3676;-9,1938;0,4756
54;0,2400;0,9559;-6,8498;0,4476
55;0,2400;1,7380;-2,9772;0,4785
56;0,2400;8,5803;-1,9220;0,3221
57;0,2400;8,6588;-8,4416;0,4814
58;0,2400;7,5813;-6,4045;0,4738
59;0,2400;6,0866;-6,7025;0,4326
60;0,2400;9,5575;-6,5506;0,4643
61;0,2400;5,7613;-9,1763;0,3568
62;0,2400;16,3433;-9,0874;0,4790
63;0,2400;17,1904;-3,8099;0,4260
64;0,2400;17,3471;-9,7174;0,4776
65;0,2400;13,7938;-5,8921;0,4819
66;0,2400;12,6785;-9,4519;0,4746
67;0,2400;12,8204;-4,8503;0,4824
68;0,2400;10,9480;-3,1631;0,4119
1;0,3600;-17,1370;4,2807;0,0860
2;0,3600;-16,5679;6,6505;0,6776
3;0,3600;-15,9296;9,1176;0,7531
4;0,3600;-19,5579;5,0138;0,7525
5;0,3600;-17,4954;8,5036;0,2653
6;0,3600;-12,3182;9,0845;0,7227
7;0,3600;-13,4045;9,0941;0,7626
8;0,3600;-13,3309;6,0441;0,7626
9;0,3600;-9,2925;6,9913;0,7137
10;0,3600;-11,5563;5,6748;0,6941
11;0,3600;-13,9637;4,9137;0,7598
12;0,3600;-3,0070;6,1504;0,7551
13;0,3600;-4,6065;6,6802;0,7586
14;0,3600;-5,5303;8,1747;0,2055
15;0,3600;-2,9518;4,5687;0,7636
16;0,3600;-4,1634;2,9816;0,7584
17;0,3600;-3,7826;4,4952;0,7242
18;0,3600;2,9171;6,3233;0,6503
19;0,3600;3,7419;7,7453;0,6505
20;0,3600;-0,3247;6,6849;0,4472
21;0,3600;3,3947;1,9417;0,0465
22;0,3600;0,1751;4,2090;0,7470
23;0,3600;0,4614;7,1286;0,6832
24;0,3600;7,8306;2,5982;0,7245
25;0,3600;5,5398;5,5025;0,7602
26;0,3600;10,5858;9,1302;0,7641
27;0,3600;6,0530;6,2676;0,7233
28;0,3600;6,9444;8,4272;0,7567
29;0,3600;6,7859;1,9861;0,3914
30;0,3600;16,0722;7,2419;0,2000
31;0,3600;16,8487;4,4079;0,6552
32;0,3600;13,2035;5,9372;0,6042
33;0,3600;17,3327;5,6971;0,6690
34;0,3600;14,4502;7,3137;0,7609
35;0,3600;18,9511;3,0140;0,7499
36;0,3600;18,4623;6,3201;0,7347
37;0,3600;-16,4090;-7,2785;0,7602
38;0,3600;-15,7313;-3,2815;0,7580
39;0,3600;-15,2532;-5,7667;0,7641
40;0,3600;-17,8396;-5,6808;0,6455
41;0,3600;-16,9516;-2,9542;0,7637
42;0,3600;-12,1525;-4,5582;0,7327
43;0,3600;-9,8755;-4,2747;0,7382
44;0,3600;-11,0023;-9,7963;0,4245
45;0,3600;-11,1225;-6,3071;0,7510
46;0,3600;-12,1965;-7,0940;0,6868
47;0,3600;-7,3088;-5,3911;0,7425
48;0,3600;-4,9671;-9,3302;0,7436
49;0,3600;-2,7940;-8,4850;0,7612
50;0,3600;-4,9409;-4,7784;0,5262
51;0,3600;-2,8313;-4,4479;0,7316
52;0,3600;2,9621;-7,3780;0,1624
53;0,3600;2,3335;-9,1134;0,7273
54;0,3600;0,9476;-6,7656;0,7056
55;0,3600;1,6951;-3,0538;0,7319
56;0,3600;8,5142;-1,9026;0,5741
57;0,3600;8,6622;-8,3507;0,7578
58;0,3600;7,5708;-6,3146;0,7543
59;0,3600;6,1120;-6,6236;0,6904
60;0,3600;9,5165;-6,4743;0,7216
61;0,3600;5,7872;-9,1296;0,4450
62;0,3600;16,3450;-8,9989;0,7381
63;0,3600;17,1937;-3,7247;0,7107
64;0,3600;17,2993;-9,6430;0,7377
65;0,3600;13,8171;-5,8034;0,7638
66;0,3600;12,6791;-9,3614;0,7540
67;0,3600;12,8586;-4,7679;0,7573
68;0,3600;11,0192;-3,1243;0,6759
1;0,4800;-17,1625;4,2807;0,2121
2;0,4800;-16,5585;6,5421;0,9062
3;0,4800;-15,9582;9,0026;0,9874
4;0,4800;-19,4805;4,9197;1,0157
5;0,4800;-17,4737;8,4547;0,4453
6;0,4800;-12,3313;8,9730;0,9356
7;0,4800;-13,3996;8,9709;1,0273
8;0,4800;-13,3181;5,9214;1,0275
9;0,4800;-9,3246;6,8844;0,9308
10;0,4800;-11,5802;5,5679;0,9127
11;0,4800;-13,8964;4,8110;1,0229
12;0,4800;-3,1293;6,1568;1,0206
13;0,4800;-4,6819;6,5878;0,9937
14;0,4800;-5,4843;8,1740;0,3832
15;0,4800;-3,0036;4,4568;1,0272
16;0,4800;-4,2423;2,8879;1,0209
17;0,4800;-3,8033;4,3905;0,8887
18;0,4800;2,9099;6,2203;0,8609
19;0,4800;3,7203;7,6390;0,9043
20;0,4800;-0,3479;6,6050;0,6929
21;0,4800;3,3947;1,9334;0,0691
22;0,4800;0,2072;4,0969;0,9715
23;0,4800;0,5114;7,0462;0,8029
24;0,4800;7,8995;2,5102;0,9311
25;0,4800;5,6233;5,4121;1,0257
26;0,4800;10,5602;9,0149;0,9843
27;0,4800;6,1057;6,1630;0,9767
28;0,4800;6,9276;8,3060;1,0194
29;0,4800;6,8547;1,9835;0,5733
30;0,4800;16,0605;7,2377;0,1040
31;0,4800;16,7952;4,3104;0,9271
32;0,4800;13,2771;5,8641;0,8642
33;0,4800;17,2675;5,6161;0,8669
34;0,4800;14,4457;7,1917;1,0175
35;0,4800;18,9756;2,8949;1,0136
36;0,4800;18,5098;6,2100;0,9992
37;0,4800;-16,3861;-7,1609;0,9979
38;0,4800;-15,7756;-3,1703;0,9969
39;0,4800;-15,2806;-5,6472;1,0216
40;0,4800;-17,7728;-5,5965;0,8965
41;0,4800;-16,9312;-2,8349;1,0081
42;0,4800;-12,1221;-4,4511;0,9276
43;0,4800;-9,8760;-4,1588;0,9658
44;0,4800;-10,9653;-9,7261;0,6610
45;0,4800;-11,1198;-6,1982;0,9075
46;0,4800;-12,2340;-6,9864;0,9490
47;0,4800;-7,1983;-5,3996;0,9240
48;0,4800;-4,8689;-9,2591;1,0104
49;0,4800;-2,8012;-8,3625;1,0228
50;0,4800;-4,8538;-4,7386;0,7981
51;0,4800;-2,8125;-4,5626;0,9680
52;0,4800;2,9638;-7,3783;0,0147
53;0,4800;2,2832;-9,0200;0,8839
54;0,4800;0,9442;-6,6515;0,9507
55;0,4800;1,6370;-3,1580;0,9942
56;0,4800;8,4146;-1,8909;0,8358
57;0,4800;8,6711;-8,2313;0,9975
58;0,4800;7,5561;-6,1953;1,0013
59;0,4800;6,1488;-6,5215;0,9043
60;0,4800;9,4559;-6,3754;0,9669
61;0,4800;5,8359;-9,0610;0,7011
62;0,4800;16,3505;-8,8787;1,0023
63;0,4800;17,2017;-3,6113;0,9472
64;0,4800;17,2509;-9,5476;0,8911
65;0,4800;13,8472;-5,6869;1,0029
66;0,4800;12,6789;-9,2390;1,0201
67;0,4800;12,9121;-4,6722;0,9133
68;0,4800;11,1170;-3,0725;0,9218
1;0,6000;-17,1996;4,2807;0,3094
2;0,6000;-16,5323;6,4172;1,0637
3;0,6000;-15,9908;8,8579;1,2361
4;0,6000;-19,3821;4,8050;1,2594
5;0,6000;-17,4456;8,3881;0,6030
6;0,6000;-12,3383;8,8309;1,1860
7;0,6000;-13,3882;8,8213;1,2503
8;0,6000;-13,2957;5,7718;1,2604
9;0,6000;-9,3681;6,7490;1,1844
10;0,6000;-11,6079;5,4591;0,9361
11;0,6000;-13,8154;4,6815;1,2728
12;0,6000;-3,2814;6,1688;1,2708
13;0,6000;-4,7692;6,4854;1,1211
14;0,6000;-5,4217;8,1561;0,5429
15;0,6000;-3,0611;4,3155;1,2716
16;0,6000;-4,3328;2,7709;1,2327
17;0,6000;-3,8261;4,2639;1,0723
18;0,6000;2,9207;6,0943;1,0541
19;0,6000;3,6969;7,5036;1,1449
20;0,6000;-0,3877;6,5054;0,8936
21;0,6000;3,3947;1,9284;0,0413
22;0,6000;0,2394;3,9564;1,2014
23;0,6000;0,5744;6,9589;0,8970
24;0,6000;7,9743;2,3938;1,1535
25;0,6000;5,7190;5,2983;1,2391
26;0,6000;10,5417;8,8794;1,1403
27;0,6000;6,1639;6,0306;1,2049
28;0,6000;6,9224;8,1579;1,2352
29;0,6000;6,9456;1,9880;0,7588
30;0,6000;16,0157;7,2185;0,4061
31;0,6000;16,7327;4,1831;1,1818
32;0,6000;13,3784;5,7815;1,0888
33;0,6000;17,1886;5,5216;1,0250
34;0,6000;14,4347;7,0463;1,2153
35;0,6000;19,0124;2,7514;1,2343
36;0,6000;18,5712;6,0730;1,2510
37;0,6000;-16,3627;-7,0391;1,0336
38;0,6000;-15,8476;-3,0512;1,1602
39;0,6000;-15,3207;-5,5062;1,2216
40;0,6000;-17,6819;-5,4947;1,1374
41;0,6000;-16,9155;-2,6900;1,2146
42;0,6000;-12,0887;-4,3242;1,0936
43;0,6000;-9,8713;-4,0193;1,1636
44;0,6000;-10,9126;-9,6405;0,8379
45;0,6000;-11,1197;-6,0725;1,0476
46;0,6000;-12,2702;-6,8475;1,1967
