time;agentIdA;agentIdB;type
0,0000;8;-1;Wall
0,0000;25;-1;Wall
0,0000;27;-1;Wall
0,0000;40;-1;Wall
0,0000;42;-1;Wall
0,0000;52;-1;Wall
0,0000;54;-1;Wall
0,0200;27;-1;Wall
0,0200;40;-1;Wall
0,0400;40;-1;Wall
0,0600;40;-1;Wall
0,3600;8;-1;Wall
0,3800;8;-1;Wall
0,4000;8;-1;Wall
0,4200;8;-1;Wall
0,4600;8;-1;Wall
0,4800;8;-1;Wall
0,5000;8;-1;Wall
0,5200;8;-1;Wall
0,5400;8;-1;Wall
0,6600;58;-1;Wall
1,0200;31;-1;Wall
1,6000;29;-1;Wall
1,7400;38;39;Agent
1,7600;38;39;Agent
1,7800;38;39;Agent
1,8000;38;39;Agent
1,8200;38;39;Agent
1,8400;38;39;Agent
2,2400;48;-1;Wall
2,2600;48;-1;Wall
2,2600;48;50;Agent
2,2800;48;-1;Wall
2,3000;48;-1;Wall
2,3200;32;-1;Wall
2,3200;48;-1;Wall
2,3400;32;-1;Wall
2,4600;8;-1;Wall
2,5000;40;-1;Wall
2,5400;56;-1;Wall
2,5600;56;-1;Wall
2,8000;18;-1;Wall
2,8800;18;-1;Wall
2,9200;18;-1;Wall
3,0000;17;-1;Wall
3,0200;19;-1;Wall
3,0400;48;-1;Wall
3,0800;48;-1;Wall
3,1000;17;-1;Wall
3,1000;48;-1;Wall
3,1200;48;-1;Wall
3,1400;17;-1;Wall
3,1400;45;-1;Wall
3,1400;48;-1;Wall
3,1800;45;-1;Wall
3,1800;48;-1;Wall
3,2000;45;-1;Wall
3,2200;45;-1;Wall
3,2400;45;-1;Wall
3,2400;48;-1;Wall
3,3000;45;-1;Wall
3,3200;45;-1;Wall
3,3400;45;-1;Wall
3,3600;45;-1;Wall
3,3800;45;-1;Wall
3,7200;20;23;Agent
3,7400;20;23;Agent
3,8200;20;23;Agent
3,8800;4;-1;Wall
3,9200;4;-1;Wall
3,9600;4;-1;Wall
4,0000;4;-1;Wall
4,0200;4;-1;Wall
4,0400;4;-1;Wall
4,0800;4;-1;Wall
4,1000;4;-1;Wall
4,1200;4;-1;Wall
4,4800;64;-1;Wall
5,6800;39;-1;Wall
5,7200;24;32;Agent
5,7400;13;46;Agent
5,7400;24;32;Agent
5,7600;13;46;Agent
5,7600;24;32;Agent
5,7800;13;46;Agent
5,7800;24;32;Agent
5,8000;13;46;Agent
5,8000;24;32;Agent
5,8200;13;46;Agent
5,8200;24;32;Agent
5,8400;15;-1;Wall
5,8400;15;16;Agent
5,8400;24;32;Agent
5,8600;15;-1;Wall
5,8600;15;16;Agent
5,8800;15;-1;Wall
5,8800;15;16;Agent
5,9000;15;-1;Wall
5,9000;15;16;Agent
5,9200;15;-1;Wall
5,9200;15;16;Agent
5,9200;32;33;Agent
5,9400;15;-1;Wall
5,9400;15;16;Agent
5,9400;32;33;Agent
5,9600;15;-1;Wall
5,9600;15;16;Agent
5,9600;32;33;Agent
5,9800;15;-1;Wall
5,9800;15;16;Agent
5,9800;32;33;Agent
6,0000;15;-1;Wall
6,0000;15;16;Agent
6,0000;32;33;Agent
6,0200;15;-1;Wall
6,0200;15;16;Agent
6,0200;32;33;Agent
6,0200;50;53;Agent
6,0400;15;-1;Wall
6,0400;15;16;Agent
6,0400;32;33;Agent
6,0400;50;53;Agent
6,0600;15;-1;Wall
6,0600;15;16;Agent
6,0600;32;33;Agent
6,0600;50;53;Agent
6,0800;15;-1;Wall
6,0800;15;16;Agent
6,0800;32;33;Agent
6,1000;15;-1;Wall
6,1000;15;16;Agent
6,1000;32;33;Agent
6,1200;15;-1;Wall
6,1200;15;16;Agent
6,1400;15;-1;Wall
6,1400;15;16;Agent
6,2200;50;53;Agent
6,3000;28;57;Agent
6,3200;28;57;Agent
6,3400;28;57;Agent
6,3600;28;57;Agent
6,3800;28;57;Agent
6,4000;28;57;Agent
6,7200;18;-1;Wall
6,7600;52;54;Agent
6,7800;52;54;Agent
6,8000;52;54;Agent
6,8200;15;16;Agent
6,8200;52;54;Agent
6,9000;15;16;Agent
6,9800;29;67;Agent
7,0000;29;67;Agent
7,0200;29;67;Agent
7,0400;29;67;Agent
7,0800;48;52;Agent
7,1000;48;52;Agent
7,1200;48;52;Agent
7,1400;48;52;Agent
7,1600;48;52;Agent
8,4200;41;-1;Wall
8,4400;41;-1;Wall
8,4600;41;-1;Wall
8,4800;41;-1;Wall
8,5000;41;-1;Wall
8,5200;41;-1;Wall
8,5400;41;-1;Wall
8,5600;41;-1;Wall
8,5800;41;-1;Wall
8,6200;41;-1;Wall
8,6400;41;-1;Wall
8,6600;41;-1;Wall
8,7200;32;64;Agent
8,7400;32;64;Agent
10,2800;26;29;Agent
11,0400;12;49;Agent
11,1400;12;49;Agent
11,2000;12;49;Agent
13,5600;22;28;Agent
13,6400;22;28;Agent
13,7600;22;28;Agent
20,6800;39;-1;Wall
20,7000;39;-1;Wall
20,7200;39;-1;Wall
20,7400;39;-1;Wall
20,7600;39;-1;Wall
20,7800;39;-1;Wall
20,8000;39;-1;Wall
20,8200;39;-1;Wall
20,8400;39;-1;Wall
20,8600;39;-1;Wall
20,8800;39;-1;Wall
21,0600;2;-1;Wall
27,6400;1;48;Agent
27,6600;1;48;Agent
29,9800;10;11;Agent
32,8400;37;55;Agent
32,9800;37;55;Agent
33,0000;37;55;Agent
