metric;value
model_type;RL
scenario_id;Building
run_id;Building_RL_run16
total_agents;68
evacuated_agents;68
evacuation_rate;1,0000
rset_100s;48,520
rset_95s;35,700
rset_90s;33,820
rset_50s;16,660
mean_speed_ms;1,4086
std_speed_ms;0,4024
max_speed_ms;2,5738
mean_exit_density_pm2;0,1369
peak_exit_density_pm2;0,5659
mean_global_density_pm2;0,0407
specific_flow_mean_pms;0,2149
specific_flow_peak_pms;0,9635
throughput_ps;1,4015
throughput_Exit_Main_ps;1,4015
collisions_agent_agent;88
collisions_agent_wall;110
mean_headway_m;1,0476
min_headway_m;0,3455
std_headway_m;0,8174
