time;density;specific_flow
0,120;0,0000;0,0000
0,240;0,0000;0,0000
0,360;0,0000;0,0000
0,480;0,0000;0,0000
0,600;0,0000;0,0000
0,720;0,0000;0,0000
0,840;0,0000;0,0000
0,960;0,0000;0,0000
1,080;0,0000;0,0000
1,180;0,0000;0,0000
1,300;0,0000;0,0000
1,420;0,0000;0,0000
1,520;0,0000;0,0000
1,640;0,0000;0,0000
1,740;0,1415;0,2113
1,860;0,1415;0,2111
1,960;0,1415;0,2134
2,080;0,1415;0,2134
2,200;0,1415;0,2134
2,320;0,1415;0,2135
2,440;0,2829;0,4610
2,560;0,1415;0,2469
2,660;0,1415;0,2484
2,780;0,1415;0,2511
2,900;0,1415;0,2514
3,000;0,0000;0,0000
3,120;0,0000;0,0000
3,240;0,0000;0,0000
3,360;0,0000;0,0000
3,460;0,0000;0,0000
3,580;0,0000;0,0000
3,700;0,0000;0,0000
3,800;0,0000;0,0000
3,920;0,0000;0,0000
4,040;0,1415;0,2596
4,160;0,1415;0,2595
4,280;0,1415;0,2595
4,380;0,1415;0,2596
4,500;0,1415;0,2595
4,620;0,0000;0,0000
4,740;0,0000;0,0000
4,860;0,1415;0,2255
4,980;0,1415;0,2253
5,100;0,1415;0,2254
5,200;0,1415;0,2255
5,320;0,1415;0,2255
5,440;0,1415;0,2252
5,560;0,0000;0,0000
5,680;0,0000;0,0000
5,800;0,1415;0,2792
5,920;0,1415;0,2790
6,020;0,1415;0,2796
6,140;0,1415;0,2796
6,260;0,2829;0,4599
6,380;0,1415;0,1806
6,500;0,2829;0,3911
6,620;0,2829;0,3974
6,740;0,2829;0,4191
6,840;0,2829;0,4295
6,960;0,2829;0,4422
7,080;0,2829;0,4683
7,200;0,1415;0,3038
7,320;0,2829;0,5012
7,440;0,2829;0,5012
7,560;0,2829;0,4992
7,680;0,1415;0,1971
7,800;0,1415;0,1970
7,920;0,2829;0,4196
8,020;0,2829;0,4198
8,140;0,1415;0,2227
8,260;0,1415;0,2222
8,380;0,1415;0,2227
8,500;0,1415;0,2227
8,620;0,0000;0,0000
8,740;0,1415;0,2409
8,840;0,1415;0,2408
8,960;0,2829;0,3864
9,080;0,4244;0,5689
9,200;0,4244;0,5685
9,320;0,5659;0,6562
9,440;0,5659;0,6736
9,560;0,5659;0,6720
9,660;0,5659;0,6445
9,780;0,7074;0,7485
9,900;0,5659;0,4802
10,020;0,4244;0,2902
10,140;0,4244;0,3424
10,260;0,4244;0,4218
10,360;0,2829;0,2585
10,480;0,4244;0,4447
10,600;0,2829;0,3609
10,720;0,2829;0,3926
10,840;0,2829;0,4199
10,960;0,2829;0,3008
11,080;0,2829;0,3227
11,180;0,4244;0,5625
11,300;0,4244;0,5374
11,420;0,5659;0,7385
11,540;0,5659;0,8332
11,660;0,5659;0,8585
11,780;0,4244;0,6237
11,900;0,4244;0,6385
12,000;0,5659;0,8104
12,120;0,5659;0,7772
12,240;0,4244;0,6241
12,360;0,2829;0,3735
12,480;0,2829;0,4190
12,600;0,1415;0,2419
12,720;0,0000;0,0000
12,820;0,0000;0,0000
12,940;0,0000;0,0000
13,060;0,1415;0,2325
13,180;0,1415;0,2325
13,300;0,1415;0,2325
13,420;0,1415;0,2322
13,540;0,1415;0,2319
13,640;0,1415;0,2326
13,760;0,0000;0,0000
13,880;0,0000;0,0000
14,000;0,0000;0,0000
14,120;0,0000;0,0000
14,240;0,1415;0,3641
14,340;0,1415;0,3634
14,460;0,1415;0,3638
14,580;0,1415;0,3637
14,700;0,1415;0,2055
14,820;0,2829;0,4423
14,940;0,2829;0,4423
15,060;0,2829;0,4424
15,160;0,2829;0,4428
15,280;0,4244;0,6415
15,400;0,4244;0,6413
15,520;0,2829;0,4693
15,640;0,4244;0,7174
15,760;0,4244;0,7099
15,880;0,5659;0,9257
15,980;0,4244;0,6386
16,100;0,2829;0,4725
16,200;0,2829;0,5158
16,320;0,1415;0,2521
16,420;0,1415;0,2728
16,520;0,2829;0,4664
16,640;0,1415;0,1753
16,740;0,1415;0,1755
16,840;0,2829;0,4380
16,940;0,2829;0,3724
17,060;0,2829;0,3328
17,160;0,2829;0,3421
17,260;0,2829;0,3512
17,380;0,1415;0,1875
17,480;0,1415;0,2095
17,580;0,0000;0,0000
17,680;0,0000;0,0000
17,800;0,0000;0,0000
17,900;0,0000;0,0000
18,000;0,0000;0,0000
18,120;0,0000;0,0000
18,220;0,0000;0,0000
18,320;0,1415;0,2186
18,420;0,1415;0,2190
18,540;0,2829;0,4405
18,640;0,2829;0,4578
18,740;0,2829;0,4786
18,860;0,2829;0,4868
18,960;0,2829;0,5001
19,060;0,0000;0,0000
19,160;0,0000;0,0000
19,280;0,0000;0,0000
19,380;0,1415;0,2574
19,480;0,1415;0,2575
19,600;0,1415;0,2575
19,700;0,1415;0,2570
19,800;0,1415;0,2574
19,900;0,2829;0,4708
20,020;0,1415;0,2133
20,120;0,1415;0,2134
20,220;0,1415;0,2132
20,340;0,1415;0,2129
20,440;0,1415;0,2129
20,540;0,1415;0,2132
20,660;0,0000;0,0000
20,760;0,0000;0,0000
20,860;0,1415;0,2215
20,960;0,1415;0,2215
21,080;0,2829;0,4523
21,180;0,2829;0,4277
21,280;0,2829;0,4420
21,400;0,2829;0,4540
21,500;0,2829;0,4640
21,600;0,1415;0,2444
21,700;0,1415;0,2440
21,820;0,0000;0,0000
21,920;0,0000;0,0000
22,020;0,0000;0,0000
22,140;0,0000;0,0000
22,240;0,0000;0,0000
22,340;0,0000;0,0000
22,440;0,0000;0,0000
22,560;0,2829;0,4593
22,660;0,2829;0,4597
22,760;0,4244;0,6013
22,880;0,4244;0,6074
22,980;0,4244;0,6307
23,080;0,2829;0,3860
23,180;0,2829;0,3896
23,300;0,1415;0,1978
23,400;0,1415;0,2114
23,500;0,1415;0,2112
23,620;0,0000;0,0000
23,720;0,0000;0,0000
23,820;0,0000;0,0000
23,920;0,1415;0,2263
24,040;0,1415;0,2266
24,140;0,1415;0,2266
24,240;0,2829;0,4952
24,360;0,2829;0,4929
24,460;0,2829;0,4890
24,560;0,1415;0,2679
24,680;0,2829;0,4806
24,780;0,2829;0,4799
24,880;0,1415;0,2125
24,980;0,1415;0,2125
25,100;0,1415;0,2124
25,200;0,2829;0,4528
25,300;0,2829;0,4533
25,420;0,2829;0,4890
25,520;0,2829;0,5040
25,620;0,2829;0,5162
25,720;0,2829;0,4328
25,840;0,2829;0,4339
25,940;0,2829;0,4600
26,040;0,2829;0,4824
26,160;0,1415;0,2505
26,260;0,1415;0,2505
26,360;0,1415;0,2503
26,460;0,2829;0,4259
26,580;0,2829;0,4084
26,680;0,2829;0,4233
26,780;0,4244;0,6461
26,900;0,4244;0,5914
27,000;0,4244;0,6028
