time;agentId;headwayDistance;headwayVelocity
0,2600;1;3,0882;0,4821
0,2600;2;0,7008;0,4191
0,2600;3;2,8122;0,0173
0,2600;4;2,0784;0,4564
0,2600;5;0,7008;0,4821
0,2600;6;1,3621;0,4771
0,2600;7;1,7004;0,4809
0,2600;8;0,5723;0,4564
0,2600;9;0,5723;0,4804
0,2600;10;2,9559;0,4771
0,2600;11;1,3621;0,4809
0,2600;12;1,5524;0,3651
0,2600;13;1,7267;0,4822
0,2600;14;2,7583;0,4822
0,2600;15;1,5524;0,4822
0,2600;16;0,8593;0,4791
0,2600;17;0,8593;0,4773
0,2600;18;1,3160;0,4753
0,2600;19;2,1551;0,4818
0,2600;20;1,9683;0,4818
0,2600;21;1,3160;0,4647
0,2600;22;1,9683;0,0120
0,2600;23;2,9841;0,4818
0,2600;24;0,6389;0,4814
0,2600;25;2,5964;0,4269
0,2600;26;2,0402;0,4822
0,2600;27;0,6389;0,4269
0,2600;28;1,7571;0,4822
0,2600;29;1,7571;0,4584
0,2600;30;2,6923;0,4815
0,2600;31;1,2970;0,4822
0,2600;32;3,3076;0,4815
0,2600;33;1,2970;0,4815
0,2600;34;3,8995;0,4770
0,2600;35;3,6205;0,4785
0,2600;36;3,3259;0,4785
0,2600;37;1,3629;0,4782
0,2600;38;1,7932;0,4782
0,2600;39;2,9501;0,3843
0,2600;41;1,3629;0,3843
0,2600;42;1,0045;0,4472
0,2600;43;2,2247;0,4781
0,2600;44;2,0168;0,4243
0,2600;45;2,0168;0,2323
0,2600;46;1,0045;0,4781
0,2600;47;0,6902;0,4779
0,2600;48;0,5084;0,4779
0,2600;49;2,8196;0,2323
0,2600;50;2,0419;0,4809
0,2600;51;0,5084;0,4822
0,2600;52;1,9058;0,3553
0,2600;53;4,3760;0,3553
0,2600;54;1,9058;0,4814
0,2600;55;2,4988;0,4814
0,2600;56;1,2014;0,1038
0,2600;57;1,8275;0,4440
0,2600;58;1,7565;0,4822
0,2600;59;1,2014;0,4822
0,2600;60;1,2870;0,1038
0,2600;61;2,9024;0,4575
0,2600;62;1,0620;0,3371
0,2600;63;2,0386;0,4824
0,2600;64;2,5253;0,4575
0,2600;65;2,5253;0,4710
0,2600;66;2,0386;0,4587
0,2600;67;1,0620;0,4757
0,2600;68;1,3235;0,3371
0,5200;1;3,0084;1,0274
0,5200;2;0,7405;0,8496
0,5200;3;2,7645;0,3825
0,5200;4;2,1275;0,8043
0,5200;5;0,7405;1,0274
0,5200;6;1,1967;0,9891
0,5200;7;1,6889;1,0267
0,5200;8;0,5430;0,8043
0,5200;9;0,5430;1,0158
0,5200;10;2,9414;0,9891
0,5200;11;1,1967;1,0267
0,5200;12;1,6186;0,8946
0,5200;13;1,6842;1,0297
0,5200;14;2,6850;1,0297
0,5200;15;1,6186;1,0297
0,5200;16;0,7290;1,0017
0,5200;17;0,7290;0,9880
0,5200;18;1,3143;0,8303
0,5200;19;2,1312;1,0076
0,5200;20;2,1298;1,0076
0,5200;21;1,3143;0,8658
0,5200;22;2,1298;0,0261
