agentId;time;posX;posZ;speed
1;0,1200;-17,5791;4,3068;1,6487
2;0,1200;-18,3582;3,4261;0,1752
3;0,1200;-16,6132;9,2045;0,1604
4;0,1200;-19,0448;9,4841;0,1683
5;0,1200;-18,9143;6,3317;0,1741
6;0,1200;-13,4375;8,3286;0,1332
7;0,1200;-11,5575;7,3515;0,1388
8;0,1200;-14,3366;1,9258;0,8195
9;0,1200;-9,8492;3,8343;0,2087
10;0,1200;-11,6125;9,5160;0,2610
11;0,1200;-12,7343;4,2741;0,1328
12;0,1200;-6,7205;9,9349;0,1693
13;0,1200;-4,1603;9,1087;0,1743
14;0,1200;-3,3440;9,9059;0,2311
15;0,1200;-6,6139;1,9565;0,1238
16;0,1200;-6,4347;2,9730;0,1270
17;0,1200;-5,9277;2,7552;0,1932
18;0,1200;4,4730;2,1158;0,2731
19;0,1200;-0,9445;5,6846;0,1240
20;0,1200;0,7696;2,6968;0,2189
21;0,1200;0,1715;6,9614;0,1964
22;0,1200;3,2392;5,1996;0,1990
23;0,1200;-1,5521;7,0983;1,1604
24;0,1200;11,3820;8,2012;0,1477
25;0,1200;9,5786;7,9543;1,0117
26;0,1200;6,4831;5,5868;0,1383
27;0,1200;9,4523;7,2057;0,2665
28;0,1200;9,7613;2,4498;0,1884
29;0,1200;9,9061;8,5892;0,1286
30;0,1200;12,6632;5,0234;0,1217
31;0,1200;13,5244;7,9366;0,1556
32;0,1200;15,2697;2,6037;0,1298
33;0,1200;16,1296;7,5110;0,2149
34;0,1200;16,8866;3,6986;0,2193
35;0,1200;18,7981;8,5956;0,1637
36;0,1200;18,5257;7,2385;0,2099
37;0,1200;-14,6669;-3,1218;0,0937
38;0,1200;-19,2516;-4,6740;0,2059
39;0,1200;-19,5510;-5,8277;0,3200
40;0,1200;-17,2955;-9,0765;0,1527
41;0,1200;-17,2652;-4,5762;0,1999
42;0,1200;-9,6195;-6,4564;0,2038
43;0,1200;-11,3562;-4,2666;0,1527
44;0,1200;-8,5236;-5,4138;0,2775
45;0,1200;-13,0978;-9,4567;0,1910
47;0,1200;-7,3556;-8,4483;0,2749
48;0,1200;-5,5118;-2,5176;0,2082
49;0,1200;-3,7105;-2,4536;0,1762
50;0,1200;-2,5530;-7,5836;0,1277
51;0,1200;-5,9304;-3,0694;0,1851
52;0,1200;3,2932;-7,4297;0,1315
53;0,1200;1,3449;-7,7899;0,1984
55;0,1200;2,3413;-8,8476;0,1541
56;0,1200;8,8663;-2,4784;0,1704
57;0,1200;6,5358;-5,1667;0,1789
58;0,1200;5,7837;-3,2572;0,1755
59;0,1200;8,6747;-4,9679;0,6237
60;0,1200;8,4604;-8,7804;0,1893
61;0,1200;6,6020;-3,7733;0,1594
62;0,1200;12,3821;-6,2813;0,2261
63;0,1200;14,7052;-4,2511;0,1812
64;0,1200;12,9905;-9,3679;0,1649
65;0,1200;10,6070;-9,2728;0,1351
66;0,1200;14,2735;-3,7214;0,1907
68;0,1200;13,1758;-8,3750;0,0443
1;0,2400;-17,5788;4,5025;1,6303
2;0,2400;-18,3460;3,3762;0,4275
3;0,2400;-16,6177;9,1577;0,3914
4;0,2400;-19,0367;9,4355;0,4106
5;0,2400;-18,9032;6,2819;0,4250
6;0,2400;-13,4286;8,2906;0,3251
7;0,2400;-11,5571;7,3823;0,2560
8;0,2400;-14,2885;2,0573;1,1669
9;0,2400;-9,8734;3,7782;0,5093
10;0,2400;-11,6116;9,4395;0,6368
11;0,2400;-12,7236;4,2367;0,3241
12;0,2400;-6,7113;9,8897;0,3850
13;0,2400;-4,1719;9,0590;0,4252
14;0,2400;-3,3636;9,8433;0,5463
15;0,2400;-6,5829;1,9717;0,2878
16;0,2400;-6,4248;2,9406;0,2824
17;0,2400;-5,9029;2,7004;0,5010
18;0,2400;4,4031;2,0919;0,6155
19;0,2400;-0,9441;5,6479;0,3054
20;0,2400;0,7864;2,6350;0,5339
21;0,2400;0,1823;6,9049;0,4793
22;0,2400;3,2210;5,1442;0,4857
23;0,2400;-1,3600;7,0385;1,6766
24;0,2400;11,3601;8,1642;0,3575
25;0,2400;9,7215;7,9224;1,2208
26;0,2400;6,4969;5,5487;0,3377
27;0,2400;9,4437;7,1284;0,6476
28;0,2400;9,7360;2,4009;0,4593
29;0,2400;9,9010;8,5532;0,3034
30;0,2400;12,6790;4,9928;0,2868
31;0,2400;13,5327;7,8918;0,3797
32;0,2400;15,2658;2,5659;0,3166
33;0,2400;16,1202;7,4489;0,5238
34;0,2400;16,8574;3,6414;0,5352
35;0,2400;18,8002;8,5477;0,3994
36;0,2400;18,5573;7,1878;0,4973
37;0,2400;-14,6861;-3,1025;0,2268
38;0,2400;-19,2244;-4,6202;0,5022
39;0,2400;-19,4854;-5,7741;0,7064
40;0,2400;-17,2940;-9,0318;0,3727
41;0,2400;-17,2618;-4,5177;0,4879
42;0,2400;-9,6212;-6,3973;0,4925
43;0,2400;-11,3525;-4,2221;0,3726
44;0,2400;-8,5724;-5,3516;0,6588
45;0,2400;-13,0855;-9,4021;0,4662
46;0,2400;-10,4633;-9,9173;1,0910
47;0,2400;-7,2837;-8,4158;0,6573
48;0,2400;-5,4615;-2,5522;0,5084
49;0,2400;-3,6803;-2,4953;0,4298
50;0,2400;-2,5518;-7,5462;0,3113
51;0,2400;-5,8842;-3,0973;0,4501
52;0,2400;3,2593;-7,4118;0,3198
53;0,2400;1,3085;-7,7447;0,4839
54;0,2400;0,8874;-9,9437;0,4377
55;0,2400;2,3121;-8,8132;0,3761
56;0,2400;8,8422;-2,4348;0,4155
57;0,2400;6,5455;-5,1152;0,4366
58;0,2400;5,8082;-3,2121;0,4279
59;0,2400;8,6599;-5,0670;0,8350
60;0,2400;8,4543;-8,7253;0,4620
61;0,2400;6,6129;-3,7279;0,3890
62;0,2400;12,4075;-6,2202;0,5517
63;0,2400;14,7101;-4,1991;0,4350
64;0,2400;13,0006;-9,3207;0,4022
65;0,2400;10,6303;-9,2413;0,3264
66;0,2400;14,2828;-3,6655;0,4723
67;0,2400;15,7397;-9,9091;0,7483
68;0,2400;13,1844;-8,3831;0,0987
1;0,3600;-17,5780;4,6559;1,2788
2;0,3600;-18,3282;3,3034;0,6246
3;0,3600;-16,6242;9,0894;0,5723
4;0,3600;-19,0250;9,3645;0,6000
5;0,3600;-18,8870;6,2091;0,6213
6;0,3600;-13,4157;8,2351;0,4752
7;0,3600;-11,5566;7,4090;0,2230
8;0,3600;-14,2212;2,1550;0,9893
9;0,3600;-9,9374;3,7352;0,6430
10;0,3600;-11,6103;9,3279;0,9307
11;0,3600;-12,7078;4,1821;0,4737
12;0,3600;-6,6978;9,8302;0,5082
13;0,3600;-4,1888;8,9863;0,6214
14;0,3600;-3,3923;9,7559;0,7665
15;0,3600;-6,5379;1,9867;0,3946
16;0,3600;-6,4145;2,8955;0,3855
17;0,3600;-5,8619;2,6182;0,7651
18;0,3600;4,3116;2,0589;0,8108
19;0,3600;-0,9438;5,5936;0,4525
20;0,3600;0,8108;2,5447;0,7795
21;0,3600;0,1981;6,8223;0,7007
22;0,3600;3,1945;5,0632;0,7102
23;0,3600;-1,1862;6,9507;1,6222
24;0,3600;11,3298;8,1103;0,5161
25;0,3600;9,8415;7,8688;1,0947
26;0,3600;6,5170;5,4930;0,4936
27;0,3600;9,4304;7,0168;0,9367
28;0,3600;9,6991;2,3294;0,6702
29;0,3600;9,8941;8,5042;0,4125
30;0,3600;12,6986;4,9510;0,3850
31;0,3600;13,5449;7,8263;0,5551
32;0,3600;15,2601;2,5107;0,4624
33;0,3600;16,1065;7,3584;0,7628
34;0,3600;16,8147;3,5578;0,7822
35;0,3600;18,8032;8,4777;0,5839
36;0,3600;18,5965;7,1138;0,6983
37;0,3600;-14,7134;-3,0742;0,3271
38;0,3600;-19,1850;-4,5415;0,7330
39;0,3600;-19,4085;-5,6948;0,9203
40;0,3600;-17,2919;-8,9665;0,5448
41;0,3600;-17,2568;-4,4323;0,7131
42;0,3600;-9,6266;-6,3125;0,7081
43;0,3600;-11,3470;-4,1569;0,5447
44;0,3600;-8,6369;-5,2606;0,9294
45;0,3600;-13,0675;-9,3224;0,6814
46;0,3600;-10,4663;-9,7614;1,2995
47;0,3600;-7,1817;-8,3683;0,9374
48;0,3600;-5,3865;-2,6007;0,7447
49;0,3600;-3,6361;-2,5564;0,6278
50;0,3600;-2,5502;-7,4918;0,4537
51;0,3600;-5,8182;-3,1401;0,6551
52;0,3600;3,2104;-7,3855;0,4629
53;0,3600;1,2553;-7,6787;0,7067
54;0,3600;0,8695;-9,8527;0,7727
55;0,3600;2,2694;-8,7629;0,5497
