time;grid_x;grid_z;density
2,020;-18;4;1,0000
2,020;-18;1;1,0000
2,020;-17;7;1,0000
2,020;-19;7;1,0000
2,020;-19;4;1,0000
2,020;-14;6;1,0000
2,020;-12;7;2,0000
2,020;-13;2;2,0000
2,020;-12;1;1,0000
2,020;-7;8;1,0000
2,020;-5;7;2,0000
2,020;-6;1;1,0000
2,020;-7;2;1,0000
2,020;-5;1;1,0000
2,020;3;1;1,0000
2,020;-1;4;1,0000
2,020;1;1;1,0000
2,020;0;6;1,0000
2,020;2;3;1,0000
2,020;-1;6;1,0000
2,020;10;6;2,0000
2,020;7;4;1,0000
2,020;8;4;1,0000
2,020;8;1;1,0000
2,020;9;7;1,0000
2,020;12;4;1,0000
2,020;13;6;1,0000
2,020;14;1;1,0000
2,020;15;7;1,0000
2,020;15;1;1,0000
2,020;18;6;1,0000
2,020;18;5;1,0000
2,020;-16;-3;1,0000
2,020;-19;-3;1,0000
2,020;-19;-4;1,0000
2,020;-18;-8;1,0000
2,020;-18;-3;1,0000
2,020;-11;-5;1,0000
2,020;-12;-3;1,0000
2,020;-10;-3;1,0000
2,020;-13;-8;1,0000
2,020;-11;-9;1,0000
2,020;-5;-8;1,0000
2,020;-4;-4;1,0000
2,020;-3;-5;1,0000
2,020;-3;-7;1,0000
2,020;-5;-5;1,0000
2,020;3;-7;1,0000
2,020;0;-7;1,0000
2,020;0;-9;1,0000
2,020;1;-8;1,0000
2,020;8;-2;1,0000
2,020;6;-4;1,0000
2,020;6;-2;1,0000
2,020;8;-5;1,0000
2,020;8;-7;1,0000
2,020;7;-3;1,0000
2,020;13;-4;1,0000
2,020;14;-3;1,0000
2,020;12;-9;1,0000
2,020;11;-9;1,0000
2,020;14;-2;1,0000
2,020;15;-8;1,0000
2,020;13;-9;1,0000
4,040;-18;4;1,0000
4,040;-17;0;1,0000
4,040;-17;5;1,0000
4,040;-19;5;1,0000
4,040;-18;1;1,0000
4,040;-13;4;1,0000
4,040;-11;5;1,0000
4,040;-13;1;1,0000
4,040;-11;0;1,0000
4,040;-12;7;1,0000
4,040;-12;1;1,0000
4,040;-6;8;1,0000
4,040;-6;4;1,0000
4,040;-5;5;1,0000
4,040;-5;0;1,0000
4,040;-6;1;1,0000
4,040;-4;0;1,0000
4,040;3;1;1,0000
4,040;0;2;1,0000
4,040;3;0;1,0000
4,040;1;6;1,0000
4,040;1;2;1,0000
4,040;0;6;1,0000
4,040;10;5;1,0000
4,040;9;5;2,0000
4,040;7;2;1,0000
4,040;8;0;2,0000
4,040;13;2;1,0000
4,040;14;5;1,0000
4,040;15;0;1,0000
4,040;15;7;1,0000
4,040;14;0;1,0000
4,040;18;4;1,0000
4,040;18;2;1,0000
4,040;-16;-3;1,0000
