time;evacuated_count
7,200;1
7,760;2
8,420;3
9,820;4
10,640;5
11,500;6
12,860;7
13,280;8
13,580;9
14,240;10
15,300;11
15,900;12
16,800;13
17,920;14
19,340;15
20,320;16
20,360;17
21,460;18
22,180;19
22,720;20
23,320;21
23,520;22
23,980;23
24,160;24
24,560;25
24,840;26
25,480;27
25,900;28
26,500;29
26,920;30
27,600;31
28,000;32
28,400;33
29,160;34
29,660;35
29,780;36
30,420;37
30,500;38
31,060;39
31,160;40
31,800;41
33,160;42
34,060;43
34,900;44
35,380;45
35,980;46
37,340;47
37,780;48
38,760;49
39,980;50
40,820;51
42,580;52
44,040;53
45,300;54
48,300;55
51,400;56
62,020;57
72,800;58
