time;density;speed
0,520;0,3183;0,7718
0,520;0,3183;0,7782
0,520;0,3183;0,7138
0,520;0,3183;0,7481
0,520;0,3183;0,7748
0,520;0,3183;0,5928
0,520;0,3183;0,1173
0,520;0,3183;0,8338
0,520;0,3183;1,5562
0,520;0,3183;1,1606
0,520;0,3183;0,5907
0,520;0,3183;0,5717
0,520;0,3183;0,7746
0,520;0,3183;0,9230
0,520;0,9549;0,6333
0,520;0,9549;0,6333
0,520;0,9549;0,6333
0,520;0,3183;0,9169
0,520;0,3183;0,5684
0,520;0,3183;0,9700
0,520;0,3183;0,8739
0,520;0,3183;0,8859
0,520;0,3183;1,5677
0,520;0,3183;0,6347
0,520;0,6366;0,7302
0,520;0,3183;0,6157
0,520;0,3183;1,1563
0,520;0,3183;0,8326
0,520;0,6366;0,7302
0,520;0,3183;0,4028
0,520;0,3183;0,6924
0,520;0,3183;0,5759
0,520;0,3183;0,9385
0,520;0,3183;0,9749
0,520;0,3183;0,7283
0,520;0,3183;0,8399
0,520;0,3183;0,4016
0,520;0,3183;0,9127
0,520;0,3183;1,0567
0,520;0,3183;0,6796
0,520;0,3183;0,8891
0,520;0,3183;0,8664
0,520;0,3183;0,6791
0,520;0,3183;1,1240
0,520;0,3183;0,8498
0,520;0,3183;1,2467
0,520;0,3183;1,1462
0,520;0,6366;0,8727
0,520;0,3183;0,7823
0,520;0,3183;0,5634
0,520;0,6366;0,8727
0,520;0,3183;0,5648
0,520;0,3183;0,8800
0,520;0,3183;0,8619
0,520;0,3183;0,6854
0,520;0,3183;0,7543
0,520;0,3183;0,7958
0,520;0,6366;0,7431
0,520;0,3183;0,2534
0,520;0,3183;0,8425
0,520;0,6366;0,7431
0,520;0,3183;1,0058
0,520;0,6366;0,8276
0,520;0,6366;0,4325
0,520;0,3183;0,5753
0,520;0,6366;0,8276
0,520;0,3183;1,1473
0,520;0,6366;0,4325
1,040;0,3183;0,4627
1,040;0,3183;1,1154
1,040;0,3183;1,0320
1,040;0,3183;1,0809
1,040;0,3183;1,1194
1,040;0,3183;0,8570
1,040;0,6366;0,9036
1,040;0,3183;0,9270
1,040;0,3183;1,6690
1,040;0,6366;0,9036
1,040;0,3183;0,8521
1,040;0,3183;0,6402
1,040;0,6366;1,1814
1,040;0,6366;1,1814
1,040;0,9549;0,8262
1,040;0,9549;0,8262
1,040;0,9549;0,8262
1,040;0,3183;1,0060
1,040;0,3183;0,8428
1,040;0,3183;1,1753
1,040;0,6366;1,4118
1,040;0,3183;1,2793
1,040;0,6366;1,4118
1,040;0,3183;0,8809
1,040;0,6366;0,8237
1,040;0,3183;0,8894
1,040;0,3183;1,6394
1,040;0,3183;0,7655
1,040;0,6366;0,8237
1,040;0,3183;0,4647
1,040;0,3183;1,0009
1,040;0,3183;0,8143
1,040;0,3183;0,5911
1,040;0,3183;1,4018
1,040;0,3183;1,0528
1,040;0,3183;1,1343
1,040;0,3183;0,5499
1,040;0,3183;1,3112
1,040;0,3183;1,3442
1,040;0,3183;0,9826
1,040;0,3183;1,2811
1,040;0,3183;1,1918
1,040;0,3183;0,9789
1,040;0,3183;1,5323
1,040;0,3183;1,2277
1,040;0,3183;1,0984
1,040;0,3183;1,6023
1,040;0,6366;1,2581
1,040;0,3183;1,1238
1,040;0,3183;0,7849
1,040;0,6366;1,2581
1,040;0,3183;0,4015
1,040;0,3183;1,2533
1,040;0,3183;1,0016
1,040;0,3183;0,9881
1,040;0,3183;0,8728
1,040;0,3183;1,1484
1,040;0,6366;1,0658
1,040;0,3183;0,4726
1,040;0,3183;1,2080
1,040;0,6366;1,0658
1,040;0,3183;1,4527
1,040;0,6366;1,1929
1,040;0,6366;0,5515
1,040;0,3183;0,7902
1,040;0,6366;1,1929
1,040;0,3183;1,1803
1,040;0,6366;0,5515
1,560;0,3183;0,0999
1,560;0,3183;1,2249
1,560;0,3183;1,1627
1,560;0,3183;1,2175
1,560;0,3183;1,2594
1,560;0,3183;0,9647
1,560;0,6366;0,6894
1,560;0,3183;0,9231
1,560;0,3183;1,4937
1,560;0,6366;0,6894
1,560;0,3183;0,9550
1,560;0,3183;0,6542
1,560;0,6366;1,3029
1,560;0,6366;1,3029
1,560;0,9549;0,6188
1,560;0,6366;0,4508
1,560;0,6366;0,8451
1,560;0,3183;0,5188
1,560;0,3183;0,9994
1,560;0,3183;1,1106
1,560;0,6366;0,8948
1,560;0,3183;1,4340
1,560;0,6366;0,8948
1,560;0,6366;0,9565
1,560;0,9549;0,9321
1,560;0,3183;1,0004
1,560;0,3183;1,8279
1,560;0,3183;0,5221
1,560;0,6366;0,9129
1,560;0,3183;0,7175
1,560;0,3183;1,1273
1,560;0,3183;0,8104
1,560;0,3183;0,3907
1,560;0,3183;1,5474
1,560;0,3183;1,1858
1,560;0,3183;1,2583
1,560;0,3183;0,6004
1,560;0,3183;1,4659
1,560;0,3183;1,4484
1,560;0,3183;1,1069
1,560;0,3183;1,4297
1,560;0,3183;1,3199
1,560;0,3183;1,0944
1,560;0,3183;1,6914
1,560;0,3183;1,3822
1,560;0,3183;0,6409
1,560;0,3183;1,7835
1,560;0,6366;1,4063
1,560;0,3183;1,2458
1,560;0,3183;0,8019
1,560;0,6366;1,4063
1,560;0,3183;0,4144
1,560;0,3183;1,1936
1,560;0,3183;1,0336
1,560;0,3183;1,1053
1,560;0,3183;0,5766
1,560;0,3183;1,2878
1,560;0,6366;1,1650
1,560;0,3183;0,2983
1,560;0,3183;1,3320
1,560;0,6366;1,1650
1,560;0,3183;1,6328
1,560;0,6366;1,3198
1,560;0,6366;0,6599
1,560;0,3183;0,8713
1,560;0,6366;1,3198
1,560;0,3183;1,1907
1,560;0,6366;0,6599
2,080;0,6366;0,6611
2,080;0,3183;1,0806
2,080;0,3183;1,1124
2,080;0,3183;1,2580
2,080;0,6366;0,6611
2,080;0,3183;0,9906
2,080;0,6366;0,6837
2,080;0,6366;0,8974
2,080;0,3183;1,4199
2,080;0,6366;0,6837
2,080;0,6366;0,8974
2,080;0,3183;0,6547
2,080;0,6366;1,3092
2,080;0,6366;1,3092
2,080;0,9549;0,6279
2,080;0,6366;0,5618
2,080;0,6366;0,7253
2,080;0,3183;0,1336
2,080;0,3183;1,0427
2,080;0,3183;1,2523
2,080;0,6366;0,5723
2,080;0,3183;0,8252
2,080;0,6366;0,5723
2,080;0,6366;0,9756
2,080;0,9549;0,9703
2,080;0,3183;1,0310
2,080;0,3183;1,8837
2,080;0,3183;0,4648
2,080;0,6366;0,9642
2,080;0,3183;0,9876
2,080;0,3183;1,1645
2,080;0,3183;0,8421
2,080;0,3183;0,2994
2,080;0,3183;1,0426
2,080;0,3183;1,2250
2,080;0,3183;1,2951
2,080;0,3183;0,6089
2,080;0,3183;1,4951
2,080;0,3183;1,4732
2,080;0,3183;0,7014
2,080;0,3183;1,4467
2,080;0,3183;1,3543
2,080;0,3183;1,1145
2,080;0,3183;1,7238
2,080;0,3183;1,4243
2,080;0,3183;0,2563
2,080;0,3183;1,8258
2,080;0,9549;1,3518
2,080;0,6366;1,3633
2,080;0,3183;0,6897
2,080;0,6366;1,4333
2,080;0,3183;0,3946
2,080;0,3183;0,9171
2,080;0,6366;1,0652
2,080;0,6366;1,0652
2,080;0,6366;0,8268
2,080;0,3183;1,3188
2,080;0,6366;0,7897
2,080;0,3183;0,2588
2,080;0,3183;1,3958
2,080;0,9549;0,7008
2,080;0,3183;1,6796
2,080;0,6366;0,6764
2,080;0,3183;0,1465
2,080;0,3183;0,8954
2,080;0,6366;0,6764
2,080;0,3183;1,1885
2,080;0,3183;0,3944
2,600;0,3183;0,1440
2,600;0,3183;0,9380
2,600;0,3183;1,0509
2,600;0,3183;1,2637
2,600;0,3183;1,3025
2,600;0,3183;0,9886
2,600;0,3183;0,7970
2,600;0,6366;0,6763
2,600;0,3183;1,3952
2,600;0,3183;1,2073
2,600;0,6366;0,6763
2,600;0,3183;0,6130
2,600;0,6366;1,2568
2,600;0,6366;1,2568
2,600;0,9549;0,8005
2,600;0,6366;0,6120
2,600;0,6366;0,8969
2,600;0,3183;0,1269
2,600;0,3183;1,0551
2,600;0,3183;0,9755
2,600;0,6366;0,4182
2,600;0,3183;0,4860
2,600;0,6366;0,4182
2,600;0,6366;0,9839
2,600;0,9549;0,9793
2,600;0,3183;1,0361
2,600;0,3183;1,8811
2,600;0,3183;0,6784
2,600;0,6366;0,9823
2,600;0,3183;1,0661
2,600;0,3183;1,1738
2,600;0,3183;0,8220
2,600;0,3183;0,2221
2,600;0,3183;0,6232
2,600;0,3183;1,2352
2,600;0,3183;1,3027
2,600;0,3183;0,5670
2,600;0,6366;1,3078
2,600;0,3183;1,4696
2,600;0,3183;0,3544
2,600;0,6366;1,3078
2,600;0,3183;1,3581
2,600;0,3183;1,0610
2,600;0,3183;1,6963
2,600;0,3183;1,4279
2,600;0,3183;0,2752
2,600;0,3183;1,8165
2,600;0,9549;1,2189
2,600;0,6366;1,1774
2,600;0,3183;0,5421
2,600;0,6366;1,2642
2,600;0,3183;0,3486
2,600;0,3183;0,7363
2,600;0,6366;1,0424
2,600;0,6366;1,0424
2,600;0,9549;0,8582
2,600;1,2732;0,7006
2,600;0,9549;0,8707
2,600;0,6366;0,8188
2,600;0,6366;0,8188
2,600;1,2732;0,7006
2,600;0,3183;1,6813
2,600;0,6366;0,6337
2,600;0,3183;0,1527
2,600;0,3183;0,9023
2,600;0,6366;0,6337
2,600;0,3183;1,1892
2,600;0,3183;0,2201
3,120;0,3183;0,0694
3,120;0,3183;1,0126
3,120;0,3183;1,0439
3,120;0,3183;1,2594
3,120;0,3183;1,2873
3,120;0,3183;0,9997
3,120;0,3183;1,0504
3,120;0,6366;0,5779
3,120;0,3183;1,0762
3,120;0,3183;0,2012
3,120;0,6366;0,5779
3,120;0,3183;0,2847
3,120;0,6366;1,2207
3,120;0,6366;1,2207
3,120;0,9549;0,7238
3,120;0,6366;0,6570
3,120;0,6366;0,8547
3,120;0,3183;0,0804
3,120;0,3183;1,0550
3,120;0,3183;1,4097
3,120;0,6366;0,3116
3,120;0,3183;0,6106
3,120;0,6366;0,3116
3,120;0,6366;0,9842
3,120;0,9549;0,9795
3,120;0,3183;1,0312
3,120;0,6366;1,3828
3,120;0,6366;1,3828
3,120;0,6366;0,9858
3,120;0,3183;1,0682
3,120;0,3183;0,8522
3,120;0,3183;0,7625
3,120;0,3183;0,1745
3,120;0,3183;0,9432
3,120;0,3183;1,2368
3,120;0,3183;1,2993
3,120;0,3183;0,3561
3,120;0,6366;0,9770
3,120;0,6366;0,9770
3,120;0,3183;0,3217
3,120;0,3183;1,2410
3,120;0,6366;1,1502
3,120;0,6366;0,9672
3,120;0,9549;1,0936
3,120;0,3183;1,4479
3,120;0,3183;0,1429
3,120;0,6366;1,1862
3,120;0,9549;0,7643
3,120;1,2732;0,7296
3,120;0,9549;0,9092
3,120;0,9549;0,7643
3,120;0,3183;0,2962
3,120;0,3183;0,9141
3,120;0,6366;0,9271
3,120;0,6366;0,9271
3,120;0,9549;0,7854
3,120;1,2732;0,6631
3,120;0,6366;0,5778
3,120;0,6366;0,9021
3,120;0,6366;0,9021
3,120;0,9549;0,7854
3,120;0,6366;0,9936
3,120;0,6366;0,4380
3,120;0,3183;0,2501
3,120;0,3183;0,9046
3,120;0,9549;0,7948
3,120;0,3183;1,1966
3,120;0,3183;0,1420
3,640;0,3183;0,0665
3,640;0,3183;0,8244
3,640;0,3183;1,1315
3,640;0,3183;1,2736
3,640;0,3183;1,2784
3,640;0,3183;1,0124
3,640;0,3183;1,1391
3,640;0,6366;0,5472
3,640;0,3183;1,3411
3,640;0,3183;0,3385
3,640;0,6366;0,5472
3,640;0,3183;0,2511
3,640;0,6366;1,2515
3,640;0,6366;1,2515
3,640;0,6366;1,0825
3,640;0,3183;0,3571
3,640;0,6366;1,0825
3,640;0,3183;0,0765
3,640;0,3183;1,0482
3,640;0,3183;1,6228
3,640;0,6366;0,2498
3,640;0,3183;0,9528
3,640;0,6366;0,2498
3,640;0,9549;0,7307
3,640;0,9549;0,7307
3,640;0,3183;1,0211
3,640;0,6366;1,4648
3,640;0,6366;1,4648
3,640;0,9549;0,7307
3,640;0,3183;1,0616
3,640;0,3183;0,4952
3,640;0,3183;0,9113
3,640;0,3183;0,1477
3,640;0,3183;1,0769
3,640;0,3183;1,2344
3,640;0,3183;1,2899
3,640;0,3183;0,3482
3,640;0,6366;0,9551
3,640;0,6366;0,9551
3,640;0,3183;0,1756
3,640;0,3183;1,0852
3,640;0,6366;1,0333
3,640;0,6366;1,1165
3,640;0,9549;1,0282
3,640;0,3183;1,4428
3,640;0,3183;0,0478
3,640;0,9549;0,5759
3,640;0,9549;0,6560
3,640;1,2732;0,7307
3,640;1,2732;0,6740
3,640;1,5915;0,6187
3,640;0,3183;0,2577
3,640;0,6366;0,7273
3,640;0,6366;0,8108
3,640;0,9549;0,7395
3,640;0,6366;0,7250
3,640;0,9549;0,5357
3,640;0,6366;0,5252
3,640;0,3183;0,9775
3,640;0,3183;0,6534
3,640;0,3183;0,8962
3,640;0,6366;0,6527
3,640;0,6366;0,4745
3,640;0,3183;0,2708
3,640;0,3183;0,9047
3,640;0,9549;0,4827
3,640;0,3183;1,1929
3,640;0,3183;0,1171
4,160;0,6366;0,6524
4,160;0,6366;1,2807
