time;agentId;headwayDistance;headwayVelocity
0,2600;1;1,3951;0,4275
0,2600;2;1,3951;1,6303
0,2600;3;2,4323;0,4106
0,2600;4;2,4323;0,3914
0,2600;5;2,1844;1,6303
0,2600;6;2,0730;0,2560
0,2600;7;2,0365;0,6368
0,2600;8;2,6566;0,3241
0,2600;9;2,8801;0,3241
0,2600;10;2,0365;0,2560
0,2600;11;2,6566;1,1669
0,2600;12;2,6681;0,4252
0,2600;13;1,1233;0,5463
0,2600;14;1,1233;0,4252
0,2600;15;0,9716;0,2824
0,2600;16;0,5804;0,5010
0,2600;17;0,5804;0,2824
0,2600;18;3,2630;0,4857
0,2600;19;1,4383;1,6766
0,2600;20;3,4809;0,3054
0,2600;21;1,5199;1,6766
0,2600;22;3,2630;0,6155
0,2600;23;1,4383;0,3054
0,2600;24;1,5068;0,3034
0,2600;25;0,6499;0,3034
0,2600;26;3,3080;0,4857
0,2600;27;0,8578;1,2208
0,2600;28;3,9308;0,2868
0,2600;29;0,6499;1,2208
0,2600;30;3,0186;0,3797
0,2600;31;2,1962;0,3575
0,2600;32;1,9141;0,5352
0,2600;33;2,4589;0,4973
0,2600;34;1,9141;0,3166
0,2600;35;1,3810;0,4973
0,2600;36;1,3810;0,3994
0,2600;37;2,9306;0,4879
0,2600;38;1,1816;0,7064
0,2600;39;1,1816;0,5022
0,2600;40;3,9211;0,7064
0,2600;41;1,9603;0,5022
0,2600;42;1,4751;0,6588
0,2600;43;2,7769;0,4925
0,2600;44;1,4751;0,4925
0,2600;45;2,6665;1,0910
0,2600;46;2,6665;0,4662
0,2600;47;3,1040;0,4925
0,2600;48;0,6896;0,4501
0,2600;49;1,7776;0,5084
0,2600;50;3,8573;0,4839
0,2600;51;0,6896;0,5084
0,2600;52;1,6881;0,3761
0,2600;53;1,4687;0,3761
0,2600;54;1,8117;0,3761
0,2600;55;1,4687;0,4839
0,2600;56;2,5705;0,3890
0,2600;57;1,3877;0,3890
0,2600;58;0,9533;0,3890
0,2600;59;2,1094;0,4366
0,2600;60;2,2435;0,3264
0,2600;61;0,9533;0,4279
0,2600;62;2,3107;0,0987
0,2600;63;0,6840;0,4723
0,2600;64;0,9440;0,0987
0,2600;65;2,2435;0,4620
0,2600;66;0,6840;0,4350
0,2600;67;2,7964;0,4022
0,2600;68;0,9440;0,4022
0,5200;1;1,7446;0,7782
0,5200;2;1,7446;0,7718
0,5200;3;2,3848;0,7481
0,5200;4;2,3848;0,7138
0,5200;5;1,8389;0,7718
0,5200;6;1,9724;0,1173
0,5200;7;1,7134;1,1606
0,5200;8;2,3485;0,5907
0,5200;9;2,5136;0,5907
0,5200;10;1,7134;0,1173
0,5200;11;2,3485;0,8338
0,5200;12;2,6092;0,7746
0,5200;13;1,0800;0,9230
0,5200;14;1,0800;0,7746
0,5200;15;0,8253;0,4689
0,5200;16;0,6975;0,9647
0,5200;17;0,6975;0,4689
0,5200;18;3,0891;0,8859
0,5200;19;1,3006;1,5677
0,5200;20;3,3409;0,9169
0,5200;21;1,2176;1,5677
0,5200;22;3,0891;0,9169
0,5200;23;1,2176;0,8739
0,5200;24;1,3468;0,9874
0,5200;25;0,6676;0,4730
0,5200;26;3,1940;1,1563
0,5200;27;1,0870;0,9874
0,5200;28;4,0859;0,4028
0,5200;29;0,6676;0,9874
0,5200;30;2,9480;0,6924
0,5200;31;2,3043;0,6347
0,5200;32;1,7949;0,9749
0,5200;33;2,5679;0,6924
0,5200;34;1,7949;0,5759
0,5200;35;1,3800;0,8399
0,5200;36;1,3800;0,7283
0,5200;37;2,7911;0,8891
0,5200;38;1,1650;1,0567
0,5200;39;1,1650;0,9127
0,5200;40;3,8658;1,0567
0,5200;41;1,8737;0,9127
0,5200;42;1,3997;1,1240
0,5200;43;2,7195;0,8664
0,5200;44;1,3997;0,8664
0,5200;45;2,5930;1,2467
0,5200;46;2,5930;0,8498
0,5200;47;3,3749;0,8664
0,5200;48;0,7031;0,8133
0,5200;49;1,6944;0,9320
0,5200;50;3,7157;0,8800
0,5200;51;0,7031;0,9320
0,5200;52;1,6300;0,6854
