metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM
total_agents;68
evacuated_agents;58
evacuation_rate;0,8529
rset_100s;72,800
rset_95s;48,300
rset_90s;42,580
rset_50s;26,500
mean_speed_ms;0,4530
std_speed_ms;0,5740
max_speed_ms;2,1227
mean_exit_density_pm2;0,1239
peak_exit_density_pm2;0,9903
mean_global_density_pm2;0,0275
specific_flow_mean_pms;0,0599
specific_flow_peak_pms;0,6662
throughput_ps;0,9341
throughput_Exit_Main_ps;0,7967
collisions_agent_agent;0
collisions_agent_wall;25
mean_headway_m;3,6876
min_headway_m;0,4300
std_headway_m;3,4554
