agentId;time;posX;posZ;speed
2;0,1200;-17,8156;7,4008;0,1875
3;0,1200;-18,0612;3,7700;0,2374
4;0,1200;-18,8977;9,7228;0,2538
5;0,1200;-19,4719;4,3983;0,2784
6;0,1200;-13,1455;5,3057;0,2507
7;0,1200;-11,8823;6,7697;0,2511
8;0,1200;-12,9300;7,6402;0,3132
9;0,1200;-11,0574;3,0123;0,3629
11;0,1200;-10,8299;9,5111;0,3520
12;0,1200;-4,1615;6,8597;0,2928
13;0,1200;-2,7859;9,0153;0,3094
15;0,1200;-5,7138;2,3432;0,2697
16;0,1200;-3,2101;5,0542;0,7701
17;0,1200;-2,7676;4,5891;0,1904
18;0,1200;2,8963;6,6543;0,3458
19;0,1200;0,8348;4,9874;0,4642
20;0,1200;3,8856;4,5057;0,3034
21;0,1200;1,8185;6,7301;0,2372
22;0,1200;-0,0385;8,2989;0,2653
23;0,1200;4,4374;8,1924;0,2654
24;0,1200;7,3939;4,4209;0,1996
25;0,1200;7,5725;2,6420;0,3230
26;0,1200;7,3018;3,1796;0,1853
27;0,1200;11,1800;4,5881;0,3345
28;0,1200;6,5634;6,1035;0,2488
29;0,1200;11,5797;8,3458;0,3310
30;0,1200;15,3171;4,8052;0,2456
31;0,1200;16,5184;3,2587;0,2688
32;0,1200;17,2726;3,1590;0,2661
33;0,1200;15,8390;3,8597;0,2634
34;0,1200;14,1954;4,0831;1,5997
35;0,1200;18,8783;7,0783;0,3659
36;0,1200;18,5776;5,8773;0,2962
37;0,1200;-15,2318;-2,0647;0,1227
38;0,1200;-19,5192;-4,9899;0,3526
39;0,1200;-16,6034;-4,2224;0,2499
40;0,1200;-18,5540;-6,3153;0,2540
41;0,1200;-17,7915;-3,7133;0,1516
42;0,1200;-10,2299;-2,5762;0,3256
43;0,1200;-9,9500;-4,3277;0,3085
45;0,1200;-12,6793;-5,0818;0,2795
46;0,1200;-8,8262;-7,8501;0,2290
47;0,1200;-3,0015;-5,7373;0,2393
48;0,1200;-4,7274;-3,2225;0,3245
50;0,1200;-7,0841;-3,4054;0,3055
51;0,1200;-3,2297;-7,4944;0,2237
52;0,1200;0,8639;-6,1034;0,2912
53;0,1200;2,8979;-2,3519;0,2896
54;0,1200;2,6216;-5,9390;0,2463
