time;agentId;headwayDistance;headwayVelocity
0,2600;1;0,8567;0,5775
0,2600;2;2,5356;0,5775
0,2600;3;1,5032;0,6263
0,2600;4;0,8567;0,7083
0,2600;5;1,5032;0,5415
0,2600;6;1,9179;0,5730
0,2600;7;1,3391;0,7144
0,2600;8;1,3391;0,5730
0,2600;9;3,1030;0,5722
0,2600;10;1,4306;0,8031
0,2600;11;1,4306;0,6933
0,2600;12;2,1341;1,2828
0,2600;13;1,2720;1,0092
0,2600;14;1,2720;0,7055
0,2600;15;3,5827;1,2828
0,2600;16;0,5675;0,4391
0,2600;17;0,5675;1,2828
0,2600;18;1,0637;0,5413
0,2600;19;2,0435;0,5413
0,2600;20;2,3345;0,7891
0,2600;21;1,0637;0,7891
0,2600;22;2,4109;0,5413
0,2600;23;2,1911;0,7891
0,2600;24;1,2365;0,4140
0,2600;25;0,6499;0,4140
0,2600;26;0,6499;0,7470
0,2600;27;3,1455;1,5963
0,2600;28;1,8596;0,4556
0,2600;29;3,8154;0,7627
0,2600;30;1,0628;0,6008
0,2600;31;0,7464;0,6043
0,2600;32;0,7464;0,6147
0,2600;33;0,8893;0,6147
0,2600;34;1,4373;0,5778
0,2600;35;1,2112;0,6754
0,2600;36;1,2112;0,8352
0,2600;37;2,4936;0,5703
0,2600;38;1,6172;0,5798
0,2600;39;1,2630;0,3460
0,2600;40;1,6172;0,7792
0,2600;41;1,2630;0,5703
0,2600;42;1,7786;0,7040
0,2600;43;1,7786;0,7421
0,2600;44;4,3611;0,5226
0,2600;45;2,7836;0,7040
0,2600;46;3,4828;0,5080
0,2600;47;1,7329;0,5101
0,2600;48;2,3550;0,6969
0,2600;49;3,4828;0,5226
0,2600;50;2,3550;0,7403
0,2600;51;1,7329;0,5440
0,2600;52;1,7698;0,5618
0,2600;53;3,5223;0,5618
0,2600;54;1,7698;0,6610
0,2600;55;2,0119;1,1010
0,2600;56;0,6837;0,5569
0,2600;57;0,6837;0,4818
0,2600;58;1,4961;0,5774
0,2600;59;1,1573;0,7431
0,2600;60;1,1573;0,4827
0,2600;61;1,3844;0,4827
0,2600;62;1,0195;0,8406
0,2600;63;1,0020;0,4877
0,2600;64;2,0161;0,3198
0,2600;65;2,0730;0,3198
0,2600;66;1,0195;0,4437
0,2600;67;1,0020;0,3198
0,2600;68;1,2798;0,4877
0,5200;1;0,8224;0,9281
0,5200;2;2,4037;0,9281
0,5200;3;1,4039;0,9751
0,5200;4;0,8224;1,1015
0,5200;5;1,4039;0,8737
0,5200;6;1,8746;0,9262
0,5200;7;1,2781;1,1446
0,5200;8;1,2781;0,9262
0,5200;9;3,1117;0,9246
0,5200;10;1,4007;1,2979
0,5200;11;1,4007;1,2735
0,5200;12;2,2274;1,3017
0,5200;13;1,1300;1,4880
0,5200;14;1,1300;1,1376
0,5200;15;3,3907;1,3017
0,5200;16;0,5660;0,7362
0,5200;17;0,5660;1,3017
0,5200;18;1,0236;0,8747
0,5200;19;2,1197;0,8747
0,5200;20;2,2488;1,2749
0,5200;21;1,0236;1,2749
0,5200;22;2,3548;0,8747
0,5200;23;2,2373;1,2749
0,5200;24;1,2130;0,6649
0,5200;25;0,7844;0,6649
0,5200;26;0,7844;1,2074
0,5200;27;3,3554;1,4135
0,5200;28;1,8127;0,7360
0,5200;29;3,9233;1,2248
0,5200;30;1,0075;0,9685
0,5200;31;0,7172;0,9603
0,5200;32;0,7172;1,0003
0,5200;33;0,8382;1,0003
0,5200;34;1,5229;0,9685
0,5200;35;1,1376;1,0886
0,5200;36;1,1376;1,3498
0,5200;37;2,3068;0,9210
0,5200;38;1,5774;0,9371
0,5200;39;1,1833;0,5589
0,5200;40;1,5774;1,1757
0,5200;41;1,1833;0,9210
0,5200;42;1,7907;1,1367
0,5200;43;1,7907;1,1910
0,5200;44;4,2512;0,8447
0,5200;45;2,6514;1,1367
0,5200;46;3,6613;0,9816
0,5200;47;1,6276;0,8211
0,5200;48;2,3319;1,1254
0,5200;49;3,6613;0,8447
0,5200;50;2,3319;1,1945
0,5200;51;1,6276;0,8610
0,5200;52;1,7643;0,9056
0,5200;53;3,3218;0,9056
0,5200;54;1,7643;1,0297
0,5200;55;2,2964;1,2763
0,5200;56;0,6660;0,8750
0,5200;57;0,6660;0,8021
0,5200;58;1,3951;1,5853
0,5200;59;1,0650;1,1776
0,5200;60;1,0650;0,7805
0,5200;61;1,3949;0,8021
0,5200;62;0,8211;1,3529
0,5200;63;1,1779;0,7885
0,5200;64;1,9954;0,7885
0,5200;65;1,8933;0,1289
0,5200;66;0,8211;0,5924
0,5200;67;1,1779;0,1289
0,5200;68;1,3071;0,7885
0,7800;1;0,8010;1,0800
0,7800;2;2,1058;1,1239
0,7800;3;1,3006;1,1096
0,7800;4;0,8010;1,1239
0,7800;5;1,3006;1,0154
0,7800;6;1,8230;1,0800
0,7800;7;1,2423;1,2576
0,7800;8;1,2423;1,0800
0,7800;9;3,1299;1,0776
0,7800;10;1,3760;1,5137
0,7800;11;1,3760;1,3912
0,7800;12;2,2641;1,3201
0,7800;13;1,0090;1,5335
0,7800;14;1,0090;1,3221
0,7800;15;3,1523;1,3201
0,7800;16;0,6709;0,8344
0,7800;17;0,6709;1,3201
0,7800;18;0,9922;1,0153
0,7800;19;2,1900;1,0153
0,7800;20;2,1500;1,4657
0,7800;21;0,9922;1,4657
0,7800;22;2,2861;1,0153
0,7800;23;2,2950;1,4657
0,7800;24;1,1875;0,7872
0,7800;25;0,9298;0,7872
0,7800;26;0,9298;1,3585
0,7800;27;3,3000;0,8574
0,7800;28;1,7560;0,8574
0,7800;29;4,0623;1,4117
0,7800;30;0,9475;1,1228
0,7800;31;0,7008;1,0961
0,7800;32;0,7008;1,1797
0,7800;33;0,7757;1,1797
0,7800;34;1,4064;1,1228
0,7800;35;1,0507;1,2656
0,7800;36;1,0507;1,5734
0,7800;37;2,0528;1,0719
0,7800;38;1,4252;1,3933
0,7800;39;1,0931;0,6509
0,7800;40;1,4252;1,3239
0,7800;41;1,0931;1,0719
0,7800;42;1,7831;1,3228
0,7800;43;1,7831;1,3210
0,7800;44;4,1497;0,9850
0,7800;45;2,4946;1,3228
0,7800;46;3,8824;1,3228
0,7800;47;1,5068;0,9498
0,7800;48;2,3063;1,3113
0,7800;49;3,7589;0,9498
0,7800;50;2,3063;1,3881
0,7800;51;1,5068;0,9568
0,7800;52;1,5746;1,6053
0,7800;53;3,1242;1,6053
0,7800;54;1,5746;0,9958
0,7800;55;2,3917;1,6053
0,7800;56;0,6627;0,9916
0,7800;57;0,6627;0,9670
0,7800;58;1,4410;1,4801
0,7800;59;0,9586;1,3622
0,7800;60;0,9586;0,9100
0,7800;61;1,2685;0,9670
0,7800;62;0,4979;1,5240
0,7800;63;1,5097;1,2471
0,7800;64;1,9275;1,2471
0,7800;65;1,6703;0,1969
0,7800;66;0,4979;0,4815
0,7800;67;1,2828;1,3199
0,7800;68;1,2828;1,2471
1,0400;1;0,7866;1,1464
1,0400;2;1,7890;1,1310
1,0400;3;1,2004;1,1627
1,0400;4;0,7866;1,1310
1,0400;5;1,2004;1,0725
1,0400;6;1,7309;1,2155
1,0400;7;1,2685;1,3743
1,0400;8;1,2685;1,2155
1,0400;9;3,1353;1,1431
1,0400;10;1,3561;1,6075
1,0400;11;1,3561;1,4415
1,0400;12;2,2931;1,3215
1,0400;13;0,8979;1,5481
1,0400;14;0,8979;1,3974
1,0400;15;2,7061;1,3215
1,0400;16;0,7505;0,8506
1,0400;17;0,7505;1,3215
1,0400;18;1,0964;0,9793
1,0400;19;2,2955;0,9793
1,0400;20;2,0530;1,2800
1,0400;21;1,0964;1,2800
1,0400;22;2,1869;0,9793
1,0400;23;2,2366;1,2800
1,0400;24;1,1627;0,8435
1,0400;25;0,8833;0,8435
1,0400;26;0,8833;0,8125
1,0400;27;3,0690;0,9090
1,0400;28;1,6950;0,9090
1,0400;29;4,2214;1,5306
1,0400;30;0,8889;1,1798
1,0400;31;0,6946;1,1433
1,0400;32;0,6946;1,2650
1,0400;33;0,7173;1,2650
1,0400;34;1,2756;1,1798
1,0400;35;0,9598;1,3408
1,0400;36;0,9598;1,6693
1,0400;37;1,7623;1,1348
1,0400;38;1,2967;1,5252
1,0400;39;1,0057;0,6898
1,0400;40;1,2967;1,3842
1,0400;41;1,0057;1,1348
1,0400;42;1,4606;1,3998
1,0400;43;1,4606;0,4198
1,0400;44;4,0532;1,0458
1,0400;45;2,3311;1,3998
1,0400;46;3,9738;1,3998
1,0400;47;1,3959;0,9943
1,0400;48;2,2809;1,3910
1,0400;49;3,7265;0,9943
1,0400;50;2,2809;1,4655
1,0400;51;1,3959;0,9194
1,0400;52;1,3499;1,4395
1,0400;53;2,8904;1,4395
1,0400;54;1,3499;1,0360
1,0400;55;2,4873;1,4395
1,0400;56;0,6676;1,0408
1,0400;57;0,6676;1,0408
1,0400;58;1,4517;1,3286
1,0400;59;0,8463;1,4411
1,0400;60;0,8463;0,9541
1,0400;61;1,1784;1,0408
1,0400;62;0,4841;0,6924
1,0400;63;1,4988;1,3278
1,0400;64;1,8543;1,3351
1,0400;65;1,4988;0,1603
1,0400;66;0,4841;1,0239
1,0400;67;1,2463;1,3977
1,0400;68;1,2463;1,3351
1,3000;1;0,7764;1,1824
1,3000;2;1,5166;1,1333
1,3000;3;1,1069;1,1858
1,3000;4;0,7764;1,1333
1,3000;5;1,1069;1,1079
1,3000;6;1,5965;1,5453
1,3000;7;1,3314;1,4356
1,3000;8;1,3314;1,5453
1,3000;9;3,0287;1,1757
1,3000;10;1,3405;1,6568
1,3000;11;1,3405;1,4678
1,3000;12;2,2866;1,3115
1,3000;13;0,7932;1,5428
1,3000;14;0,7932;1,4265
1,3000;15;2,2957;1,3115
1,3000;16;0,8021;0,8693
1,3000;17;0,8021;1,3115
1,3000;18;1,4028;0,4006
1,3000;19;2,1798;1,4057
1,3000;20;1,9377;1,5249
1,3000;21;1,4028;1,5249
1,3000;22;1,9202;0,4006
1,3000;23;2,1874;1,5249
1,3000;24;1,1360;0,8497
1,3000;25;0,6378;0,8497
1,3000;26;0,6378;0,5429
1,3000;27;2,6873;0,5429
1,3000;28;1,6322;0,9337
1,3000;29;4,3802;1,5671
1,3000;30;0,8303;1,1820
1,3000;31;0,6767;1,1820
1,3000;32;0,6915;1,3149
1,3000;33;0,6767;1,3149
1,3000;34;1,1367;1,1820
1,3000;35;0,8688;1,3809
1,3000;36;0,8688;1,7152
1,3000;37;1,4769;1,1619
1,3000;38;1,2481;1,3021
1,3000;39;0,9287;0,7077
1,3000;40;1,2481;1,4121
1,3000;41;0,9287;1,1619
1,3000;42;1,0371;1,4314
1,3000;43;1,0371;0,4253
1,3000;44;3,9598;1,0777
1,3000;45;2,1686;1,4314
1,3000;46;3,9598;1,0018
1,3000;47;1,3977;0,9721
1,3000;48;1,8860;1,0308
1,3000;49;3,6868;0,9721
1,3000;50;2,2562;1,4898
