time;agentIdA;agentIdB;type
0,0000;24;-1;Wall
0,0000;56;-1;Wall
0,0200;24;-1;Wall
0,0200;56;-1;Wall
0,0400;56;-1;Wall
0,1800;67;-1;Wall
0,2000;67;-1;Wall
0,2200;67;-1;Wall
0,2400;67;-1;Wall
0,2600;67;-1;Wall
0,4000;31;-1;Wall
0,4000;59;-1;Wall
0,4200;31;-1;Wall
0,4200;59;-1;Wall
0,4400;31;-1;Wall
0,4400;59;-1;Wall
0,4600;31;-1;Wall
0,4600;59;-1;Wall
0,4800;59;-1;Wall
0,5200;65;-1;Wall
0,5400;65;-1;Wall
0,5600;65;-1;Wall
0,5800;65;-1;Wall
0,6000;65;-1;Wall
0,8800;52;-1;Wall
0,9000;52;-1;Wall
0,9200;52;-1;Wall
0,9400;52;-1;Wall
0,9600;52;-1;Wall
0,9800;52;-1;Wall
1,0000;52;-1;Wall
1,0200;52;-1;Wall
1,0400;52;-1;Wall
1,2000;64;-1;Wall
1,2200;64;-1;Wall
2,2000;42;-1;Wall
2,2200;42;-1;Wall
2,2400;42;-1;Wall
2,4000;23;-1;Wall
2,4200;23;-1;Wall
4,1800;21;-1;Wall
4,2000;21;-1;Wall
5,0200;36;-1;Wall
5,0400;36;-1;Wall
5,0600;36;-1;Wall
21,0200;15;-1;Wall
21,0400;15;-1;Wall
