time;density;specific_flow
0,120;0,0000;0,0000
0,240;0,0000;0,0000
0,360;0,0000;0,0000
0,480;0,0000;0,0000
0,600;0,0000;0,0000
0,720;0,0000;0,0000
0,840;0,0000;0,0000
0,960;0,0000;0,0000
1,080;0,0000;0,0000
1,180;0,0000;0,0000
1,300;0,0000;0,0000
1,420;0,0000;0,0000
1,520;0,0000;0,0000
1,640;0,0000;0,0000
1,740;0,0000;0,0000
1,860;0,0000;0,0000
1,960;0,0000;0,0000
2,080;0,0000;0,0000
2,200;0,0000;0,0000
2,320;0,0000;0,0000
2,440;0,1415;0,1139
2,560;0,1415;0,1166
2,660;0,1415;0,1195
2,780;0,1415;0,1218
2,900;0,1415;0,1221
3,000;0,1415;0,1191
3,120;0,1415;0,1135
3,240;0,2829;0,2233
3,360;0,2829;0,2165
3,460;0,2829;0,2083
3,580;0,2829;0,1980
3,700;0,2829;0,1847
3,800;0,2829;0,1709
3,920;0,2829;0,1559
4,040;0,1415;0,0690
4,160;0,1415;0,0707
4,280;0,1415;0,0734
4,380;0,1415;0,0725
4,500;0,1415;0,0692
4,620;0,1415;0,0637
4,740;0,1415;0,0569
4,860;0,1415;0,0495
4,980;0,1415;0,0418
5,100;0,1415;0,0345
5,200;0,1415;0,0282
5,320;0,1415;0,0226
5,440;0,1415;0,0173
5,560;0,2829;0,1763
5,680;0,2829;0,1662
5,800;0,2829;0,1558
5,920;0,1415;0,1391
6,020;0,1415;0,1298
6,140;0,1415;0,1193
6,260;0,1415;0,1068
6,380;0,1415;0,0936
6,500;0,2829;0,2559
6,620;0,2829;0,2354
6,740;0,2829;0,2143
6,840;0,2829;0,1949
6,960;0,2829;0,1757
7,080;0,1415;0,0929
7,200;0,1415;0,0916
7,320;0,1415;0,0861
7,440;0,1415;0,0780
7,560;0,1415;0,0683
7,680;0,1415;0,0582
7,800;0,1415;0,0482
7,920;0,1415;0,0387
8,020;0,1415;0,0308
8,140;0,1415;0,0238
8,260;0,1415;0,0172
8,380;0,0000;0,0000
8,500;0,0000;0,0000
8,620;0,1415;0,1375
8,740;0,1415;0,1334
8,840;0,2829;0,2651
8,960;0,2829;0,2563
9,080;0,2829;0,2453
9,200;0,2829;0,2327
9,320;0,4244;0,3539
9,440;0,4244;0,3376
9,560;0,4244;0,3198
9,660;0,4244;0,3019
9,780;0,5659;0,4074
9,900;0,4244;0,2642
10,020;0,4244;0,2496
10,140;0,4244;0,2526
10,260;0,4244;0,2439
10,360;0,4244;0,2277
10,480;0,5659;0,3960
10,600;0,5659;0,3751
10,720;0,7074;0,5493
10,840;0,7074;0,6034
10,960;0,5659;0,5045
11,080;0,5659;0,4648
11,180;0,5659;0,4133
11,300;0,5659;0,3732
11,420;0,5659;0,4256
11,540;0,5659;0,4199
11,660;0,5659;0,4122
11,780;0,4244;0,2524
11,900;0,4244;0,2584
12,000;0,4244;0,2583
12,120;0,4244;0,2413
12,240;0,2829;0,1355
12,360;0,2829;0,1505
12,480;0,4244;0,3101
12,600;0,2829;0,2093
12,720;0,2829;0,2178
12,820;0,2829;0,2182
12,940;0,2829;0,2086
13,060;0,2829;0,1912
13,180;0,2829;0,1699
13,300;0,1415;0,0838
13,420;0,1415;0,0855
13,540;0,1415;0,0833
13,640;0,2829;0,2410
13,760;0,2829;0,2372
13,880;0,4244;0,3777
14,000;0,5659;0,5354
14,120;0,5659;0,5142
14,240;0,5659;0,4838
14,340;0,5659;0,4380
14,460;0,5659;0,4338
14,580;0,8488;0,6064
14,700;0,8488;0,5332
14,820;0,8488;0,4551
14,940;0,8488;0,4474
15,060;0,7074;0,3706
15,160;0,5659;0,2951
15,280;0,5659;0,3351
15,400;0,7074;0,4170
15,520;0,7074;0,3891
15,640;0,7074;0,3327
15,760;0,7074;0,3492
15,880;0,7074;0,3513
15,980;0,7074;0,3173
16,100;0,7074;0,2878
16,200;0,7074;0,3020
16,320;0,5659;0,2170
16,420;0,7074;0,3295
16,520;0,7074;0,4763
16,640;0,7074;0,5733
16,740;0,7074;0,5738
16,840;0,5659;0,3980
16,940;0,7074;0,5578
17,060;0,7074;0,5183
17,160;0,8488;0,6460
17,260;0,7074;0,5293
17,380;0,7074;0,5567
17,480;0,7074;0,5184
17,580;0,5659;0,3373
17,680;0,5659;0,3162
17,800;0,5659;0,3129
17,900;0,5659;0,2977
18,000;0,5659;0,2544
18,120;0,5659;0,2457
18,220;0,5659;0,2382
18,320;0,5659;0,2413
18,420;0,5659;0,2564
18,540;0,5659;0,2706
18,640;0,7074;0,4567
18,740;0,5659;0,3335
18,860;0,7074;0,4155
18,960;0,7074;0,4230
19,060;0,7074;0,4223
19,160;0,7074;0,4323
19,280;0,7074;0,4304
19,380;0,7074;0,4126
19,480;0,7074;0,3728
19,600;0,7074;0,3250
19,700;0,7074;0,3024
19,800;0,5659;0,2193
19,900;0,5659;0,2370
20,020;0,5659;0,2526
20,120;0,4244;0,1403
20,220;0,4244;0,1555
20,340;0,4244;0,1643
20,440;0,4244;0,1650
20,540;0,4244;0,1589
20,660;0,4244;0,1473
20,760;0,4244;0,1368
20,860;0,4244;0,1318
20,960;0,5659;0,2375
21,080;0,5659;0,2334
21,180;0,5659;0,2292
21,280;0,5659;0,2231
21,400;0,4244;0,1609
21,500;0,4244;0,1706
21,600;0,4244;0,1665
21,700;0,4244;0,1567
21,820;0,4244;0,1466
21,920;0,2829;0,0706
22,020;0,2829;0,0776
22,140;0,2829;0,0816
22,240;0,2829;0,0838
22,340;0,2829;0,0842
22,440;0,2829;0,0825
22,560;0,2829;0,0781
22,660;0,2829;0,0717
22,760;0,4244;0,1914
22,880;0,4244;0,1776
22,980;0,4244;0,1642
23,080;0,4244;0,1539
23,180;0,4244;0,1451
23,300;0,4244;0,1389
23,400;0,4244;0,1437
23,500;0,4244;0,1624
23,620;0,4244;0,1781
23,720;0,4244;0,1896
23,820;0,4244;0,2081
23,920;0,4244;0,2174
24,040;0,4244;0,2142
24,140;0,2829;0,1325
24,240;0,2829;0,1240
24,360;0,2829;0,1250
24,460;0,2829;0,1313
24,560;0,2829;0,1332
24,680;0,2829;0,1305
24,780;0,2829;0,1258
24,880;0,2829;0,1195
24,980;0,2829;0,1110
25,100;0,1415;0,0425
25,200;0,1415;0,0518
25,300;0,1415;0,0570
25,420;0,1415;0,0596
25,520;0,1415;0,0597
25,620;0,1415;0,0581
25,720;0,1415;0,0555
25,840;0,1415;0,0517
25,940;0,1415;0,0473
26,040;0,1415;0,0430
26,160;0,1415;0,0381
26,260;0,1415;0,0333
26,360;0,2829;0,1919
26,460;0,2829;0,1828
26,580;0,2829;0,1721
26,680;0,2829;0,1608
26,780;0,2829;0,1498
26,900;0,2829;0,1374
27,000;0,1415;0,0947
