time;evacuated_count
4,900;1
7,160;2
7,880;3
8,860;4
9,560;5
10,700;6
11,640;7
11,860;8
12,340;9
13,420;10
13,540;11
14,340;12
14,840;13
15,360;14
16,580;15
17,300;16
17,760;17
19,800;18
20,900;19
21,560;20
22,060;21
22,560;22
22,580;23
22,900;24
23,300;25
23,420;26
23,780;27
24,180;28
24,440;29
24,740;30
25,480;31
25,580;32
26,280;33
26,600;34
27,120;35
27,720;36
28,020;37
28,520;38
28,760;39
29,260;40
29,360;41
29,860;42
30,320;43
30,680;44
31,100;45
31,360;46
31,880;47
32,360;48
33,120;49
33,280;50
34,000;51
34,840;52
36,220;53
37,760;54
38,780;55
41,740;56
45,140;57
48,620;58
