metric;value
model_type;SFM
scenario_id;Building
run_id;Building_SFM_run3
total_agents;68
evacuated_agents;58
evacuation_rate;0,8529
rset_100s;48,620
rset_95s;38,780
rset_90s;34,840
rset_50s;24,440
mean_speed_ms;0,4634
std_speed_ms;0,5956
max_speed_ms;2,1037
mean_exit_density_pm2;0,1050
peak_exit_density_pm2;1,1318
mean_global_density_pm2;0,0259
specific_flow_mean_pms;0,0543
specific_flow_peak_pms;0,8219
throughput_ps;1,3986
throughput_Exit_Main_ps;1,1929
collisions_agent_agent;6
collisions_agent_wall;102
mean_headway_m;3,0716
min_headway_m;0,3594
std_headway_m;4,3483
