time;density;speed
0,520;0,3183;0,8336
0,520;0,6366;1,1329
0,520;0,3183;0,5013
0,520;0,3183;0,9182
0,520;0,6366;1,1329
0,520;0,6366;1,0475
0,520;0,3183;0,9935
0,520;0,6366;1,2888
0,520;0,6366;1,2888
0,520;0,3183;1,0081
0,520;0,6366;1,0475
0,520;0,3183;0,9266
0,520;0,3183;0,2211
0,520;0,3183;1,1520
0,520;0,3183;1,3929
0,520;0,6366;0,8460
0,520;0,6366;0,8460
0,520;0,3183;0,9849
0,520;0,3183;1,1181
0,520;0,3183;0,0261
0,520;0,3183;0,8552
0,520;0,3183;0,6964
0,520;0,3183;0,7053
0,520;0,6366;0,8808
0,520;0,3183;0,5901
0,520;0,3183;0,8533
0,520;0,6366;0,8808
0,520;0,3183;1,1998
0,520;0,3183;1,3631
0,520;0,3183;1,2221
0,520;0,3183;1,0169
0,520;0,3183;1,2804
0,520;0,3183;1,0498
0,520;0,3183;0,8463
0,520;0,3183;1,1255
0,520;0,3183;1,1442
0,520;0,3183;1,5638
0,520;0,3183;0,7310
0,520;0,3183;1,2454
0,520;0,3183;1,2833
0,520;0,3183;0,9401
0,520;0,6366;1,1368
0,520;0,3183;1,0642
0,520;0,3183;1,0161
0,520;0,3183;1,0369
0,520;0,6366;1,1368
0,520;0,9549;0,9231
0,520;0,9549;0,9231
0,520;0,3183;1,0709
0,520;0,3183;0,1272
0,520;0,9549;0,9231
0,520;0,3183;1,0010
0,520;0,3183;0,7557
0,520;0,3183;1,1555
0,520;0,3183;1,3187
0,520;0,3183;1,2322
0,520;0,3183;1,1160
0,520;0,3183;1,1236
0,520;0,3183;0,9377
0,520;0,3183;1,0497
0,520;0,3183;0,9455
0,520;0,3183;1,1784
0,520;0,3183;0,6809
0,520;0,3183;1,0425
0,520;0,3183;0,9094
0,520;0,3183;1,3555
0,520;0,3183;1,2519
0,520;0,3183;0,9495
1,040;0,3183;1,0309
1,040;0,3183;1,6466
1,040;0,3183;0,6193
1,040;0,3183;1,0993
1,040;0,3183;1,1550
1,040;0,6366;1,2563
1,040;0,3183;1,2303
1,040;0,6366;1,5859
1,040;0,6366;1,5859
1,040;0,3183;1,2487
1,040;0,6366;1,2563
1,040;0,6366;0,6210
1,040;0,6366;0,6210
1,040;0,3183;0,7471
1,040;0,3183;1,4527
1,040;0,6366;1,0254
1,040;0,6366;1,0254
1,040;0,3183;1,2194
1,040;0,3183;1,3767
1,040;0,3183;0,0292
1,040;0,3183;1,0595
1,040;0,3183;0,8596
1,040;0,3183;0,8103
1,040;0,6366;1,0870
1,040;0,3183;0,7305
1,040;0,3183;0,9509
1,040;0,6366;1,0870
1,040;0,3183;0,4203
1,040;0,3183;1,1958
1,040;0,3183;1,5071
1,040;0,3183;1,2457
1,040;0,3183;1,5844
1,040;0,3183;1,2360
1,040;0,3183;1,0033
1,040;0,3183;1,3933
1,040;0,3183;1,2198
1,040;0,3183;1,3837
1,040;0,3183;0,9030
