agentId;time;posX;posZ;speed
447;7,2000;0,9248;0,5902;1,8624
447;7,3200;0,7028;0,5416;1,8782
447;7,4400;0,4884;0,4910;1,8361
447;7,5600;0,2795;0,4652;1,7181
447;7,6800;0,0790;0,4689;1,6039
447;7,8000;-0,1090;0,4834;1,5720
447;7,9200;-0,2990;0,4986;1,6862
447;8,0200;-0,4680;0,5130;1,7021
447;8,1400;-0,7484;0,5182;1,7126
457;8,2600;-0,6178;1,9946;1,7618
447;8,2600;-0,9592;0,5093;1,7806
457;8,3800;-0,6289;1,7826;1,7881
450;8,3800;0,4906;1,8753;1,5704
457;8,5000;-0,6646;1,5702;1,7888
450;8,5000;0,4786;1,7022;1,3604
457;8,6200;-0,7076;1,3568;1,8232
450;8,6200;0,4778;1,5360;1,4408
439;8,6200;0,0606;1,9970;1,4717
457;8,7400;-0,7397;1,1362;1,8802
450;8,7400;0,4851;1,3540;1,6012
439;8,7400;0,0222;1,8270;1,2551
192;8,7400;0,8578;0,1350;1,3600
457;8,8400;-0,7476;0,9398;2,2520
450;8,8400;0,4900;1,1980;1,5220
439;8,8400;0,0048;1,6866;1,4563
192;8,8400;0,7208;0,1354;1,3701
580;8,9600;0,9222;1,4187;1,1368
457;8,9600;-0,7370;0,6622;1,8759
450;8,9600;0,4710;1,0238;1,4317
439;8,9600;0,0084;1,5218;1,3548
192;8,9600;0,5587;0,1454;1,3473
580;9,0800;0,7868;1,4485;1,1549
457;9,0800;-0,7370;0,4347;1,8880
450;9,0800;0,4566;0,8673;1,3367
439;9,0800;0,0276;1,3662;1,3079
192;9,0800;0,4003;0,1675;1,3259
580;9,2000;0,6401;1,4579;1,2161
457;9,2000;-0,7586;0,2242;1,7704
450;9,2000;0,4098;0,7130;1,3046
439;9,2000;0,0608;1,2080;1,3588
192;9,2000;0,2317;0,1834;1,4262
580;9,3200;0,5016;1,4512;1,0922
457;9,3200;-0,8076;0,0320;1,6573
450;9,3200;0,3608;0,5430;1,4131
439;9,3200;0,0894;1,0632;1,2336
192;9,3200;0,0676;0,1928;1,3314
580;9,4400;0,3921;1,4404;0,8677
450;9,4400;0,3443;0,3944;1,1681
439;9,4400;0,0904;0,9091;1,2665
258;9,4400;0,9391;1,7830;1,2964
192;9,4400;-0,0971;0,2032;1,4248
580;9,5600;0,2901;1,4337;0,8486
460;9,5600;0,9755;0,1261;1,0955
450;9,5600;0,3463;0,2488;1,2804
439;9,5600;0,0684;0,7591;1,2708
258;9,5600;0,7855;1,8133;1,3284
192;9,5600;-0,2797;0,2002;1,5709
580;9,6600;0,2070;1,4342;0,8081
460;9,6600;0,8714;0,1458;1,0643
450;9,6600;0,3520;0,1057;1,5293
439;9,6600;0,0434;0,6343;1,2716
258;9,6600;0,6459;1,8349;1,4696
192;9,6600;-0,4380;0,1915;1,5527
580;9,7800;0,1087;1,4400;0,8358
578;9,7800;-0,5934;1,8600;1,5159
460;9,7800;0,7491;0,1804;1,0499
439;9,7800;0,0220;0,4789;1,3224
258;9,7800;0,4746;1,8578;1,3882
192;9,7800;-0,6810;0,2189;2,0230
580;9,9000;0,0113;1,4551;0,8401
578;9,9000;-0,6266;1,6758;1,5862
460;9,9000;0,6275;0,2232;1,1123
439;9,9000;0,0246;0,3197;1,3611
258;9,9000;0,3121;1,8820;1,3810
192;9,9000;-0,8584;0,2545;1,4913
580;10,0200;-0,1020;1,4820;0,9702
578;10,0200;-0,6400;1,4760;1,6987
460;10,0200;0,4900;0,2790;1,2837
439;10,0200;0,0410;0,1380;1,5746
258;10,0200;0,1450;1,9030;1,4170
580;10,1400;-0,2313;1,5061;1,1495
578;10,1400;-0,6484;1,2826;1,5241
460;10,1400;0,3384;0,3506;1,4531
258;10,1400;-0,0223;1,9232;1,3535
154;10,1400;0,8930;1,3216;1,3943
580;10,2600;-0,3846;1,5292;1,3554
578;10,2600;-0,6942;1,1102;1,4748
460;10,2600;0,1831;0,4282;1,4328
258;10,2600;-0,2048;1,9474;1,5284
154;10,2600;0,7268;1,3364;1,3852
580;10,3600;-0,5307;1,5389;1,5524
578;10,3600;-0,7317;0,9603;1,5915
460;10,3600;0,0500;0,4742;1,3854
286;10,3600;0,9884;0,6370;1,0400
258;10,3600;-0,3505;1,9563;1,4728
154;10,3600;0,5835;1,3505;1,4776
580;10,4800;-0,7169;1,5427;1,5523
578;10,4800;-0,7766;0,7644;1,8014
460;10,4800;-0,1062;0,5019;1,3023
286;10,4800;0,8655;0,6609;1,1435
258;10,4800;-0,5248;1,9620;1,4560
154;10,4800;0,4065;1,3601;1,4887
580;10,6000;-0,8979;1,5438;1,4345
578;10,6000;-0,8263;0,5574;1,6756
460;10,6000;-0,2628;0,5107;1,3520
286;10,6000;0,7323;0,7067;1,2358
258;10,6000;-0,6998;1,9630;1,4700
154;10,6000;0,2298;1,3630;1,4440
578;10,7200;-0,8576;0,3652;1,5992
460;10,7200;-0,4278;0,5098;1,4060
286;10,7200;0,5810;0,7576;1,4091
258;10,7200;-0,8732;1,9620;1,4440
154;10,7200;0,0600;1,3598;1,3343
578;10,8400;-0,8741;0,1760;1,5813
460;10,8400;-0,6571;0,5034;2,0676
286;10,8400;0,4133;0,8138;1,4566
154;10,8400;-0,1134;1,3533;1,5524
460;10,9600;-0,8503;0,4952;1,6166
286;10,9600;0,2515;0,8522;1,4164
154;10,9600;-0,2938;1,3398;1,4951
286;11,0800;0,0874;0,8522;1,3463
154;11,0800;-0,4733;1,3311;1,4887
130;11,0800;0,6165;1,9753;1,3284
286;11,1800;-0,0523;0,8384;1,4170
154;11,1800;-0,6211;1,3306;1,4881
130;11,1800;0,5976;1,8388;1,3967
286;11,3000;-0,2256;0,8138;1,5072
154;11,3000;-0,7972;1,3364;1,4741
130;11,3000;0,5643;1,6742;1,3467
94;11,3000;-0,2404;1,9973;1,0945
286;11,4200;-0,4112;0,7922;1,5720
154;11,4200;-0,9748;1,3446;1,4734
130;11,4200;0,5454;1,5240;1,2017
94;11,4200;-0,2072;1,8756;0,9947
303;11,5400;-0,8133;1,9430;1,1521
286;11,5400;-0,6131;0,7951;2,2762
130;11,5400;0,5390;1,3826;1,1690
94;11,5400;-0,1950;1,7535;1,0240
303;11,6600;-0,8126;1,8032;1,1822
286;11,6600;-0,8313;0,8206;1,5694
130;11,6600;0,5328;1,2430;1,1901
94;11,6600;-0,2034;1,6284;1,0975
404;11,7800;0,6888;1,9132;1,1994
303;11,7800;-0,7944;1,6541;1,3454
130;11,7800;0,5252;1,0932;1,3215
94;11,7800;-0,2290;1,4932;1,1914
404;11,9000;0,5931;1,8042;1,2209
303;11,9000;-0,7620;1,4850;1,4411
130;11,9000;0,5198;0,9327;1,3014
94;11,9000;-0,2654;1,3469;1,2748
404;12,0000;0,5188;1,7082;1,1810
