time;density;speed
7,220;0,3183;1,8923
7,720;0,3183;1,5747
8,220;0,3183;1,7663
8,740;0,3183;1,8802
8,740;0,9549;1,2844
8,740;0,6366;1,4282
8,740;0,3183;1,3600
9,240;1,2732;1,3084
9,240;0,6366;1,5156
9,240;1,2732;1,3375
9,240;1,2732;1,3375
9,240;1,2732;1,4469
9,740;1,2732;1,2709
9,740;0,6366;1,1626
9,740;0,9549;1,3252
9,740;1,5915;1,4649
9,740;0,9549;1,2054
9,740;1,2732;1,7498
10,260;0,9549;1,4529
10,260;0,9549;1,4529
10,260;0,9549;1,3730
10,260;0,9549;1,4529
10,260;0,9549;1,2618
10,760;0,6366;1,5108
10,760;0,9549;1,4339
10,760;0,9549;1,3155
10,760;1,2732;1,3620
10,760;0,9549;1,3787
11,260;0,6366;1,4558
11,260;1,2732;1,3580
11,260;0,9549;1,2136
11,780;0,9549;1,0950
11,780;1,2732;1,4066
11,780;1,2732;1,1191
11,780;0,9549;1,2861
12,280;1,2732;1,1535
12,280;1,2732;1,2351
12,280;0,6366;1,7455
12,280;1,5915;1,1955
12,280;1,2732;1,5415
12,780;1,2732;1,0633
12,780;1,5915;1,1738
12,780;0,9549;1,6662
12,780;1,5915;1,0603
12,780;1,2732;1,4744
13,300;1,2732;1,0204
13,300;0,9549;1,1571
13,300;0,9549;1,1136
13,300;1,2732;1,2036
13,300;1,2732;1,1255
13,800;1,2732;1,1567
13,800;1,2732;1,0992
13,800;1,2732;1,1567
13,800;1,2732;1,2791
13,800;1,2732;1,2396
14,320;1,2732;1,1696
14,320;1,2732;1,0886
14,320;1,9099;1,2312
14,320;1,2732;1,2617
14,320;1,2732;1,1232
14,320;0,6366;1,4438
14,820;1,2732;1,2263
14,820;0,6366;1,1649
14,820;1,2732;1,4228
14,820;0,9549;1,2556
14,820;0,6366;1,3660
15,320;0,9549;1,1867
15,320;0,9549;1,3029
15,320;0,6366;1,4429
15,320;1,2732;1,1425
15,840;0,3183;1,3867
15,840;1,2732;1,2527
15,840;0,9549;1,3187
15,840;1,2732;1,2637
15,840;0,9549;1,0710
16,340;0,6366;1,1604
16,340;0,6366;1,1604
16,340;0,9549;1,3424
16,840;0,9549;1,1504
16,840;0,9549;1,4615
16,840;0,9549;1,3936
16,840;0,6366;1,3407
17,340;0,6366;1,3575
17,340;1,2732;1,2523
17,340;0,6366;1,3700
17,840;1,2732;1,2003
17,840;0,6366;1,3336
17,840;0,6366;1,1710
18,340;1,2732;1,2228
18,340;0,6366;1,1446
18,340;0,9549;1,1076
18,340;0,9549;1,2085
18,340;0,9549;1,2034
18,860;0,3183;0,9354
18,860;1,2732;1,3061
18,860;1,2732;1,1435
18,860;0,9549;1,2252
18,860;1,2732;1,1992
19,360;0,6366;1,0932
19,360;0,9549;1,2562
19,360;0,9549;1,2401
19,360;0,6366;1,0932
19,860;0,9549;1,1798
19,860;0,9549;1,1968
20,360;0,6366;1,0433
20,360;0,6366;1,6652
20,860;0,9549;1,3973
20,860;0,9549;1,1369
20,860;0,9549;1,3777
20,860;0,9549;1,2218
20,860;0,9549;1,1315
21,360;1,2732;1,0321
21,360;1,2732;1,4150
21,360;0,9549;1,5608
21,360;0,9549;1,5608
21,860;0,9549;0,8542
21,860;0,6366;1,1555
21,860;1,2732;0,8051
21,860;1,5915;0,8253
21,860;0,9549;1,2670
22,360;0,9549;0,9845
22,360;1,2732;0,8704
22,360;1,2732;0,9561
22,360;0,9549;0,9470
22,360;1,5915;0,9670
22,880;1,9099;0,9262
22,880;1,5915;1,0151
22,880;1,5915;0,8188
22,880;0,9549;0,9352
22,880;0,9549;0,9352
23,380;1,9099;0,6652
23,380;1,5915;0,7133
23,380;1,2732;1,2245
23,380;1,9099;1,0990
23,380;1,2732;1,1650
23,380;0,9549;0,9982
23,380;0,6366;1,1210
23,880;1,9099;0,6001
23,880;1,9099;0,7354
23,880;1,2732;1,1838
23,880;1,9099;1,1342
23,880;1,9099;0,6985
23,880;1,2732;1,0652
24,380;1,9099;0,7527
24,380;1,5915;0,9261
24,380;1,2732;0,6034
24,380;1,5915;1,1833
24,380;1,9099;0,8944
24,380;2,2282;0,8707
24,880;2,2282;0,8970
24,880;1,5915;0,9831
24,880;1,2732;0,7726
24,880;1,5915;0,8446
24,880;1,5915;1,2148
24,880;2,2282;0,9390
24,880;2,2282;0,8337
24,880;1,9099;0,9227
24,880;1,2732;0,8008
25,380;2,2282;0,7856
25,380;0,9549;0,8588
25,380;1,5915;0,7211
25,380;1,5915;0,7178
25,380;2,2282;0,9498
25,380;2,2282;0,8253
25,380;2,2282;0,8827
25,380;1,2732;0,9232
25,880;1,9099;1,0655
25,880;1,2732;0,9602
25,880;1,5915;1,0911
25,880;0,9549;0,9970
25,880;1,5915;1,1226
25,880;1,9099;1,0945
25,880;1,9099;1,0969
25,880;1,2732;1,0036
26,380;1,9099;1,0612
26,380;1,5915;1,0292
26,380;1,2732;1,2617
26,380;1,2732;1,0633
26,380;1,5915;1,1772
26,380;1,5915;1,1259
26,900;0,9549;0,9221
26,900;0,9549;1,0621
26,900;1,5915;1,1833
26,900;1,5915;1,0362
27,400;1,9099;0,8010
27,400;1,5915;1,0119
27,400;0,9549;0,6351
27,400;1,9099;0,7846
27,400;0,6366;1,2374
27,400;1,5915;0,9941
27,900;1,9099;0,8272
27,900;0,6366;0,6239
27,900;1,9099;0,9894
27,900;1,2732;0,7892
27,900;1,9099;0,7892
27,900;1,5915;0,8710
27,900;1,5915;0,7074
28,400;1,9099;0,8077
28,400;1,5915;1,1083
28,400;1,9099;0,8454
28,400;2,2282;0,6749
28,400;1,9099;0,5725
28,400;1,9099;0,6934
28,400;1,2732;0,9850
28,400;1,9099;0,5595
28,900;1,5915;0,8502
28,900;1,2732;1,0721
28,900;2,2282;0,7570
28,900;1,9099;0,7262
28,900;2,2282;0,7234
28,900;1,5915;0,7495
29,400;1,5915;1,1175
29,400;1,2732;1,1695
29,400;2,2282;1,0597
29,400;1,5915;0,9788
29,400;1,9099;0,8735
29,400;1,9099;0,8034
29,400;1,2732;0,6907
29,900;1,2732;1,1293
29,900;1,2732;1,0888
29,900;0,9549;0,5127
29,900;1,2732;0,5478
29,900;0,9549;0,5875
29,900;1,5915;0,6533
30,400;1,2732;0,7056
30,400;1,5915;0,7160
30,400;0,9549;0,8570
30,400;1,9099;0,7184
30,920;1,5915;1,0931
30,920;1,9099;0,7818
30,920;0,9549;0,8354
30,920;1,5915;0,7285
31,420;1,9099;0,8518
31,420;1,5915;0,9221
31,420;1,2732;0,8648
31,420;1,2732;0,8943
31,920;1,5915;1,0206
31,920;1,9099;0,8410
31,920;1,5915;1,2058
31,920;1,5915;0,7895
31,920;1,2732;0,7182
31,920;0,9549;1,0842
32,440;1,5915;0,9337
32,440;1,5915;0,9331
32,440;1,2732;0,7151
32,440;1,2732;1,0048
32,440;1,9099;0,8603
32,440;1,5915;0,8040
32,440;1,2732;1,1425
32,940;1,9099;1,0375
32,940;1,5915;1,0497
32,940;1,2732;0,9445
32,940;1,9099;0,9770
32,940;1,5915;0,8775
32,940;1,2732;0,9242
33,440;1,9099;1,0772
33,440;1,9099;0,9654
33,440;1,9099;1,0315
33,440;0,9549;0,9300
33,440;1,5915;0,9416
33,440;1,5915;0,8912
33,940;1,5915;0,9271
33,940;2,2282;0,8450
33,940;1,5915;1,0108
33,940;1,5915;0,9240
33,940;1,2732;0,8831
34,440;1,5915;1,0121
34,440;1,5915;1,1430
34,440;1,2732;1,1979
34,440;1,2732;0,9192
34,440;1,9099;0,8701
34,440;1,2732;0,9261
34,940;2,2282;1,0263
34,940;1,5915;0,9956
34,940;1,5915;0,8632
34,940;1,5915;1,0205
34,940;1,9099;0,9505
34,940;1,9099;0,9951
35,440;1,5915;1,0781
35,440;1,5915;0,6651
35,440;1,5915;1,0687
35,440;1,9099;0,8665
35,440;1,9099;0,9096
35,440;1,9099;1,0804
35,440;1,5915;0,8398
35,440;2,2282;0,9570
35,940;1,9099;0,6758
35,940;2,2282;0,7360
35,940;1,5915;0,9524
35,940;1,5915;0,7395
35,940;1,2732;0,9089
35,940;1,5915;1,1037
35,940;1,9099;0,8705
36,440;1,9099;0,8332
36,440;1,9099;0,8609
36,440;0,9549;1,1795
36,440;1,5915;0,9021
36,440;1,5915;1,0630
36,440;1,5915;1,0094
36,940;1,5915;0,7933
36,940;2,5465;0,8396
36,940;1,9099;0,7709
36,940;1,9099;0,8177
36,940;1,2732;1,0464
36,940;0,9549;0,9093
36,940;1,9099;0,9519
36,940;2,2282;0,7721
37,440;1,5915;0,7509
37,440;1,9099;0,9859
37,440;2,2282;0,7561
37,440;2,2282;0,8354
37,440;1,2732;1,1275
37,440;1,2732;1,0760
37,440;2,2282;1,0705
37,440;1,5915;0,7054
37,940;1,2732;0,7122
37,940;1,5915;0,7374
37,940;1,9099;0,9838
37,940;1,5915;0,8696
37,940;0,9549;0,9817
37,940;1,5915;1,2462
37,940;1,5915;1,2513
37,940;1,5915;0,7171
38,440;1,2732;0,8743
38,440;1,2732;0,8743
38,440;1,9099;1,0163
38,440;0,6366;1,0650
38,440;1,2732;1,3066
38,940;1,5915;1,1013
38,940;0,9549;0,9689
38,940;0,6366;1,1545
38,940;1,5915;1,0149
38,940;0,6366;1,1735
39,440;0,9549;1,2205
39,440;0,9549;1,2033
39,440;0,6366;1,2484
39,440;1,5915;0,9921
39,440;0,6366;1,5516
39,940;1,2732;1,0920
39,940;0,3183;1,3600
39,940;1,2732;1,0901
39,940;1,2732;1,1327
39,940;1,5915;0,9648
40,440;0,9549;1,1460
40,440;1,2732;0,8131
40,440;0,9549;0,9224
40,440;1,5915;1,0149
40,440;1,2732;0,9984
40,940;0,9549;0,9727
40,940;0,9549;1,1885
40,940;0,9549;1,0114
40,940;1,2732;1,0936
40,940;1,2732;1,1687
40,940;0,9549;1,1795
41,440;0,9549;0,8883
41,440;1,2732;0,8911
41,440;1,2732;1,1425
41,440;0,6366;1,2631
41,960;1,2732;0,8016
41,960;0,9549;1,0557
