metric;value
model_type;Ghost
scenario_id;Crossing90
run_id;D_003
total_agents;608
rset_100s;184,280
rset_95s;166,600
rset_90s;154,220
rset_50s;91,540
mean_speed_ms;1,1103
std_speed_ms;0,2739
max_speed_ms;3,8297
mean_exit_density_pm2;0,2033
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,3903
specific_flow_mean_pms;0,2337
specific_flow_peak_pms;0,5399
throughput_ps;3,2993
throughput_Exit_West_ps;1,5140
throughput_Exit_South_ps;1,7853
collisions_agent_agent;0
collisions_agent_wall;0
mean_headway_m;0,7611
min_headway_m;0,0657
std_headway_m;0,2914
