time;agentIdA;agentIdB;type
8,9000;258;574;Agent
10,6800;215;574;Agent
10,7000;215;574;Agent
10,7200;215;574;Agent
10,7400;215;574;Agent
11,2000;130;455;Agent
11,2200;130;455;Agent
11,2400;130;455;Agent
11,2600;130;455;Agent
11,2800;130;455;Agent
11,3000;130;455;Agent
11,3200;130;455;Agent
11,6200;94;499;Agent
11,6400;94;499;Agent
11,6600;94;499;Agent
11,6800;94;499;Agent
12,0000;130;514;Agent
12,0200;130;514;Agent
12,0400;130;514;Agent
12,0600;130;514;Agent
12,0800;130;514;Agent
12,1000;130;514;Agent
12,1200;130;514;Agent
12,9600;94;612;Agent
12,9800;94;612;Agent
13,0000;94;612;Agent
13,0200;94;612;Agent
13,0400;94;612;Agent
13,0600;94;612;Agent
13,0800;94;612;Agent
13,1000;94;612;Agent
13,1200;94;612;Agent
13,1400;94;612;Agent
13,1600;94;612;Agent
13,1800;94;612;Agent
13,1800;527;599;Agent
13,2000;94;612;Agent
13,2000;527;599;Agent
13,2200;94;612;Agent
13,2200;527;599;Agent
13,2400;94;612;Agent
13,2400;527;599;Agent
13,2600;94;612;Agent
13,2800;94;612;Agent
13,3000;94;612;Agent
13,3200;94;612;Agent
13,3800;94;612;Agent
13,7000;94;612;Agent
13,8400;205;404;Agent
13,8600;205;404;Agent
13,8800;205;404;Agent
13,9000;205;404;Agent
13,9200;205;404;Agent
14,4400;612;-1;Wall
14,4600;612;-1;Wall
14,5000;612;-1;Wall
14,5200;612;-1;Wall
14,5600;612;-1;Wall
14,5800;612;-1;Wall
15,0000;205;582;Agent
15,0200;205;582;Agent
15,6200;408;586;Agent
15,6400;408;586;Agent
15,6600;582;586;Agent
15,6600;408;586;Agent
15,6800;582;586;Agent
15,6800;408;586;Agent
15,7000;582;586;Agent
15,7000;408;586;Agent
15,7200;582;586;Agent
15,7200;408;586;Agent
15,7400;408;586;Agent
17,4400;95;220;Agent
17,4600;95;220;Agent
17,4800;95;220;Agent
17,5000;95;220;Agent
17,5200;95;220;Agent
17,5200;228;269;Agent
17,5400;95;220;Agent
17,5600;95;220;Agent
17,5800;95;220;Agent
17,6000;95;220;Agent
17,6200;95;220;Agent
17,6400;95;220;Agent
17,6600;95;220;Agent
17,6800;95;220;Agent
17,7400;95;220;Agent
17,7800;95;220;Agent
17,7800;95;582;Agent
17,8000;95;582;Agent
17,8200;95;220;Agent
17,8200;95;582;Agent
17,8400;95;582;Agent
17,8600;95;582;Agent
17,9800;220;582;Agent
18,0000;220;582;Agent
18,0200;220;582;Agent
18,0400;220;582;Agent
18,0600;220;582;Agent
18,6600;408;544;Agent
18,6800;408;544;Agent
18,7000;408;544;Agent
18,7200;408;544;Agent
18,8000;16;163;Agent
18,8200;16;163;Agent
18,8400;16;163;Agent
18,8600;16;163;Agent
18,8800;16;163;Agent
18,9000;16;163;Agent
18,9200;534;582;Agent
18,9400;534;582;Agent
18,9600;534;582;Agent
18,9800;534;582;Agent
19,3000;220;-1;Wall
19,3200;220;-1;Wall
19,3600;220;-1;Wall
19,4200;220;-1;Wall
19,4400;220;-1;Wall
22,7800;257;535;Agent
22,8000;257;535;Agent
22,8200;257;535;Agent
22,8400;257;535;Agent
22,8600;257;535;Agent
23,0400;256;269;Agent
23,0600;256;269;Agent
23,0800;256;269;Agent
23,1000;256;269;Agent
25,8600;272;588;Agent
25,8600;105;432;Agent
25,8800;272;588;Agent
25,8800;105;432;Agent
25,9000;272;588;Agent
25,9000;105;432;Agent
25,9200;272;588;Agent
25,9200;105;432;Agent
25,9400;105;432;Agent
26,4600;443;592;Agent
26,4800;443;592;Agent
26,5000;443;592;Agent
26,5000;92;264;Agent
26,5200;443;592;Agent
26,5200;92;264;Agent
26,5400;92;264;Agent
26,5600;92;264;Agent
26,6600;92;264;Agent
26,6800;92;264;Agent
26,7000;92;264;Agent
26,7200;92;264;Agent
26,7400;92;264;Agent
26,7600;92;264;Agent
26,7800;92;264;Agent
27,0000;575;592;Agent
27,0200;575;592;Agent
27,0400;575;592;Agent
27,0600;575;592;Agent
27,4600;107;477;Agent
27,4800;107;477;Agent
27,5000;107;477;Agent
27,5200;107;477;Agent
27,5400;107;477;Agent
27,5600;92;588;Agent
27,5600;107;477;Agent
27,5800;92;588;Agent
27,5800;107;477;Agent
27,6000;92;588;Agent
27,6000;107;477;Agent
27,6200;92;588;Agent
27,6400;92;588;Agent
27,6600;92;588;Agent
27,6800;92;588;Agent
27,6800;92;264;Agent
27,7000;92;588;Agent
27,7200;92;588;Agent
27,7400;92;588;Agent
27,7600;92;588;Agent
27,7800;92;588;Agent
27,8000;92;588;Agent
27,8200;92;588;Agent
27,8400;92;588;Agent
27,8600;92;588;Agent
28,3200;92;603;Agent
28,3400;92;603;Agent
28,3600;92;603;Agent
28,3800;92;603;Agent
28,4000;92;603;Agent
28,4200;92;603;Agent
28,4400;92;603;Agent
28,4400;116;248;Agent
28,4600;92;603;Agent
28,4600;116;248;Agent
28,4800;92;603;Agent
28,4800;116;248;Agent
28,5000;92;603;Agent
28,5000;116;248;Agent
28,5200;92;603;Agent
28,5200;116;248;Agent
28,5400;92;603;Agent
28,5400;116;248;Agent
28,5600;92;603;Agent
28,5800;92;603;Agent
28,6000;92;603;Agent
28,6200;92;603;Agent
28,6400;92;603;Agent
28,6600;92;603;Agent
28,6800;92;603;Agent
28,7000;92;603;Agent
28,7200;92;603;Agent
28,7400;92;603;Agent
