time;agentId;headwayDistance;headwayVelocity
6,9200;447;2,5502;0,0000
7,1800;447;1,9003;0,0000
7,4400;447;1,3437;0,0000
7,7000;447;1,0661;1,9406
7,7000;450;0,6995;0,0000
7,7000;457;0,6995;1,9406
7,9600;450;0,7594;2,1379
7,9600;457;0,7481;1,9772
8,2200;450;0,8110;2,1379
8,2200;457;0,8110;2,0612
8,4800;450;0,8162;2,1378
8,4800;457;0,8162;2,0612
8,7400;580;0,8692;0,0000
9,0000;580;0,9185;1,4266
9,0000;192;0,9185;1,4579
9,2600;580;0,8014;1,7808
9,2600;192;0,9323;1,4578
9,2600;574;0,4268;0,0000
9,5200;580;0,5375;1,1326
9,5200;192;0,8899;1,4576
9,5200;439;0,5375;1,4576
9,5200;460;0,4833;0,0000
9,5200;574;0,6841;0,0000
9,7800;580;0,5373;0,9397
9,7800;192;0,7917;1,4578
9,7800;439;0,5373;1,4578
9,7800;460;0,5142;1,7426
9,7800;574;0,3462;1,7426
9,7800;286;0,3462;0,8413
10,0400;580;0,6855;1,4290
10,0400;192;0,6855;1,4326
10,0400;439;0,7207;1,4326
10,0400;460;0,5655;1,0670
10,0400;574;0,3908;1,0670
10,0400;286;0,3908;0,5941
10,3000;439;0,7795;1,8152
10,3000;578;0,8114;0,6056
10,3000;460;0,6949;0,8739
10,3000;574;0,4822;0,8739
10,3000;286;0,4822;0,5278
10,3000;130;0,4557;0,0000
10,5600;439;0,6840;1,2307
10,5600;578;0,7812;0,8200
10,5600;460;0,8176;0,9164
10,5600;574;0,5237;0,9164
10,5600;286;0,5237;0,4203
10,5600;130;0,5684;0,4203
10,8200;439;0,5223;1,0208
10,8200;578;0,7825;0,9827
10,8200;460;0,7737;0,9827
10,8200;574;0,4996;0,9376
10,8200;286;0,5223;0,9827
10,8200;130;0,4996;0,7005
10,8200;404;0,3986;0,0000
11,0800;439;0,3573;0,9870
11,0800;574;0,6072;0,7165
11,0800;94;0,5074;0,0000
11,0800;286;0,3573;0,7089
11,0800;130;0,6072;1,0972
11,0800;404;0,4435;0,0000
11,3400;439;0,3775;1,1138
11,3400;154;0,4822;0,0000
11,3400;574;0,4919;0,0000
11,3400;94;0,5942;0,0000
11,3400;499;0,5946;1,3996
11,3400;286;0,3775;0,5448
11,3400;130;0,6004;1,4523
11,3400;404;0,5797;1,0818
11,6000;439;0,4124;1,0332
11,6000;154;0,5857;0,0000
11,6000;94;0,7018;0,0000
11,6000;499;0,5942;1,3541
11,6000;130;0,4306;1,4698
11,6000;404;0,4306;0,9154
11,8600;439;0,4014;1,0332
11,8600;154;0,7449;0,0000
11,8600;94;0,7307;1,3615
11,8600;499;0,4224;0,7628
11,8600;130;0,4207;0,7628
11,8600;303;0,3757;0,0000
11,8600;404;0,4207;1,2270
12,1200;439;0,4354;1,0332
12,1200;154;0,7136;0,0000
12,1200;94;0,7149;0,8752
12,1200;499;0,3631;0,5178
12,1200;303;0,5817;0,0000
12,1200;404;0,3631;0,3429
12,1200;215;0,4852;0,3429
12,3800;154;0,4521;1,5264
12,3800;94;0,7145;0,8544
12,3800;499;0,3635;0,5871
12,3800;303;0,7145;0,8687
12,3800;404;0,3975;0,2936
12,3800;215;0,3635;0,2936
12,3800;599;0,4521;1,2746
12,6400;154;0,3956;0,7823
12,6400;94;0,7161;0,8669
12,6400;499;0,4107;0,0808
12,6400;303;0,7027;1,3200
12,6400;404;0,4569;0,2949
12,6400;454;0,4750;0,0000
12,6400;215;0,4107;0,2949
12,6400;599;0,3956;1,3200
12,6400;514;0,6023;0,9244
12,9000;154;0,4593;0,2906
12,9000;94;0,7701;1,1214
12,9000;499;0,4630;0,2830
12,9000;303;0,4828;1,0767
12,9000;454;0,6086;0,0000
12,9000;215;0,4384;0,0000
12,9000;367;0,3451;0,2906
12,9000;599;0,3451;0,9926
12,9000;514;0,5158;0,0000
13,1600;154;0,4033;0,9042
13,1600;94;0,7922;0,9042
13,1600;499;0,4877;0,4958
13,1600;303;0,4033;1,1497
13,1600;454;0,6378;1,2019
13,1600;215;0,4877;0,6672
13,1600;367;0,4151;0,1062
13,1600;599;0,4151;0,9521
13,1600;527;0,6558;0,4958
13,1600;514;0,4061;0,0000
13,4200;499;0,6161;0,4327
13,4200;303;0,5721;1,2465
13,4200;454;0,6349;0,3487
13,4200;215;0,6161;0,9957
13,4200;367;0,4448;1,2465
13,4200;599;0,4694;0,3016
13,4200;383;0,6025;1,0469
13,4200;527;0,6818;0,4327
13,4200;514;0,5953;0,3487
13,6800;499;0,5291;1,0262
13,6800;303;0,5291;1,2323
13,6800;454;0,4964;0,2688
13,6800;215;0,7073;0,5111
