time;density;specific_flow
4,580;0,0000;0,0000
4,700;0,0000;0,0000
4,820;0,0000;0,0000
4,940;0,0000;0,0000
5,060;0,0000;0,0000
5,180;0,0000;0,0000
5,300;0,0000;0,0000
5,420;0,0000;0,0000
5,540;0,0000;0,0000
5,660;0,0000;0,0000
5,780;0,0000;0,0000
5,900;0,0000;0,0000
6,000;0,0000;0,0000
6,120;0,0000;0,0000
6,240;0,0000;0,0000
6,360;0,0000;0,0000
6,480;0,0000;0,0000
6,600;0,0000;0,0000
6,720;0,0000;0,0000
6,820;0,0000;0,0000
6,940;0,0000;0,0000
7,060;0,0000;0,0000
7,180;0,0000;0,0000
7,300;0,0000;0,0000
7,420;0,0000;0,0000
7,540;0,0000;0,0000
7,640;0,0000;0,0000
7,760;0,0000;0,0000
7,880;0,0000;0,0000
8,000;0,0000;0,0000
8,100;0,0000;0,0000
8,220;0,0000;0,0000
8,340;0,0000;0,0000
8,460;0,0000;0,0000
8,580;0,0000;0,0000
8,700;0,0000;0,0000
8,800;0,0000;0,0000
8,920;0,0000;0,0000
9,040;0,0398;0,0752
9,160;0,0398;0,0752
9,280;0,0398;0,0752
9,400;0,0398;0,0752
9,520;0,0398;0,0752
9,620;0,0796;0,1618
9,740;0,0796;0,1618
9,860;0,0796;0,1618
9,980;0,0796;0,1638
10,100;0,0796;0,1638
10,220;0,0796;0,1638
10,340;0,0398;0,0772
10,440;0,0398;0,0772
10,560;0,0398;0,0772
10,680;0,0000;0,0000
10,800;0,0000;0,0000
10,920;0,0000;0,0000
11,040;0,0000;0,0000
11,140;0,0000;0,0000
11,260;0,0398;0,0619
11,380;0,0398;0,0619
11,500;0,0398;0,0619
11,620;0,0398;0,0619
11,740;0,0398;0,0619
11,860;0,1194;0,1798
11,960;0,1194;0,1798
12,080;0,1592;0,2315
12,200;0,2387;0,3514
12,320;0,1989;0,2895
12,440;0,1989;0,2895
12,560;0,2387;0,3503
12,680;0,2387;0,3503
12,780;0,2387;0,3727
12,900;0,1592;0,2548
13,020;0,1194;0,1975
13,140;0,0796;0,1348
13,260;0,1194;0,1348
13,380;0,1592;0,1348
13,500;0,1194;0,0605
13,600;0,1194;0,0605
13,720;0,1194;0,0605
13,840;0,1194;0,0605
13,960;0,1194;0,0605
14,080;0,1194;0,0605
14,200;0,1592;0,1154
14,320;0,1194;0,1214
14,420;0,0796;0,1214
14,540;0,1194;0,1623
14,660;0,1194;0,1623
14,780;0,1194;0,1623
14,900;0,1194;0,1623
15,020;0,1194;0,1435
15,120;0,1592;0,1435
15,240;0,1989;0,2000
15,360;0,1989;0,2000
15,480;0,1989;0,2000
15,600;0,1989;0,2000
15,720;0,1989;0,2000
15,840;0,1194;0,1240
15,940;0,1989;0,1796
16,040;0,1592;0,1121
16,160;0,1592;0,1121
16,260;0,1194;0,0556
16,360;0,1592;0,1275
16,480;0,1592;0,1275
16,580;0,1592;0,1275
16,680;0,1989;0,1750
16,780;0,1592;0,1750
16,900;0,1592;0,1750
17,000;0,1592;0,1750
17,100;0,1989;0,2324
17,220;0,1592;0,1563
17,320;0,1989;0,1563
17,420;0,1989;0,1563
17,520;0,1989;0,1563
17,640;0,1989;0,1563
17,740;0,1592;0,1088
17,840;0,1194;0,0513
17,960;0,1194;0,0513
18,060;0,1194;0,0513
18,160;0,1592;0,1222
18,280;0,1194;0,1222
18,380;0,1194;0,1222
18,480;0,0796;0,0709
18,580;0,0796;0,0709
18,700;0,1194;0,1310
18,800;0,1194;0,1310
18,900;0,1592;0,1692
19,020;0,1194;0,1692
19,120;0,1194;0,1692
19,220;0,0796;0,0984
19,320;0,0796;0,0984
19,440;0,0796;0,0984
19,540;0,0796;0,0984
19,640;0,0398;0,0382
19,760;0,0398;0,0382
19,860;0,0398;0,0382
19,960;0,0398;0,0382
20,060;0,0796;0,0615
20,180;0,0796;0,0615
20,280;0,0796;0,0615
20,380;0,0796;0,0615
20,500;0,1194;0,1200
20,600;0,1989;0,2341
20,700;0,1989;0,2341
20,800;0,1989;0,2341
20,920;0,1989;0,2341
21,020;0,2785;0,2341
21,120;0,2387;0,2108
21,240;0,2785;0,2688
21,340;0,2387;0,2086
21,440;0,1989;0,1792
21,540;0,2387;0,2184
21,660;0,2387;0,2184
21,760;0,1989;0,2329
21,860;0,1592;0,2329
21,980;0,1989;0,2694
22,080;0,1989;0,2694
22,180;0,1989;0,2694
22,280;0,1592;0,1435
22,400;0,1592;0,1435
22,500;0,1592;0,1435
22,600;0,1194;0,0704
22,720;0,0398;0,0000
22,820;0,0398;0,0000
22,920;0,0796;0,0447
23,040;0,0796;0,0977
23,140;0,1194;0,1618
23,240;0,1194;0,1618
23,340;0,1194;0,1618
23,460;0,1194;0,1618
23,560;0,1194;0,1618
23,660;0,1592;0,2205
23,780;0,1592;0,2205
23,880;0,1194;0,1758
23,980;0,1194;0,1758
24,080;0,0796;0,1227
24,200;0,0398;0,0587
24,300;0,0398;0,0587
24,400;0,0398;0,0587
24,520;0,0398;0,0587
24,620;0,0000;0,0000
24,720;0,0398;0,0460
24,820;0,0796;0,1005
24,940;0,1194;0,1550
25,040;0,1592;0,1864
25,140;0,1592;0,1864
25,260;0,1592;0,1864
25,360;0,1592;0,1864
25,460;0,1592;0,1864
25,560;0,1592;0,1864
25,680;0,1592;0,1864
25,780;0,1592;0,1864
25,880;0,0796;0,1095
26,000;0,1194;0,1366
26,100;0,1194;0,1366
26,200;0,1194;0,1366
26,300;0,1194;0,1366
26,420;0,1592;0,2027
26,520;0,1592;0,2027
26,620;0,1592;0,2027
26,740;0,1989;0,2027
26,840;0,2387;0,2420
26,940;0,1592;0,1447
27,060;0,1592;0,1447
27,160;0,1592;0,1463
27,260;0,1989;0,1989
27,360;0,1592;0,1329
27,480;0,1194;0,1329
27,580;0,1194;0,1329
27,680;0,1194;0,1329
27,800;0,0796;0,0936
27,900;0,1194;0,1344
28,000;0,0796;0,0818
28,100;0,0398;0,0409
28,220;0,0398;0,0409
28,320;0,0398;0,0409
28,420;0,0398;0,0409
28,540;0,0796;0,0869
28,640;0,1194;0,0869
28,740;0,1592;0,1362
28,840;0,1194;0,0953
28,960;0,1592;0,1338
29,060;0,1989;0,1338
29,160;0,2387;0,1921
29,280;0,2387;0,1921
29,380;0,2387;0,1921
29,480;0,2387;0,1921
29,580;0,1989;0,1461
29,700;0,1989;0,1394
29,800;0,1592;0,1394
29,900;0,1592;0,1394
30,020;0,0796;0,0426
30,120;0,0796;0,0426
30,220;0,0796;0,0426
30,320;0,0796;0,0426
30,440;0,0398;0,0426
30,540;0,0398;0,0426
30,640;0,0796;0,0818
30,760;0,0398;0,0392
30,860;0,0398;0,0392
30,960;0,0398;0,0392
31,060;0,1194;0,1158
31,180;0,1194;0,1158
31,280;0,1194;0,1158
31,380;0,1194;0,1158
31,500;0,1592;0,1398
31,600;0,1194;0,1006
31,700;0,1194;0,1006
31,820;0,1194;0,1006
31,920;0,1592;0,1440
32,020;0,1989;0,2105
32,140;0,1592;0,1826
32,240;0,1592;0,1587
32,360;0,1194;0,1099
32,480;0,1194;0,1099
32,600;0,1194;0,1099
32,700;0,1194;0,1099
32,820;0,1194;0,1099
32,940;0,0796;0,0777
33,040;0,0796;0,0777
33,160;0,0796;0,0777
33,280;0,1194;0,0777
33,380;0,1194;0,0777
33,500;0,1592;0,0777
33,620;0,1592;0,0777
33,720;0,2387;0,1548
33,840;0,2785;0,1548
33,960;0,2785;0,1807
34,080;0,2785;0,1355
34,180;0,2387;0,1355
34,300;0,2387;0,1355
34,420;0,2387;0,1355
34,520;0,1989;0,0899
34,640;0,1592;0,0583
34,760;0,1194;0,0583
34,860;0,1194;0,0583
34,980;0,0398;0,0000
35,100;0,0398;0,0365
35,200;0,0398;0,0365
35,320;0,0398;0,0365
35,440;0,0398;0,0365
35,560;0,0398;0,0365
35,660;0,1194;0,0931
35,780;0,1194;0,0931
35,900;0,1194;0,0794
36,000;0,1194;0,0794
36,120;0,1194;0,0794
36,240;0,1194;0,0794
36,340;0,1592;0,1561
36,460;0,2785;0,2302
36,580;0,2785;0,2302
36,680;0,2785;0,2302
36,800;0,3183;0,2929
36,920;0,2785;0,2580
37,040;0,2387;0,2125
37,140;0,2387;0,2125
37,260;0,1989;0,2125
37,380;0,1592;0,1813
37,480;0,1592;0,1919
37,600;0,1592;0,1919
37,720;0,1989;0,2504
37,820;0,1592;0,1925
37,940;0,1989;0,2600
38,060;0,2387;0,2954
38,180;0,2785;0,3516
38,280;0,3581;0,3516
38,400;0,3183;0,2844
38,520;0,2785;0,2259
38,620;0,3183;0,2708
38,740;0,2785;0,2033
38,860;0,2387;0,1679
38,960;0,2387;0,1679
