metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;178,88
rset_95s;163,06
rset_90s;151,58
rset_50s;89,18
mean_speed_ms;1,1115
std_speed_ms;0,4144
max_speed_ms;2,309
mean_exit_density_pm2;0,1373
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0605
specific_flow_mean_pms;0,1408
specific_flow_peak_pms;0,4084
throughput_ps;3,3933
throughput_Exit_West_ps;1,5653
throughput_Exit_South_ps;1,828
collisions_agent_agent;2033
collisions_agent_wall;52
mean_headway_m;0,6181
min_headway_m;0,3169
std_headway_m;0,2057
