time;evacuated_count
9,800;1
11,340;2
11,540;3
12,660;4
12,960;5
13,020;6
13,360;7
13,620;8
13,640;9
13,960;10
13,980;11
14,100;12
14,600;13
14,960;14
15,000;15
15,160;16
15,400;17
15,820;18
16,720;19
16,920;20
17,080;21
17,780;22
18,460;23
18,540;24
18,680;25
18,700;26
19,000;27
19,400;28
19,420;29
19,520;30
19,620;31
19,940;32
20,020;33
20,400;34
20,520;35
20,560;36
20,620;37
21,420;38
21,500;39
21,560;40
21,560;41
22,700;42
23,020;43
23,500;44
23,680;45
23,980;46
24,020;47
24,100;48
24,140;49
24,180;50
24,280;51
24,560;52
24,600;53
24,640;54
24,660;55
25,000;56
25,100;57
25,420;58
25,540;59
25,660;60
26,220;61
26,320;62
26,340;63
26,920;64
26,980;65
27,680;66
27,960;67
28,200;68
28,580;69
28,760;70
29,460;71
29,500;72
29,560;73
30,420;74
31,200;75
31,260;76
31,360;77
31,740;78
32,400;79
32,800;80
32,880;81
33,200;82
33,560;83
33,840;84
33,860;85
34,200;86
34,300;87
34,500;88
34,740;89
35,220;90
35,420;91
35,820;92
35,820;93
36,240;94
36,380;95
36,720;96
37,020;97
37,040;98
37,060;99
37,380;100
37,600;101
37,860;102
38,260;103
38,400;104
38,680;105
38,880;106
39,240;107
39,440;108
39,600;109
40,060;110
40,540;111
40,560;112
40,600;113
40,840;114
41,080;115
41,700;116
41,840;117
42,040;118
42,200;119
42,220;120
42,340;121
42,360;122
42,440;123
43,120;124
43,320;125
43,600;126
43,640;127
43,820;128
44,320;129
44,440;130
44,600;131
44,920;132
44,940;133
45,460;134
45,940;135
45,940;136
46,060;137
46,380;138
46,660;139
46,740;140
46,960;141
47,220;142
47,760;143
48,260;144
48,480;145
48,840;146
48,860;147
48,960;148
49,160;149
49,440;150
49,680;151
49,700;152
50,200;153
50,580;154
50,840;155
51,060;156
51,200;157
52,520;158
52,660;159
52,700;160
52,880;161
53,060;162
53,080;163
53,960;164
54,380;165
54,480;166
54,860;167
54,920;168
55,020;169
55,180;170
55,260;171
55,700;172
56,720;173
56,880;174
57,180;175
57,520;176
57,580;177
57,740;178
57,840;179
58,120;180
58,460;181
58,840;182
58,980;183
59,000;184
59,020;185
59,060;186
59,360;187
59,500;188
59,900;189
60,120;190
60,300;191
60,620;192
60,680;193
60,860;194
61,180;195
61,200;196
61,640;197
61,880;198
62,080;199
62,620;200
62,620;201
62,860;202
63,140;203
64,000;204
64,420;205
64,460;206
64,500;207
65,520;208
65,680;209
65,740;210
65,980;211
66,220;212
66,660;213
66,760;214
67,020;215
67,220;216
67,420;217
67,420;218
67,780;219
67,800;220
67,920;221
68,120;222
68,480;223
68,560;224
68,740;225
69,800;226
70,040;227
70,380;228
70,400;229
70,820;230
70,820;231
70,980;232
71,040;233
71,060;234
71,460;235
72,140;236
72,220;237
72,780;238
72,800;239
72,980;240
73,080;241
73,160;242
73,480;243
73,720;244
73,900;245
74,400;246
74,440;247
74,580;248
74,720;249
75,180;250
75,900;251
76,000;252
76,040;253
76,320;254
76,840;255
76,980;256
78,120;257
78,240;258
78,420;259
78,420;260
79,280;261
79,400;262
79,840;263
79,880;264
80,300;265
80,420;266
80,440;267
80,960;268
81,140;269
81,240;270
81,300;271
81,440;272
81,500;273
81,840;274
82,080;275
82,220;276
82,360;277
82,400;278
82,560;279
82,560;280
82,600;281
82,620;282
83,280;283
83,440;284
83,720;285
83,720;286
84,100;287
84,500;288
84,540;289
84,720;290
85,100;291
85,120;292
85,280;293
85,380;294
85,720;295
85,760;296
87,020;297
87,100;298
87,260;299
87,840;300
87,840;301
87,960;302
88,000;303
88,100;304
88,540;305
88,700;306
88,960;307
89,340;308
89,480;309
89,760;310
90,140;311
90,660;312
91,080;313
91,180;314
91,540;315
92,300;316
92,600;317
92,640;318
92,700;319
92,840;320
93,200;321
93,360;322
93,440;323
93,520;324
93,760;325
93,820;326
93,980;327
94,140;328
94,320;329
94,680;330
94,760;331
95,140;332
95,340;333
95,640;334
96,080;335
96,580;336
96,900;337
97,060;338
97,300;339
97,500;340
97,920;341
97,980;342
98,480;343
98,660;344
98,740;345
98,940;346
99,080;347
99,520;348
99,620;349
100,180;350
100,320;351
100,520;352
100,600;353
100,720;354
101,040;355
101,040;356
101,140;357
101,160;358
101,800;359
101,980;360
102,560;361
103,100;362
103,400;363
104,500;364
104,840;365
104,940;366
104,940;367
105,040;368
105,200;369
105,620;370
105,760;371
106,620;372
106,660;373
106,760;374
106,900;375
106,920;376
107,160;377
107,660;378
107,700;379
107,740;380
107,860;381
107,860;382
108,480;383
108,740;384
109,080;385
109,280;386
109,720;387
109,740;388
110,000;389
110,660;390
111,020;391
111,120;392
111,580;393
112,120;394
112,200;395
112,600;396
112,600;397
112,960;398
113,260;399
114,280;400
114,440;401
114,620;402
114,700;403
114,700;404
114,920;405
115,040;406
115,280;407
115,880;408
115,960;409
115,960;410
116,080;411
116,580;412
117,260;413
117,300;414
117,640;415
117,680;416
118,240;417
118,300;418
118,440;419
119,120;420
119,640;421
119,720;422
