time;agentIdA;agentIdB;type
8,4800;439;447;Agent
8,5000;439;447;Agent
8,5200;439;447;Agent
8,5400;439;447;Agent
9,1200;578;580;Agent
9,1400;578;580;Agent
9,1600;578;580;Agent
9,1800;578;580;Agent
9,2000;578;580;Agent
9,6400;258;578;Agent
9,6600;258;578;Agent
9,6800;258;578;Agent
10,6000;154;578;Agent
10,7000;154;578;Agent
10,7800;154;578;Agent
10,8000;154;578;Agent
10,8600;286;578;Agent
10,9800;286;457;Agent
11,0000;286;457;Agent
11,0200;286;457;Agent
11,0400;286;457;Agent
11,0600;286;457;Agent
11,0800;286;457;Agent
11,5200;404;454;Agent
11,5400;404;454;Agent
11,5600;404;454;Agent
11,5800;404;454;Agent
12,0600;94;455;Agent
12,0800;94;455;Agent
12,1000;94;455;Agent
12,1200;94;455;Agent
12,1400;94;455;Agent
12,1600;94;455;Agent
12,1800;94;455;Agent
12,2000;94;455;Agent
12,2200;154;303;Agent
12,2200;94;455;Agent
12,2400;154;303;Agent
12,2400;94;455;Agent
12,2600;154;303;Agent
12,2600;94;455;Agent
12,2800;94;455;Agent
12,3000;94;455;Agent
12,3200;94;455;Agent
12,3400;94;455;Agent
12,3600;94;455;Agent
12,3800;94;455;Agent
12,4000;94;455;Agent
12,4200;94;455;Agent
12,4400;94;455;Agent
12,4600;94;455;Agent
12,4800;94;455;Agent
12,5000;94;455;Agent
12,5200;94;455;Agent
12,5400;94;455;Agent
12,5400;367;454;Agent
12,5600;94;455;Agent
12,5600;367;454;Agent
12,5600;527;599;Agent
12,5800;94;455;Agent
12,5800;367;454;Agent
12,5800;527;599;Agent
12,6000;94;455;Agent
12,6000;527;599;Agent
12,6200;94;455;Agent
12,6200;527;599;Agent
12,6400;94;455;Agent
12,6400;527;599;Agent
12,6600;94;455;Agent
12,6600;527;599;Agent
12,6800;94;455;Agent
12,6800;527;599;Agent
12,7000;94;455;Agent
12,7000;527;599;Agent
12,7200;94;455;Agent
12,7400;94;455;Agent
12,7600;94;455;Agent
12,7800;94;455;Agent
12,8600;94;455;Agent
13,1600;94;455;Agent
13,1800;94;455;Agent
13,2000;94;455;Agent
13,2200;94;455;Agent
13,2400;94;455;Agent
13,2600;94;455;Agent
13,2800;94;455;Agent
13,3000;94;455;Agent
13,3200;94;455;Agent
13,3400;94;455;Agent
13,3600;94;455;Agent
13,3800;94;455;Agent
13,4000;94;455;Agent
13,4200;94;455;Agent
13,4400;94;455;Agent
13,4600;94;455;Agent
13,4800;94;455;Agent
13,5000;94;455;Agent
13,5200;94;455;Agent
13,5200;303;612;Agent
13,5400;94;455;Agent
13,5600;94;455;Agent
13,5800;94;455;Agent
13,5800;303;455;Agent
13,6000;94;455;Agent
13,6000;303;455;Agent
13,6200;94;455;Agent
13,6200;303;455;Agent
13,6400;94;455;Agent
13,6400;303;455;Agent
15,6800;205;582;Agent
15,7000;205;582;Agent
15,8000;368;451;Agent
15,8200;368;451;Agent
15,8400;368;451;Agent
15,8600;368;451;Agent
16,0400;119;582;Agent
16,0600;119;582;Agent
16,0800;119;582;Agent
16,1000;119;582;Agent
16,1200;119;582;Agent
16,2400;119;124;Agent
16,2600;119;124;Agent
16,2800;119;124;Agent
16,3000;119;124;Agent
16,3200;119;124;Agent
16,5600;124;582;Agent
16,5800;124;582;Agent
16,6000;124;582;Agent
16,6200;124;582;Agent
16,6400;124;582;Agent
17,1400;367;383;Agent
17,1600;367;383;Agent
17,1800;367;383;Agent
17,2800;163;591;Agent
17,3000;163;591;Agent
17,3200;163;591;Agent
17,3400;163;591;Agent
17,3600;163;591;Agent
17,4400;368;408;Agent
19,2200;211;518;Agent
19,2400;211;518;Agent
19,2600;211;518;Agent
19,2800;211;518;Agent
19,7000;194;282;Agent
19,7200;194;282;Agent
19,8000;194;211;Agent
19,8200;194;211;Agent
19,8400;194;211;Agent
19,8600;194;211;Agent
19,8800;194;211;Agent
19,9000;194;211;Agent
24,4400;190;592;Agent
24,6200;190;-1;Wall
24,6800;190;-1;Wall
24,7000;190;-1;Wall
24,7400;190;-1;Wall
25,8200;427;613;Agent
25,8400;427;613;Agent
25,8600;427;613;Agent
25,8800;427;613;Agent
26,6800;413;443;Agent
26,7000;413;443;Agent
26,7200;413;443;Agent
26,7400;413;443;Agent
26,7600;413;443;Agent
26,7800;413;443;Agent
26,8400;107;613;Agent
26,8600;107;613;Agent
26,8800;107;613;Agent
26,9000;107;613;Agent
26,9200;107;613;Agent
27,8800;107;477;Agent
27,9000;107;477;Agent
27,9200;107;477;Agent
27,9400;107;477;Agent
27,9600;107;477;Agent
28,2800;116;248;Agent
28,3000;116;248;Agent
28,3200;116;248;Agent
28,3400;116;248;Agent
28,4000;216;571;Agent
28,4200;216;571;Agent
28,4400;216;571;Agent
28,4600;216;571;Agent
28,4800;216;571;Agent
29,6000;545;571;Agent
29,6200;545;571;Agent
29,6400;545;571;Agent
29,6600;545;571;Agent
30,0200;302;571;Agent
30,0400;302;571;Agent
30,0600;302;571;Agent
30,0800;302;571;Agent
30,1000;302;571;Agent
30,1200;302;571;Agent
30,1400;302;571;Agent
30,1600;302;571;Agent
30,1800;302;571;Agent
30,2000;302;571;Agent
30,2200;302;571;Agent
30,2400;302;571;Agent
30,2600;302;571;Agent
30,2800;302;571;Agent
30,3000;302;571;Agent
30,3200;302;571;Agent
30,3400;302;571;Agent
30,3600;302;571;Agent
30,3800;302;571;Agent
30,4000;302;571;Agent
30,4200;302;571;Agent
30,4400;302;571;Agent
30,4600;302;571;Agent
30,4800;302;571;Agent
30,5000;302;571;Agent
30,5200;302;571;Agent
30,5400;302;571;Agent
30,5600;302;571;Agent
30,5800;302;571;Agent
30,6000;302;571;Agent
30,6200;302;571;Agent
30,6400;302;571;Agent
30,6600;302;571;Agent
30,6800;302;571;Agent
30,7000;302;571;Agent
31,0400;47;216;Agent
31,0600;47;216;Agent
31,0800;47;216;Agent
31,1000;47;216;Agent
31,1200;47;216;Agent
31,1400;47;216;Agent
31,2800;354;548;Agent
31,3000;354;548;Agent
31,3200;354;548;Agent
31,3400;354;548;Agent
31,3600;354;548;Agent
31,3800;354;548;Agent
31,4000;354;548;Agent
31,4200;354;548;Agent
32,3200;327;-1;Wall
32,3400;327;-1;Wall
32,3600;327;-1;Wall
32,3800;327;-1;Wall
32,7600;110;548;Agent
32,7800;110;548;Agent
32,8000;110;548;Agent
32,8200;110;548;Agent
32,8400;110;548;Agent
32,8600;110;548;Agent
32,8800;110;548;Agent
32,9000;110;548;Agent
33,3600;302;-1;Wall
33,3600;110;548;Agent
33,3800;110;548;Agent
33,4000;110;548;Agent
33,4200;110;548;Agent
33,4400;110;548;Agent
33,4600;110;548;Agent
33,4800;110;548;Agent
33,5000;110;548;Agent
33,5200;110;548;Agent
33,5400;110;548;Agent
33,5600;110;548;Agent
33,5800;110;548;Agent
33,6000;110;548;Agent
33,6200;110;548;Agent
34,1200;51;184;Agent
34,1400;51;184;Agent
34,1600;51;184;Agent
34,1800;51;184;Agent
34,2000;51;184;Agent
34,2200;51;184;Agent
34,2400;51;184;Agent
34,2600;51;184;Agent
34,2800;51;184;Agent
34,3000;51;184;Agent
35,5800;292;589;Agent
35,6000;292;589;Agent
35,6200;292;589;Agent
35,6400;292;589;Agent
35,6600;292;589;Agent
35,6800;292;589;Agent
35,7000;292;589;Agent
35,7200;292;589;Agent
35,7400;51;327;Agent
35,7400;292;589;Agent
35,7600;51;327;Agent
35,7600;292;589;Agent
35,7800;51;327;Agent
35,7800;292;589;Agent
35,8000;51;327;Agent
35,8000;292;589;Agent
35,8200;51;327;Agent
35,8200;292;589;Agent
35,8400;51;327;Agent
35,8400;292;589;Agent
35,8600;292;589;Agent
35,8800;292;589;Agent
35,9000;292;589;Agent
35,9200;292;589;Agent
35,9400;292;589;Agent
35,9600;292;589;Agent
36,3600;158;472;Agent
36,3800;158;472;Agent
36,6800;100;292;Agent
36,7000;100;292;Agent
36,7200;100;292;Agent
36,7400;100;292;Agent
36,7600;100;292;Agent
36,7800;100;292;Agent
37,0400;180;306;Agent
37,0600;180;306;Agent
37,0800;180;306;Agent
37,1000;180;306;Agent
37,1200;180;306;Agent
37,1400;180;306;Agent
37,3400;109;472;Agent
37,3600;180;306;Agent
37,3600;109;472;Agent
37,3800;180;306;Agent
37,3800;109;472;Agent
38,6800;210;306;Agent
38,7000;210;306;Agent
38,7200;210;306;Agent
38,7400;210;306;Agent
39,3800;65;620;Agent
39,4000;65;620;Agent
39,4200;65;620;Agent
39,4400;65;620;Agent
39,4600;65;620;Agent
39,6800;156;230;Agent
39,7000;156;230;Agent
39,8800;65;620;Agent
39,9000;65;620;Agent
39,9200;65;620;Agent
39,9400;65;620;Agent
39,9600;65;620;Agent
39,9800;65;620;Agent
40,0000;65;620;Agent
40,0200;65;620;Agent
40,0400;65;620;Agent
40,0600;65;620;Agent
40,0800;65;620;Agent
40,1000;65;620;Agent
40,1200;65;620;Agent
40,1400;65;620;Agent
40,1600;65;620;Agent
40,1800;65;620;Agent
40,2000;65;620;Agent
40,2200;65;620;Agent
40,2400;65;620;Agent
40,2600;65;620;Agent
41,9000;308;597;Agent
41,9200;308;597;Agent
41,9400;308;597;Agent
41,9600;308;597;Agent
41,9800;308;597;Agent
42,6400;65;193;Agent
42,6600;65;193;Agent
43,4600;65;-1;Wall
43,4800;65;-1;Wall
43,5200;65;-1;Wall
43,5400;65;-1;Wall
43,5600;65;-1;Wall
43,5800;65;-1;Wall
43,6200;65;-1;Wall
44,9800;17;121;Agent
45,0000;17;121;Agent
45,0200;17;121;Agent
45,0400;17;121;Agent
45,0600;17;121;Agent
45,0800;17;121;Agent
45,4400;555;564;Agent
45,4600;555;564;Agent
45,4800;555;564;Agent
45,5000;555;564;Agent
47,3200;312;555;Agent
47,3400;312;555;Agent
47,3600;312;555;Agent
47,3800;312;555;Agent
47,4000;312;555;Agent
47,6400;17;263;Agent
49,4000;23;177;Agent
49,4200;23;177;Agent
49,4400;23;177;Agent
49,4600;23;177;Agent
50,3200;41;357;Agent
50,3400;41;357;Agent
50,3600;41;357;Agent
50,3800;41;357;Agent
50,4000;41;357;Agent
50,4200;41;357;Agent
50,4400;41;357;Agent
