time;density;specific_flow
4,580;0,0000;0,0000
4,700;0,0000;0,0000
4,820;0,0000;0,0000
4,940;0,0000;0,0000
5,060;0,0000;0,0000
5,180;0,0000;0,0000
5,300;0,0000;0,0000
5,420;0,0000;0,0000
5,540;0,0000;0,0000
5,660;0,0000;0,0000
5,780;0,0000;0,0000
5,900;0,0000;0,0000
6,000;0,0000;0,0000
6,120;0,0000;0,0000
6,240;0,0000;0,0000
6,360;0,0000;0,0000
6,480;0,0000;0,0000
6,600;0,0000;0,0000
6,720;0,0000;0,0000
6,820;0,0000;0,0000
6,940;0,0000;0,0000
7,060;0,0000;0,0000
7,180;0,0000;0,0000
7,300;0,0000;0,0000
7,420;0,0000;0,0000
7,540;0,0000;0,0000
7,640;0,0000;0,0000
7,760;0,0000;0,0000
7,880;0,0000;0,0000
8,000;0,0000;0,0000
8,100;0,0000;0,0000
8,220;0,0000;0,0000
8,340;0,0000;0,0000
8,460;0,0000;0,0000
8,580;0,0000;0,0000
8,700;0,0000;0,0000
8,800;0,0000;0,0000
8,920;0,0000;0,0000
9,040;0,0000;0,0000
9,160;0,0000;0,0000
9,280;0,0000;0,0000
9,400;0,0000;0,0000
9,520;0,0000;0,0000
9,620;0,0000;0,0000
9,740;0,0000;0,0000
9,860;0,0000;0,0000
9,980;0,0398;0,0641
10,100;0,0398;0,0641
10,220;0,0398;0,0641
10,340;0,0398;0,0641
10,440;0,0796;0,1317
10,560;0,0796;0,1317
10,680;0,0796;0,1317
10,800;0,1194;0,1831
10,920;0,1194;0,1831
11,040;0,0796;0,1190
11,140;0,1194;0,1856
11,260;0,1194;0,1856
11,380;0,1194;0,1674
11,500;0,1592;0,2231
11,620;0,1592;0,2231
11,740;0,1194;0,1717
11,860;0,1194;0,1717
11,960;0,0796;0,1051
12,080;0,0796;0,1051
12,200;0,0796;0,1051
12,320;0,0398;0,0557
12,440;0,0398;0,0557
12,560;0,0796;0,1199
12,680;0,1194;0,1756
12,780;0,1592;0,2125
12,900;0,1592;0,2125
13,020;0,1592;0,2125
13,140;0,1592;0,2125
13,260;0,1989;0,2477
13,380;0,1194;0,1278
13,500;0,1194;0,1278
13,600;0,1194;0,1278
13,720;0,0796;0,0721
13,840;0,1194;0,1101
13,960;0,1194;0,1101
14,080;0,1194;0,1101
14,200;0,1194;0,0749
14,320;0,1194;0,0749
14,420;0,1194;0,0749
14,540;0,1194;0,0749
14,660;0,1194;0,0749
14,780;0,0796;0,0238
14,900;0,0796;0,0238
15,020;0,1194;0,0637
15,120;0,1194;0,0637
15,240;0,1194;0,0637
15,360;0,1592;0,1151
15,480;0,1592;0,1151
15,600;0,1194;0,1151
15,720;0,0796;0,0753
15,840;0,0796;0,0952
15,940;0,1194;0,1614
16,040;0,1989;0,2364
16,160;0,2387;0,2937
16,260;0,2387;0,2937
16,360;0,1989;0,2422
16,480;0,1989;0,2515
16,580;0,1989;0,2515
16,680;0,1989;0,2802
16,780;0,1989;0,2802
16,900;0,1592;0,2140
17,000;0,1592;0,2140
17,100;0,1592;0,2140
17,220;0,1989;0,2627
17,320;0,0796;0,1045
17,420;0,0398;0,0488
17,520;0,0796;0,1006
17,640;0,1989;0,2203
17,740;0,1989;0,2203
17,840;0,1989;0,2203
17,960;0,1989;0,2203
18,060;0,1592;0,1716
18,160;0,1592;0,1716
18,280;0,1592;0,1716
18,380;0,1989;0,2234
18,480;0,1989;0,2234
18,580;0,1592;0,1608
18,700;0,1592;0,1608
18,800;0,1194;0,1037
18,900;0,1989;0,1558
19,020;0,1989;0,1558
19,120;0,1592;0,1558
19,220;0,1592;0,1558
19,320;0,1989;0,1941
19,440;0,1592;0,1422
19,540;0,1592;0,1422
19,640;0,1592;0,1422
19,760;0,1194;0,0673
19,860;0,0398;0,0383
19,960;0,1592;0,2139
20,060;0,1592;0,2139
20,180;0,2387;0,3259
20,280;0,2387;0,3259
20,380;0,1989;0,2876
20,500;0,2387;0,3514
20,600;0,2387;0,3514
20,700;0,2785;0,3514
20,800;0,2387;0,2889
20,920;0,1989;0,2184
21,020;0,1989;0,2184
21,120;0,1194;0,1064
21,240;0,0796;0,0426
21,340;0,1194;0,1179
21,440;0,1194;0,1179
21,540;0,0796;0,0754
21,660;0,0796;0,0754
21,760;0,0796;0,0754
21,860;0,0796;0,1274
21,980;0,0796;0,1274
22,080;0,0796;0,1274
22,180;0,0398;0,0521
22,280;0,1194;0,1568
22,400;0,1592;0,2208
22,500;0,1989;0,2810
22,600;0,2785;0,4188
22,720;0,2387;0,3668
22,820;0,2387;0,3668
22,920;0,2387;0,3668
23,040;0,1989;0,3028
23,140;0,1592;0,2429
23,240;0,1592;0,2429
23,340;0,1592;0,2429
23,460;0,1592;0,2563
23,560;0,0796;0,1317
23,660;0,0796;0,1317
23,780;0,0398;0,0583
23,880;0,0398;0,0583
23,980;0,0796;0,1094
24,080;0,0796;0,1094
24,200;0,0796;0,1094
24,300;0,0796;0,1094
24,400;0,0796;0,1197
24,520;0,0796;0,1197
24,620;0,0796;0,1197
24,720;0,0796;0,1197
24,820;0,1194;0,1640
24,940;0,1194;0,1640
25,040;0,0796;0,1130
25,140;0,1194;0,1558
25,260;0,0796;0,0871
25,360;0,1194;0,1416
25,460;0,1194;0,1416
25,560;0,1194;0,1416
25,680;0,1194;0,1416
25,780;0,1194;0,1416
25,880;0,1194;0,0973
26,000;0,1592;0,1451
26,100;0,1194;0,1023
26,200;0,1194;0,1023
26,300;0,1592;0,1721
26,420;0,1989;0,1721
26,520;0,1989;0,2137
26,620;0,2785;0,3020
26,740;0,2785;0,3020
26,840;0,2785;0,3020
26,940;0,2785;0,3020
27,060;0,2785;0,3020
27,160;0,2785;0,2385
27,260;0,2387;0,1778
27,360;0,1592;0,1299
27,480;0,1989;0,1789
27,580;0,1989;0,1789
27,680;0,2387;0,1789
27,800;0,1989;0,1416
27,900;0,1989;0,1416
28,000;0,1592;0,1073
28,100;0,1194;0,1073
28,220;0,1592;0,1656
28,320;0,1592;0,2297
28,420;0,1989;0,2899
28,540;0,1592;0,2409
28,640;0,1592;0,2409
28,740;0,1989;0,2905
28,840;0,1989;0,2905
28,960;0,1194;0,1738
29,060;0,1592;0,1738
29,160;0,1194;0,1098
29,280;0,1592;0,1098
29,380;0,1592;0,1098
29,480;0,1194;0,0495
29,580;0,1194;0,0495
29,700;0,1592;0,1068
29,800;0,1592;0,1666
29,900;0,1592;0,1666
30,020;0,1194;0,1666
30,120;0,1194;0,1601
30,220;0,1194;0,1601
30,320;0,1592;0,2146
30,440;0,1592;0,2146
30,540;0,1592;0,2146
30,640;0,1592;0,2154
30,760;0,1194;0,1582
30,860;0,1194;0,1582
30,960;0,1194;0,1365
31,060;0,1194;0,1365
31,180;0,1194;0,1365
31,280;0,1194;0,1365
31,380;0,1194;0,1365
31,500;0,1194;0,0820
31,600;0,1194;0,0820
31,700;0,0796;0,0214
31,820;0,0796;0,0214
31,920;0,0796;0,0214
32,020;0,0398;0,0000
32,140;0,0398;0,0320
32,240;0,1592;0,1533
32,360;0,1989;0,2079
32,480;0,1989;0,2079
32,600;0,1989;0,2079
32,700;0,1989;0,2079
32,820;0,1989;0,2079
32,940;0,1989;0,2079
33,040;0,1592;0,1473
33,160;0,0398;0,0472
33,280;0,0796;0,0472
33,380;0,0796;0,0472
33,500;0,0796;0,0472
33,620;0,0796;0,0472
33,720;0,1194;0,0815
33,840;0,1194;0,0815
33,960;0,1989;0,1526
34,080;0,1194;0,1054
34,180;0,1194;0,1054
34,300;0,1592;0,1497
34,420;0,1989;0,2149
34,520;0,2785;0,3023
34,640;0,2785;0,3023
34,760;0,2387;0,2480
34,860;0,2387;0,2753
34,980;0,2387;0,2753
35,100;0,2785;0,3667
35,200;0,2387;0,3224
35,320;0,1592;0,2350
35,440;0,1194;0,1697
35,560;0,1194;0,1354
35,660;0,0796;0,0914
35,780;0,0796;0,0914
35,900;0,1194;0,0465
36,000;0,1194;0,0465
36,120;0,1194;0,0465
36,240;0,1194;0,0465
36,340;0,1194;0,0465
36,460;0,0796;0,0465
36,580;0,1194;0,0465
36,680;0,0796;0,0465
36,800;0,0796;0,0465
36,920;0,0796;0,0465
37,040;0,1194;0,1057
37,140;0,1592;0,1663
37,260;0,1194;0,1198
37,380;0,1194;0,1198
37,480;0,1592;0,2061
37,600;0,1592;0,2061
37,720;0,1592;0,2061
37,820;0,1194;0,1468
37,940;0,1194;0,1468
38,060;0,1592;0,1468
38,180;0,1194;0,0863
38,280;0,0796;0,0296
38,400;0,1194;0,0710
38,520;0,1194;0,0710
38,620;0,1592;0,1091
38,740;0,1592;0,1091
38,860;0,1194;0,1091
38,960;0,1592;0,1495
