time;density;speed
7,120;0,3183;2,0916
7,620;0,3183;2,1091
8,140;0,3183;1,8487
8,660;0,6366;1,9363
8,660;0,6366;0,0000
8,660;0,6366;1,9363
9,160;0,9549;1,1306
9,160;0,9549;1,2737
9,160;0,6366;1,9106
9,660;1,2732;0,8447
9,660;0,9549;1,3117
9,660;0,9549;0,8009
9,660;0,3183;0,0000
10,180;1,2732;0,4512
10,180;0,9549;1,1158
10,180;0,6366;1,1144
10,680;1,2732;0,7503
10,680;1,2732;0,7503
10,680;0,6366;0,7025
10,680;0,6366;1,7006
10,680;1,2732;0,7503
11,180;1,5915;0,7327
11,180;0,9549;0,5794
11,180;1,2732;1,0845
11,180;1,2732;0,6197
11,180;1,2732;0,9719
11,700;0,9549;0,3756
11,700;1,2732;0,2817
11,700;1,2732;0,8567
11,700;1,5915;0,7687
11,700;1,2732;0,9352
11,700;0,9549;0,5079
11,700;1,5915;0,7687
11,700;1,2732;0,2760
12,200;1,9099;0,8606
12,200;2,2282;0,9134
12,200;1,2732;0,7365
12,200;1,5915;1,0327
12,200;1,5915;0,5892
12,200;1,9099;0,8606
12,720;1,2732;1,2491
12,720;0,9549;0,7230
12,720;0,9549;1,2109
12,720;1,2732;0,7142
12,720;1,5915;0,9675
13,220;1,2732;0,8616
13,220;1,5915;0,8721
13,220;1,2732;0,7729
13,220;1,5915;0,8721
13,220;0,6366;0,4570
13,720;1,2732;0,5067
13,720;0,6366;0,7920
13,720;0,9549;1,0135
13,720;1,2732;0,8668
13,720;1,2732;0,4000
13,720;1,2732;0,7044
13,720;1,2732;0,3960
14,240;0,9549;0,6909
14,240;1,5915;0,6071
14,240;0,9549;0,4226
14,240;1,2732;0,5378
14,240;1,5915;0,8320
14,240;1,2732;0,8796
14,240;1,2732;0,8796
14,740;0,6366;1,4180
14,740;0,6366;1,0340
14,740;1,2732;1,0663
14,740;1,9099;1,1654
14,740;1,5915;1,3984
14,740;0,9549;0,9454
15,240;0,6366;0,7065
15,240;1,2732;1,1550
15,240;1,5915;1,2148
15,240;1,2732;0,8357
15,240;0,3183;1,5631
15,760;0,3183;1,2160
15,760;0,3183;1,4142
16,260;0,6366;1,7690
16,260;0,6366;1,4749
16,260;0,6366;1,4749
16,760;1,2732;0,9229
16,760;0,9549;1,2306
16,760;0,9549;1,2306
17,260;0,9549;1,2817
17,260;1,2732;0,9613
17,260;0,9549;1,2817
17,260;0,3183;1,6250
17,260;0,6366;0,8682
17,760;0,9549;1,3021
17,760;0,9549;1,1916
17,760;0,9549;1,0932
17,760;0,6366;1,0975
18,280;0,3183;1,1334
18,280;0,9549;1,3493
18,280;0,9549;1,3215
18,280;0,3183;1,4003
18,780;0,9549;1,2845
18,780;0,6366;1,1507
19,280;0,9549;0,5557
19,280;0,9549;0,5557
19,280;0,9549;1,0466
19,280;1,2732;0,7849
19,780;1,2732;1,4415
19,780;0,9549;0,6206
19,780;0,9549;1,4292
19,780;1,2732;1,2872
20,280;1,2732;1,0194
20,280;0,6366;1,3545
20,280;1,5915;0,4608
20,280;1,2732;1,4108
20,280;1,2732;1,3863
20,780;1,5915;1,0617
20,780;0,9549;1,3521
20,780;1,5915;0,5786
20,780;1,5915;0,8206
21,280;1,2732;0,9094
21,280;1,2732;0,9094
21,280;1,2732;0,5864
21,280;0,9549;0,2750
21,280;1,9099;1,0751
21,280;0,6366;1,1666
21,780;0,6366;0,8260
21,780;1,2732;0,8695
21,780;0,9549;1,0256
22,280;1,2732;1,2611
22,280;0,9549;1,2618
22,280;0,9549;0,7931
22,280;0,6366;1,1672
22,280;0,9549;0,9792
22,800;1,5915;0,9566
22,800;1,2732;1,2208
22,800;1,2732;0,8326
23,300;1,2732;0,9041
23,300;0,9549;1,2055
23,300;0,6366;0,5502
23,300;0,9549;1,2055
23,300;0,9549;0,3714
23,800;1,2732;0,8688
23,800;0,6366;0,8356
23,800;0,6366;1,0178
23,800;0,9549;0,6785
23,800;0,9549;0,8935
24,300;0,9549;0,7700
24,300;0,9549;1,1730
24,300;0,6366;1,3792
24,800;0,9549;0,6867
24,800;0,6366;1,0112
24,800;0,9549;0,6867
24,800;0,6366;1,0112
24,800;0,9549;0,4494
25,300;1,2732;1,2137
25,300;1,5915;1,2418
25,300;1,2732;0,5685
25,300;1,5915;0,8556
25,300;1,2732;0,5685
25,300;1,2732;0,9168
25,800;1,5915;0,7370
25,800;0,9549;1,1163
25,800;1,5915;0,6937
25,800;1,9099;1,0223
25,800;1,5915;0,9507
25,800;0,9549;0,8386
25,800;1,5915;0,5201
26,300;1,5915;0,9192
26,300;1,9099;0,8549
26,300;1,2732;0,9763
26,300;1,2732;0,5060
26,300;1,9099;0,6246
26,300;1,5915;0,6816
26,820;1,9099;0,7270
26,820;1,9099;0,8361
26,820;1,2732;0,5325
26,820;2,2282;0,6232
26,820;1,9099;0,5248
27,320;1,2732;0,9751
27,320;0,6366;1,5267
27,320;1,2732;0,8773
27,320;1,5915;0,7124
27,320;1,2732;0,5833
27,820;1,2732;0,7799
27,820;0,9549;0,8946
27,820;0,9549;1,2724
27,820;1,2732;0,9699
28,320;1,2732;0,6950
28,320;0,6366;1,1975
28,320;0,9549;0,8364
28,320;1,2732;1,2132
28,820;0,6366;1,5526
28,820;1,2732;1,1287
28,820;1,5915;1,1827
28,820;1,2732;1,1047
28,820;0,6366;1,5685
29,320;0,9549;1,5268
29,320;1,2732;1,0218
29,320;0,9549;1,0295
29,320;0,6366;0,6427
29,320;1,5915;1,0609
29,320;1,2732;0,7721
29,820;1,2732;0,8991
29,820;1,5915;0,7692
29,820;1,2732;0,8802
29,820;0,6366;1,4302
29,820;0,9549;1,3696
30,320;1,2732;0,4248
30,320;1,5915;0,3203
30,320;1,5915;0,8454
30,320;1,2732;1,1828
30,320;1,5915;1,1523
30,320;0,9549;0,9392
30,840;1,5915;0,4103
30,840;1,2732;0,9702
30,840;1,5915;0,4971
30,840;1,2732;0,7736
30,840;1,2732;0,7643
30,840;1,5915;0,7551
30,840;0,6366;1,0836
30,840;1,5915;0,6747
31,340;1,2732;0,8078
31,340;1,9099;0,4751
31,340;1,5915;0,7299
31,340;1,2732;0,8078
31,340;1,9099;0,5386
31,340;1,9099;0,3109
31,840;1,2732;0,9041
31,840;1,5915;0,9689
31,840;1,9099;1,0842
31,840;1,5915;1,1421
31,840;1,2732;0,3544
31,840;0,9549;0,9478
32,340;1,2732;0,9700
32,340;0,9549;1,5786
32,340;1,2732;0,8338
32,340;0,9549;1,1374
32,340;0,9549;0,8267
32,340;0,9549;0,4976
32,340;0,9549;0,8267
32,840;1,2732;1,1021
32,840;1,5915;1,1423
32,840;1,5915;0,9903
32,840;0,6366;1,1059
32,840;1,2732;0,8721
33,340;1,2732;0,8230
33,340;1,5915;0,6584
33,340;1,5915;1,0360
33,340;1,5915;1,0360
33,340;1,2732;0,8563
33,840;1,2732;0,9998
33,840;1,5915;1,0644
33,840;1,2732;0,9998
33,840;0,6366;1,0458
33,840;1,2732;0,7717
34,340;0,9549;1,0910
34,340;1,2732;1,0207
34,340;0,9549;1,0910
34,340;0,9549;0,6515
34,340;0,6366;0,6785
34,340;1,2732;0,8694
34,340;0,6366;0,8452
34,840;0,9549;1,4942
34,840;0,9549;1,2613
34,840;0,9549;1,0040
34,840;0,9549;1,1742
34,840;1,5915;0,5505
35,340;0,9549;0,6244
35,340;1,2732;0,4683
35,340;0,6366;0,8702
35,340;1,5915;0,3746
35,840;0,6366;0,8955
35,840;1,2732;0,5372
35,840;1,5915;0,4812
35,840;0,6366;0,8829
36,340;1,2732;1,1896
36,340;1,5915;0,4553
36,340;0,6366;1,2842
36,840;0,6366;1,4490
36,840;0,9549;0,9674
36,840;0,9549;0,9752
36,840;0,9549;0,4125
36,840;0,9549;0,9660
36,840;1,2732;0,9939
37,360;1,2732;0,7743
37,360;1,2732;0,7743
37,360;0,3183;1,0069
37,360;1,2732;0,7743
37,860;0,6366;0,8314
37,860;1,5915;1,1028
37,860;1,2732;0,8635
37,860;1,2732;1,1398
37,860;0,9549;1,0701
37,860;1,5915;0,8838
37,860;0,9549;0,7981
38,360;1,2732;0,9833
38,360;1,2732;0,7847
38,360;1,2732;0,9658
38,360;1,5915;0,8421
38,360;1,2732;0,8598
38,360;0,9549;1,2311
38,860;1,2732;0,6233
38,860;1,2732;0,9219
38,860;1,9099;1,1026
38,860;1,5915;1,1191
38,860;0,9549;1,0568
38,860;1,5915;0,4986
38,860;1,2732;1,1550
39,360;1,2732;1,1340
39,360;1,2732;0,8326
39,360;1,2732;1,1340
39,360;0,9549;1,2585
39,360;1,9099;0,6072
39,360;0,6366;1,3270
39,860;1,5915;0,8177
39,860;1,5915;0,9763
39,860;1,2732;0,6760
39,860;0,6366;0,9747
39,860;0,9549;1,0180
40,360;1,5915;0,6305
40,360;0,9549;0,5803
40,360;1,2732;0,8143
40,360;0,6366;0,5646
40,360;0,6366;0,8196
40,360;0,6366;0,8196
40,360;0,9549;0,5803
40,860;1,2732;0,9953
40,860;0,6366;0,8579
40,860;1,2732;0,7720
40,860;1,2732;0,8268
41,360;0,6366;0,8028
41,360;1,2732;0,8847
41,360;1,5915;0,9156
41,360;1,2732;1,0425
41,360;0,9549;0,9142
41,860;1,2732;0,9957
41,860;1,2732;0,8698
41,860;1,5915;0,9967
41,860;1,2732;0,6105
41,860;1,2732;0,9568
41,860;0,9549;0,8424
41,860;1,9099;0,8349
42,360;0,6366;1,0925
42,360;1,9099;0,8166
42,360;2,2282;1,1127
42,360;1,5915;1,0937
42,360;1,9099;0,8166
42,860;1,5915;0,7137
42,860;1,5915;0,7909
42,860;1,9099;0,8518
42,860;1,9099;0,9801
42,860;0,9549;0,8576
42,860;0,9549;1,2653
42,860;1,5915;0,7909
43,360;1,5915;0,6672
43,360;1,9099;0,3317
43,360;1,9099;0,9565
43,360;1,5915;0,9591
43,360;1,5915;0,6806
43,360;2,2282;0,6572
43,360;0,9549;0,6271
43,860;1,5915;0,6722
43,860;0,9549;1,2952
43,860;1,2732;0,9059
43,860;1,9099;0,8387
43,860;1,9099;0,5749
43,860;1,2732;0,7065
44,360;1,2732;0,6695
44,360;1,2732;1,5937
44,360;1,2732;1,0734
44,360;0,9549;0,4762
44,360;1,2732;1,5937
44,360;1,2732;1,7720
44,360;1,2732;1,1898
44,860;1,2732;0,7273
44,860;1,5915;1,3958
44,860;1,2732;0,7273
44,860;1,5915;1,3958
44,860;1,5915;1,0443
45,360;0,9549;1,0934
45,360;1,2732;0,7110
45,360;0,9549;0,5704
45,360;1,2732;0,7110
45,360;1,5915;0,4539
45,360;0,9549;0,7672
45,860;0,9549;1,0036
45,860;1,2732;0,7890
45,860;1,5915;0,6022
45,860;0,9549;0,7640
45,860;0,9549;0,6504
45,860;1,2732;1,0549
46,360;1,5915;0,7793
46,360;1,5915;0,8343
46,360;1,5915;0,6330
46,360;1,2732;0,6683
46,360;1,5915;0,9111
46,360;0,9549;0,6958
46,880;1,5915;0,8410
46,880;1,2732;0,7233
46,880;1,5915;0,7146
46,880;1,5915;0,8525
46,880;1,5915;0,6846
46,880;1,5915;0,5488
47,380;1,9099;0,6729
47,380;1,5915;0,6863
47,380;1,5915;0,8185
47,380;1,9099;0,6483
47,380;0,6366;0,9151
47,380;1,5915;0,5214
47,380;2,2282;0,4773
47,880;1,5915;0,9709
47,880;1,9099;0,9049
47,880;1,2732;1,0193
47,880;0,6366;0,8314
47,880;0,6366;0,9222
47,880;1,5915;0,7339
47,880;0,9549;0,9802
48,380;0,6366;1,6508
48,380;0,9549;0,9042
48,380;0,9549;0,5288
48,380;0,9549;1,3890
48,880;0,9549;1,4951
48,880;0,9549;0,9999
48,880;1,2732;1,0135
48,880;0,6366;1,6625
49,380;0,9549;1,1429
49,380;0,3183;1,7626
49,380;0,6366;1,0142
49,380;0,6366;1,1059
49,380;0,9549;1,2657
49,880;0,6366;1,3182
49,880;0,3183;1,6498
49,880;0,9549;1,3773
49,880;1,2732;1,1595
49,880;0,6366;1,6275
50,380;0,9549;1,4142
50,380;1,2732;1,0606
50,380;0,6366;1,3953
50,380;1,2732;1,4701
50,880;0,9549;1,4074
50,880;0,9549;1,0523
50,880;0,9549;0,6970
50,880;0,3183;1,6512
50,880;0,6366;0,8725
51,380;1,2732;1,2301
51,380;0,9549;1,7374
51,380;1,5915;1,3214
51,380;1,5915;1,4730
51,380;1,2732;1,6703
51,880;0,9549;1,7605
51,880;1,5915;1,4359
51,880;1,2732;1,7436
51,880;1,2732;1,7436
51,880;0,3183;1,6197
52,380;0,3183;2,0264
52,380;0,6366;0,5998
52,880;0,9549;0,3145
52,880;0,3183;1,8219
52,880;1,5915;0,4818
52,880;0,9549;0,5193
53,380;0,9549;1,1017
53,380;0,9549;0,5774
53,380;0,9549;0,6412
53,380;1,5915;0,3847
53,380;0,9549;1,4168
53,880;0,3183;0,8627
53,880;0,9549;0,8365
53,880;1,2732;0,5692
53,880;1,2732;0,8301
53,880;1,2732;0,9392
53,880;1,2732;0,5692
54,380;0,6366;1,1031
54,380;1,5915;0,4462
54,380;0,9549;0,6797
54,380;0,9549;0,7354
54,380;1,9099;0,1359
54,880;0,6366;0,8704
54,880;1,5915;0,6483
54,880;0,9549;0,5803
54,880;1,2732;1,0361
54,880;1,5915;0,3522
54,880;1,9099;0,5402
54,880;1,5915;1,1811
55,380;1,2732;1,0614
55,380;1,2732;1,1382
55,380;1,9099;1,1405
55,380;1,5915;0,5804
55,380;1,2732;1,0003
55,380;1,5915;1,2819
55,380;1,5915;0,5804
55,880;1,2732;1,0114
55,880;1,2732;1,0400
55,880;1,9099;0,4638
55,880;1,2732;0,9802
55,880;1,5915;0,4899
55,880;0,6366;0,8612
56,400;0,9549;0,7592
56,400;1,9099;0,9721
56,400;1,9099;1,1465
56,400;1,9099;0,7696
56,400;1,5915;0,6259
56,400;1,2732;0,9751
56,400;1,9099;1,0067
56,900;1,5915;0,6659
56,900;1,5915;0,6977
56,900;1,2732;0,5680
56,900;1,2732;0,5320
56,900;1,2732;0,8276
56,900;0,9549;0,4855
57,400;0,9549;0,7246
57,400;1,9099;0,9268
57,400;1,2732;0,9167
57,400;1,2732;0,5644
57,400;1,2732;0,3400
57,900;1,5915;0,6080
