time;agentId;headwayDistance;headwayVelocity
7,9600;450;0,4479;2,0103
7,9600;192;0,4479;1,8749
8,2200;450;0,3428;1,7726
8,2200;192;0,3428;1,8775
8,4800;580;0,6204;0,0000
8,4800;447;0,7391;1,8698
8,4800;450;0,3432;1,8698
8,4800;192;0,3432;1,8759
8,7400;447;0,8450;2,0703
8,7400;450;0,3425;2,0703
8,7400;192;0,3425;1,8750
8,7400;439;0,5284;1,3237
9,0000;447;0,9022;0,0000
9,0000;450;0,3430;2,1653
9,0000;439;0,6632;1,3272
9,0000;457;0,6632;1,2084
9,2600;447;0,6113;1,3182
9,2600;258;0,6056;0,0000
9,2600;439;0,6113;1,1874
9,2600;457;0,7366;1,3182
9,2600;154;0,8457;0,0000
9,5200;447;0,4111;0,9569
9,5200;258;0,7788;1,7115
9,5200;439;0,4111;1,1874
9,5200;457;0,7984;0,9569
9,5200;154;0,7213;0,9569
9,7800;447;0,5072;0,8308
9,7800;258;0,6340;0,0000
9,7800;439;0,5072;1,1868
9,7800;154;0,5639;0,8308
9,7800;286;0,9124;1,4300
10,0400;447;0,4736;1,3232
10,0400;258;0,4252;0,0000
10,0400;439;0,7088;1,1100
10,0400;154;0,6471;1,0266
10,0400;286;0,7088;1,0995
10,3000;258;0,3970;0,0000
10,3000;439;0,7807;0,9790
10,3000;154;0,5280;1,1007
10,3000;574;0,6767;0,0000
10,3000;286;0,7807;1,3743
10,5600;258;0,4836;1,5074
10,5600;578;0,5100;1,4399
10,5600;574;0,5153;0,0000
10,5600;94;0,3765;1,4946
10,5600;286;0,8460;1,8919
10,5600;454;0,3765;0,9689
10,8200;578;0,8772;1,4399
10,8200;94;0,4801;1,5955
10,8200;286;0,8549;1,5955
10,8200;454;0,4801;0,4373
11,0800;578;0,6261;1,3956
11,0800;94;0,6109;1,3956
11,0800;286;0,7444;0,8660
11,0800;454;0,6109;0,6586
11,3400;578;0,3744;1,3071
11,3400;94;0,5043;0,0000
11,3400;286;0,6666;0,5720
11,3400;454;0,3744;0,5720
11,3400;455;0,5043;1,0230
11,6000;578;0,4267;0,1875
11,6000;94;0,3848;0,9048
11,6000;454;0,4267;0,8696
11,6000;455;0,3848;1,3264
11,8600;578;0,6720;0,8905
11,8600;94;0,5618;0,4026
11,8600;454;0,6720;1,3029
11,8600;455;0,5618;1,4927
12,1200;578;0,7705;1,3033
12,1200;94;0,5150;0,0000
12,1200;454;0,8539;0,0000
12,1200;455;0,6922;0,9311
12,1200;215;0,6771;1,3033
12,3800;578;0,5115;0,0000
12,3800;94;0,4462;0,0000
12,3800;455;0,7757;0,8940
12,3800;215;0,5594;0,8915
12,6400;303;0,9251;1,5424
12,6400;455;0,8137;1,0901
12,6400;215;0,5237;0,9207
12,9000;303;0,7169;1,5899
12,9000;455;0,7169;0,9648
12,9000;612;0,7016;1,4005
12,9000;215;0,7238;1,5285
12,9000;599;0,4695;1,5574
12,9000;514;0,4695;0,5683
13,1600;303;0,4734;1,8661
13,1600;455;0,4734;0,7278
13,1600;215;0,6358;1,0948
13,1600;599;0,5550;0,0000
13,1600;514;0,5884;0,5063
13,4200;303;0,5467;1,8661
13,4200;215;0,6579;1,0948
13,4200;599;0,6598;0,0000
13,4200;514;0,6994;0,0000
13,6800;303;0,5462;0,0000
13,6800;599;0,5674;0,0000
13,6800;383;0,5926;1,0965
13,6800;514;0,5926;1,1496
13,9400;303;0,6249;1,0975
13,9400;367;0,4835;1,0975
13,9400;599;0,5854;0,0000
13,9400;383;0,6625;1,1064
13,9400;514;0,4835;1,1064
14,2000;303;0,6944;0,0000
14,2000;367;0,4685;0,9523
14,2000;599;0,7133;1,4051
14,2000;383;0,7133;1,3032
14,2000;514;0,4685;0,5647
14,2000;451;0,7014;0,5647
14,2000;205;0,8126;1,3032
14,4600;303;0,7239;0,0000
14,4600;367;0,6026;1,2570
14,4600;599;0,7195;1,4668
14,4600;383;0,7195;1,3367
14,4600;451;0,5888;0,7272
14,4600;205;0,5888;1,2570
14,7200;367;0,5302;1,1919
14,7200;383;0,6845;1,1260
14,7200;451;0,4189;0,5537
14,7200;205;0,4189;1,1919
14,9800;367;0,5678;1,2117
14,9800;383;0,6394;1,1260
14,9800;451;0,3871;0,7143
14,9800;205;0,3871;1,2117
14,9800;582;0,8742;1,1431
14,9800;586;0,7748;0,7143
15,2400;367;0,6841;1,2222
15,2400;451;0,6670;1,1493
15,2400;205;0,6670;1,2222
15,2400;119;0,7722;1,2222
15,2400;582;0,8257;1,0762
15,5000;367;0,6007;1,3543
15,5000;451;0,4997;1,4266
15,5000;205;0,6697;1,8488
15,5000;119;0,5995;0,8238
15,5000;376;0,4997;0,8238
15,5000;582;0,7336;1,3488
15,7600;367;0,5019;1,3543
15,7600;451;0,3678;0,7590
15,7600;205;0,5628;1,8488
15,7600;119;0,5647;0,4431
15,7600;368;0,7135;0,9584
16,0200;367;0,5722;1,3543
16,0200;451;0,4287;0,7590
16,0200;119;0,5632;0,0193
16,0200;368;0,6714;1,1257
16,2800;451;0,4242;0,7590
16,2800;119;0,6629;1,2691
16,2800;368;0,6629;1,0992
16,2800;95;0,7619;1,2691
16,5400;451;0,4991;0,4826
16,5400;119;0,6742;1,1707
16,5400;376;0,4991;0,7959
16,5400;368;0,4424;1,4709
16,5400;343;0,7927;0,7959
16,5400;95;0,4424;1,1707
16,8000;119;0,4588;1,0932
16,8000;376;0,5536;0,6689
16,8000;368;0,3909;1,0932
16,8000;343;0,7680;0,9632
16,8000;95;0,3909;0,7723
17,0600;119;0,3637;0,8156
17,0600;376;0,6445;1,0918
17,0600;368;0,4714;0,8156
17,0600;343;1,0036;0,9632
17,0600;95;0,3637;1,0918
17,3200;368;0,7188;0,8951
17,3200;343;1,0136;0,8951
17,3200;95;0,5016;1,0918
17,5800;343;0,7408;1,2856
17,5800;95;0,7408;0,7989
17,5800;220;0,8835;0,7989
17,5800;591;1,2689;0,0000
17,8400;343;0,6949;1,3421
17,8400;95;0,6949;0,9990
17,8400;220;0,7111;0,9990
17,8400;591;0,8958;0,0000
18,1000;343;0,6607;1,2799
18,1000;220;0,6607;1,1587
18,1000;591;0,5617;1,2175
18,1000;163;0,5617;0,9615
18,3600;343;0,6469;1,2515
18,3600;220;0,6469;1,2256
18,3600;591;0,4344;0,8406
18,3600;163;0,4344;1,1012
18,6200;220;0,6750;1,1689
18,6200;591;0,5752;0,7042
18,6200;163;0,5752;1,1984
18,6200;147;0,6975;0,7042
18,8800;220;0,7410;1,1689
18,8800;591;0,9304;1,0840
18,8800;163;0,5877;1,4516
18,8800;147;0,5877;1,0840
19,1400;591;1,2657;1,3304
19,1400;163;0,6215;1,1045
19,1400;147;0,5430;0,0000
19,4000;534;0,4112;0,8587
19,4000;163;0,5432;0,6206
19,4000;147;0,3839;0,0000
19,4000;518;0,8909;0,0000
19,6600;534;0,4065;0,1749
19,6600;163;0,5354;0,0000
19,6600;544;0,7930;0,0000
19,6600;147;0,3815;0,0000
19,6600;518;0,8772;1,1208
19,9200;534;0,4712;0,6409
19,9200;544;0,7770;0,0000
19,9200;147;0,4712;0,6629
19,9200;518;0,8213;0,6629
19,9200;282;0,5687;0,6409
19,9200;211;0,6967;1,3831
20,1800;534;0,5791;0,8517
20,1800;544;0,8084;1,2310
20,1800;194;0,6756;1,2015
20,1800;518;0,6196;0,9902
20,1800;282;0,6268;1,2015
20,1800;211;0,6268;1,4399
20,4400;534;0,7617;1,0788
20,4400;544;0,8377;1,0497
20,4400;147;0,4999;0,0000
20,4400;194;0,4966;1,0314
20,4400;282;0,5493;1,0497
20,4400;211;0,4966;1,0497
20,7000;534;0,7058;0,8019
20,7000;544;0,8695;0,7123
20,7000;194;0,3478;0,8019
20,7000;282;0,3478;0,7123
20,7000;211;0,5068;0,7123
20,7000;317;0,7105;0,0000
20,9600;534;0,5785;0,8014
20,9600;544;0,6981;0,8838
20,9600;194;0,3643;0,8014
20,9600;282;0,3643;0,1630
20,9600;211;0,5157;0,1630
20,9600;174;0,6637;0,0000
20,9600;317;0,4386;0,0000
21,2200;534;0,4749;0,9457
21,2200;544;0,5832;0,7625
21,2200;194;0,4070;0,9457
21,2200;282;0,4070;0,0587
21,2200;211;0,3368;1,5843
21,2200;174;0,6907;0,0000
21,2200;317;0,5689;2,1094
21,2200;305;0,3740;0,0000
21,4800;534;0,4139;1,4529
21,4800;544;0,5238;0,9482
21,4800;194;0,5428;1,4529
21,4800;282;0,4139;0,9482
21,4800;211;0,3371;1,5843
21,4800;228;0,6257;0,0000
21,4800;174;0,5017;0,9397
21,4800;317;0,5017;0,8419
21,4800;305;0,4487;0,0000
21,7400;534;0,4009;1,5721
21,7400;194;0,7248;0,6243
21,7400;228;0,4278;0,7703
21,7400;174;0,3962;0,7703
21,7400;317;0,3962;0,6243
21,7400;305;0,4790;0,0000
21,7400;606;0,4790;1,2562
22,0000;194;0,5546;0,5821
22,0000;228;0,3535;0,3592
22,0000;174;0,4113;0,3592
22,0000;317;0,3535;0,3700
22,0000;535;0,6252;0,0000
22,0000;305;0,4218;1,4078
22,0000;606;0,4218;0,6100
22,2600;194;0,4033;0,9323
22,2600;228;0,3540;0,4277
22,2600;174;0,4033;1,0897
22,2600;317;0,3540;0,2920
22,2600;535;0,6697;0,7609
22,2600;290;0,6211;0,2920
22,2600;305;0,4325;0,7459
22,2600;606;0,5670;0,0000
22,2600;202;0,4325;0,4469
22,5200;194;0,4005;0,9155
22,5200;228;0,3651;0,8320
22,5200;174;0,4005;1,2129
22,5200;317;0,3651;0,8034
22,5200;535;0,5300;0,7779
22,5200;290;0,5300;0,8222
22,5200;305;0,6431;0,7783
22,5200;606;0,5895;0,0000
22,5200;202;0,6431;0,9049
22,7800;194;0,4001;1,0814
22,7800;228;0,3532;1,0953
22,7800;317;0,3532;0,9901
22,7800;290;0,4469;0,7358
22,7800;305;0,4391;0,0000
22,7800;606;0,5594;0,0000
22,7800;202;0,4469;0,5595
23,0400;290;0,3855;0,7274
23,0400;606;0,5573;0,0000
23,0400;202;0,3855;0,9384
23,0400;492;0,9889;0,7274
23,3000;535;0,4717;0,0000
23,3000;290;0,4191;0,2965
23,3000;606;0,5881;0,0000
23,3000;202;0,4191;1,2181
23,3000;190;0,7164;1,3955
23,3000;492;0,8206;0,2965
23,5600;535;0,4929;0,0000
23,5600;290;0,5838;0,2089
23,5600;202;0,5838;1,3771
23,5600;190;0,8823;1,7309
23,8200;535;0,5397;0,0000
23,8200;290;0,8423;0,4067
23,8200;202;0,8423;1,5801
23,8200;311;0,7510;1,3582
23,8200;190;0,6431;1,7309
24,0800;228;0,6362;0,6424
24,0800;202;0,7769;0,8569
24,0800;592;0,6362;0,5684
24,0800;311;0,7769;0,7978
24,0800;190;0,6434;1,7309
24,3400;228;0,7686;1,6516
24,3400;202;0,5561;0,7157
24,3400;592;0,6174;0,7700
24,3400;311;0,5561;0,7700
24,3400;190;0,8579;1,7309
24,3400;272;0,5559;1,2085
24,3400;432;0,5559;1,3461
24,6000;202;0,4096;0,7748
24,6000;592;0,4096;0,6145
24,6000;311;0,4904;0,6145
24,6000;190;0,7951;0,6145
24,6000;432;0,6205;0,6697
24,8600;202;0,3869;0,9936
24,8600;592;0,3869;0,4858
24,8600;311;0,4661;0,7429
24,8600;190;0,7583;0,4858
24,8600;432;0,4661;0,7045
24,8600;105;0,7958;0,7045
25,1200;202;0,4438;1,5685
25,1200;592;0,4984;1,2291
25,1200;311;0,5901;0,6810
25,1200;190;0,4984;1,0321
25,1200;432;0,5901;0,9875
25,1200;105;0,4438;0,9181
25,3800;311;0,8139;0,0000
25,3800;272;0,9164;0,0000
25,3800;432;0,5996;0,0000
25,3800;105;0,3881;1,3282
25,6400;311;0,5460;0,0000
25,6400;272;0,7816;0,0000
25,6400;432;0,4151;1,8903
25,6400;427;0,7894;0,0000
25,6400;489;0,4151;1,2231
25,9000;311;0,4738;0,0000
25,9000;272;0,4288;0,0000
25,9000;432;0,5116;0,0000
25,9000;427;0,5170;0,0000
25,9000;489;0,5591;1,0745
26,1600;311;0,4540;0,0000
26,1600;432;0,4176;0,0000
26,1600;613;0,4347;1,4271
26,1600;427;0,4347;0,8541
26,1600;489;0,6352;0,5927
26,1600;264;0,6203;0,8541
26,4200;613;0,5644;1,2880
26,4200;427;0,4908;1,3784
26,4200;489;0,7249;0,2480
26,4200;264;0,4908;1,2880
26,6800;613;0,6411;1,0369
26,6800;427;0,4090;0,7890
26,6800;489;0,6411;1,0110
26,6800;264;0,4090;1,1962
26,6800;92;0,6772;1,0110
26,9400;613;0,5158;1,2183
26,9400;427;0,4733;0,2683
26,9400;489;0,5292;0,7285
26,9400;264;0,4733;1,1982
26,9400;92;0,5158;0,7285
26,9400;107;0,7495;1,1590
27,2000;613;0,6091;1,0300
27,2000;427;0,5230;0,0000
27,2000;489;0,6091;0,6502
27,2000;264;0,5789;1,3313
27,2000;92;0,6143;0,6502
27,2000;107;0,6243;0,6502
27,4600;613;0,5129;0,8628
27,4600;489;0,5681;0,5667
27,4600;264;0,5681;0,8756
27,4600;92;0,8046;0,0000
27,4600;107;0,5129;0,5987
27,4600;571;0,7251;0,5987
27,7200;588;0,5347;1,0770
27,7200;613;0,4566;0,6362
27,7200;489;0,5005;0,4122
27,7200;264;0,5005;1,1183
27,7200;92;0,5347;0,9627
27,7200;107;0,4566;0,7920
27,7200;571;0,4909;0,7920
27,9800;588;0,3582;0,8628
27,9800;613;0,4982;0,6275
27,9800;489;0,4472;1,3313
27,9800;264;0,5351;0,9639
27,9800;92;0,3582;0,7931
27,9800;107;0,4982;0,9796
27,9800;571;0,6385;0,9796
28,2400;588;0,3909;0,2230
28,2400;613;0,6770;0,7641
28,2400;264;0,5711;0,7641
28,2400;92;0,3909;0,6751
28,2400;107;0,5711;0,5655
28,2400;571;0,7890;0,2230
28,2400;248;0,6425;0,0000
28,5000;588;0,5058;0,6716
28,5000;264;0,4852;0,8282
28,5000;92;0,5058;0,7002
28,5000;107;0,4852;0,3381
28,5000;571;0,7341;0,7002
28,5000;248;0,3876;0,0000
28,7600;588;0,5373;0,8694
28,7600;264;0,5173;0,9964
28,7600;92;0,3816;0,0000
28,7600;107;0,5173;0,3427
28,7600;477;0,4948;1,3587
28,7600;571;0,5373;0,4499
28,7600;248;0,4948;1,0715
29,0200;588;0,4057;0,7987
29,0200;264;0,5977;0,9964
29,0200;477;0,5293;1,6129
29,0200;571;0,4057;0,2480
29,0200;418;0,5293;1,0967
29,0200;248;0,5288;0,0000
29,2800;588;0,4082;0,7347
29,2800;264;0,8640;0,9964
29,2800;477;0,3637;0,8402
29,2800;571;0,4082;0,5236
29,2800;418;0,3637;1,1071
29,2800;248;0,5091;0,0000
29,5400;588;0,5967;0,9783
29,5400;477;0,3667;0,6021
29,5400;418;0,3667;1,0349
29,5400;248;0,3977;0,0000
29,5400;216;0,6386;0,6303
29,5400;47;0,9177;0,6021
29,8000;588;0,8174;0,0000
29,8000;477;0,3655;0,7996
29,8000;418;0,3655;1,0611
29,8000;248;0,3670;0,0000
29,8000;216;0,7501;1,0611
29,8000;354;0,5209;0,0000
29,8000;47;0,7199;0,7996
30,0600;588;0,4478;1,8422
30,0600;477;0,3684;0,5394
30,0600;418;0,3684;0,9719
30,0600;216;0,5143;1,6673
30,0600;113;0,7263;0,5394
30,0600;354;0,3853;0,0000
30,0600;47;0,4478;0,9765
30,0600;384;0,7960;1,2436
30,3200;588;0,3305;0,2696
30,3200;477;0,3975;0,4505
30,3200;418;0,3975;1,1006
30,3200;116;0,5316;0,0000
30,3200;216;0,3738;1,0906
30,3200;113;0,5535;0,4505
30,3200;354;0,3738;0,7962
30,3200;47;0,3305;0,9909
30,3200;302;0,6095;0,0000
30,3200;384;0,6851;0,4505
30,5800;477;0,4217;0,2200
30,5800;418;0,5013;1,0578
30,5800;116;0,6131;0,0000
30,5800;216;0,4428;0,8014
30,5800;113;0,4428;0,8142
30,5800;354;0,3575;0,8886
30,5800;47;0,3846;0,9909
30,5800;302;0,5847;0,8886
30,5800;501;0,3575;0,9815
30,8400;418;0,4315;0,6284
30,8400;116;0,5687;0,3927
30,8400;216;0,3640;0,3927
30,8400;113;0,3640;0,6284
30,8400;354;0,3603;0,7275
30,8400;47;0,5112;1,0988
30,8400;302;0,5194;1,0665
30,8400;501;0,3603;1,0665
31,1000;418;0,4964;0,5582
31,1000;116;0,4244;0,0600
31,1000;216;0,3936;0,0600
31,1000;113;0,3936;0,5582
31,1000;354;0,3816;0,3197
31,1000;302;0,5129;0,8867
31,1000;501;0,3816;1,0732
31,3600;418;0,3464;1,0081
31,3600;116;0,4685;0,1001
31,3600;216;0,4549;0,1001
31,3600;113;0,4549;0,8846
31,3600;354;0,5653;0,3134
31,3600;302;0,3464;0,7541
31,3600;501;0,5653;1,3855
31,6200;418;0,4021;0,8338
31,6200;116;0,6848;0,4516
31,6200;216;0,6141;1,5986
31,6200;113;0,6774;1,0771
31,6200;501;0,4452;1,8792
31,6200;11;0,6881;0,0000
31,6200;131;0,4452;0,7469
31,8800;418;0,4139;0,8338
31,8800;116;0,7375;0,9219
31,8800;216;0,5981;1,5986
31,8800;113;0,4824;1,6069
31,8800;501;0,4526;0,9969
31,8800;11;0,4824;0,3444
31,8800;131;0,4526;0,9291
32,1400;418;0,3711;0,8338
32,1400;116;0,5090;0,0000
32,1400;113;0,5235;1,0239
32,1400;501;0,5040;0,8106
32,1400;11;0,5241;0,2559
32,1400;131;0,5040;1,0239
32,1400;589;0,6444;0,8106
32,4000;418;0,5055;0,8338
32,4000;113;0,3899;0,5146
32,4000;501;0,5095;0,3707
32,4000;11;0,6161;0,3707
32,4000;131;0,3899;0,3707
32,4000;589;0,5920;0,5146
32,6600;113;0,3557;0,2039
32,6600;501;0,5704;0,3903
32,6600;11;0,5827;1,5563
32,6600;131;0,3557;0,3903
32,6600;396;0,5623;1,1197
32,6600;589;0,6103;0,2039
32,6600;453;0,4652;0,0000
32,9200;113;0,3572;0,0816
32,9200;501;0,7664;0,8338
32,9200;11;0,3867;1,1297
32,9200;169;0,3900;0,3902
32,9200;131;0,3572;0,6445
32,9200;396;0,3867;0,8931
32,9200;589;0,4776;0,7209
32,9200;453;0,3900;0,7209
33,1800;113;0,3983;0,3870
33,1800;11;0,3753;1,2547
33,1800;169;0,3951;0,0241
33,1800;131;0,3983;0,9335
33,1800;589;0,5126;0,6677
33,1800;453;0,3951;0,6677
33,4400;113;0,5697;0,4719
33,4400;11;0,3751;1,2547
33,4400;169;0,4121;0,2883
33,4400;131;0,5697;1,2474
33,4400;589;0,6596;0,0000
33,4400;453;0,4121;0,9001
33,7000;11;0,3830;1,2547
33,7000;169;0,6069;0,6071
33,7000;131;0,6590;0,5755
33,7000;589;0,7332;0,0000
33,7000;453;0,5935;0,0000
33,9600;11;0,4385;1,2547
33,9600;169;0,8294;0,6062
33,9600;131;0,5115;0,3562
33,9600;453;0,5239;0,9889
33,9600;51;0,5239;0,7337
34,2200;11;0,4728;0,3948
34,2200;169;0,5543;0,7588
34,2200;131;0,4728;0,3488
34,2200;327;0,5543;1,1847
34,2200;453;0,4399;1,1464
34,2200;51;0,4399;0,7775
34,4800;169;0,4560;0,5878
34,4800;131;0,4840;0,3488
34,4800;327;0,4560;1,2451
34,4800;453;0,5434;1,1137
34,4800;51;0,5434;0,6826
34,4800;600;0,6291;0,6826
34,4800;362;0,8175;0,0000
34,7400;131;0,5841;0,3488
34,7400;327;0,4094;1,6194
34,7400;453;0,5639;0,0000
34,7400;51;0,6683;0,7883
34,7400;600;0,6555;0,6051
34,7400;180;0,4094;0,7611
34,7400;362;0,7228;1,1005
35,0000;327;0,4258;0,6699
35,0000;453;0,6290;0,0000
35,0000;51;0,6538;0,7695
35,0000;270;0,3685;0,2037
35,0000;600;0,5104;0,9957
35,0000;180;0,4258;0,7695
35,0000;362;0,7237;1,0867
35,0000;424;0,3685;1,1599
35,2600;327;0,4511;0,5049
35,2600;453;0,5232;0,0000
35,2600;51;0,5317;0,5695
35,2600;270;0,3794;0,2967
35,2600;600;0,5739;0,9957
35,2600;180;0,4511;0,5695
35,2600;362;0,7467;0,8582
35,2600;424;0,3794;0,8582
35,5200;327;0,4432;0,7904
35,5200;453;0,3770;0,0000
35,5200;51;0,5397;0,6164
35,5200;270;0,5439;0,6392
35,5200;600;0,6961;0,9347
35,5200;180;0,4432;0,6164
35,5200;362;0,6961;0,9806
35,7800;327;0,5102;0,8225
35,7800;270;0,4334;1,4735
35,7800;180;0,5102;0,7398
35,7800;362;0,8107;1,3594
35,7800;100;0,7112;0,8225
35,7800;245;0,4334;0,8127
36,0400;327;0,6206;0,9886
36,0400;270;0,3822;0,1693
36,0400;180;0,6206;0,8843
36,0400;362;0,6719;0,0000
36,0400;100;0,6703;0,8133
36,0400;245;0,3822;0,8133
36,3000;327;0,7159;1,3594
36,3000;270;0,4479;0,5276
36,3000;180;0,7046;0,6805
36,3000;362;0,5951;0,0000
36,3000;100;0,5017;0,6805
36,3000;424;0,3730;0,0000
36,3000;245;0,4479;0,6805
36,5600;327;0,6616;0,0000
36,5600;270;0,4682;0,9143
36,5600;180;0,6930;0,9183
36,5600;100;0,4682;0,4327
36,5600;424;0,5101;0,0000
36,5600;245;0,5477;0,4327
36,8200;270;0,5057;0,8890
36,8200;180;0,6636;0,9183
36,8200;100;0,5057;0,5042
36,8200;424;0,7197;0,0000
36,8200;245;0,6854;0,5042
36,8200;210;0,7600;0,5042
36,8200;472;0,7225;1,0705
37,0800;270;0,5980;1,4120
37,0800;100;0,6294;0,6013
37,0800;245;0,4980;0,9424
37,0800;472;0,4980;1,1832
37,3400;270;0,5234;1,4120
37,3400;100;0,8086;1,4120
37,3400;245;0,5379;0,9056
37,3400;472;0,5379;1,2215
37,3400;476;0,4966;1,6901
37,3400;109;0,4966;0,0000
37,6000;270;0,6471;1,4120
37,6000;100;0,7262;1,2068
37,6000;245;0,5475;1,1249
37,6000;472;0,5019;0,9172
37,6000;55;0,5475;1,2068
37,6000;476;0,3551;0,7693
37,6000;109;0,3551;0,9172
37,8600;100;0,6765;0,9841
37,8600;245;0,4378;0,8428
37,8600;472;0,5685;0,6555
37,8600;620;0,5414;0,0000
37,8600;55;0,4378;0,9841
37,8600;476;0,3557;0,6555
37,8600;109;0,3557;0,8818
38,1200;472;0,7147;0,8537
38,1200;55;0,5592;0,9841
38,1200;476;0,3578;0,8537
38,1200;109;0,3578;1,1624
38,1200;230;0,8084;1,1624
38,3800;472;0,8781;1,0140
38,3800;620;0,7329;1,0827
38,3800;55;0,5526;1,4425
38,3800;476;0,3650;1,0827
38,3800;109;0,3650;1,4425
38,3800;230;0,7638;1,4425
38,6400;620;0,4963;0,0000
38,6400;55;0,4342;1,7167
38,6400;476;0,4342;1,7937
38,6400;109;0,4468;1,7167
38,6400;560;0,8893;1,2263
38,6400;230;0,6911;0,6755
38,9000;620;0,3595;1,5571
38,9000;109;0,4478;1,2043
38,9000;560;0,8773;1,2043
38,9000;230;0,4478;0,7102
38,9000;156;0,3595;0,7815
39,1600;620;0,4069;1,4344
39,1600;109;0,3944;1,3262
39,1600;560;0,8221;1,3262
39,1600;230;0,3944;0,4369
39,1600;463;0,8959;0,5445
39,1600;156;0,4069;0,5445
39,4200;620;0,4897;0,0000
39,4200;109;0,5378;1,4414
39,4200;560;0,8297;0,5244
