metric;value
model_type;RL
scenario_id;Crossing90
run_id;D_003_RL_run5
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;179,700
rset_95s;163,560
rset_90s;151,940
rset_50s;88,900
mean_speed_ms;1,1212
std_speed_ms;0,4080
max_speed_ms;2,2672
mean_exit_density_pm2;0,1372
peak_exit_density_pm2;0,3581
mean_global_density_pm2;0,0615
specific_flow_mean_pms;0,1470
specific_flow_peak_pms;0,4428
throughput_ps;3,3779
throughput_Exit_West_ps;1,5470
throughput_Exit_South_ps;1,8308
collisions_agent_agent;2250
collisions_agent_wall;98
mean_headway_m;0,6089
min_headway_m;0,3265
std_headway_m;0,1976
