agentId;time;posX;posZ;speed
447;7,3000;0,8479;0,5303;1,6735
447;7,4200;0,6473;0,5447;1,6754
447;7,5400;0,4488;0,5775;1,6773
450;7,5400;0,5632;1,9900;1,9338
447;7,6400;0,2845;0,6117;1,6778
450;7,6400;0,5082;1,7930;2,0456
580;7,7600;0,8174;1,6139;1,7700
447;7,7600;0,0900;0,6629;1,6758
450;7,7600;0,4350;1,5587;2,0454
580;7,8800;0,7574;1,6028;0,5092
447;7,8800;-0,1050;0,7116;1,6752
450;7,8800;0,3680;1,3228;2,0438
439;7,8800;-0,4249;1,8425;2,1031
580;8,0000;0,6944;1,5997;0,5252
447;8,0000;-0,3041;0,7379;1,6738
450;8,0000;0,3263;1,0851;2,0115
439;8,0000;-0,4620;1,5759;2,2433
580;8,1000;0,6219;1,6032;0,7263
447;8,1000;-0,4715;0,7386;1,6740
450;8,1000;0,3109;0,8865;1,9910
439;8,1000;-0,5142;1,3617;2,2050
580;8,2200;0,5075;1,6131;0,9570
447;8,2200;-0,6725;0,7256;1,6779
450;8,2200;0,2914;0,6498;1,9798
439;8,2200;-0,5929;1,1162;2,1481
580;8,3400;0,3642;1,6255;1,1983
447;8,3400;-0,8731;0,7086;1,6779
450;8,3400;0,2476;0,4122;2,0130
439;8,3400;-0,6347;1,0109;0,9440
580;8,4600;0,1996;1,6378;1,3755
450;8,4600;0,2029;0,1938;1,8578
439;8,4600;-0,6565;0,9486;0,5498
457;8,4600;-0,7806;1,9113;1,5368
580;8,5800;0,0199;1,6470;1,4997
439;8,5800;-0,6710;0,8567;0,7758
457;8,5800;-0,8239;1,7521;1,3746
580;8,7000;-0,1670;1,6264;1,5669
439;8,7000;-0,6858;0,7366;1,0083
457;8,7000;-0,8648;1,5926;1,3722
580;8,8000;-0,3332;1,5959;1,6892
192;8,8000;0,9568;0,2413;1,4555
439;8,8000;-0,7061;0,6176;1,2067
457;8,8000;-0,8778;1,4600;1,3325
580;8,9200;-0,5229;1,5738;1,5917
192;8,9200;0,7839;0,2688;1,4588
439;8,9200;-0,7525;0,4602;1,3675
457;8,9200;-0,8951;1,2973;1,3633
580;9,0400;-0,7085;1,5921;1,5545
258;9,0400;0,8319;1,4719;1,5079
192;9,0400;0,6116;0,2922;1,4489
439;9,0400;-0,8171;0,2921;1,5009
457;9,0400;-0,9237;1,1389;1,3419
580;9,1600;-0,8896;1,6345;1,5496
