agentId;time;posX;posZ;speed
447;7,0600;0,8032;0,7516;1,8615
447;7,1800;0,5777;0,7577;1,8798
447;7,3000;0,3522;0,7636;1,8795
447;7,4200;0,1268;0,7696;1,8791
447;7,5400;-0,0986;0,7754;1,8787
447;7,6400;-0,2863;0,7803;1,8783
447;7,7600;-0,5116;0,7861;1,8779
580;7,8800;0,8931;1,3337;1,6832
447;7,8800;-0,7368;0,7919;1,8774
580;8,0000;0,6917;1,3269;1,6798
447;8,0000;-0,9619;0,7976;1,8768
580;8,1000;0,5238;1,3213;1,6795
580;8,2200;0,3224;1,3145;1,6792
580;8,3400;0,1211;1,3077;1,6788
580;8,4600;-0,0802;1,3009;1,6785
580;8,5800;-0,2815;1,2941;1,6779
580;8,7000;-0,4825;1,2863;1,6763
457;8,7000;-0,5262;1,9759;1,4055
580;8,8000;-0,6500;1,2746;1,6794
457;8,8000;-0,5305;1,8375;1,3849
580;8,9200;-0,8580;1,2385;1,7591
450;8,9200;0,8321;1,9261;1,2882
258;8,9200;0,9965;1,4135;1,5130
457;8,9200;-0,5295;1,6889;1,2380
450;9,0400;0,8242;1,8226;0,8647
258;9,0400;0,8249;1,3473;1,5324
439;9,0400;0,0921;1,8569;1,4286
457;9,0400;-0,5192;1,5512;1,1509
450;9,1600;0,8177;1,7806;0,3545
258;9,1600;0,6528;1,2128;1,8207
439;9,1600;0,0917;1,6763;1,5047
457;9,1600;-0,5110;1,4081;1,1943
450;9,2800;0,8187;1,7398;0,3397
258;9,2800;0,4762;1,0776;1,8535
439;9,2800;0,0913;1,4993;1,4753
457;9,2800;-0,5108;1,2570;1,2592
450;9,4000;0,8208;1,6805;0,4946
258;9,4000;0,3184;0,9399;1,7445
439;9,4000;0,0771;1,3486;1,2614
457;9,4000;-0,5189;1,0992;1,3174
450;9,5200;0,8214;1,6036;0,6411
258;9,5200;0,1974;0,7566;1,8304
439;9,5200;0,0433;1,2530;0,8451
457;9,5200;-0,5346;0,9356;1,3691
578;9,5200;-0,2280;1,8161;1,5896
450;9,6200;0,8203;1,5284;0,7522
258;9,6200;0,1027;0,5909;1,9088
439;9,6200;0,0218;1,1809;0,7529
457;9,6200;-0,5519;0,7961;1,4057
578;9,6200;-0,2316;1,6658;1,5040
450;9,7400;0,8174;1,4276;0,8406
258;9,7400;-0,0174;0,4112;1,8010
439;9,7400;0,0227;1,0541;1,0567
457;9,7400;-0,5773;0,6282;1,4156
578;9,7400;-0,2494;1,5118;1,2919
450;9,8600;0,8126;1,3186;0,9092
258;9,8600;-0,1370;0,2545;1,6427
192;9,8600;0,9971;0,6616;1,1062
439;9,8600;0,0511;0,8813;1,4590
457;9,8600;-0,6150;0,4665;1,3833
578;9,8600;-0,2803;1,3800;1,1278
450;9,9800;0,8049;1,2094;0,9121
258;9,9800;-0,2371;0,1087;1,4739
192;9,9800;0,8700;0,6587;1,0593
439;9,9800;0,0891;0,6921;1,6083
457;9,9800;-0,6823;0,3231;1,3203
578;9,9800;-0,3122;1,2480;1,1318
450;10,1000;0,7942;1,1231;0,7246
192;10,1000;0,7479;0,6216;1,0634
439;10,1000;0,1229;0,5012;1,6157
457;10,1000;-0,7815;0,2014;1,3083
578;10,1000;-0,3390;1,1062;1,2025
450;10,2200;0,7876;1,0732;0,4195
192;10,2200;0,6317;0,5423;1,1726
439;10,2200;0,1361;0,3075;1,6175
457;10,2200;-0,8902;0,0893;1,3011
578;10,2200;-0,3597;0,9538;1,2820
450;10,3400;0,7869;1,0316;0,3468
192;10,3400;0,5312;0,4669;1,0463
439;10,3400;0,1105;0,0970;1,7674
578;10,3400;-0,3750;0,7921;1,3530
450;10,4400;0,7866;0,9886;0,4295
192;10,4400;0,4514;0,4246;0,9039
578;10,4400;-0,3841;0,6517;1,4076
574;10,4400;0,6634;1,9384;1,2426
450;10,5600;0,7829;0,9221;0,5553
192;10,5600;0,3411;0,3903;0,9623
578;10,5600;-0,3924;0,4777;1,4515
460;10,5600;0,9194;0,2399;1,0814
574;10,5600;0,6512;1,7867;1,2688
450;10,6800;0,7737;0,8398;0,6904
192;10,6800;0,2144;0,3667;1,0737
578;10,6800;-0,4021;0,2991;1,4903
460;10,6800;0,8132;0,2330;0,8872
574;10,6800;0,6188;1,6466;1,1978
450;10,8000;0,7603;0,7529;0,7322
192;10,8000;0,0882;0,3536;1,0575
578;10,8000;-0,4271;0,1135;1,5606
460;10,8000;0,7110;0,2093;0,8747
574;10,8000;0,5193;1,5342;1,2515
450;10,9200;0,7412;0,6790;0,6362
192;10,9200;-0,0261;0,3570;0,9533
460;10,9200;0,6048;0,1558;0,9904
574;10,9200;0,3810;1,4240;1,4735
450;11,0400;0,6942;0,6163;0,6525
192;11,0400;-0,1402;0,3722;0,9591
154;11,0400;0,9795;1,3702;1,1269
460;11,0400;0,4885;0,0786;1,1638
574;11,0400;0,2527;1,2946;1,5188
130;11,0400;0,3839;1,8719;1,3879
450;11,1400;0,6123;0,5582;1,0049
192;11,1400;-0,2396;0,3873;1,0055
154;11,1400;0,9123;1,3641;0,6753
460;11,1400;0,3841;0,0085;1,2571
574;11,1400;0,1591;1,1712;1,5479
130;11,1400;0,3696;1,7422;1,3050
450;11,2600;0,4899;0,4738;1,2389
192;11,2600;-0,3631;0,4047;1,0396
154;11,2600;0,7811;1,3626;1,0936
574;11,2600;0,0609;1,0127;1,5543
130;11,2600;0,3403;1,5980;1,2266
450;11,3800;0,3791;0,3768;1,2271
192;11,3800;-0,4911;0,4187;1,0725
154;11,3800;0,6726;1,3351;0,9325
574;11,3800;-0,0236;0,8539;1,4988
286;11,3800;0,9254;0,7300;1,0971
130;11,3800;0,2327;1,4925;1,2555
404;11,3800;0,7392;1,9625;1,4986
450;11,5000;0,2966;0,2676;1,1407
192;11,5000;-0,6272;0,4255;1,1356
154;11,5000;0,6015;1,2758;0,7710
574;11,5000;-0,0940;0,7059;1,3659
286;11,5000;0,7955;0,7537;1,1001
130;11,5000;0,0448;1,4152;1,6936
404;11,5000;0,7371;1,8051;1,3115
450;11,6200;0,2465;0,1438;1,1126
192;11,6200;-0,7742;0,4264;1,2253
154;11,6200;0,4693;1,2144;1,2151
574;11,6200;-0,1517;0,5719;1,2162
286;11,6200;0,6704;0,7287;1,0624
130;11,6200;-0,1406;1,3321;1,6933
404;11,6200;0,7335;1,6956;0,9136
450;11,7400;0,2187;0,0087;1,1494
192;11,7400;-0,9260;0,4267;1,2649
154;11,7400;0,2911;1,1802;1,5124
574;11,7400;-0,2022;0,4461;1,1297
286;11,7400;0,5580;0,6564;1,1139
130;11,7400;-0,3082;1,2384;1,5996
404;11,7400;0,7045;1,6540;0,4222
454;11,7400;0,9870;1,2024;1,2364
154;11,8600;0,1131;1,1677;1,4867
574;11,8600;-0,2499;0,3235;1,0963
499;11,8600;0,9044;0,1864;1,1369
286;11,8600;0,4407;0,5817;1,1591
130;11,8600;-0,4673;1,1340;1,5861
404;11,8600;0,6497;1,6484;0,4590
454;11,8600;0,8963;1,1022;1,1263
154;11,9600;-0,0212;1,1656;1,3430
574;11,9600;-0,2969;0,2305;1,0414
499;11,9600;0,8184;0,1489;0,9382
286;11,9600;0,3314;0,5335;1,1944
130;11,9600;-0,5991;1,0367;1,6376
404;11,9600;0,5990;1,6387;0,5168
454;11,9600;0,7768;1,0521;1,2956
154;12,0800;-0,1659;1,1710;1,2069
574;12,0800;-0,3930;0,1601;0,9928
499;12,0800;0,7188;0,1026;0,9148
286;12,0800;0,1896;0,4927;1,2296
130;12,0800;-0,7491;0,9061;1,6577
404;12,0800;0,5351;1,6140;0,5711
454;12,0800;0,6001;1,0170;1,5015
154;12,2000;-0,3045;1,1814;1,1583
574;12,2000;-0,5184;0,1158;1,1081
94;12,2000;-0,1496;1,8880;1,0269
499;12,2000;0,6183;0,0590;0,9133
286;12,2000;0,0415;0,4627;1,2596
130;12,2000;-0,8773;0,7646;1,5911
404;12,2000;0,4669;1,5748;0,6552
454;12,2000;0,4223;0,9768;1,5188
154;12,3200;-0,4465;1,1897;1,1856
574;12,3200;-0,6346;0,0557;1,0904
94;12,3200;-0,1567;1,7637;1,0375
499;12,3200;0,5138;0,0208;0,9267
286;12,3200;-0,1113;0,4336;1,2961
130;12,3200;-0,9779;0,6196;1,4708
404;12,3200;0,3938;1,5056;0,8387
454;12,3200;0,2526;0,9247;1,4794
455;12,3200;0,9617;1,6925;1,3017
215;12,3200;0,9507;0,5842;1,3154
154;12,4400;-0,5985;1,1889;1,2663
94;12,4400;-0,1757;1,6557;0,9140
286;12,4400;-0,2699;0,3976;1,3550
404;12,4400;0,3283;1,3949;1,0720
454;12,4400;0,0887;0,8617;1,4631
455;12,4400;0,9330;1,6316;0,5611
215;12,4400;0,8219;0,5561;1,0984
599;12,4400;0,5527;1,9546;1,4486
154;12,5600;-0,7617;1,1801;1,3617
94;12,5600;-0,2112;1,5653;0,8086
286;12,5600;-0,4325;0,3512;1,4094
404;12,5600;0,2991;1,2601;1,1495
454;12,5600;-0,0762;0,7902;1,4981
455;12,5600;0,9336;1,5404;0,7602
215;12,5600;0,6728;0,5329;1,2577
599;12,5600;0,4524;1,9236;0,8752
154;12,6800;-0,9299;1,1696;1,4051
94;12,6800;-0,2549;1,4822;0,7828
286;12,6800;-0,5917;0,2936;1,4106
404;12,6800;0,3026;1,1147;1,2122
454;12,6800;-0,2409;0,7307;1,4595
455;12,6800;0,9136;1,4621;0,6736
215;12,6800;0,5110;0,5121;1,3592
599;12,6800;0,3625;1,8773;0,8428
94;12,7800;-0,2904;1,4113;0,7930
286;12,7800;-0,7198;0,2370;1,4007
