time;density;specific_flow
4,580;0,0000;0,0000
4,700;0,0000;0,0000
4,820;0,0000;0,0000
4,940;0,0000;0,0000
5,060;0,0000;0,0000
5,180;0,0000;0,0000
5,300;0,0000;0,0000
5,420;0,0000;0,0000
5,540;0,0000;0,0000
5,660;0,0000;0,0000
5,780;0,0000;0,0000
5,900;0,0000;0,0000
6,000;0,0000;0,0000
6,120;0,0000;0,0000
6,240;0,0000;0,0000
6,360;0,0000;0,0000
6,480;0,0000;0,0000
6,600;0,0000;0,0000
6,720;0,0000;0,0000
6,820;0,0000;0,0000
6,940;0,0000;0,0000
7,060;0,0000;0,0000
7,180;0,0000;0,0000
7,300;0,0000;0,0000
7,420;0,0000;0,0000
7,540;0,0000;0,0000
7,640;0,0000;0,0000
7,760;0,0000;0,0000
7,880;0,0000;0,0000
8,000;0,0000;0,0000
8,100;0,0000;0,0000
8,220;0,0000;0,0000
8,340;0,0000;0,0000
8,460;0,0000;0,0000
8,580;0,0000;0,0000
8,700;0,0000;0,0000
8,800;0,0000;0,0000
8,920;0,0000;0,0000
9,040;0,0000;0,0000
9,160;0,0398;0,0747
9,280;0,0398;0,0747
9,400;0,0398;0,0747
9,520;0,0398;0,0747
9,620;0,0398;0,0747
9,740;0,0398;0,0747
9,860;0,0398;0,0747
9,980;0,0398;0,0747
10,100;0,0000;0,0000
10,220;0,0398;0,0700
10,340;0,0398;0,0700
10,440;0,0398;0,0700
10,560;0,0398;0,0700
10,680;0,0398;0,0700
10,800;0,0398;0,0700
10,920;0,0398;0,0700
11,040;0,0398;0,0700
11,140;0,0398;0,0700
11,260;0,0000;0,0000
11,380;0,0000;0,0000
11,500;0,0000;0,0000
11,620;0,0000;0,0000
11,740;0,0000;0,0000
11,860;0,0398;0,0703
11,960;0,0398;0,0703
12,080;0,0398;0,0703
12,200;0,0398;0,0703
12,320;0,0398;0,0703
12,440;0,0796;0,1324
12,560;0,0796;0,1324
12,680;0,1194;0,1842
12,780;0,1194;0,1842
12,900;0,1592;0,2428
13,020;0,1194;0,1725
13,140;0,1194;0,1725
13,260;0,1194;0,1725
13,380;0,1194;0,1725
13,500;0,0796;0,1104
13,600;0,0796;0,1104
13,720;0,1194;0,1607
13,840;0,0398;0,0503
13,960;0,0398;0,0503
14,080;0,0398;0,0503
14,200;0,0796;0,1003
14,320;0,1194;0,1563
14,420;0,1194;0,1563
14,540;0,1592;0,2020
14,660;0,1592;0,2020
14,780;0,1592;0,2020
14,900;0,2387;0,2994
15,020;0,2785;0,3406
15,120;0,2785;0,3406
15,240;0,2387;0,2902
15,360;0,2785;0,3671
15,480;0,2785;0,3671
15,600;0,2785;0,3671
15,720;0,2785;0,3799
15,840;0,2785;0,3799
15,940;0,2387;0,3342
16,040;0,2387;0,3342
16,160;0,1592;0,2325
16,260;0,1592;0,2325
16,360;0,1194;0,1740
16,480;0,0796;0,1056
16,580;0,0796;0,1056
16,680;0,0796;0,1056
16,780;0,0796;0,0975
16,900;0,1194;0,1541
17,000;0,1194;0,1541
17,100;0,1592;0,2179
17,220;0,1989;0,2704
17,320;0,1989;0,2704
17,420;0,1989;0,2704
17,520;0,1989;0,2336
17,640;0,1989;0,2336
17,740;0,1989;0,2336
17,840;0,1592;0,1769
17,960;0,1592;0,1744
18,060;0,1592;0,1744
18,160;0,1592;0,1534
18,280;0,1592;0,1534
18,380;0,1592;0,1534
18,480;0,1592;0,1550
18,580;0,1989;0,2113
18,700;0,2387;0,2700
18,800;0,2785;0,3145
18,900;0,2785;0,3145
19,020;0,3183;0,3638
19,120;0,2785;0,3638
19,220;0,2785;0,3638
19,320;0,1989;0,2493
19,440;0,2387;0,2756
19,540;0,2387;0,2756
19,640;0,1989;0,2330
19,760;0,1989;0,2260
19,860;0,1592;0,1673
19,960;0,1592;0,1673
20,060;0,2387;0,2595
20,180;0,2387;0,2595
20,280;0,2785;0,3165
20,380;0,2785;0,3165
20,500;0,2785;0,3165
20,600;0,2785;0,3165
20,700;0,2785;0,3522
20,800;0,2387;0,3258
20,920;0,2387;0,3258
21,020;0,2387;0,3258
21,120;0,2387;0,3258
21,240;0,1989;0,2779
21,340;0,1989;0,2779
21,440;0,1989;0,2839
21,540;0,1989;0,2839
21,660;0,1989;0,2839
21,760;0,1989;0,2839
21,860;0,1989;0,2839
21,980;0,1989;0,2839
22,080;0,1592;0,2036
22,180;0,1592;0,2036
22,280;0,1194;0,1407
22,400;0,1194;0,1407
22,500;0,1194;0,1407
22,600;0,1194;0,1407
22,720;0,1194;0,1407
22,820;0,1592;0,1946
22,920;0,0796;0,1032
23,040;0,0796;0,1032
23,140;0,1194;0,1587
23,240;0,1194;0,1587
23,340;0,1194;0,1587
23,460;0,1194;0,1587
23,560;0,1592;0,2039
23,660;0,1592;0,2039
23,780;0,1592;0,2039
23,880;0,1989;0,2389
23,980;0,1989;0,2389
24,080;0,1989;0,2421
24,200;0,1592;0,1882
24,300;0,1989;0,2394
24,400;0,1989;0,2394
24,520;0,1592;0,1839
24,620;0,1592;0,1839
24,720;0,1194;0,1387
24,820;0,1592;0,1804
24,940;0,1592;0,1804
25,040;0,1592;0,1804
25,140;0,1989;0,2360
25,260;0,1592;0,2010
25,360;0,1592;0,2010
25,460;0,1194;0,1486
25,560;0,1592;0,1704
25,680;0,1592;0,1704
25,780;0,1194;0,1192
25,880;0,1194;0,1192
26,000;0,1592;0,1684
26,100;0,1592;0,1684
26,200;0,2387;0,2535
26,300;0,2387;0,2535
26,420;0,1989;0,1979
26,520;0,1989;0,2048
26,620;0,1989;0,2048
26,740;0,1989;0,2048
26,840;0,1989;0,2048
26,940;0,1989;0,2048
27,060;0,1989;0,2489
27,160;0,1989;0,2489
27,260;0,1989;0,2489
27,360;0,1989;0,2629
27,480;0,1989;0,2629
27,580;0,1989;0,2673
27,680;0,1989;0,2673
27,800;0,2387;0,3144
27,900;0,2785;0,3705
28,000;0,2785;0,3705
28,100;0,2785;0,3705
28,220;0,3183;0,4210
28,320;0,3183;0,3891
28,420;0,3979;0,4859
28,540;0,3979;0,4859
28,640;0,3979;0,4200
28,740;0,4377;0,4658
28,840;0,4377;0,4287
28,960;0,4377;0,4287
29,060;0,3979;0,3724
29,160;0,3581;0,3219
29,280;0,3979;0,3513
29,380;0,3979;0,3513
29,480;0,4377;0,3946
29,580;0,4775;0,4471
29,700;0,3581;0,3219
29,800;0,3183;0,2799
29,900;0,3183;0,2799
30,020;0,3183;0,2799
30,120;0,3183;0,2733
30,220;0,2785;0,2148
30,320;0,2785;0,2148
30,440;0,2785;0,2148
30,540;0,2785;0,2148
30,640;0,1989;0,1854
30,760;0,1592;0,1422
30,860;0,1592;0,1422
30,960;0,1194;0,1422
31,060;0,1194;0,1217
31,180;0,1194;0,1217
31,280;0,1194;0,1217
31,380;0,1592;0,1540
31,500;0,1989;0,1660
31,600;0,1989;0,1660
31,700;0,2387;0,2182
31,820;0,2785;0,2826
31,920;0,2785;0,2826
32,020;0,3183;0,3242
32,140;0,2785;0,2921
32,240;0,2785;0,2921
32,360;0,2785;0,2921
32,480;0,3183;0,3611
32,600;0,3183;0,3611
32,700;0,3183;0,3611
32,820;0,3183;0,3611
32,940;0,2387;0,2566
33,040;0,1989;0,1921
33,160;0,1989;0,2150
33,280;0,2785;0,3125
33,380;0,2387;0,2709
33,500;0,1989;0,2019
33,620;0,1989;0,2019
33,720;0,2785;0,3086
33,840;0,2785;0,3086
33,960;0,2387;0,2763
34,080;0,2785;0,3042
34,180;0,3581;0,3808
34,300;0,3979;0,4153
34,420;0,3979;0,4153
34,520;0,4377;0,4528
34,640;0,5173;0,5267
34,760;0,4377;0,4063
34,860;0,4377;0,4063
34,980;0,4775;0,4627
35,100;0,4377;0,4627
35,200;0,3581;0,3777
35,320;0,3979;0,4501
35,440;0,4377;0,5215
35,560;0,4377;0,5323
35,660;0,3979;0,4978
35,780;0,4377;0,5998
35,900;0,3979;0,5622
36,000;0,3581;0,5273
36,120;0,3183;0,4884
36,240;0,2785;0,4389
36,340;0,2785;0,4389
36,460;0,2387;0,3628
36,580;0,2785;0,4210
36,680;0,1989;0,2994
36,800;0,1989;0,2895
36,920;0,1989;0,2895
37,040;0,2387;0,3200
37,140;0,1592;0,1889
37,260;0,1592;0,1889
37,380;0,1989;0,2584
37,480;0,1989;0,2584
37,600;0,2387;0,2440
37,720;0,2785;0,3119
37,820;0,1989;0,2053
37,940;0,2785;0,2940
38,060;0,2785;0,2940
38,180;0,3183;0,3190
38,280;0,3979;0,4234
38,400;0,4377;0,4234
38,520;0,3581;0,3539
38,620;0,3183;0,3234
38,740;0,3183;0,3234
38,860;0,3183;0,2555
38,960;0,3979;0,3093
