metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM
total_agents;607
evacuated_agents;607
evacuation_rate;1
rset_100s;195,76
rset_95s;170,26
rset_90s;161,1
rset_50s;92,22
mean_speed_ms;1,0746
std_speed_ms;0,3146
max_speed_ms;2,0698
mean_exit_density_pm2;0,2349
peak_exit_density_pm2;0,5968
mean_global_density_pm2;0,0779
specific_flow_mean_pms;0,2399
specific_flow_peak_pms;0,6293
throughput_ps;3,1007
throughput_Exit_West_ps;1,461
throughput_Exit_South_ps;1,6398
collisions_agent_agent;33
collisions_agent_wall;8
mean_headway_m;0,6178
min_headway_m;0,3666
std_headway_m;0,1335
