time;density;speed
8,660;1,2732;0,3831
8,660;0,9549;0,5108
9,160;1,2732;1,3090
9,160;1,5915;1,3118
9,160;1,2732;1,2839
9,160;1,5915;0,9469
9,160;1,5915;1,0766
9,660;1,2732;1,3257
9,660;1,5915;1,4119
9,660;2,2282;1,1682
9,660;1,9099;1,3887
9,660;1,2732;1,0267
9,660;1,2732;1,3719
9,660;0,6366;1,2229
10,180;1,9099;1,2106
10,180;2,2282;1,1892
10,180;1,5915;1,2499
10,180;1,5915;0,8185
10,180;2,2282;0,9884
10,180;1,9099;1,0999
10,180;0,6366;1,3348
10,680;1,9099;1,2543
10,680;1,5915;0,7975
10,680;2,2282;0,7816
10,680;2,2282;1,1748
10,680;1,2732;1,3066
10,680;0,9549;0,7400
11,180;1,2732;1,2446
11,180;1,5915;1,2278
11,180;1,2732;1,1842
11,180;1,5915;1,0642
11,180;1,9099;1,1895
11,180;1,5915;0,9879
11,700;1,5915;1,3506
11,700;1,9099;1,2247
11,700;1,2732;1,1915
11,700;2,5465;1,3236
11,700;2,2282;1,2778
11,700;2,2282;0,9512
11,700;2,5465;1,2647
11,700;1,9099;1,1097
11,700;2,5465;1,1797
12,200;1,2732;1,2291
12,200;1,2732;1,1691
12,200;2,2282;1,2216
12,200;2,5465;0,8741
12,200;2,2282;1,0958
12,200;2,5465;0,6949
12,200;1,5915;0,6561
12,200;2,5465;0,8418
12,720;1,9099;1,1566
12,720;2,8648;0,8345
12,720;2,8648;0,8326
12,720;2,2282;1,0142
12,720;2,5465;1,0482
12,720;1,5915;1,1313
12,720;2,2282;0,9537
12,720;2,5465;1,0666
12,720;1,2732;0,9547
13,220;1,9099;0,9246
13,220;2,5465;0,9439
13,220;0,9549;1,4123
13,220;1,9099;1,2411
13,220;1,9099;0,9246
13,220;1,2732;0,9932
13,220;1,9099;0,8982
13,720;1,5915;1,2353
13,720;1,5915;0,7778
13,720;2,2282;1,2968
13,720;2,2282;1,0780
13,720;1,2732;0,9767
13,720;1,2732;1,2911
14,240;1,5915;0,7145
14,240;0,9549;0,3338
14,240;2,2282;1,0457
14,240;1,2732;0,9784
14,240;1,5915;1,0286
14,240;1,2732;0,9784
14,740;1,9099;1,1001
14,740;1,5915;1,2060
14,740;1,2732;1,0738
14,740;1,5915;1,0496
14,740;1,9099;0,7732
14,740;1,9099;1,1437
14,740;1,2732;0,2928
15,240;2,2282;1,0288
