agentId;time;posX;posZ;speed
447;7,7600;0,9613;0,7383;1,3930
447;7,8800;0,8007;0,7426;1,3388
447;8,0000;0,6402;0,7469;1,3385
447;8,1000;0,5064;0,7504;1,3382
447;8,2200;0,3459;0,7547;1,3379
447;8,3400;0,1855;0,7589;1,3376
447;8,4600;0,0250;0,7632;1,3373
447;8,5800;-0,1354;0,7674;1,3371
580;8,7000;0,9231;1,3473;1,3408
447;8,7000;-0,2957;0,7716;1,3368
580;8,8000;0,7844;1,3508;1,3876
447;8,8000;-0,4293;0,7751;1,3365
192;8,8000;0,9759;0,7783;1,4507
580;8,9200;0,6154;1,3589;1,4097
447;8,9200;-0,5896;0,7794;1,3363
192;8,9200;0,8041;0,7931;1,4367
460;8,9200;0,9454;0,1450;1,7373
580;9,0400;0,4439;1,3705;1,4330
447;9,0400;-0,7499;0,7836;1,3359
192;9,0400;0,6363;0,8020;1,4001
457;9,0400;-0,4146;1,8566;1,3090
460;9,0400;0,7195;0,1464;1,8826
580;9,1600;0,2698;1,3833;1,4548
447;9,1600;-0,9101;0,7878;1,3357
450;9,1600;0,7231;1,9111;1,2194
258;9,1600;0,9484;1,4236;1,4334
192;9,1600;0,4718;0,8065;1,3717
457;9,1600;-0,4145;1,6968;1,3321
460;9,1600;0,4917;0,1486;1,8983
580;9,2800;0,0948;1,3946;1,4609
450;9,2800;0,7141;1,7955;0,9667
258;9,2800;0,7958;1,3807;1,3208
192;9,2800;0,3098;0,8084;1,3503
457;9,2800;-0,4169;1,5378;1,3251
460;9,2800;0,2622;0,1513;1,9130
580;9,4000;-0,0587;1,3979;1,2795
450;9,4000;0,6950;1,7441;0,4564
258;9,4000;0,6581;1,2561;1,5473
192;9,4000;0,1493;0,8084;1,3370
439;9,4000;0,0536;1,9398;1,2829
457;9,4000;-0,4500;1,3845;1,3073
460;9,4000;0,0309;0,1543;1,9274
580;9,5200;-0,1469;1,3882;0,7398
450;9,5200;0,6847;1,6758;0,5762
258;9,5200;0,5143;1,1099;1,7094
192;9,5200;-0,0117;0,8041;1,3425
439;9,5200;0,0427;1,8053;1,1239
457;9,5200;-0,5659;1,2302;1,6081
460;9,5200;-0,2021;0,1579;1,9418
580;9,6200;-0,2162;1,3582;0,7553
450;9,6200;0,6835;1,5494;1,2635
258;9,6200;0,3910;1,0012;1,6431
192;9,6200;-0,1490;0,7937;1,3767
439;9,6200;0,0459;1,7243;0,8108
457;9,6200;-0,6752;1,1028;1,6787
460;9,6200;-0,3975;0,1614;1,9546
580;9,7400;-0,3355;1,3017;1,0992
450;9,7400;0,6888;1,3681;1,5114
258;9,7400;0,2424;0,8900;1,5467
192;9,7400;-0,3170;0,7680;1,4166
439;9,7400;0,0682;1,6513;0,6361
457;9,7400;-0,8009;0,9463;1,6723
460;9,7400;-0,6334;0,1664;1,9668
574;9,7400;0,6805;1,9581;1,4867
580;9,8600;-0,4768;1,2613;1,2254
450;9,8600;0,6986;1,1873;1,5089
258;9,8600;0,0946;0,7988;1,4469
192;9,8600;-0,4770;0,7242;1,3820
439;9,8600;0,0919;1,5723;0,6875
457;9,8600;-0,9288;0,7934;1,6609
460;9,8600;-0,8709;0,1710;1,9790
574;9,8600;0,6783;1,8661;0,7672
580;9,9800;-0,6253;1,2449;1,2446
450;9,9800;0,7087;1,0101;1,4797
258;9,9800;-0,0510;0,7261;1,3562
192;9,9800;-0,6135;0,6700;1,2244
439;9,9800;0,1061;1,4764;0,8074
574;9,9800;0,6793;1,7579;0,9017
580;10,1000;-0,7765;1,2425;1,2603
450;10,1000;0,7162;0,8383;1,4328
258;10,1000;-0,1923;0,6695;1,2690
192;10,1000;-0,7345;0,6194;1,0930
439;10,1000;0,1094;1,3642;0,9354
574;10,1000;0,6839;1,6353;1,0221
580;10,2200;-0,9292;1,2459;1,2726
450;10,2200;0,7174;0,6724;1,3828
258;10,2200;-0,3271;0,6264;1,1795
192;10,2200;-0,8593;0,5783;1,0948
439;10,2200;0,1038;1,2386;1,0483
574;10,2200;0,6913;1,5008;1,1229
450;10,3400;0,6959;0,5082;1,3794
258;10,3400;-0,4553;0,5943;1,1009
192;10,3400;-0,9933;0,5481;1,1444
439;10,3400;0,0920;1,1026;1,1371
574;10,3400;0,6992;1,3562;1,2068
450;10,4400;0,6522;0,3648;1,4990
258;10,4400;-0,5590;0,5745;1,0553
439;10,4400;0,0795;0,9834;1,1981
574;10,4400;0,7016;1,2291;1,2705
450;10,5600;0,5949;0,1928;1,5109
258;10,5600;-0,6824;0,5575;1,0385
439;10,5600;0,0626;0,8351;1,2446
574;10,5600;0,6867;1,0762;1,2802
286;10,5600;0,9129;0,7283;1,3450
450;10,6800;0,5446;0,0220;1,4835
258;10,6800;-0,8071;0,5465;1,0434
439;10,6800;0,0435;0,6817;1,2883
154;10,6800;0,9993;1,4418;1,2048
574;10,6800;0,6177;0,9777;1,0019
286;10,6800;0,8610;0,6447;0,8196
130;10,6800;0,4889;1,9815;1,5103
258;10,8000;-0,9351;0,5402;1,0673
439;10,8000;0,0209;0,5227;1,3378
154;10,8000;0,8808;1,4523;0,9915
574;10,8000;0,5107;0,9236;0,9998
286;10,8000;0,8410;0,5048;1,1777
130;10,8000;0,4779;1,7944;1,5618
439;10,9200;-0,0045;0,3575;1,3931
154;10,9200;0,7786;1,4495;0,8518
574;10,9200;0,4126;0,8557;0,9944
286;10,9200;0,7948;0,3880;1,0472
130;10,9200;0,4457;1,6240;1,4457
439;11,0400;-0,0303;0,1874;1,4337
154;11,0400;0,7481;1,4103;0,4143
574;11,0400;0,3298;0,7670;1,0105
286;11,0400;0,6732;0,3274;1,1317
130;11,0400;0,3345;1,4938;1,4267
439;11,1400;-0,0513;0,0434;1,4547
154;11,1400;0,7515;1,3719;0,3860
574;11,1400;0,2663;0,6847;1,0395
499;11,1400;0,9462;0,0790;1,3012
286;11,1400;0,5198;0,3117;1,5420
130;11,1400;0,2125;1,3900;1,6016
215;11,1400;0,9437;0,7922;1,8574
154;11,2600;0,7388;1,3353;0,3222
574;11,2600;0,1713;0,6130;0,9918
499;11,2600;0,8417;0,0189;1,0048
286;11,2600;0,3515;0,2663;1,4530
130;11,2600;0,0811;1,2557;1,5663
404;11,2600;0,6506;1,8989;1,5725
215;11,2600;0,7203;0,8080;1,8659
154;11,3800;0,7016;1,3022;0,4152
574;11,3800;0,0429;0,5920;1,0840
286;11,3800;0,2221;0,1640;1,3744
130;11,3800;-0,0273;1,1164;1,4704
404;11,3800;0,6359;1,7158;1,5308
215;11,3800;0,5015;0,8151;1,8247
154;11,5000;0,6460;1,2181;0,8400
574;11,5000;-0,0929;0,5406;1,2098
286;11,5000;0,0888;0,0600;1,4089
130;11,5000;-0,1207;0,9958;1,2711
404;11,5000;0,6131;1,5889;1,0746
612;11,5000;0,9892;0,1405;1,6573
215;11,5000;0,2943;0,8164;1,7264
154;11,6200;0,5678;1,0602;1,4688
574;11,6200;-0,2286;0,4110;1,5640
130;11,6200;-0,2277;0,9192;1,0966
303;11,6200;-0,9152;1,8991;1,4555
404;11,6200;0,5779;1,5269;0,5934
612;11,6200;0,8458;0,1712;1,2220
215;11,6200;0,1182;0,8107;1,4685
154;11,7400;0,4746;0,9036;1,5184
574;11,7400;-0,3607;0,2657;1,6362
130;11,7400;-0,3916;0,8681;1,4309
303;11,7400;-0,9011;1,7127;1,5575
404;11,7400;0,5173;1,4781;0,6480
454;11,7400;0,9271;1,3035;1,2518
612;11,7400;0,6968;0,2030;1,2696
215;11,7400;-0,0135;0,7913;1,1094
154;11,8600;0,3781;0,7713;1,3642
574;11,8600;-0,4872;0,1666;1,3397
130;11,8600;-0,5859;0,8101;1,6894
303;11,8600;-0,8864;1,5264;1,5576
404;11,8600;0,4210;1,4242;0,9203
454;11,8600;0,8727;1,2808;0,4910
612;11,8600;0,5410;0,2331;1,3221
215;11,8600;-0,1349;0,7686;1,0294
154;11,9600;0,2964;0,6857;1,1837
574;11,9600;-0,5801;0,1035;1,1232
130;11,9600;-0,7389;0,7460;1,6589
303;11,9600;-0,8739;1,3717;1,5519
404;11,9600;0,3267;1,3669;1,1031
454;11,9600;0,8349;1,2588;0,4380
612;11,9600;0,4079;0,2514;1,3438
215;11,9600;-0,2483;0,7543;1,1424
154;12,0800;0,1896;0,6279;1,0121
574;12,0800;-0,6712;0,0226;1,0148
130;12,0800;-0,9003;0,6459;1,5827
303;12,0800;-0,8589;1,1899;1,5202
404;12,0800;0,2158;1,2785;1,1821
454;12,0800;0,7808;1,2356;0,4908
612;12,0800;0,2503;0,2452;1,3144
215;12,0800;-0,3996;0,7443;1,2637
154;12,2000;0,0711;0,6289;0,9874
303;12,2000;-0,8459;1,0197;1,4219
404;12,2000;0,1161;1,1714;1,2189
454;12,2000;0,7061;1,2209;0,6337
612;12,2000;0,0961;0,1968;1,3470
215;12,2000;-0,5591;0,7371;1,3304
154;12,3200;-0,0540;0,6463;1,0524
303;12,3200;-0,8934;0,9146;0,9612
404;12,3200;0,0315;1,0605;1,1629
454;12,3200;0,6045;1,2195;0,8471
612;12,3200;-0,0609;0,1365;1,4019
215;12,3200;-0,6578;0,6726;0,9825
154;12,4400;-0,1922;0,6170;1,1778
404;12,4400;-0,0279;0,9798;0,8348
454;12,4400;0,4784;1,2319;1,0558
455;12,4400;0,8768;0,8738;1,2848
612;12,4400;-0,2206;0,0887;1,3888
215;12,4400;-0,6995;0,5469;1,1036
154;12,5600;-0,3473;0,5410;1,4390
404;12,5600;-0,0604;0,9195;0,5708
454;12,5600;0,3389;1,2531;1,1756
455;12,5600;0,7557;0,8378;1,0528
612;12,5600;-0,3795;0,0587;1,3472
215;12,5600;-0,7849;0,4357;1,1684
514;12,5600;0,8295;1,5679;1,5644
154;12,6800;-0,4935;0,4791;1,3235
404;12,6800;-0,0867;0,8354;0,7343
454;12,6800;0,1936;1,2802;1,2319
455;12,6800;0,6338;0,8042;1,0539
612;12,6800;-0,5364;0,0374;1,3201
215;12,6800;-0,9340;0,3438;1,4599
514;12,6800;0,6480;1,5707;1,5126
154;12,7800;-0,6041;0,4571;1,1273
578;12,7800;-0,4672;1,9150;0,8014
404;12,7800;-0,1071;0,7395;0,9808
454;12,7800;0,0630;1,3019;1,3237
455;12,7800;0,5307;0,7798;1,0593
612;12,7800;-0,6673;0,0156;1,3264
514;12,7800;0,5012;1,5682;1,4680
154;12,9000;-0,7324;0,4601;1,0693
578;12,9000;-0,4805;1,8120;0,8655
404;12,9000;-0,1279;0,6025;1,1546
454;12,9000;-0,1134;1,3147;1,4739
455;12,9000;0,4074;0,7561;1,0463
599;12,9000;0,8379;1,8688;1,2871
514;12,9000;0,3316;1,5531;1,4188
154;13,0200;-0,8586;0,4798;1,0644
578;13,0200;-0,4936;1,7094;0,8617
94;13,0200;0,1446;1,9255;0,8964
404;13,0200;-0,1516;0,4470;1,3102
454;13,0200;-0,3046;1,3004;1,5981
455;13,0200;0,2891;0,7407;0,9938
599;13,0200;0,8544;1,7288;1,1747
514;13,0200;0,1829;1,4957;1,3286
154;13,1400;-0,9750;0,5044;0,9914
578;13,1400;-0,5221;1,6356;0,6596
94;13,1400;0,1313;1,9028;0,2193
404;13,1400;-0,1811;0,2732;1,4690
454;13,1400;-0,4828;1,2174;1,6381
455;13,1400;0,1747;0,7353;0,9547
599;13,1400;0,8674;1,5855;1,1988
527;13,1400;0,9278;0,8524;1,3438
514;13,1400;0,0460;1,3841;1,4715
578;13,2600;-0,5522;1,5868;0,4778
94;13,2600;0,1258;1,8824;0,1760
404;13,2600;-0,2087;0,0873;1,5663
454;13,2600;-0,6363;1,0831;1,7004
455;13,2600;0,0574;0,7322;0,9780
599;13,2600;0,8730;1,4417;1,1996
527;13,2600;0,7329;0,8677;1,6292
514;13,2600;-0,0908;1,2729;1,4693
578;13,3800;-0,5774;1,5076;0,6928
94;13,3800;0,1241;1,8421;0,3366
454;13,3800;-0,7927;0,9527;1,6964
455;13,3800;-0,0638;0,7176;1,0168
367;13,3800;-0,6435;1,9869;1,2018
599;13,3800;0,8458;1,3113;1,1102
527;13,3800;0,5377;0,8770;1,6290
514;13,3800;-0,2227;1,1844;1,3232
578;13,5000;-0,6238;1,4304;0,7503
94;13,5000;0,1200;1,7758;0,5536
454;13,5000;-0,9456;0,8523;1,5245
455;13,5000;-0,1854;0,6761;1,0709
367;13,5000;-0,6597;1,9615;0,2507
599;13,5000;0,7258;1,2001;1,3631
527;13,5000;0,3422;0,8751;1,6290
514;13,5000;-0,3359;1,1107;1,1266
119;13,5000;0,8096;0,6112;1,8124
578;13,6000;-0,6935;1,3972;0,7725
94;13,6000;0,1061;1,6943;0,8267
455;13,6000;-0,2872;0,6126;1,1998
367;13,6000;-0,6699;1,9342;0,2921
599;13,6000;0,6073;1,1100;1,4888
527;13,6000;0,1796;0,8656;1,6291
514;13,6000;-0,4115;1,0504;0,9665
119;13,6000;0,6504;0,6050;1,5940
578;13,7200;-0,7958;1,3817;0,8621
94;13,7200;0,0685;1,5642;1,1286
455;13,7200;-0,4156;0,5030;1,4074
