time;density;speed
7,620;0,3183;1,5860
8,140;0,3183;1,6254
8,140;0,3183;1,5846
8,660;0,9549;0,5415
8,660;0,9549;0,5415
9,160;0,6366;1,4456
9,160;1,2732;1,1425
9,660;1,9099;0,7015
9,660;2,2282;0,8162
9,660;1,2732;1,4286
9,660;0,9549;1,5573
9,660;0,9549;1,4820
9,660;0,9549;1,4318
10,180;2,5465;1,0372
10,180;2,2282;0,7920
10,180;2,2282;1,3112
10,180;1,5915;1,4517
10,180;1,5915;1,3392
10,180;2,2282;1,4282
10,180;1,5915;0,5598
10,180;1,2732;0,6998
10,180;1,9099;0,9892
10,680;2,2282;1,1818
10,680;2,2282;1,0037
10,680;2,2282;1,1818
10,680;1,5915;0,7151
10,680;1,9099;0,7135
10,680;1,5915;1,0339
10,680;2,2282;1,0488
11,180;1,9099;1,0801
11,180;2,2282;1,0544
11,180;1,9099;1,1914
11,180;2,2282;1,0033
11,180;1,9099;1,0746
11,180;1,5915;1,1363
11,180;2,2282;1,0544
11,180;1,2732;1,1704
11,180;0,9549;1,1588
11,700;1,9099;1,0559
11,700;1,9099;1,1587
11,700;2,2282;1,0539
11,700;1,5915;1,1988
11,700;1,9099;1,2563
11,700;0,9549;1,0862
11,700;1,9099;0,7572
12,200;2,5465;1,1566
12,200;1,9099;1,3161
12,200;2,2282;1,2787
12,200;1,2732;1,1184
12,200;1,5915;1,2204
12,200;1,2732;0,8410
12,200;1,9099;1,0261
12,200;1,2732;1,3501
12,720;1,9099;1,2666
12,720;1,9099;1,2746
12,720;1,2732;0,9733
12,720;1,9099;1,1664
12,720;1,5915;1,0239
12,720;1,2732;0,9733
13,220;0,9549;1,3602
13,220;1,2732;1,2834
13,220;1,2732;1,1004
13,220;1,2732;0,4908
13,220;1,2732;0,6321
13,220;1,2732;1,3163
13,720;1,2732;1,3087
13,720;1,5915;0,9607
13,720;1,5915;0,9684
13,720;1,5915;0,9607
13,720;1,5915;0,8136
13,720;1,2732;0,8767
14,240;1,2732;1,0747
14,240;1,2732;1,1063
14,240;1,2732;1,2403
14,240;1,9099;1,0931
14,240;0,9549;0,9298
14,240;0,9549;1,0185
14,240;0,9549;1,2386
14,740;1,2732;1,0064
14,740;1,9099;0,9893
14,740;0,9549;0,5351
14,740;1,5915;0,6518
14,740;1,5915;0,8651
14,740;1,2732;1,2286
15,240;1,5915;1,1452
15,240;1,5915;1,1258
15,240;1,9099;1,1259
15,240;1,5915;1,0548
15,240;0,9549;1,1625
15,240;0,9549;1,1388
15,240;1,5915;0,8679
15,240;1,2732;1,1654
15,760;0,9549;1,2430
15,760;2,2282;0,9324
15,760;1,5915;0,9900
15,760;1,5915;0,7440
15,760;1,5915;0,9253
15,760;1,5915;0,9253
15,760;1,2732;1,0370
15,760;1,9099;0,7221
16,260;2,5465;1,0493
16,260;1,5915;0,9262
16,260;2,2282;1,0872
16,260;1,2732;1,0584
16,260;1,9099;1,1082
16,260;2,2282;0,9943
16,260;1,2732;0,9457
16,760;2,2282;0,9975
16,760;1,5915;0,8677
16,760;1,5915;1,0565
16,760;1,9099;0,9177
16,760;1,2732;0,8563
17,260;1,9099;1,0096
17,260;1,5915;0,8688
17,260;1,9099;0,9262
17,260;1,5915;1,0870
17,260;1,5915;1,0995
17,260;1,9099;0,6399
17,260;1,2732;0,7966
17,260;1,2732;0,7966
17,760;2,2282;1,1503
17,760;1,9099;1,2400
17,760;2,8648;1,1675
17,760;1,2732;1,2150
17,760;1,9099;1,1390
17,760;1,5915;1,4573
17,760;1,2732;1,1234
17,760;2,2282;1,3322
17,760;0,9549;1,4497
18,280;2,2282;1,1266
18,280;2,8648;0,9943
18,280;1,5915;0,9146
18,280;1,9099;0,9623
18,280;2,5465;1,0003
18,280;0,9549;1,0883
18,280;2,2282;1,0152
18,280;2,2282;1,1381
18,780;0,9549;0,6899
18,780;0,3183;1,4696
18,780;1,5915;0,9043
18,780;1,2732;1,0314
19,280;1,2732;0,5449
19,280;1,5915;0,9608
19,280;0,9549;0,2241
19,280;0,6366;0,0000
19,780;0,9549;1,2545
19,780;1,2732;1,2983
19,780;1,2732;1,1040
19,780;0,6366;0,8147
19,780;0,9549;0,9954
19,780;1,2732;1,0906
20,280;1,5915;1,5037
20,280;1,2732;1,2680
20,280;0,9549;1,4408
20,280;1,9099;1,3092
20,280;1,2732;1,3563
20,280;0,9549;1,1379
20,780;0,9549;1,2754
20,780;1,2732;1,4537
20,780;1,2732;1,2341
20,780;0,6366;1,4053
21,280;0,6366;0,9968
21,280;0,9549;1,1658
21,780;1,2732;0,6880
21,780;0,9549;0,3711
21,780;0,9549;0,7483
21,780;0,6366;1,3761
22,280;1,5915;0,9046
22,280;1,5915;1,2311
22,280;1,2732;0,8403
22,280;1,2732;1,2679
22,280;0,6366;1,4213
22,280;0,6366;1,3715
22,800;0,9549;0,9685
22,800;1,9099;1,1114
22,800;1,5915;1,0793
22,800;1,5915;0,8871
22,800;1,2732;1,1176
22,800;1,9099;0,6702
22,800;1,2732;1,1176
23,300;0,9549;0,7130
23,300;1,9099;1,1796
23,300;1,2732;1,0923
23,300;1,9099;1,1909
23,300;1,5915;0,9252
23,300;1,5915;1,0065
23,300;1,9099;0,8409
23,800;1,9099;0,6405
23,800;1,9099;1,1174
23,800;1,9099;1,1313
23,800;1,9099;0,9681
23,800;1,2732;0,6545
23,800;1,2732;0,6611
23,800;1,9099;1,1316
23,800;1,5915;0,9810
24,300;2,2282;0,6205
24,300;1,9099;1,0959
24,300;1,9099;1,0471
24,300;1,9099;0,6015
24,300;1,9099;0,8190
24,300;1,9099;1,0005
24,300;2,2282;1,0957
24,300;1,9099;0,7570
24,300;1,5915;0,7214
24,800;2,5465;0,6719
24,800;2,8648;0,7265
24,800;2,2282;0,5047
24,800;2,2282;0,9912
24,800;1,9099;0,8177
24,800;0,9549;0,8106
24,800;1,2732;0,9347
24,800;1,9099;0,5212
25,300;2,5465;0,9439
25,300;2,2282;0,9123
25,300;1,9099;0,9294
25,300;2,2282;1,1207
25,300;1,5915;0,8198
25,300;1,9099;1,0417
25,300;1,5915;0,8264
25,300;1,9099;0,9431
25,300;1,2732;1,0068
25,800;2,2282;0,9921
25,800;2,2282;0,9162
25,800;1,5915;1,0215
25,800;1,9099;0,9195
25,800;1,5915;0,7859
25,800;1,5915;0,9592
25,800;1,2732;1,0223
26,300;2,2282;1,1099
26,300;2,2282;1,0172
26,300;1,5915;0,9538
26,300;1,9099;1,0272
26,300;1,5915;1,0666
26,300;1,5915;1,0363
26,300;0,9549;1,1198
26,820;1,5915;1,1157
26,820;1,9099;1,1144
26,820;1,9099;1,1437
26,820;0,6366;0,0000
26,820;2,2282;0,6673
26,820;2,2282;0,9803
26,820;1,5915;1,2708
26,820;0,6366;1,5506
27,320;1,9099;1,0449
27,320;1,9099;0,9557
27,320;0,9549;0,7688
27,320;1,2732;0,7226
27,320;2,2282;0,7590
27,320;0,9549;0,7688
27,320;1,5915;0,7561
27,820;1,5915;0,9888
27,820;1,2732;0,9718
27,820;1,2732;0,8702
27,820;1,5915;0,9007
27,820;1,5915;0,9108
27,820;1,2732;0,8238
27,820;0,6366;1,2254
28,320;1,9099;1,1362
28,320;1,5915;0,8684
28,320;1,2732;1,1106
28,320;2,2282;1,0958
28,320;2,2282;1,0833
28,320;1,9099;1,0969
28,320;1,5915;1,0596
28,320;1,5915;0,8227
28,820;1,5915;0,9763
28,820;2,2282;1,0635
28,820;1,9099;1,1163
28,820;1,9099;1,0021
28,820;1,5915;0,9763
28,820;1,2732;0,7729
29,320;1,2732;0,9734
29,320;1,9099;1,0415
29,320;1,5915;0,9873
29,320;1,5915;0,9873
29,320;1,2732;1,0559
29,320;1,2732;0,5703
29,820;1,5915;1,2204
29,820;1,9099;0,8969
29,820;1,9099;1,0167
29,820;1,2732;1,1045
29,820;1,5915;0,9416
29,820;1,2732;0,9753
30,320;1,5915;1,4031
30,320;1,2732;1,2957
30,320;1,9099;1,2575
30,320;1,2732;0,9220
30,320;1,5915;1,3266
30,320;1,5915;1,2886
30,320;0,9549;1,3666
30,840;0,9549;1,2638
30,840;1,9099;1,2001
30,840;1,5915;0,8924
30,840;1,5915;1,2251
30,840;1,9099;1,2818
30,840;1,2732;1,2848
30,840;1,2732;0,2712
31,340;1,2732;1,2291
31,340;1,9099;1,1612
31,340;1,9099;1,0676
31,340;1,5915;1,0272
31,340;0,9549;0,9027
31,840;1,9099;1,2252
31,840;1,9099;1,3122
31,840;0,9549;0,8701
31,840;1,5915;1,3805
31,840;0,9549;1,4632
32,340;1,2732;0,7682
32,340;1,5915;1,1938
32,340;1,2732;1,1908
32,340;1,5915;1,1480
32,340;1,5915;0,6146
32,840;1,5915;0,3789
32,840;0,9549;1,1348
32,840;1,5915;1,2530
32,840;1,9099;0,9704
32,840;0,9549;0,8118
33,340;1,5915;0,5090
33,340;0,9549;1,2415
33,340;1,2732;1,2538
33,340;1,5915;0,5090
33,340;1,2732;1,1299
33,340;1,5915;0,6680
33,340;1,2732;0,7816
33,840;1,5915;0,7842
33,840;1,5915;0,5156
33,840;1,9099;1,0816
33,840;1,2732;1,2568
33,840;0,9549;1,1865
33,840;1,2732;0,6885
34,340;1,5915;0,7984
34,340;1,5915;1,0680
34,340;1,5915;1,1222
34,340;1,9099;0,4668
34,340;1,5915;1,2516
34,340;1,5915;0,3730
34,340;1,2732;1,3906
34,340;1,2732;1,0266
34,340;1,2732;0,7179
34,840;2,5465;0,9823
34,840;1,9099;1,0058
34,840;2,2282;0,8218
34,840;2,2282;0,7221
34,840;1,2732;0,8707
34,840;1,5915;0,6382
34,840;1,5915;0,4668
34,840;2,2282;0,7616
34,840;2,5465;0,6318
