time;density;specific_flow
4,580;0,0000;0,0000
4,700;0,0000;0,0000
4,820;0,0000;0,0000
4,940;0,0000;0,0000
5,060;0,0000;0,0000
5,180;0,0000;0,0000
5,300;0,0000;0,0000
5,420;0,0000;0,0000
5,540;0,0000;0,0000
5,660;0,0000;0,0000
5,780;0,0000;0,0000
5,900;0,0000;0,0000
6,000;0,0000;0,0000
6,120;0,0000;0,0000
6,240;0,0000;0,0000
6,360;0,0000;0,0000
6,480;0,0000;0,0000
6,600;0,0000;0,0000
6,720;0,0000;0,0000
6,820;0,0000;0,0000
6,940;0,0000;0,0000
7,060;0,0000;0,0000
7,180;0,0000;0,0000
7,300;0,0000;0,0000
7,420;0,0000;0,0000
7,540;0,0000;0,0000
7,640;0,0000;0,0000
7,760;0,0000;0,0000
7,880;0,0000;0,0000
8,000;0,0000;0,0000
8,100;0,0000;0,0000
8,220;0,0000;0,0000
8,340;0,0000;0,0000
8,460;0,0000;0,0000
8,580;0,0000;0,0000
8,700;0,0000;0,0000
8,800;0,0000;0,0000
8,920;0,0000;0,0000
9,040;0,0000;0,0000
9,160;0,0000;0,0000
9,280;0,0000;0,0000
9,400;0,0000;0,0000
9,520;0,0000;0,0000
9,620;0,0398;0,0665
9,740;0,0398;0,0665
9,860;0,0398;0,0665
9,980;0,0398;0,0665
10,100;0,0398;0,0665
10,220;0,0398;0,0665
10,340;0,0398;0,0665
10,440;0,0398;0,0665
10,560;0,0398;0,0665
10,680;0,0000;0,0000
10,800;0,0398;0,0688
10,920;0,0398;0,0688
11,040;0,0398;0,0688
11,140;0,0398;0,0688
11,260;0,0796;0,1328
11,380;0,0796;0,1328
11,500;0,0796;0,1328
11,620;0,0796;0,1328
11,740;0,0796;0,1328
11,860;0,0796;0,1328
11,960;0,0398;0,0640
12,080;0,0398;0,0640
12,200;0,0000;0,0000
12,320;0,0000;0,0000
12,440;0,0000;0,0000
12,560;0,0398;0,0392
12,680;0,0398;0,0392
12,780;0,0398;0,0392
12,900;0,0398;0,0392
13,020;0,0398;0,0392
13,140;0,0398;0,0392
13,260;0,0796;0,0910
13,380;0,0796;0,0910
13,500;0,0796;0,0910
13,600;0,1194;0,1539
13,720;0,1592;0,2096
13,840;0,1592;0,2096
13,960;0,1592;0,2096
14,080;0,1592;0,2096
14,200;0,1989;0,2480
14,320;0,2387;0,3261
14,420;0,2387;0,3261
14,540;0,1592;0,2186
14,660;0,1592;0,2186
14,780;0,1194;0,1643
14,900;0,1194;0,1643
15,020;0,1989;0,2748
15,120;0,1592;0,2364
15,240;0,1592;0,2364
15,360;0,1194;0,1583
15,480;0,1194;0,1583
15,600;0,1194;0,1583
15,720;0,1989;0,2574
15,840;0,1592;0,2118
15,940;0,1194;0,1470
16,040;0,1194;0,1470
16,160;0,1592;0,1786
16,260;0,1592;0,1786
16,360;0,1592;0,1786
16,480;0,1592;0,1856
16,580;0,1592;0,1856
16,680;0,1194;0,1551
16,780;0,1194;0,1384
16,900;0,1194;0,1384
17,000;0,1592;0,1776
17,100;0,1592;0,1776
17,220;0,1592;0,1776
17,320;0,1592;0,1776
17,420;0,1989;0,2436
17,520;0,2387;0,2975
17,640;0,2387;0,2975
17,740;0,2387;0,2975
17,840;0,2387;0,2990
17,960;0,2387;0,2990
18,060;0,2387;0,2990
18,160;0,2387;0,2990
18,280;0,2387;0,2875
18,380;0,1989;0,2488
18,480;0,1989;0,2488
18,580;0,1989;0,2488
18,700;0,2387;0,2829
18,800;0,1989;0,2020
18,900;0,1592;0,1456
19,020;0,1592;0,1456
19,120;0,1989;0,2042
19,220;0,2785;0,3015
19,320;0,2387;0,2610
19,440;0,2785;0,3253
19,540;0,3183;0,3948
19,640;0,3183;0,3948
19,760;0,2387;0,3237
19,860;0,2785;0,3856
19,960;0,3183;0,4390
20,060;0,3183;0,4390
20,180;0,3183;0,4524
20,280;0,3183;0,4524
20,380;0,3183;0,4579
20,500;0,2785;0,3993
20,600;0,1989;0,2656
20,700;0,1989;0,2656
20,800;0,1592;0,2155
20,920;0,1592;0,2155
21,020;0,1592;0,2155
21,120;0,0796;0,1002
21,240;0,1194;0,1427
21,340;0,1194;0,1427
21,440;0,1592;0,2102
21,540;0,1194;0,1575
21,660;0,1194;0,1575
21,760;0,1194;0,1575
21,860;0,1194;0,1827
21,980;0,1194;0,1827
22,080;0,1194;0,1827
22,180;0,1194;0,1827
22,280;0,1194;0,1827
22,400;0,1194;0,1988
22,500;0,1194;0,1988
22,600;0,1194;0,1988
22,720;0,1194;0,1846
22,820;0,1194;0,1507
22,920;0,1194;0,1507
23,040;0,1592;0,1894
23,140;0,1592;0,1894
23,240;0,2387;0,3010
23,340;0,2387;0,3010
23,460;0,2785;0,3674
23,560;0,2785;0,3640
23,660;0,3183;0,4287
23,780;0,3581;0,4895
23,880;0,3183;0,4361
23,980;0,2387;0,3586
24,080;0,2387;0,3586
24,200;0,2387;0,3586
24,300;0,1989;0,2937
24,400;0,1989;0,2937
24,520;0,1194;0,1721
24,620;0,1194;0,1721
24,720;0,0398;0,0608
24,820;0,0398;0,0608
24,940;0,0796;0,1076
25,040;0,0398;0,0468
25,140;0,0398;0,0468
25,260;0,0398;0,0468
25,360;0,0796;0,0966
25,460;0,0796;0,0966
25,560;0,0796;0,0966
25,680;0,0796;0,0966
25,780;0,0796;0,0966
25,880;0,0796;0,0966
26,000;0,0796;0,1064
26,100;0,0796;0,1064
26,200;0,1194;0,1613
26,300;0,0796;0,1115
26,420;0,0796;0,1115
26,520;0,1194;0,1581
26,620;0,1592;0,2079
26,740;0,1592;0,2079
26,840;0,1592;0,2079
26,940;0,1592;0,2079
27,060;0,1989;0,2584
27,160;0,1989;0,2584
27,260;0,1194;0,1469
27,360;0,1592;0,1890
27,480;0,1989;0,2585
27,580;0,1989;0,2585
27,680;0,1989;0,2571
27,800;0,1592;0,2105
27,900;0,1989;0,2665
28,000;0,1592;0,2160
28,100;0,1592;0,2160
28,220;0,1989;0,2604
28,320;0,2387;0,3071
28,420;0,2785;0,3360
28,540;0,2785;0,3360
28,640;0,2785;0,3360
28,740;0,2785;0,3360
28,840;0,2387;0,2847
28,960;0,2387;0,2847
29,060;0,2387;0,2847
29,160;0,2387;0,2847
29,280;0,2387;0,2998
29,380;0,2387;0,2998
29,480;0,2387;0,2714
29,580;0,2785;0,3213
29,700;0,2785;0,3238
29,800;0,2785;0,3238
29,900;0,2785;0,3238
30,020;0,2387;0,2771
30,120;0,1989;0,2303
30,220;0,2387;0,3039
30,320;0,2387;0,2937
30,440;0,1989;0,2466
30,540;0,1989;0,2466
30,640;0,1989;0,2466
30,760;0,2387;0,3018
30,860;0,1989;0,2520
30,960;0,1989;0,2824
31,060;0,1592;0,2320
31,180;0,1592;0,2289
31,280;0,1592;0,2289
31,380;0,1592;0,2289
31,500;0,1194;0,1722
31,600;0,1194;0,1722
31,700;0,1592;0,2065
31,820;0,1592;0,2065
31,920;0,1592;0,2065
32,020;0,1592;0,2211
32,140;0,1592;0,2211
32,240;0,1194;0,1506
32,360;0,0796;0,0954
32,480;0,1194;0,1379
32,600;0,1194;0,1379
32,700;0,0796;0,1036
32,820;0,1194;0,1609
32,940;0,1194;0,1609
33,040;0,1194;0,1609
33,160;0,0796;0,0999
33,280;0,0796;0,0999
33,380;0,0796;0,0999
33,500;0,1194;0,1461
33,620;0,1592;0,2082
33,720;0,1194;0,1657
33,840;0,1194;0,1657
33,960;0,1194;0,1657
34,080;0,1194;0,1715
34,180;0,1592;0,2278
34,300;0,1592;0,2278
34,420;0,1592;0,2278
34,520;0,1989;0,2679
34,640;0,2387;0,3113
34,760;0,2387;0,3113
34,860;0,2785;0,3755
34,980;0,3183;0,4337
35,100;0,2785;0,3716
35,200;0,2785;0,3707
35,320;0,3183;0,4172
35,440;0,3183;0,4004
35,560;0,3581;0,4501
35,660;0,2785;0,3665
35,780;0,2785;0,3665
35,900;0,2785;0,3665
36,000;0,1989;0,2499
36,120;0,1989;0,2499
36,240;0,2387;0,3019
36,340;0,1592;0,2034
36,460;0,1592;0,1784
36,580;0,1989;0,2290
36,680;0,1989;0,2290
36,800;0,1592;0,1935
36,920;0,1592;0,1935
37,040;0,1592;0,1935
37,140;0,1592;0,1935
37,260;0,1194;0,1415
37,380;0,1194;0,1415
37,480;0,1194;0,1415
37,600;0,1194;0,1415
37,720;0,1592;0,1902
37,820;0,1592;0,1902
37,940;0,2387;0,2764
38,060;0,1989;0,2257
38,180;0,1592;0,1652
38,280;0,1592;0,1652
38,400;0,1592;0,1652
38,520;0,1989;0,2114
38,620;0,1989;0,2114
38,740;0,2387;0,2690
38,860;0,1989;0,2266
38,960;0,1989;0,2266
