time;agentId;headwayDistance;headwayVelocity
8,2200;447;0,5990;0,0000
8,4800;447;0,6207;1,6538
8,4800;192;0,6207;1,2588
8,7400;447;0,6576;1,7563
8,7400;192;0,6576;1,1914
8,7400;457;0,8768;0,0000
9,0000;447;0,4887;1,4435
9,0000;450;0,8686;1,4435
9,0000;192;0,7072;1,1309
9,0000;457;0,4887;1,1309
9,0000;460;1,0098;1,7965
9,2600;447;0,4953;0,8717
9,2600;450;0,8378;0,8104
9,2600;192;0,6996;0,8104
9,2600;457;0,4953;0,8104
9,2600;460;0,7586;0,8104
9,5200;447;0,4128;1,5859
9,5200;450;0,7046;0,0000
9,5200;457;0,5305;0,8218
9,5200;460;0,4128;0,8218
9,7800;580;0,6982;1,3288
9,7800;447;0,4308;0,7691
9,7800;450;0,6982;1,0724
9,7800;457;0,4308;0,8503
9,7800;460;0,4879;0,8503
10,0400;580;0,5515;1,1621
10,0400;447;0,5249;0,8055
10,0400;450;0,9120;1,0255
10,0400;439;0,5515;1,0255
10,0400;457;0,5249;0,5973
10,0400;460;0,5697;0,5973
10,3000;580;0,5040;0,8573
10,3000;447;0,4756;0,7316
10,3000;450;1,1087;0,7574
10,3000;258;0,5344;0,0000
10,3000;439;0,5040;0,7574
10,3000;578;0,5668;0,8573
10,5600;580;0,5282;1,1358
10,5600;447;0,4961;0,7316
10,5600;258;0,5298;0,0000
10,5600;439;0,4957;0,8084
10,5600;578;0,4957;1,1358
10,5600;286;0,6838;0,8520
10,8200;580;0,4560;1,0787
10,8200;447;0,5016;0,7316
10,8200;258;0,5103;0,0000
10,8200;439;0,4807;0,8052
10,8200;154;0,4157;1,1379
10,8200;578;0,5784;1,2619
10,8200;574;0,4157;1,1857
10,8200;286;0,4560;0,8052
11,0800;580;0,5058;1,4936
11,0800;258;0,4470;0,7959
11,0800;439;0,5058;0,9840
11,0800;154;0,4683;1,5362
11,0800;578;0,4929;1,2209
11,0800;574;0,6004;1,4117
11,0800;286;0,5223;1,5362
11,0800;130;0,4470;1,2209
11,0800;454;0,4683;1,4117
11,3400;580;0,5634;0,8201
11,3400;258;0,4771;1,2571
11,3400;439;0,5100;0,5315
11,3400;154;0,4710;1,0705
11,3400;578;0,4771;1,1419
11,3400;574;0,6623;0,3274
11,3400;94;0,4576;0,3274
11,3400;286;0,4823;1,0705
11,3400;130;0,4576;0,0000
11,3400;454;0,4710;1,1913
11,6000;580;0,5216;1,5582
11,6000;258;0,5084;1,0645
11,6000;439;0,5442;0,5315
11,6000;154;0,4935;0,8354
11,6000;578;0,5216;0,8888
11,6000;574;0,5856;0,5240
11,6000;94;0,5084;1,0656
11,6000;499;0,5533;0,8354
11,6000;286;0,5368;0,8888
11,6000;130;0,5651;1,0645
11,6000;303;0,5171;1,0645
11,6000;454;0,4935;1,2080
11,8600;580;0,5358;1,1122
11,8600;258;0,4011;0,7099
11,8600;154;0,4681;0,6717
11,8600;574;0,3906;0,0000
11,8600;94;0,4681;1,2342
11,8600;499;0,5266;1,2244
11,8600;286;0,5358;0,8677
11,8600;130;0,4633;0,9490
11,8600;303;0,4011;1,2133
11,8600;454;0,4940;1,2342
11,8600;215;0,4848;0,9490
12,1200;580;0,5334;1,2194
12,1200;154;0,4271;1,3227
12,1200;574;0,4988;0,9886
12,1200;94;0,4570;0,9886
12,1200;499;0,4393;1,5256
12,1200;286;0,5581;1,1774
12,1200;130;0,4570;0,5330
12,1200;303;0,5029;1,2194
12,1200;454;0,4271;1,1651
12,1200;215;0,4393;1,0935
12,3800;154;0,4576;1,2375
12,3800;574;0,5726;0,5791
12,3800;94;0,5166;0,5791
12,3800;499;0,4739;1,1278
12,3800;286;0,5543;1,2774
12,3800;130;0,4959;1,1278
12,3800;303;0,4698;1,1776
