time;agentIdA;agentIdB;type
17,5200;228;269;Agent
17,5400;228;269;Agent
17,5600;228;269;Agent
17,5800;228;269;Agent
17,6000;228;269;Agent
23,6400;518;-1;Wall
23,6600;518;-1;Wall
23,6800;518;-1;Wall
28,0800;534;-1;Wall
28,1000;534;-1;Wall
28,1200;534;-1;Wall
33,1000;408;-1;Wall
33,1200;408;-1;Wall
45,0800;270;-1;Wall
45,1000;270;-1;Wall
45,1200;270;-1;Wall
56,4200;288;431;Agent
63,6000;98;-1;Wall
63,6200;98;-1;Wall
63,6400;98;-1;Wall
66,9600;213;353;Agent
66,9600;213;301;Agent
66,9800;213;353;Agent
66,9800;213;301;Agent
67,0000;213;353;Agent
67,0000;213;301;Agent
67,0200;213;353;Agent
67,0200;213;301;Agent
67,0400;213;353;Agent
67,0400;213;301;Agent
67,0600;213;301;Agent
67,0800;213;301;Agent
67,1000;213;301;Agent
67,1200;213;301;Agent
70,5800;422;584;Agent
70,6000;422;584;Agent
98,3800;117;359;Agent
98,4000;117;359;Agent
98,5200;161;243;Agent
103,4000;146;496;Agent
103,4200;146;496;Agent
103,4400;146;496;Agent
103,4600;146;496;Agent
103,4800;146;496;Agent
124,4600;111;209;Agent
124,4800;111;209;Agent
124,5000;111;209;Agent
129,4400;89;221;Agent
139,4599;348;426;Agent
139,4799;348;426;Agent
140,5399;129;324;Agent
140,5600;129;324;Agent
150,2999;242;355;Agent
150,3199;242;355;Agent
150,3400;242;355;Agent
152,8400;491;-1;Wall
152,8599;491;-1;Wall
152,8799;491;-1;Wall
152,8999;491;-1;Wall
152,9200;491;-1;Wall
152,9399;491;-1;Wall
152,9599;491;-1;Wall
152,9799;491;-1;Wall
152,9999;491;-1;Wall
153,0199;491;-1;Wall
