metric;value
model_type;SFM
scenario_id;Crossing90
run_id;D_003_SFM_run20
total_agents;607
evacuated_agents;607
evacuation_rate;1,0000
rset_100s;180,920
rset_95s;165,580
rset_90s;153,800
rset_50s;89,440
mean_speed_ms;1,1498
std_speed_ms;0,3134
max_speed_ms;2,1180
mean_exit_density_pm2;0,1750
peak_exit_density_pm2;0,4377
mean_global_density_pm2;0,0779
specific_flow_mean_pms;0,2172
specific_flow_peak_pms;0,5607
throughput_ps;3,3551
throughput_Exit_South_ps;1,8074
throughput_Exit_West_ps;1,5476
collisions_agent_agent;49
collisions_agent_wall;30
mean_headway_m;0,5728
min_headway_m;0,3518
std_headway_m;0,1412
