time;evacuated_count
12,040;1
12,280;2
13,720;3
14,220;4
14,340;5
14,520;6
14,580;7
14,880;8
15,340;9
15,740;10
16,160;11
16,380;12
16,440;13
16,800;14
17,580;15
17,640;16
17,760;17
18,180;18
18,520;19
18,660;20
18,780;21
19,440;22
20,040;23
20,440;24
20,440;25
20,520;26
20,980;27
21,360;28
21,780;29
22,180;30
22,240;31
22,700;32
22,900;33
23,240;34
23,460;35
23,780;36
23,780;37
23,800;38
24,140;39
24,160;40
24,720;41
24,980;42
25,020;43
25,100;44
25,420;45
25,420;46
25,640;47
25,660;48
25,980;49
26,360;50
27,300;51
27,320;52
27,840;53
28,200;54
28,440;55
28,660;56
29,080;57
29,240;58
29,740;59
29,840;60
29,940;61
30,260;62
30,340;63
30,600;64
30,680;65
30,780;66
31,020;67
31,040;68
31,640;69
32,360;70
32,540;71
32,560;72
32,640;73
32,880;74
32,940;75
32,960;76
33,560;77
33,960;78
34,220;79
34,300;80
34,660;81
34,900;82
34,960;83
35,100;84
35,120;85
35,600;86
35,900;87
35,960;88
36,260;89
36,340;90
36,500;91
36,540;92
36,780;93
36,920;94
37,540;95
37,940;96
37,980;97
38,180;98
38,520;99
38,700;100
38,900;101
38,940;102
39,060;103
39,080;104
39,440;105
39,480;106
40,100;107
40,520;108
40,580;109
40,900;110
40,960;111
41,300;112
41,480;113
42,600;114
42,840;115
43,120;116
43,240;117
43,440;118
43,900;119
43,940;120
44,220;121
44,400;122
44,680;123
44,700;124
44,840;125
44,860;126
45,160;127
45,260;128
45,620;129
45,880;130
46,000;131
47,060;132
47,160;133
47,200;134
47,580;135
47,600;136
47,760;137
47,880;138
48,160;139
48,200;140
48,280;141
48,420;142
48,820;143
48,980;144
49,520;145
49,700;146
49,840;147
50,200;148
50,780;149
50,820;150
51,120;151
51,280;152
51,520;153
51,760;154
52,100;155
52,780;156
52,800;157
53,280;158
53,820;159
54,200;160
54,800;161
54,860;162
55,020;163
55,200;164
55,580;165
55,780;166
56,040;167
56,400;168
56,700;169
56,780;170
57,140;171
57,300;172
57,480;173
57,820;174
58,020;175
58,280;176
58,460;177
58,760;178
59,000;179
59,120;180
59,120;181
59,180;182
59,360;183
59,880;184
60,140;185
60,320;186
60,460;187
60,540;188
60,540;189
61,140;190
61,260;191
61,560;192
61,640;193
61,920;194
62,420;195
63,080;196
63,220;197
63,400;198
63,440;199
63,720;200
63,820;201
63,840;202
63,980;203
64,020;204
64,460;205
64,960;206
65,100;207
65,220;208
65,480;209
65,800;210
66,040;211
66,320;212
66,420;213
66,800;214
66,860;215
67,020;216
67,300;217
67,440;218
67,500;219
67,560;220
67,660;221
67,840;222
68,100;223
68,720;224
68,760;225
69,240;226
69,480;227
69,540;228
70,480;229
70,600;230
71,300;231
71,320;232
71,480;233
71,940;234
72,160;235
72,680;236
72,820;237
73,180;238
73,320;239
75,240;240
75,760;241
75,880;242
75,900;243
75,980;244
76,100;245
76,220;246
76,420;247
76,560;248
76,680;249
76,740;250
76,960;251
76,980;252
77,100;253
77,100;254
77,380;255
77,460;256
77,760;257
77,820;258
77,960;259
78,080;260
78,520;261
79,040;262
79,260;263
79,380;264
79,760;265
80,080;266
80,480;267
80,800;268
80,900;269
81,020;270
81,460;271
81,560;272
81,820;273
81,900;274
82,060;275
82,180;276
82,640;277
83,100;278
83,340;279
83,900;280
83,940;281
84,800;282
84,960;283
85,060;284
85,320;285
85,500;286
85,640;287
85,740;288
86,080;289
86,340;290
86,640;291
87,100;292
87,660;293
87,740;294
87,940;295
88,080;296
88,180;297
88,620;298
88,640;299
88,980;300
89,180;301
89,460;302
89,460;303
89,520;304
89,680;305
89,860;306
90,180;307
90,220;308
90,440;309
90,800;310
90,820;311
90,820;312
91,260;313
91,260;314
91,540;315
91,700;316
92,160;317
92,460;318
93,360;319
93,700;320
93,880;321
93,880;322
94,080;323
94,320;324
94,340;325
94,520;326
94,580;327
94,860;328
95,240;329
95,520;330
96,060;331
96,220;332
96,480;333
96,620;334
96,960;335
97,780;336
97,860;337
97,980;338
98,120;339
98,220;340
98,360;341
98,400;342
98,940;343
99,320;344
99,340;345
99,680;346
99,700;347
100,020;348
100,100;349
100,120;350
100,420;351
100,540;352
101,080;353
102,060;354
102,380;355
102,580;356
103,260;357
103,600;358
103,760;359
104,200;360
104,260;361
104,400;362
104,720;363
104,980;364
105,840;365
106,200;366
106,340;367
106,800;368
106,820;369
107,040;370
107,420;371
107,480;372
107,520;373
108,060;374
108,080;375
108,100;376
108,400;377
108,700;378
109,280;379
109,800;380
109,840;381
109,880;382
110,280;383
110,320;384
110,660;385
110,820;386
111,060;387
111,080;388
111,420;389
111,760;390
112,620;391
112,940;392
113,040;393
113,300;394
113,420;395
114,060;396
114,420;397
114,480;398
114,880;399
115,000;400
115,140;401
115,240;402
116,260;403
116,380;404
117,020;405
117,080;406
117,340;407
117,420;408
117,480;409
117,820;410
117,960;411
118,120;412
118,240;413
118,400;414
118,520;415
118,800;416
119,080;417
119,240;418
119,500;419
119,580;420
119,760;421
120,020;422
120,740;423
120,740;424
121,140;425
121,540;426
121,740;427
122,060;428
122,300;429
122,380;430
122,660;431
122,760;432
123,000;433
123,480;434
123,640;435
124,120;436
124,420;437
125,000;438
125,720;439
125,780;440
125,840;441
125,900;442
126,060;443
126,080;444
126,460;445
126,720;446
126,820;447
127,180;448
127,620;449
127,660;450
128,040;451
128,380;452
128,840;453
128,840;454
129,180;455
129,540;456
130,080;457
130,720;458
130,780;459
130,900;460
131,120;461
131,280;462
131,500;463
131,920;464
132,460;465
132,480;466
132,920;467
132,980;468
133,240;469
133,320;470
133,400;471
133,520;472
133,740;473
134,160;474
134,500;475
135,200;476
135,740;477
136,040;478
136,100;479
136,120;480
136,240;481
136,540;482
136,560;483
136,640;484
137,060;485
137,220;486
137,600;487
137,820;488
137,940;489
138,680;490
138,800;491
139,500;492
139,520;493
139,520;494
139,880;495
139,920;496
139,960;497
140,300;498
140,900;499
141,360;500
141,380;501
141,780;502
142,060;503
142,100;504
142,220;505
142,300;506
142,540;507
142,680;508
142,880;509
142,960;510
143,120;511
143,320;512
143,460;513
144,200;514
144,760;515
145,000;516
145,060;517
145,060;518
145,080;519
145,300;520
145,400;521
145,500;522
145,760;523
146,000;524
146,460;525
146,540;526
146,840;527
146,980;528
147,880;529
148,100;530
148,520;531
149,480;532
149,640;533
149,860;534
150,160;535
150,220;536
150,400;537
150,900;538
151,120;539
151,540;540
151,980;541
152,400;542
152,440;543
152,640;544
152,780;545
153,080;546
153,120;547
154,140;548
154,540;549
154,680;550
154,920;551
155,480;552
155,500;553
155,700;554
155,820;555
156,040;556
156,420;557
156,580;558
157,420;559
157,700;560
157,700;561
158,240;562
158,920;563
160,860;564
160,980;565
161,220;566
161,560;567
161,980;568
162,160;569
162,500;570
162,580;571
163,400;572
163,980;573
164,440;574
164,560;575
164,900;576
164,980;577
165,380;578
166,120;579
166,460;580
166,600;581
166,760;582
167,740;583
168,060;584
168,300;585
168,720;586
169,180;587
170,120;588
170,540;589
170,600;590
171,160;591
172,460;592
173,140;593
175,060;594
176,100;595
176,860;596
177,280;597
177,380;598
177,620;599
177,680;600
178,140;601
178,240;602
178,420;603
179,140;604
180,100;605
180,140;606
180,780;607
