agentId;time;posX;posZ;speed
447;7,4200;0,9438;0,6940;1,5688
447;7,5400;0,7582;0,6997;1,5471
447;7,6400;0,6036;0,7045;1,5469
447;7,7600;0,4181;0,7102;1,5466
447;7,8800;0,2326;0,7159;1,5463
447;8,0000;0,0472;0,7216;1,5460
447;8,1000;-0,1073;0,7263;1,5457
450;8,1000;0,4752;1,8309;1,6482
447;8,2200;-0,2927;0,7320;1,5454
450;8,2200;0,4653;1,6266;1,7046
447;8,3400;-0,4780;0,7377;1,5450
450;8,3400;0,4554;1,4223;1,7042
447;8,4600;-0,6633;0,7434;1,5447
450;8,4600;0,4455;1,2181;1,7038
447;8,5800;-0,8485;0,7491;1,5443
450;8,5800;0,4355;1,0141;1,7025
450;8,7000;0,4209;0,8129;1,6806
192;8,7000;0,8312;0,5794;1,5342
450;8,8000;0,3680;0,6648;1,5723
192;8,8000;0,7266;0,5605;1,0624
580;8,9200;0,8754;1,2106;1,2851
450;8,9200;0,2008;0,5115;1,8907
192;8,9200;0,6846;0,5243;0,4624
580;9,0400;0,7160;1,1973;1,3328
450;9,0400;0,0378;0,3431;1,9532
192;9,0400;0,6302;0,5005;0,4950
439;9,0400;0,3019;1,9265;1,4077
580;9,1600;0,5581;1,1843;1,3202
450;9,1600;-0,0799;0,1604;1,8108
258;9,1600;0,9620;1,6284;1,4284
192;9,1600;0,5391;0,4860;0,7687
439;9,1600;0,2907;1,7443;1,5217
580;9,2800;0,4057;1,1613;1,2839
258;9,2800;0,7943;1,6274;1,3975
192;9,2800;0,4194;0,4769;0,9999
439;9,2800;0,2669;1,5708;1,4590
457;9,2800;-0,4123;1,8818;1,2233
580;9,4000;0,2750;1,0694;1,3318
258;9,4000;0,6666;1,5330;1,3235
192;9,4000;0,2799;0,4693;1,1641
439;9,4000;0,2054;1,4584;1,0679
457;9,4000;-0,4111;1,7347;1,2266
574;9,4000;0,6357;1,9091;1,6640
580;9,5200;0,1641;0,9260;1,5107
258;9,5200;0,5528;1,3641;1,6974
192;9,5200;0,1270;0,4463;1,2885
439;9,5200;0,1080;1,3994;0,9489
457;9,5200;-0,4141;1,5883;1,2198
574;9,5200;0,6096;1,8670;0,4125
580;9,6200;0,0681;0,8427;1,2707
258;9,6200;0,4379;1,2454;1,6518
192;9,6200;-0,0103;0,3843;1,5070
439;9,6200;0,0192;1,3493;1,0199
457;9,6200;-0,4321;1,4710;1,1870
154;9,6200;0,9005;1,3089;1,5628
574;9,6200;0,5918;1,8100;0,5974
580;9,7400;-0,0535;0,7896;1,1057
258;9,7400;0,3010;1,1268;1,5094
192;9,7400;-0,1887;0,2712;1,7606
439;9,7400;-0,0662;1,2855;0,8880
457;9,7400;-0,5060;1,3427;1,2335
154;9,7400;0,7906;1,2833;0,9400
578;9,7400;-0,2230;1,9575;1,4555
574;9,7400;0,5666;1,7202;0,7769
580;9,8600;-0,1940;0,7292;1,2748
258;9,8600;0,2092;1,0185;1,1837
192;9,8600;-0,3751;0,1674;1,7775
439;9,8600;-0,1309;1,2408;0,6555
457;9,8600;-0,6325;1,2193;1,4727
154;9,8600;0,6985;1,2211;0,9263
578;9,8600;-0,2184;1,7890;1,4044
574;9,8600;0,5255;1,6427;0,7314
580;9,9800;-0,3509;0,6583;1,4344
258;9,9800;0,1424;0,9082;1,0740
192;9,9800;-0,5643;0,0871;1,7129
439;9,9800;-0,1900;1,1980;0,6082
457;9,9800;-0,7605;1,0913;1,5083
154;9,9800;0,6195;1,1136;1,1116
578;9,9800;-0,2163;1,6360;1,2748
460;9,9800;0,9076;0,3365;1,2544
574;9,9800;0,4735;1,5865;0,6378
580;10,1000;-0,5050;0,5916;1,3999
258;10,1000;0,0620;0,7959;1,1507
192;10,1000;-0,7549;0,0272;1,6647
439;10,1000;-0,2442;1,0999;0,9342
457;10,1000;-0,8690;0,9667;1,3771
154;10,1000;0,5367;1,0009;1,1650
578;10,1000;-0,2175;1,5255;0,9215
460;10,1000;0,7556;0,3451;1,2688
574;10,1000;0,4282;1,5206;0,6664
580;10,2200;-0,6393;0,5190;1,2717
258;10,2200;-0,0298;0,6735;1,2756
439;10,2200;-0,3082;0,9622;1,2648
457;10,2200;-0,9697;0,8626;1,2069
154;10,2200;0,4414;0,9060;1,1213
578;10,2200;-0,2190;1,4425;0,6915
460;10,2200;0,6056;0,3486;1,2497
574;10,2200;0,3965;1,4337;0,7707
580;10,3400;-0,7462;0,4270;1,1753
258;10,3400;-0,1169;0,5303;1,3965
439;10,3400;-0,3888;0,8434;1,1970
154;10,3400;0,3277;0,8338;1,1218
578;10,3400;-0,2226;1,3529;0,7474
460;10,3400;0,4625;0,3356;1,1975
574;10,3400;0,3800;1,3341;0,8416
580;10,4400;-0,8246;0,3427;1,1517
258;10,4400;-0,1933;0,4047;1,4701
439;10,4400;-0,4579;0,7609;1,0755
154;10,4400;0,2124;0,7893;1,2360
578;10,4400;-0,2285;1,2671;0,8600
460;10,4400;0,3537;0,3032;1,1358
574;10,4400;0,3803;1,2514;0,8266
580;10,5600;-0,9206;0,2452;1,1400
258;10,5600;-0,3030;0,2627;1,4956
439;10,5600;-0,5327;0,6670;1,0003
154;10,5600;0,0456;0,7454;1,4374
578;10,5600;-0,2419;1,1581;0,9152
460;10,5600;0,2378;0,2454;1,0788
574;10,5600;0,4000;1,1514;0,8498
286;10,5600;0,9019;0,7910;1,3479
258;10,6800;-0,4310;0,1347;1,5086
439;10,6800;-0,6049;0,5705;1,0047
154;10,6800;-0,1167;0,6877;1,4357
578;10,6800;-0,2759;1,0803;0,7076
460;10,6800;0,1320;0,1863;1,0101
574;10,6800;0,4199;1,0367;0,9698
286;10,6800;0,7563;0,7864;1,2139
258;10,8000;-0,5680;0,0179;1,5002
439;10,8000;-0,6916;0,4672;1,1237
154;10,8000;-0,2399;0,5884;1,3187
578;10,8000;-0,3256;1,0593;0,4497
460;10,8000;0,0300;0,1322;0,9623
574;10,8000;0,3679;0,9436;0,8888
286;10,8000;0,6835;0,7333;0,7501
439;10,9200;-0,7985;0,3578;1,2746
154;10,9200;-0,3511;0,5078;1,1445
578;10,9200;-0,3663;1,0370;0,3863
460;10,9200;-0,0668;0,0756;0,9344
574;10,9200;0,2410;0,8745;1,2036
286;10,9200;0,6704;0,6465;0,7316
439;11,0400;-0,9081;0,2439;1,3168
154;11,0400;-0,4726;0,4688;1,0631
578;11,0400;-0,3973;0,9925;0,4520
460;11,0400;-0,1606;0,0172;0,9211
574;11,0400;0,1307;0,7751;1,2373
286;11,0400;0,6299;0,5823;0,6330
439;11,1400;-0,9852;0,1453;1,2520
154;11,1400;-0,5876;0,4534;1,1606
578;11,1400;-0,4188;0,9454;0,5186
574;11,1400;0,0649;0,6655;1,2783
499;11,1400;0,8942;0,3084;1,3147
286;11,1400;0,5511;0,5637;0,8096
154;11,2600;-0,7450;0,4427;1,3146
578;11,2600;-0,4366;0,8825;0,5443
574;11,2600;-0,0055;0,5066;1,4486
499;11,2600;0,7675;0,2819;1,0789
286;11,2600;0,4160;0,5886;1,1443
154;11,3800;-0,9217;0,4431;1,4725
578;11,3800;-0,4436;0,8066;0,6349
574;11,3800;-0,0946;0,3104;1,7954
499;11,3800;0,6291;0,2524;1,1791
286;11,3800;0,2846;0,6497;1,2083
578;11,5000;-0,4448;0,7095;0,8099
574;11,5000;-0,1589;0,0948;1,8751
499;11,5000;0,4543;0,2346;1,4642
286;11,5000;0,1464;0,7202;1,2923
612;11,5000;0,9307;0,1304;1,6748
578;11,6200;-0,4514;0,5888;1,0072
499;11,6200;0,2602;0,2286;1,6183
286;11,6200;0,0057;0,7822;1,2813
130;11,6200;0,3051;1,8560;1,1964
454;11,6200;0,9994;1,2425;1,2738
612;11,6200;0,7875;0,1331;1,1940
578;11,7400;-0,4746;0,4416;1,2416
499;11,7400;0,0676;0,2328;1,6053
286;11,7400;-0,1261;0,8407;1,2015
130;11,7400;0,2999;1,7089;1,2270
404;11,7400;0,9088;1,8468;1,3871
454;11,7400;0,8451;1,2363;1,2869
612;11,7400;0,6376;0,1385;1,2492
578;11,8600;-0,5138;0,2803;1,3836
94;11,8600;-0,1727;1,9485;1,0794
499;11,8600;-0,1063;0,2377;1,4501
286;11,8600;-0,2597;0,8942;1,1995
130;11,8600;0,2917;1,5652;1,1995
303;11,8600;-0,7902;1,9704;1,3563
404;11,8600;0,9168;1,6863;1,3392
454;11,8600;0,6902;1,2102;1,3091
612;11,8600;0,4785;0,1467;1,3283
578;11,9600;-0,5960;0,1454;1,5797
94;11,9600;-0,1702;1,8433;1,0523
499;11,9600;-0,2004;0,2436;0,9428
286;11,9600;-0,3773;0,9295;1,2276
130;11,9600;0,2707;1,4599;1,0734
303;11,9600;-0,7948;1,8328;1,3768
404;11,9600;0,9307;1,5696;1,1758
454;11,9600;0,5657;1,1517;1,3750
612;11,9600;0,3408;0,1551;1,3794
94;12,0800;-0,1699;1,7206;1,0221
499;12,0800;-0,2934;0,2691;0,8034
286;12,0800;-0,5245;0,9606;1,2544
130;12,0800;0,2041;1,3852;0,8339
303;12,0800;-0,7993;1,6668;1,3838
404;12,0800;0,9389;1,4394;1,0869
454;12,0800;0,4558;1,0261;1,3910
612;12,0800;0,1785;0,1649;1,3548
215;12,0800;0,8843;0,6259;1,4154
94;12,2000;-0,1860;1,6137;0,9012
499;12,2000;-0,4317;0,3060;1,1932
286;12,2000;-0,6761;0,9808;1,2741
130;12,2000;0,1393;1,3331;0,6927
303;12,2000;-0,8033;1,5017;1,3758
404;12,2000;0,8625;1,3271;1,1323
454;12,2000;0,3565;0,8863;1,4288
612;12,2000;0,0297;0,1709;1,2407
215;12,2000;0,7294;0,6172;1,2928
94;12,3200;-0,2348;1,5363;0,7623
499;12,3200;-0,6117;0,3459;1,5362
286;12,3200;-0,8278;0,9728;1,2660
130;12,3200;0,1239;1,2552;0,6623
303;12,3200;-0,8095;1,3583;1,1961
404;12,3200;0,7249;1,2147;1,4808
454;12,3200;0,2082;0,7807;1,5176
612;12,3200;-0,1129;0,1724;1,1888
215;12,3200;0,6117;0,5847;1,0178
94;12,4400;-0,2943;1,4699;0,7428
499;12,4400;-0,8059;0,3800;1,6426
286;12,4400;-0,9920;0,8883;1,5392
130;12,4400;0,1299;1,1794;0,6332
303;12,4400;-0,8070;1,2750;0,6950
404;12,4400;0,6202;1,0882;1,3679
454;12,4400;0,0266;0,6959;1,6696
612;12,4400;-0,2642;0,1700;1,2606
215;12,4400;0,5190;0,5371;0,8684
94;12,5600;-0,3379;1,3989;0,6944
499;12,5600;-0,9948;0,3937;1,5789
130;12,5600;0,1214;1,1191;0,5073
303;12,5600;-0,7993;1,1953;0,6671
404;12,5600;0,5806;0,9533;1,1714
454;12,5600;-0,1600;0,6247;1,6648
612;12,5600;-0,4320;0,1585;1,4017
215;12,5600;0,4164;0,4770;0,9909
94;12,6800;-0,3586;1,3251;0,6389
130;12,6800;0,0978;1,0582;0,5448
303;12,6800;-0,8067;1,0838;0,9314
404;12,6800;0,5928;0,8160;1,1492
454;12,6800;-0,3425;0,5838;1,5581
612;12,6800;-0,6188;0,1300;1,5752
215;12,6800;0,2844;0,3969;1,2863
94;12,7800;-0,3660;1,2638;0,6176
130;12,7800;0,0845;0,9963;0,6331
303;12,7800;-0,8246;0,9714;1,1381
404;12,7800;0,6161;0,6934;1,2470
454;12,7800;-0,4815;0,5708;1,3970
455;12,7800;0,9671;1,1798;1,1666
612;12,7800;-0,7842;0,0967;1,6870
215;12,7800;0,1526;0,3295;1,4805
94;12,9000;-0,3743;1,1890;0,6265
130;12,9000;0,0836;0,9059;0,7533
303;12,9000;-0,8684;0,8458;1,1084
404;12,9000;0,6410;0,5285;1,3899
454;12,9000;-0,6147;0,5426;1,1342
455;12,9000;0,8418;1,1901;1,0477
612;12,9000;-0,9837;0,0565;1,6960
215;12,9000;-0,0158;0,2656;1,5011
94;13,0200;-0,3846;1,1088;0,6745
130;13,0200;0,0948;0,8023;0,8679
303;13,0200;-0,9682;0,7859;0,9701
404;13,0200;0,6572;0,3513;1,4832
454;13,0200;-0,6806;0,4514;0,9380
455;13,0200;0,7010;1,2014;1,1773
215;13,0200;-0,1833;0,2195;1,4475
94;13,1400;-0,3953;1,0191;0,7522
130;13,1400;0,1106;0,6900;0,9454
404;13,1400;0,6639;0,1685;1,5243
454;13,1400;-0,7478;0,3550;0,9789
455;13,1400;0,5498;1,2116;1,2630
215;13,1400;-0,3333;0,1808;1,2913
94;13,2600;-0,4046;0,9198;0,8318
130;13,2600;0,1262;0,5704;1,0048
454;13,2600;-0,8766;0,2945;1,1860
455;13,2600;0,3926;1,2211;1,3124
215;13,2600;-0,4439;0,1398;0,9831
599;13,2600;0,7162;1,9181;1,1621
527;13,2600;0,8997;0,8144;1,3087
94;13,3800;-0,4120;0,8121;0,8993
130;13,3800;0,1398;0,4459;1,0437
455;13,3800;0,2312;1,2287;1,3465
215;13,3800;-0,5359;0,1033;0,8248
599;13,3800;0,6875;1,7948;1,0555
527;13,3800;0,7502;0,8123;1,2458
514;13,3800;0,9941;1,4910;1,1716
94;13,5000;-0,4177;0,6980;0,9515
130;13,5000;0,1504;0,3188;1,0635
455;13,5000;0,0671;1,2335;1,3678
215;13,5000;-0,6346;0,0774;0,8498
367;13,5000;-0,5534;1,8611;1,1988
599;13,5000;0,6007;1,7276;0,9144
527;13,5000;0,6002;0,8108;1,2500
514;13,5000;0,9605;1,3958;0,8412
94;13,6000;-0,4207;0,5999;0,9821
130;13,6000;0,1563;0,2111;1,0779
455;13,6000;-0,0702;1,2359;1,3731
215;13,6000;-0,7263;0,0628;0,9292
367;13,6000;-0,5469;1,7385;1,2278
124;13,6000;0,8916;0,2079;1,1512
599;13,6000;0,5288;1,6555;1,0186
527;13,6000;0,4743;0,8101;1,2594
514;13,6000;0,9403;1,3104;0,8780
