agentId;time;posX;posZ;speed;localDensity
427;3,6400;6,4694;-0,2566;1,1215;0,0000
348;3,6400;0,1715;6,8581;2,0183;0,0000
245;3,6400;6,3455;2,0700;1,7087;0,0000
231;3,6400;6,3086;1,2130;1,9296;0,0000
109;3,6400;6,4661;1,7626;1,4262;0,0000
47;3,6400;6,4877;0,5123;1,5373;0,0000
446;4,1600;0,7812;6,3673;1,6699;0,0000
427;4,1600;5,5881;-0,2721;1,7778;0,0000
371;4,1600;-0,7632;6,7440;1,6902;0,0000
348;4,1600;0,0223;5,9551;1,8588;0,0000
245;4,1600;5,4176;2,0575;1,4337;0,0000
231;4,1600;5,3406;1,2003;1,8643;0,0000
109;4,1600;5,5368;1,7226;2,0736;0,0000
47;4,1600;5,5383;0,5000;1,7047;0,0000
456;4,6600;5,9303;0,6994;1,3452;0,0000
446;4,6600;0,7122;5,6041;1,7456;0,0000
427;4,6600;4,7194;-0,3136;1,9052;0,0000
371;4,6600;-0,7836;6,0490;1,8763;0,0000
348;4,6600;-0,0666;5,0856;3,5706;0,0000
260;4,6600;6,4989;-0,0372;1,4612;0,0000
245;4,6600;4,5656;2,0843;1,7015;0,0000
231;4,6600;4,4467;1,1517;1,9624;0,0000
151;4,6600;6,4443;1,2689;1,4838;0,0000
140;4,6600;6,2388;2,3894;1,7681;0,0000
109;4,6600;4,6409;1,7092;1,8023;0,0000
47;4,6600;4,6154;0,4972;2,2772;0,0000
587;5,1800;6,0879;1,7371;1,2324;0,0000
555;5,1800;1,1934;6,9252;1,2836;0,0000
456;5,1800;5,1081;0,6962;1,5700;0,0000
446;5,1800;0,7056;4,6662;1,6876;0,0000
443;5,1800;-0,8002;6,7895;1,3295;0,0000
427;5,1800;3,7966;-0,3089;1,8624;0,0000
371;5,1800;-0,8104;5,2993;1,8080;0,0000
348;5,1800;-0,2726;4,1065;1,7545;0,0000
260;5,1800;5,6336;-0,0162;1,7107;0,0000
245;5,1800;3,6623;2,0072;1,7938;0,0000
231;5,1800;3,4977;1,1847;1,9614;0,0000
152;5,1800;-0,1352;6,5966;1,4573;0,0000
151;5,1800;5,5712;1,2071;1,4244;0,0000
140;5,1800;5,4791;2,3729;1,7361;0,0000
109;5,1800;3,7541;1,6577;1,7246;0,0000
64;5,1800;0,6058;6,7250;1,6020;0,0000
47;5,1800;3,6148;0,4482;1,9211;0,0000
44;5,1800;-1,3673;6,6976;1,6226;0,0000
587;5,7000;5,3494;1,7002;1,4012;0,0000
555;5,7000;1,1172;6,0456;1,6876;0,0000
456;5,7000;4,3081;0,7942;1,6337;0,0000
446;5,7000;0,6350;3,8355;1,6861;0,0000
443;5,7000;-0,9060;5,9924;1,6703;0,0000
427;5,7000;2,9088;-0,3540;1,8600;0,0000
371;5,7000;-0,8332;4,5317;1,7203;0,0000
348;5,7000;-0,3484;3,1686;1,8199;0,0000
260;5,7000;4,7433;0,0022;1,7832;0,0000
245;5,7000;2,7454;1,9841;1,6543;0,0000
231;5,7000;2,5010;1,1033;2,0077;0,0000
152;5,7000;-0,1322;5,8830;1,3495;0,0000
151;5,7000;4,7163;1,2528;1,3764;0,0000
140;5,7000;4,6581;2,3395;1,6173;0,0000
128;5,7000;5,7243;0,3023;1,1180;0,0000
109;5,7000;2,8841;1,6186;1,6180;0,0000
64;5,7000;0,6936;5,8172;1,8977;0,0000
47;5,7000;2,6922;0,3386;1,7949;0,0000
44;5,7000;-1,4021;5,9356;1,5587;0,0000
587;6,2000;4,5944;1,6739;1,3994;0,0000
559;6,2000;0,2258;6,8657;1,4284;0,0000
555;6,2000;1,2048;5,2469;1,5843;0,0000
476;6,2000;0,9158;6,4892;1,3694;0,0000
456;6,2000;3,5370;0,7324;1,6115;0,0000
446;6,2000;0,6524;3,0312;1,6339;0,0000
443;6,2000;-0,9150;5,2146;1,5573;0,0000
427;6,2000;1,9990;-0,4135;1,7292;0,0000
371;6,2000;-0,9168;3,7744;1,6730;0,0000
348;6,2000;-0,5296;2,3460;1,8992;0,0000
260;6,2000;3,9074;0,0048;1,7923;0,0000
245;6,2000;2,0934;1,9569;1,5201;0,0000
231;6,2000;1,5774;1,1676;1,8023;0,0000
152;6,2000;-0,1654;5,2131;1,3449;0,0000
151;6,2000;3,8959;1,2294;1,5976;0,0000
140;6,2000;3,9003;2,2524;1,5377;0,0000
128;6,2000;5,0725;0,3216;1,2649;0,0000
109;6,2000;2,2389;1,5480;1,6072;0,0000
86;6,2000;-1,0987;6,3828;1,4507;0,0000
64;6,2000;0,5970;4,9079;2,6859;0,0000
47;6,2000;1,9173;0,3458;1,7832;0,0000
44;6,2000;-1,4376;5,1808;1,5797;0,0000
5;6,2000;6,3429;-0,3750;1,4616;0,0000
587;6,7200;3,8628;1,7166;1,3003;0,0000
571;6,7200;5,9906;0,9050;1,6013;0,0000
559;6,7200;0,1746;6,1372;1,6379;0,0000
555;6,7200;1,1554;4,4076;1,5604;0,0000
548;6,7200;5,9674;2,3874;1,1810;0,0000
517;6,7200;6,4198;1,9874;1,3507;0,0000
476;6,7200;0,9626;5,7230;1,4505;0,0000
456;6,7200;2,7772;0,8088;1,5014;0,0000
446;6,7200;0,4994;2,1768;1,6934;0,0000
443;6,7200;-0,9800;4,3340;1,7000;0,0000
427;6,7200;1,0640;-0,4990;2,0595;0,0000
371;6,7200;-1,0098;2,9850;1,6905;0,0000
348;6,7200;-0,5602;1,3826;1,8478;0,0000
260;6,7200;2,9966;-0,0254;1,8104;0,0000
245;6,7200;1,3542;1,9894;1,3449;0,0000
231;6,7200;0,6076;1,1314;2,1487;0,0000
200;6,7200;-1,2828;6,8366;1,2531;0,0000
152;6,7200;-0,2576;4,4796;1,4290;0,0000
151;6,7200;3,0786;1,2984;1,4941;0,0000
140;6,7200;3,1246;2,2318;1,5469;0,0000
128;6,7200;4,2386;0,3004;1,4975;0,0000
109;6,7200;1,5042;1,4664;1,2274;0,0000
107;6,7200;6,0716;1,5412;1,5697;0,0000
86;6,7200;-1,1854;5,6188;1,3827;0,0000
64;6,7200;0,5938;4,1038;1,5319;0,0000
47;6,7200;1,0598;0,2626;1,7268;0,0000
44;6,7200;-1,4304;4,3970;1,5334;0,0000
5;6,7200;5,6418;-0,4718;1,3857;0,0000
587;7,2200;3,2012;1,6358;1,2833;0,0000
571;7,2200;5,2758;0,8650;1,5835;0,0000
559;7,2200;0,1110;5,3248;1,6281;0,0000
555;7,2200;1,2356;3,6256;1,4224;0,0000
548;7,2200;5,2188;2,3976;1,5547;0,0000
517;7,2200;5,7604;2,0212;1,4929;0,0000
489;7,2200;0,2054;6,5582;1,5425;0,0000
476;7,2200;0,8602;4,9696;1,7131;0,0000
456;7,2200;2,1012;0,7804;1,4434;0,0000
446;7,2200;0,4198;1,3888;1,6915;0,0000
443;7,2200;-0,9660;3,5078;1,7414;0,0000
427;7,2200;0,0230;-0,5988;2,0755;0,0000
419;7,2200;6,4032;2,5036;1,3687;0,0000
371;7,2200;-1,0302;2,2640;1,4864;0,0000
348;7,2200;-0,7310;0,4636;1,4467;0,0000
330;7,2200;6,1876;-0,1730;1,2300;0,0000
311;7,2200;-0,5786;6,5164;1,3074;0,0000
260;7,2200;2,2050;-0,0460;1,6223;0,0000
245;7,2200;0,5892;1,9762;1,7022;0,0000
231;7,2200;-0,4086;1,2334;2,2996;0,0000
200;7,2200;-1,3742;6,1952;1,2893;0,0000
168;7,2200;5,9534;0,4904;1,5826;0,0000
152;7,2200;-0,2188;3,8376;1,3297;0,0000
151;7,2200;2,4078;1,2510;0,2082;0,0000
140;7,2200;2,4334;2,1592;0,2944;0,0000
128;7,2200;3,5082;0,3424;1,5266;0,0000
109;7,2200;0,9666;1,3848;1,0124;0,0000
107;7,2200;5,3562;1,5204;1,5225;0,0000
86;7,2200;-1,1810;4,9072;1,6493;0,0000
71;7,2200;0,8754;6,4806;1,5700;0,0000
64;7,2200;0,5954;3,4164;1,3100;0,0000
47;7,2200;0,2294;0,3136;1,7472;0,0000
44;7,2200;-1,4628;3,6472;1,6741;0,0000
5;7,2200;4,8894;-0,4076;1,4123;0,0000
587;7,7200;2,5872;1,6626;1,2657;0,0000
571;7,7200;4,5660;0,8738;1,4839;0,0000
559;7,7200;0,1012;4,4654;1,6360;0,0000
558;7,7200;5,9728;1,3376;1,3361;0,0000
555;7,7200;1,2014;2,9764;1,0844;0,0000
548;7,7200;4,4910;2,3338;1,4688;0,0000
517;7,7200;5,1226;2,0038;1,3313;0,0000
489;7,7200;0,1096;5,8308;1,5790;0,0000
