time;evacuated_count
9,840;1
10,060;2
10,180;3
10,620;4
10,680;5
10,800;6
11,060;7
11,700;8
12,100;9
12,220;10
12,380;11
12,700;12
13,020;13
13,020;14
13,120;15
13,660;16
13,860;17
13,940;18
14,020;19
14,200;20
14,420;21
14,620;22
14,800;23
15,160;24
15,380;25
15,700;26
15,740;27
16,060;28
16,100;29
16,260;30
16,380;31
16,580;32
16,820;33
16,860;34
16,900;35
17,600;36
17,780;37
18,060;38
18,080;39
18,100;40
18,320;41
18,360;42
18,480;43
18,720;44
19,720;45
19,800;46
20,200;47
20,440;48
20,660;49
21,040;50
21,060;51
21,060;52
21,320;53
21,320;54
21,460;55
21,880;56
21,960;57
22,220;58
22,420;59
22,520;60
22,580;61
22,640;62
23,100;63
23,180;64
23,200;65
23,380;66
23,520;67
23,720;68
23,720;69
24,000;70
24,040;71
24,060;72
24,360;73
24,420;74
24,500;75
24,540;76
24,640;77
24,740;78
25,080;79
25,160;80
25,300;81
25,660;82
25,920;83
26,040;84
26,120;85
26,220;86
26,280;87
26,520;88
26,740;89
27,000;90
27,480;91
27,540;92
27,680;93
27,720;94
27,800;95
28,000;96
28,240;97
28,300;98
28,400;99
28,580;100
28,640;101
28,900;102
28,960;103
29,120;104
29,160;105
29,220;106
29,460;107
29,580;108
30,360;109
30,480;110
30,740;111
30,840;112
31,180;113
31,280;114
31,340;115
31,560;116
31,720;117
31,760;118
31,800;119
31,820;120
31,980;121
32,140;122
32,540;123
32,560;124
32,600;125
32,740;126
32,820;127
32,820;128
33,280;129
33,660;130
33,720;131
33,820;132
33,900;133
34,440;134
34,860;135
35,300;136
35,320;137
35,340;138
35,440;139
35,580;140
35,600;141
35,740;142
36,080;143
36,420;144
36,720;145
37,180;146
37,300;147
37,340;148
37,620;149
37,800;150
38,040;151
38,260;152
38,420;153
38,480;154
38,940;155
39,000;156
39,240;157
39,380;158
39,500;159
40,560;160
40,700;161
40,720;162
40,920;163
41,020;164
41,020;165
41,400;166
41,480;167
42,040;168
42,400;169
42,480;170
42,720;171
42,960;172
43,000;173
43,260;174
43,580;175
43,640;176
43,740;177
43,960;178
43,980;179
43,980;180
44,120;181
44,160;182
44,280;183
44,480;184
44,560;185
44,680;186
44,960;187
44,980;188
45,340;189
45,620;190
45,680;191
45,820;192
45,840;193
46,000;194
46,100;195
46,140;196
46,680;197
46,740;198
46,740;199
46,880;200
46,920;201
46,980;202
47,300;203
47,540;204
47,540;205
47,960;206
47,980;207
48,260;208
48,320;209
48,380;210
48,380;211
48,460;212
49,440;213
49,480;214
49,540;215
49,880;216
50,120;217
50,260;218
50,380;219
50,560;220
50,820;221
50,920;222
50,940;223
51,200;224
51,220;225
51,600;226
51,640;227
51,780;228
52,020;229
52,180;230
52,480;231
52,640;232
53,140;233
53,160;234
53,200;235
53,380;236
53,380;237
53,560;238
53,560;239
53,840;240
53,980;241
54,020;242
54,480;243
54,560;244
54,560;245
54,700;246
54,760;247
54,800;248
55,040;249
55,100;250
55,460;251
55,580;252
55,820;253
56,580;254
56,640;255
56,860;256
56,960;257
57,040;258
57,100;259
57,200;260
57,440;261
57,660;262
57,780;263
58,040;264
58,520;265
59,000;266
59,040;267
59,100;268
59,780;269
59,880;270
60,140;271
60,420;272
60,580;273
60,660;274
60,720;275
61,260;276
61,580;277
61,600;278
61,680;279
62,060;280
62,580;281
62,640;282
62,700;283
62,820;284
63,620;285
63,680;286
63,740;287
63,880;288
63,940;289
64,960;290
65,100;291
65,360;292
65,440;293
65,880;294
66,100;295
66,120;296
66,120;297
66,380;298
66,600;299
66,960;300
67,420;301
67,480;302
67,620;303
67,680;304
67,720;305
67,780;306
67,920;307
68,600;308
68,800;309
69,180;310
69,200;311
69,660;312
69,880;313
69,960;314
70,180;315
70,300;316
70,320;317
70,740;318
70,940;319
71,100;320
71,560;321
71,620;322
71,820;323
71,820;324
71,880;325
72,120;326
72,180;327
72,240;328
72,300;329
72,920;330
73,080;331
73,620;332
73,760;333
73,840;334
74,060;335
74,060;336
74,520;337
74,640;338
74,900;339
74,940;340
75,140;341
75,220;342
75,660;343
75,660;344
75,800;345
75,880;346
76,220;347
76,300;348
76,320;349
76,360;350
77,120;351
77,240;352
77,340;353
77,520;354
77,600;355
77,920;356
78,000;357
78,020;358
78,020;359
78,500;360
78,600;361
79,200;362
79,220;363
79,220;364
79,260;365
79,840;366
80,060;367
80,180;368
80,200;369
80,660;370
80,820;371
80,920;372
81,140;373
81,620;374
81,780;375
81,940;376
81,980;377
82,340;378
82,460;379
82,700;380
82,880;381
82,960;382
83,300;383
84,180;384
84,220;385
84,560;386
85,100;387
85,260;388
85,300;389
85,460;390
85,860;391
85,860;392
86,120;393
86,540;394
86,760;395
86,880;396
87,420;397
87,500;398
87,620;399
87,860;400
87,980;401
88,140;402
88,180;403
88,420;404
88,740;405
88,900;406
89,040;407
89,060;408
89,220;409
89,520;410
89,640;411
89,800;412
89,920;413
90,100;414
90,660;415
90,720;416
90,800;417
90,980;418
91,060;419
91,140;420
91,140;421
91,360;422
91,520;423
91,820;424
91,820;425
92,460;426
92,580;427
92,640;428
92,720;429
92,840;430
93,080;431
93,440;432
93,480;433
93,660;434
94,100;435
94,220;436
94,320;437
94,480;438
94,580;439
94,740;440
95,120;441
95,160;442
96,800;443
97,060;444
97,700;445
97,840;446
98,020;447
98,460;448
98,480;449
98,640;450
98,920;451
99,760;452
100,080;453
100,200;454
100,220;455
100,340;456
100,440;457
100,600;458
101,160;459
101,420;460
101,560;461
101,580;462
102,140;463
102,200;464
102,200;465
102,460;466
102,480;467
102,720;468
102,940;469
103,160;470
103,220;471
103,420;472
103,480;473
103,720;474
103,740;475
103,820;476
103,920;477
104,280;478
104,400;479
104,500;480
104,920;481
104,960;482
105,080;483
105,520;484
105,520;485
105,980;486
106,100;487
106,140;488
106,180;489
106,300;490
106,380;491
106,920;492
107,300;493
107,660;494
107,660;495
107,680;496
107,900;497
108,100;498
108,220;499
108,440;500
108,720;501
108,820;502
108,840;503
108,840;504
108,900;505
108,980;506
109,420;507
109,560;508
109,860;509
110,040;510
110,200;511
110,220;512
110,280;513
110,700;514
110,800;515
110,820;516
110,880;517
110,960;518
111,100;519
111,260;520
111,780;521
111,840;522
112,680;523
112,840;524
112,860;525
112,880;526
113,080;527
113,380;528
113,840;529
114,100;530
114,300;531
114,720;532
114,760;533
114,760;534
114,880;535
115,180;536
115,240;537
115,500;538
115,500;539
115,840;540
115,900;541
115,980;542
116,280;543
116,600;544
116,600;545
116,680;546
117,180;547
117,260;548
117,600;549
118,000;550
118,220;551
118,220;552
118,540;553
118,900;554
119,420;555
119,860;556
120,160;557
120,280;558
120,360;559
120,420;560
120,580;561
121,100;562
121,120;563
121,180;564
121,760;565
121,800;566
121,980;567
122,060;568
122,440;569
122,860;570
122,980;571
123,060;572
123,160;573
123,700;574
124,020;575
124,300;576
124,500;577
124,580;578
124,740;579
124,780;580
124,960;581
125,500;582
125,560;583
126,140;584
126,320;585
126,360;586
126,860;587
126,900;588
127,220;589
127,540;590
127,640;591
127,780;592
127,920;593
128,260;594
129,160;595
129,360;596
129,760;597
129,760;598
130,800;599
131,000;600
131,320;601
132,400;602
132,680;603
133,740;604
134,120;605
