time;agentId;headwayDistance;headwayVelocity
4,0800;446;0,8168;1,8361
4,0800;427;0,7657;1,7035
4,0800;371;1,1293;1,8361
4,0800;348;0,8168;1,7127
4,0800;245;0,3649;1,6690
4,0800;231;0,5848;1,6690
4,0800;109;0,3649;1,8418
4,0800;47;0,7057;2,3680
5,1000;587;0,7249;1,5208
5,1000;456;0,6792;1,5208
5,1000;446;1,0896;1,8264
5,1000;443;0,5483;1,7153
5,1000;427;0,8036;1,8545
5,1000;371;1,3048;1,8264
5,1000;348;1,0896;1,8301
5,1000;260;0,8866;0,7922
5,1000;245;0,3488;1,7092
5,1000;231;0,5624;1,7092
5,1000;152;0,6796;1,5907
5,1000;151;0,6792;1,6020
5,1000;140;0,8692;1,2482
5,1000;109;0,3488;1,8104
5,1000;64;0,5987;1,2829
5,1000;47;0,7327;1,8578
5,1000;44;0,5483;1,5907
6,1000;587;0,8126;1,6020
6,1000;555;0,6276;1,6728
6,1000;476;0,7658;1,4114
6,1000;456;0,5807;1,6020
6,1000;446;1,3094;2,0922
6,1000;443;0,4968;1,4758
6,1000;427;0,7439;1,7574
6,1000;371;1,4319;1,4887
6,1000;348;1,3094;1,7219
6,1000;260;0,8491;1,5898
6,1000;245;0,4103;1,3026
6,1000;231;0,7704;1,3026
6,1000;152;0,7564;1,4887
6,1000;151;0,5807;1,5898
6,1000;140;0,9247;1,3847
6,1000;128;1,1570;1,8046
6,1000;109;0,4103;1,5740
6,1000;86;1,1704;1,4887
6,1000;64;0,6276;1,6241
6,1000;47;0,7439;1,7287
6,1000;44;0,4968;1,4887
6,1000;5;1,2330;0,2975
7,1200;587;0,9271;1,2321
7,1200;571;0,6591;1,5360
7,1200;559;0,8325;1,4807
7,1200;555;0,6767;1,2545
7,1200;548;0,6497;1,6835
7,1200;517;0,6497;1,8561
7,1200;489;0,6595;1,6180
7,1200;476;0,8325;1,6224
7,1200;456;0,5138;1,2321
7,1200;446;0,5300;1,6483
7,1200;443;0,4744;1,5109
7,1200;427;0,8968;2,0977
