time;density;specific_flow
3,120;0,0000;0,0000
3,640;0,0000;0,0000
4,160;0,0000;0,0000
4,660;0,0000;0,0000
5,180;0,0000;0,0000
5,700;0,0000;0,0000
6,200;0,0000;0,0000
6,720;0,0000;0,0000
7,220;0,0000;0,0000
7,720;0,0000;0,0000
8,220;0,0000;0,0000
8,740;0,0398;0,0000
9,240;0,0796;0,0000
9,740;0,2387;0,4037
10,260;0,1592;0,2401
10,760;0,1194;0,1774
11,260;0,1194;0,0946
11,780;0,1592;0,2628
12,280;0,1989;0,3411
12,780;0,2785;0,4360
13,300;0,2387;0,4290
13,800;0,3183;0,4672
14,320;0,2387;0,3391
14,820;0,2387;0,3333
15,320;0,3581;0,4778
15,840;0,3183;0,4449
16,340;0,2387;0,3429
16,840;0,2387;0,3196
17,340;0,3183;0,4974
17,840;0,2785;0,4194
18,340;0,1194;0,0000
18,860;0,0796;0,0798
19,360;0,1989;0,2599
19,860;0,2387;0,2812
20,360;0,3183;0,3950
20,860;0,3979;0,5647
21,360;0,2387;0,3338
21,860;0,3979;0,5862
22,360;0,4775;0,6354
22,880;0,3581;0,4796
23,380;0,4775;0,6696
23,880;0,4377;0,5648
24,380;0,3979;0,4875
24,880;0,3183;0,3917
25,380;0,3183;0,3718
25,880;0,3183;0,3448
26,380;0,2785;0,3043
26,900;0,3979;0,4068
27,400;0,4377;0,4096
27,900;0,4377;0,4175
28,400;0,3979;0,4458
28,900;0,3183;0,4175
29,400;0,2785;0,3514
29,900;0,2387;0,2990
30,400;0,4377;0,5312
30,920;0,3979;0,4757
31,420;0,5173;0,6143
31,920;0,3979;0,4830
32,440;0,4377;0,5388
32,940;0,2785;0,3273
33,440;0,3183;0,3812
33,940;0,2785;0,2916
34,440;0,3581;0,4432
34,940;0,3581;0,4600
35,440;0,2785;0,3799
35,940;0,1989;0,2579
36,440;0,2387;0,3171
36,940;0,2785;0,3221
37,440;0,2387;0,2644
37,940;0,3183;0,3901
38,440;0,2387;0,2747
38,940;0,2785;0,3076
39,440;0,2785;0,2973
39,940;0,3183;0,3353
40,440;0,3979;0,4287
40,940;0,2785;0,3063
41,440;0,2387;0,2078
41,960;0,3581;0,3074
42,460;0,3581;0,3335
42,960;0,5570;0,6004
43,460;0,5173;0,5744
43,960;0,5173;0,5849
44,460;0,4377;0,4782
44,960;0,4775;0,4304
45,460;0,4775;0,3996
45,960;0,4775;0,4519
46,460;0,5173;0,5028
46,960;0,4377;0,4963
47,460;0,3581;0,3710
47,960;0,3979;0,3891
48,460;0,1989;0,1884
48,960;0,2785;0,2915
49,460;0,3183;0,3209
49,960;0,3581;0,4597
50,460;0,3581;0,4509
50,960;0,2387;0,2673
51,480;0,3581;0,4447
51,980;0,2785;0,3277
52,480;0,3979;0,4651
52,980;0,4775;0,5578
53,480;0,3581;0,3853
53,980;0,4775;0,5375
54,480;0,3979;0,5263
54,980;0,2387;0,2596
55,480;0,1989;0,1974
55,980;0,3183;0,4375
56,480;0,4377;0,5234
56,980;0,3581;0,4619
57,480;0,2387;0,3081
57,980;0,2387;0,0000
58,480;0,1989;0,0000
58,980;0,3183;0,0000
59,480;0,2785;0,2396
59,980;0,3183;0,4028
60,480;0,3183;0,3251
61,000;0,2387;0,2873
61,500;0,2785;0,0000
62,000;0,2387;0,0000
62,500;0,3183;0,0000
63,000;0,1989;0,2597
63,500;0,3183;0,3861
64,000;0,1989;0,2528
64,500;0,2785;0,3123
65,000;0,3979;0,4648
65,500;0,3183;0,3481
66,000;0,3581;0,4170
66,500;0,3183;0,3624
67,000;0,3581;0,3862
67,500;0,3183;0,3403
68,000;0,1989;0,2167
68,500;0,2785;0,2957
69,000;0,3183;0,3637
69,500;0,3183;0,4035
70,000;0,3183;0,3806
70,500;0,3183;0,3716
71,000;0,3183;0,3544
71,500;0,3979;0,4210
72,000;0,3979;0,4847
72,500;0,2387;0,2488
73,000;0,3581;0,3935
73,500;0,3979;0,4500
74,000;0,4377;0,4720
74,500;0,3581;0,4093
75,000;0,3979;0,3698
75,520;0,3581;0,4029
76,020;0,3581;0,3932
76,520;0,3183;0,3138
77,020;0,4377;0,3926
77,520;0,3979;0,3826
78,020;0,3183;0,3523
78,520;0,2785;0,2718
79,020;0,3183;0,3375
79,520;0,2785;0,2687
80,020;0,3581;0,3881
80,520;0,3183;0,3876
81,020;0,2785;0,0000
81,520;0,3581;0,4447
82,020;0,2387;0,3340
82,520;0,1989;0,0000
83,020;0,1592;0,0000
83,520;0,1194;0,0000
84,020;0,3183;0,3512
84,520;0,2785;0,3332
85,040;0,3581;0,4433
85,540;0,2387;0,3010
86,040;0,2387;0,3133
86,540;0,3581;0,4003
87,040;0,3581;0,3843
87,540;0,4377;0,3843
88,040;0,4377;0,4325
88,540;0,3979;0,3824
89,040;0,4377;0,4086
89,540;0,3979;0,3997
90,040;0,4377;0,4655
90,540;0,4775;0,5003
91,040;0,4775;0,4664
91,540;0,3183;0,3022
92,040;0,3581;0,3495
92,540;0,3581;0,3692
93,040;0,3581;0,3815
93,540;0,3183;0,3634
94,040;0,2785;0,3328
94,560;0,1592;0,0000
95,060;0,1194;0,0000
95,560;0,0796;0,0000
96,060;0,1194;0,0000
96,560;0,1989;0,0000
97,060;0,3183;0,0000
97,560;0,3183;0,0000
98,060;0,1989;0,0000
98,560;0,2785;0,0000
99,060;0,2785;0,3387
99,560;0,3581;0,3124
100,060;0,3979;0,4647
100,560;0,2785;0,3422
