agentId;time;posX;posZ;speed
2;0,1200;5,7043;0,4357;0,1819
1;0,2400;-0,0224;6,9995;0,2675
2;0,2400;5,6501;0,4546;0,4783
1;0,3600;-0,0239;6,9381;0,5122
2;0,3600;5,5671;0,4914;0,7569
3;0,3600;5,9225;0,9932;0,1021
1;0,4800;-0,0218;6,8447;0,7783
2;0,4800;5,4546;0,5402;1,0214
3;0,4800;5,8829;0,9988;0,3333
4;0,4800;1,8497;6,9103;3,8992
1;0,6000;-0,0171;6,7248;0,9999
2;0,6000;5,3121;0,5918;1,2629
3;0,6000;5,8108;1,0168;0,6197
4;0,6000;1,8445;6,8858;0,2084
1;0,7200;-0,0102;6,5816;1,1947
2;0,7200;5,1513;0,6366;1,3912
3;0,7200;5,7064;1,0413;0,8933
4;0,7200;1,8302;6,8454;0,3573
1;0,8400;-0,0005;6,4185;1,3616
2;0,8400;4,9880;0,6714;1,3911
3;0,8400;5,5726;1,0745;1,1486
4;0,8400;1,8017;6,7904;0,5163
6;0,8400;1,0707;6,0911;0,0000
1;0,9600;0,0122;6,2438;1,4600
2;0,9600;4,8232;0,6976;1,3914
3;0,9600;5,4137;1,1178;1,3728
4;0,9600;1,7526;6,7182;0,7270
6;0,9600;1,0701;6,0778;0,1110
7;0,9600;6,1125;1,4443;0,0900
1;1,0800;0,0302;6,0655;1,4927
2;1,0800;4,6574;0,7177;1,3914
3;1,0800;5,2360;1,1688;1,5405
4;1,0800;1,6992;6,6416;0,7790
6;1,0800;1,0623;6,0337;0,3730
7;1,0800;6,0739;1,4511;0,3270
1;1,1800;0,0436;5,9169;1,4927
2;1,1800;4,5188;0,7297;1,3914
3;1,1800;5,0784;1,2150;1,6423
4;1,1800;1,6553;6,5789;0,7649
6;1,1800;1,0447;5,9730;0,6319
7;1,1800;6,0169;1,4629;0,5817
1;1,3000;0,0532;5,7380;1,4926
2;1,3000;4,3521;0,7402;1,3914
3;1,3000;4,8862;1,2714;1,6690
4;1,3000;1,6012;6,5020;0,7838
6;1,3000;1,0054;5,8760;0,8722
7;1,3000;5,9261;1,4834;0,7761
8;1,3000;6,0592;0,7396;0,1052
1;1,4200;0,0581;5,5589;1,4927
2;1,4200;4,1856;0,7516;1,3914
3;1,4200;4,6924;1,3302;1,6884
4;1,4200;1,5390;6,4133;0,9026
6;1,4200;0,9522;5,7577;1,0807
7;1,4200;5,8121;1,5110;0,9777
8;1,4200;6,0189;0,7491;0,3449
1;1,5200;0,0590;5,4097;1,4927
2;1,5200;4,0469;0,7631;1,3914
3;1,5200;4,5309;1,3798;1,6890
4;1,5200;1,4758;6,3235;1,0980
6;1,5200;0,9011;5,6494;1,1972
7;1,5200;5,7055;1,5371;1,0969
8;1,5200;5,9614;0,7641;0,5939
10;1,5200;6,2926;-0,4173;0,0482
1;1,6400;0,0560;5,2306;1,4927
2;1,6400;3,8806;0,7782;1,3914
3;1,6400;4,3368;1,4380;1,6890
4;1,6400;1,3945;6,2054;1,1944
6;1,6400;0,8352;5,5110;1,2775
7;1,6400;5,5571;1,5757;1,2779
8;1,6400;5,8688;0,7871;0,7952
10;1,6400;6,2857;-0,4161;0,0579
1;1,7400;0,0539;5,0813;1,4927
2;1,7400;3,7421;0,7913;1,3914
3;1,7400;4,1750;1,4867;1,6890
4;1,7400;1,3279;6,1060;1,1967
5;1,7400;6,4802;0,3575;0,4142
6;1,7400;0,7723;5,3791;1,4619
7;1,7400;5,4196;1,6135;1,4264
8;1,7400;5,7800;0,8062;0,9087
10;1,7400;6,2683;-0,4094;0,1871
1;1,8600;0,0523;4,9022;1,4927
2;1,8600;3,5757;0,8048;1,3914
3;1,8600;3,9809;1,5448;1,6890
4;1,8600;1,2505;5,9878;1,1777
5;1,8600;6,4449;0,3851;0,3734
6;1,8600;0,6912;5,2046;1,6032
7;1,8600;5,2420;1,6626;1,5354
8;1,8600;5,6510;0,8317;1,0959
10;1,8600;6,2298;-0,3918;0,3526
