time;evacuated_count
7,200;1
7,680;2
7,860;3
8,060;4
8,300;5
9,240;6
9,280;7
9,360;8
9,660;9
9,960;10
10,080;11
10,180;12
10,640;13
10,680;14
11,060;15
11,320;16
11,440;17
11,520;18
11,900;19
12,060;20
12,340;21
12,940;22
13,040;23
13,200;24
13,340;25
13,340;26
13,360;27
13,380;28
13,420;29
13,800;30
14,360;31
14,960;32
15,060;33
15,080;34
15,540;35
15,880;36
15,920;37
15,920;38
16,740;39
16,760;40
16,800;41
17,280;42
18,220;43
18,600;44
18,700;45
19,040;46
19,440;47
19,680;48
19,980;49
20,180;50
20,240;51
20,520;52
20,600;53
20,660;54
20,900;55
21,040;56
21,240;57
21,280;58
21,500;59
22,000;60
22,120;61
22,620;62
22,640;63
22,840;64
22,960;65
23,180;66
23,360;67
23,480;68
23,940;69
24,000;70
24,020;71
24,140;72
24,260;73
24,540;74
24,560;75
24,680;76
24,720;77
24,960;78
25,180;79
25,200;80
25,500;81
25,920;82
25,940;83
26,040;84
26,040;85
26,120;86
26,200;87
26,280;88
26,500;89
26,860;90
26,900;91
26,960;92
27,300;93
27,420;94
27,620;95
27,680;96
27,700;97
28,300;98
28,480;99
28,680;100
28,800;101
28,840;102
28,960;103
29,020;104
29,540;105
29,580;106
29,700;107
29,760;108
29,840;109
29,880;110
30,220;111
30,300;112
30,560;113
30,600;114
31,040;115
31,140;116
31,160;117
31,360;118
31,640;119
31,780;120
32,720;121
32,820;122
32,900;123
33,260;124
33,680;125
33,680;126
33,720;127
34,360;128
34,600;129
34,720;130
34,860;131
35,020;132
35,140;133
35,520;134
35,820;135
36,160;136
36,200;137
36,260;138
36,340;139
36,440;140
36,560;141
36,780;142
36,800;143
36,820;144
37,020;145
37,120;146
37,120;147
37,460;148
37,980;149
38,020;150
38,140;151
38,360;152
38,380;153
38,480;154
38,600;155
38,620;156
39,120;157
39,240;158
39,280;159
39,440;160
40,040;161
40,220;162
40,740;163
40,900;164
40,960;165
41,140;166
41,180;167
41,380;168
41,660;169
42,020;170
42,460;171
42,660;172
42,780;173
43,260;174
43,280;175
43,380;176
43,380;177
43,700;178
44,460;179
44,480;180
44,500;181
44,880;182
45,220;183
45,260;184
45,620;185
45,760;186
46,500;187
46,560;188
46,740;189
47,040;190
47,040;191
47,180;192
47,580;193
47,620;194
47,820;195
48,080;196
48,340;197
48,640;198
48,860;199
49,080;200
49,240;201
49,520;202
49,520;203
49,520;204
49,560;205
49,980;206
50,240;207
50,300;208
50,520;209
50,600;210
50,760;211
50,980;212
50,980;213
51,020;214
51,340;215
51,380;216
51,460;217
51,760;218
51,860;219
52,100;220
52,420;221
52,560;222
52,820;223
53,760;224
54,140;225
54,140;226
54,160;227
54,160;228
54,260;229
54,480;230
54,640;231
54,680;232
54,840;233
55,120;234
55,140;235
55,220;236
55,320;237
55,320;238
55,800;239
55,900;240
55,940;241
56,040;242
56,080;243
56,420;244
56,580;245
56,880;246
56,920;247
57,040;248
57,160;249
57,320;250
58,220;251
58,380;252
58,420;253
58,420;254
58,540;255
58,640;256
58,900;257
59,120;258
59,280;259
60,000;260
60,060;261
60,280;262
60,480;263
61,260;264
61,840;265
61,960;266
62,200;267
62,400;268
62,480;269
62,560;270
62,580;271
63,600;272
64,060;273
64,980;274
65,340;275
65,540;276
65,800;277
66,060;278
66,300;279
66,820;280
67,120;281
67,180;282
67,740;283
68,840;284
68,920;285
69,000;286
69,080;287
69,600;288
70,120;289
70,300;290
70,460;291
70,540;292
70,800;293
71,120;294
71,400;295
71,680;296
71,760;297
71,900;298
72,680;299
72,900;300
72,920;301
73,200;302
73,300;303
73,720;304
73,980;305
74,360;306
74,440;307
75,060;308
75,240;309
75,420;310
75,620;311
75,840;312
76,100;313
76,260;314
76,340;315
76,960;316
77,020;317
77,260;318
77,380;319
77,500;320
78,780;321
78,860;322
79,760;323
79,920;324
79,940;325
80,360;326
80,640;327
81,180;328
81,180;329
82,000;330
82,100;331
83,640;332
83,780;333
84,000;334
85,600;335
85,880;336
86,160;337
86,960;338
87,120;339
87,360;340
87,420;341
87,740;342
87,880;343
87,960;344
88,120;345
88,180;346
88,200;347
88,620;348
88,940;349
89,000;350
89,260;351
89,280;352
89,540;353
89,620;354
89,820;355
90,120;356
90,440;357
90,460;358
90,620;359
90,720;360
90,860;361
91,140;362
91,620;363
91,880;364
92,220;365
92,240;366
92,640;367
92,860;368
92,900;369
93,400;370
93,480;371
93,540;372
94,360;373
94,400;374
94,460;375
94,620;376
94,680;377
94,740;378
95,300;379
95,360;380
95,840;381
96,240;382
96,360;383
96,500;384
96,800;385
97,060;386
97,300;387
97,320;388
97,600;389
97,800;390
97,940;391
98,020;392
98,320;393
98,720;394
98,800;395
98,940;396
98,980;397
99,720;398
99,780;399
100,120;400
100,200;401
100,200;402
100,300;403
100,400;404
100,500;405
100,880;406
101,380;407
101,420;408
101,740;409
102,300;410
102,700;411
102,940;412
103,180;413
103,660;414
104,280;415
104,360;416
104,440;417
104,880;418
105,080;419
105,200;420
