time;density;speed
0,520;0,1592;2,3387
0,520;0,1592;0,6773
0,520;0,1592;0,6773
0,520;0,1592;2,3387
1,040;0,2387;0,7660
1,040;0,2387;0,9514
1,040;0,3183;0,7135
1,040;0,2387;0,7660
1,040;0,2387;0,7660
1,040;0,3183;0,7135
1,560;0,3183;0,9470
1,560;0,3183;1,1928
1,560;0,3183;1,1928
1,560;0,3183;0,9470
1,560;0,3183;0,9470
1,560;0,3979;0,9543
1,560;0,4775;0,8032
1,560;0,2387;0,2140
2,080;0,2387;1,4410
2,080;0,2387;1,5136
2,080;0,3183;1,4879
2,080;0,3183;1,4547
2,080;0,4775;0,7071
2,080;0,3183;1,4547
2,080;0,5570;0,9960
2,080;0,5570;0,8474
2,080;0,3183;1,0910
2,080;0,3979;0,5564
2,080;0,4775;0,7071
2,080;0,4775;0,7071
2,600;0,2387;1,3133
2,600;0,3183;1,6699
2,600;0,3183;1,6699
2,600;0,3183;1,3611
2,600;0,4775;0,7410
2,600;0,3183;1,3611
2,600;0,3979;1,4527
2,600;0,6366;1,1688
2,600;0,3979;0,9715
2,600;0,4775;0,7410
2,600;0,2387;0,8021
2,600;0,5570;0,8957
2,600;0,4775;0,7410
3,120;0,2387;1,2465
3,120;0,3183;1,7311
3,120;0,3183;1,7311
3,120;0,3183;1,3149
3,120;0,5570;0,9597
3,120;0,3183;1,3149
3,120;0,3183;1,7311
3,120;0,3979;1,6339
3,120;0,3979;1,0564
3,120;0,4775;0,9565
3,120;0,2387;0,9499
3,120;0,6366;1,0617
3,120;0,5570;0,9597
3,120;0,4775;0,9106
3,120;0,2387;0,5686
3,120;0,5570;0,9597
3,640;0,4775;1,5867
3,640;0,3979;1,6576
3,640;0,4775;1,5867
3,640;0,3979;1,5339
3,640;0,7162;1,0252
3,640;0,4775;1,6016
3,640;0,4775;1,6135
3,640;0,3183;1,6795
3,640;0,3979;1,5254
3,640;0,6366;1,1534
3,640;0,3183;1,2633
3,640;0,4775;1,6928
3,640;0,5570;1,3166
3,640;0,3979;1,1966
3,640;0,5570;0,7893
3,640;0,6366;1,1520
3,640;0,2387;0,9131
3,640;0,6366;0,9519
