agentId;time;posX;posZ;speed;localDensity
2;0,5200;5,4784;1,7456;0,3934;0,0000
1;0,5200;-1,4511;5,7477;0,6471;0,0000
5;1,0400;6,2456;1,6888;0,2432;0,0000
3;1,0400;6,1658;0,3336;0,8306;0,0000
2;1,0400;5,0689;1,7247;0,7885;0,0000
1;1,0400;-1,3209;5,1042;1,2626;0,0000
10;1,5600;6,1468;-0,4299;0,2839;0,0000
9;1,5600;0,1873;6,9474;0,6366;0,0000
8;1,5600;6,3345;0,0358;0,3401;0,0000
5;1,5600;5,9518;1,6720;0,5659;0,0000
4;1,5600;-0,5216;6,4609;1,2767;0,0000
3;1,5600;5,3645;0,3776;1,5432;0,0000
2;1,5600;4,5893;1,7001;0,9235;0,0000
1;1,5600;-1,2140;4,3494;1,4659;0,0000
11;2,0800;-0,6989;6,7117;0,4406;0,0000
10;2,0800;5,8205;-0,5595;0,6751;0,0000
9;2,0800;0,1800;6,3505;1,1480;0,0000
8;2,0800;5,9770;0,3187;0,8768;0,0000
7;2,0800;6,2797;2,2106;0,6030;0,0000
5;2,0800;5,5889;1,6502;0,6991;0,0000
4;2,0800;-0,5653;5,4654;1,9162;0,0000
3;2,0800;4,4842;0,4227;1,6952;0,0000
2;2,0800;4,0863;1,6743;0,9686;0,0000
1;2,0800;-1,1227;3,5562;1,5354;0,0000
14;2,6000;-0,5384;5,5814;1,3784;0,0000
12;2,6000;6,2314;1,0451;0,4867;0,0000
11;2,6000;-0,7465;6,9474;0,4624;0,0000
10;2,6000;5,3747;-0,4042;0,9079;0,0000
9;2,6000;0,2226;5,7159;1,2231;0,0000
8;2,6000;5,4240;0,4542;1,0948;0,0000
7;2,6000;5,7806;2,1829;0,9611;0,0000
6;2,6000;0,3776;6,9437;0,5001;0,0000
5;2,6000;5,1954;1,6210;0,7588;0,0000
4;2,6000;-0,5525;4,4529;1,9473;0,0000
3;2,6000;3,5841;0,4637;1,7327;0,0000
2;2,6000;3,5753;1,6480;0,9839;0,0000
1;2,6000;-1,0388;2,7500;1,5589;0,0000
18;3,1200;0,5105;5,9777;0,6865;0,0000
15;3,1200;5,9662;-0,0369;0,8219;0,0000
14;3,1200;-0,5600;4,9082;1,2953;0,0000
13;3,1200;6,0605;1,9974;0,8205;0,0000
12;3,1200;5,7866;1,0441;0,8553;0,0000
11;3,1200;-0,7036;6,5372;0,7932;0,0000
10;3,1200;4,8913;-0,2868;0,9566;0,0000
9;3,1200;0,3035;5,0797;1,2333;0,0000
8;3,1200;4,7993;0,5282;1,2099;0,0000
7;3,1200;5,2781;2,1700;0,9667;0,0000
6;3,1200;0,3575;6,5228;0,8104;0,0000
5;3,1200;4,7769;1,5734;0,8100;0,0000
4;3,1200;-0,5189;3,4417;1,9457;0,0000
3;3,1200;2,6775;0,5029;1,7452;0,0000
2;3,1200;3,0617;1,6219;0,9890;0,0000
1;3,1200;-0,9582;1,9394;1,5664;0,0000
20;3,6400;6,1337;1,6851;0,2246;0,0000
18;3,6400;0,5873;5,2176;1,4691;0,0000
17;3,6400;6,3481;-0,0653;0,6006;0,0000
16;3,6400;-1,1170;6,6990;0,7134;0,0000
15;3,6400;5,2894;0,0087;1,3044;0,0000
14;3,6400;-0,5748;4,2739;1,2202;0,0000
13;3,6400;5,2355;2,0278;1,5876;0,0000
12;3,6400;5,2996;1,0407;0,9366;0,0000
11;3,6400;-0,6507;5,8677;1,2916;0,0000
10;3,6400;4,3964;-0,2227;0,9597;0,0000
9;3,6400;0,3428;4,4269;1,2577;0,0000
8;3,6400;4,1479;0,5833;1,2572;0,0000
7;3,6400;4,7281;2,1895;1,0584;0,0000
6;3,6400;0,2688;6,3232;0,4200;0,0000
5;3,6400;4,3435;1,5077;0,8430;0,0000
4;3,6400;-0,4773;2,4332;1,9412;0,0000
3;3,6400;1,7687;0,5415;1,7491;0,0000
2;3,6400;2,5473;1,5958;0,9904;0,0000
1;3,6400;-0,8791;1,1278;1,5682;0,0000
24;4,1600;5,5900;0,8476;0,6347;0,0000
23;4,1600;1,4308;6,2962;0,3974;0,0000
21;4,1600;2,0145;6,9645;0,8265;0,0000
20;4,1600;5,6182;1,6320;0,9966;0,0000
19;4,1600;6,1112;1,1121;0,7759;0,0000
18;4,1600;0,5999;4,4581;1,4609;0,0000
17;4,1600;5,5829;-0,1262;1,4762;0,0000
16;4,1600;-1,0772;6,0615;1,2284;0,0000
15;4,1600;4,6173;0,0565;1,2958;0,0000
14;4,1600;-0,5743;3,6556;1,1891;0,0000
13;4,1600;4,6689;1,9413;1,1023;0,0000
12;4,1600;4,7956;1,0368;0,9693;0,0000
11;4,1600;-0,6083;5,1281;1,4245;0,0000
10;4,1600;3,8902;-0,1800;0,9769;0,0000
9;4,1600;0,3469;3,7441;1,3130;0,0000
8;4,1600;3,4849;0,6233;1,2773;0,0000
7;4,1600;4,0635;2,3070;1,2979;0,0000
6;4,1600;0,2316;5,9202;0,7782;0,0000
5;4,1600;3,9151;1,4400;0,8340;0,0000
4;4,1600;-0,4329;1,4261;1,9385;0,0000
3;4,1600;0,8597;0,5801;1,7497;0,0000
2;4,1600;2,0328;1,5694;0,9908;0,0000
1;4,1600;-0,8007;0,3163;1,5679;0,0000
28;4,6600;-0,3910;6,9190;0,0000;0,0000
27;4,6600;5,6325;2,0951;0,2078;0,0000
26;4,6600;-0,3034;5,9814;0,3927;0,0000
24;4,6600;4,9198;0,7569;1,3526;0,0000
23;4,6600;1,1854;5,7467;1,2036;0,0000
22;4,6600;6,1997;0,0961;0,5434;0,0000
21;4,6600;1,5631;6,1203;1,9145;0,0000
20;4,6600;4,8597;1,6485;1,5173;0,0000
19;4,6600;5,7345;1,2529;0,8044;0,0000
18;4,6600;0,5955;3,7543;1,4076;0,0000
17;4,6600;4,8540;-0,1162;1,4581;0,0000
16;4,6600;-1,0319;5,4097;1,3067;0,0000
15;4,6600;4,0008;0,1133;1,2383;0,0000
14;4,6600;-0,5687;3,0674;1,1764;0,0000
13;4,6600;4,0721;1,8524;1,2066;0,0000
12;4,6600;4,2970;1,0320;0,9973;0,0000
11;4,6600;-0,5716;4,3969;1,4643;0,0000
10;4,6600;3,3614;-0,1558;1,0586;0,0000
9;4,6600;0,3280;3,0480;1,3929;0,0000
8;4,6600;2,8431;0,6499;1,2846;0,0000
7;4,6600;3,4598;2,3646;1,2130;0,0000
6;4,6600;0,4042;5,3593;1,1738;0,0000
5;4,6600;3,5097;1,3911;0,8167;0,0000
4;4,6600;-0,4482;0,4612;1,9301;0,0000
3;4,6600;0,0271;0,6162;1,6667;0,0000
2;4,6600;1,5380;1,5439;0,9908;0,0000
1;4,6600;-0,7257;-0,4637;1,5672;0,0000
31;5,1800;5,5188;0,8262;0,2204;0,0000
29;5,1800;6,2435;-0,4289;0,5004;0,0000
28;5,1800;-0,3851;6,6910;0,4385;0,0000
27;5,1800;5,2124;2,0809;0,8085;0,0000
26;5,1800;-0,3829;5,5731;0,8000;0,0000
25;5,1800;6,1248;1,2497;0,7957;0,0000
24;5,1800;4,1983;0,7016;1,3915;0,0000
23;5,1800;0,8610;5,0571;1,4654;0,0000
22;5,1800;5,6182;0,1277;1,1198;0,0000
21;5,1800;1,3447;5,6689;0,9644;0,0000
20;5,1800;4,0396;1,6447;1,5772;0,0000
19;5,1800;5,2036;1,3140;1,0276;0,0000
18;5,1800;0,5844;3,0322;1,3887;0,0000
17;5,1800;4,1097;-0,0804;1,4329;0,0000
16;5,1800;-0,9825;4,7163;1,3367;0,0000
15;5,1800;3,3928;0,1914;1,1788;0,0000
