time;evacuated_count
6,560;1
8,100;2
9,220;3
9,700;4
10,160;5
10,420;6
10,900;7
11,000;8
11,320;9
11,420;10
12,080;11
12,480;12
13,060;13
13,420;14
13,560;15
13,860;16
14,180;17
14,260;18
14,320;19
15,000;20
15,260;21
15,640;22
15,820;23
16,120;24
16,160;25
16,480;26
16,860;27
16,980;28
17,380;29
17,560;30
17,640;31
17,720;32
18,100;33
18,300;34
18,660;35
18,900;36
18,900;37
19,040;38
19,280;39
19,380;40
19,400;41
19,500;42
19,960;43
20,000;44
20,560;45
20,840;46
21,020;47
21,080;48
21,140;49
21,140;50
21,440;51
21,940;52
22,020;53
22,040;54
22,340;55
22,540;56
22,620;57
22,640;58
23,060;59
23,100;60
23,100;61
23,500;62
23,540;63
23,840;64
23,880;65
24,140;66
24,200;67
24,300;68
24,340;69
24,620;70
24,720;71
25,200;72
25,240;73
25,580;74
25,920;75
26,060;76
26,280;77
26,500;78
26,580;79
26,680;80
27,040;81
27,100;82
27,120;83
27,480;84
27,520;85
27,640;86
27,720;87
27,960;88
28,080;89
28,420;90
28,600;91
28,720;92
29,020;93
29,140;94
29,140;95
29,240;96
29,540;97
30,020;98
30,500;99
30,860;100
31,140;101
31,240;102
31,440;103
31,780;104
31,980;105
32,280;106
32,300;107
32,380;108
32,820;109
32,940;110
32,980;111
33,200;112
33,280;113
33,340;114
33,360;115
33,400;116
33,580;117
33,760;118
33,780;119
34,040;120
34,120;121
34,120;122
34,160;123
34,320;124
34,480;125
34,480;126
34,520;127
34,640;128
34,660;129
34,920;130
34,980;131
35,160;132
35,240;133
35,280;134
35,320;135
35,420;136
35,540;137
35,680;138
35,700;139
35,740;140
35,960;141
36,120;142
36,280;143
36,480;144
36,840;145
37,000;146
37,240;147
37,440;148
37,440;149
37,720;150
37,960;151
37,960;152
38,180;153
38,520;154
38,680;155
39,140;156
39,360;157
39,460;158
39,600;159
39,640;160
39,740;161
39,880;162
39,900;163
40,120;164
40,160;165
40,180;166
40,600;167
40,680;168
40,880;169
41,140;170
41,160;171
41,200;172
41,680;173
41,700;174
41,720;175
42,080;176
42,100;177
42,120;178
42,580;179
42,640;180
43,100;181
43,140;182
43,160;183
43,460;184
43,720;185
43,880;186
44,060;187
44,200;188
44,660;189
45,160;190
45,200;191
45,420;192
45,440;193
45,720;194
45,900;195
45,960;196
46,400;197
46,420;198
46,580;199
46,980;200
48,100;201
48,400;202
48,640;203
48,740;204
49,060;205
49,300;206
49,700;207
49,740;208
49,920;209
50,160;210
50,160;211
50,660;212
51,080;213
51,140;214
51,260;215
51,480;216
51,520;217
51,780;218
51,820;219
51,980;220
52,120;221
52,380;222
52,620;223
52,700;224
52,940;225
53,020;226
53,200;227
53,320;228
53,480;229
53,480;230
53,680;231
53,840;232
53,980;233
54,260;234
54,400;235
54,580;236
55,300;237
55,460;238
55,580;239
56,060;240
56,280;241
56,300;242
56,680;243
56,740;244
56,900;245
57,060;246
57,320;247
57,440;248
57,480;249
57,720;250
57,780;251
57,940;252
58,200;253
58,260;254
58,360;255
58,500;256
58,540;257
58,960;258
59,060;259
59,180;260
59,380;261
59,420;262
59,740;263
59,760;264
60,180;265
60,320;266
60,400;267
60,440;268
60,780;269
60,820;270
60,980;271
61,320;272
61,340;273
61,400;274
61,620;275
61,720;276
61,760;277
61,940;278
62,080;279
62,100;280
62,180;281
62,200;282
62,280;283
62,480;284
62,520;285
62,660;286
62,660;287
62,700;288
62,780;289
62,880;290
62,980;291
63,100;292
63,220;293
63,460;294
63,480;295
63,720;296
63,760;297
63,840;298
63,920;299
64,340;300
64,540;301
64,540;302
65,060;303
65,100;304
65,600;305
65,880;306
66,080;307
66,220;308
66,240;309
66,740;310
67,280;311
67,480;312
67,520;313
67,740;314
67,820;315
68,000;316
68,260;317
68,560;318
68,680;319
68,900;320
68,980;321
69,080;322
69,220;323
69,360;324
69,500;325
69,580;326
69,660;327
70,080;328
70,180;329
70,420;330
70,480;331
70,520;332
70,820;333
70,840;334
70,880;335
71,060;336
71,100;337
71,120;338
71,420;339
71,440;340
71,640;341
71,980;342
72,060;343
72,400;344
72,460;345
72,620;346
72,700;347
72,940;348
73,200;349
73,240;350
73,840;351
73,880;352
74,300;353
74,680;354
74,860;355
74,940;356
75,340;357
75,380;358
