time;density;speed
0,510;0,1592;0,4380
0,510;0,1592;0,4747
0,510;0,1592;0,4380
1,020;0,2387;0,8628
1,020;0,3183;0,5449
1,020;0,3183;0,5449
1,020;0,2387;0,8628
1,020;0,2387;0,8628
1,020;0,3183;0,5449
1,530;0,3183;1,0808
1,530;0,3183;1,0154
1,530;0,4775;0,7675
1,530;0,3183;1,0808
1,530;0,3979;0,6107
1,530;0,2387;1,2951
1,530;0,4775;0,7675
1,530;0,4775;0,7675
1,530;0,2387;1,1220
2,040;0,3183;1,2953
2,040;0,3183;1,1917
2,040;0,5570;0,9231
2,040;0,2387;1,4197
2,040;0,3979;0,9185
2,040;0,3183;1,0648
2,040;0,3979;1,1426
2,040;0,5570;0,9231
2,040;0,1592;1,2077
2,040;0,3979;0,7050
2,040;0,3183;0,6446
2,550;0,3183;1,3978
2,550;0,2387;1,4014
2,550;0,6366;0,9318
2,550;0,2387;1,4785
2,550;0,5570;0,9079
2,550;0,2387;1,4785
2,550;0,4775;1,1776
2,550;0,7162;1,0040
2,550;0,1592;1,3351
2,550;0,4775;0,7986
2,550;0,3979;0,8072
2,550;0,4775;0,9405
2,550;0,5570;0,8561
3,060;0,3183;1,4311
3,060;0,2387;1,4131
3,060;0,7162;1,0665
3,060;0,2387;1,4972
3,060;0,7162;1,0665
3,060;0,3183;1,4311
3,060;0,4775;1,2469
3,060;0,6366;1,2090
3,060;0,2387;1,3687
3,060;0,6366;0,8533
3,060;0,3183;0,3294
3,060;0,4775;1,0132
3,060;0,5570;1,0582
3,060;0,6366;0,8679
3,060;0,4775;0,9298
3,060;0,2387;0,4392
3,570;0,3183;1,5227
3,570;0,2387;1,5209
3,570;0,7162;1,1790
3,570;0,2387;1,5020
3,570;0,7958;1,0979
3,570;0,3183;1,4403
3,570;0,4775;1,2768
3,570;0,4775;1,2527
3,570;0,1592;1,3085
3,570;0,6366;0,8696
3,570;0,3183;0,8780
3,570;0,4775;1,0851
3,570;0,5570;1,1924
3,570;0,3183;0,6416
3,570;0,7162;0,9247
3,570;0,5570;0,9832
3,570;0,2387;0,7200
3,570;0,4775;0,7545
4,080;0,3183;1,5408
4,080;0,3183;1,5408
4,080;0,7162;1,2592
4,080;0,3183;1,5195
4,080;0,8754;1,1349
4,080;0,2387;1,4173
4,080;0,4775;1,3598
4,080;0,4775;1,2759
4,080;0,1592;1,3159
4,080;0,7162;1,1333
4,080;0,3183;1,2982
4,080;0,3979;1,1505
4,080;0,5570;1,2747
4,080;0,4775;0,8655
4,080;0,7958;1,0974
4,080;0,3979;1,0386
4,080;0,7162;1,0895
4,080;0,3183;1,2982
4,080;0,3979;1,0101
4,080;0,6366;1,0704
4,080;0,6366;1,0704
4,080;0,4775;1,0764
4,590;0,4775;1,2950
4,590;0,2387;1,2280
4,590;0,7162;1,2562
4,590;0,3183;1,2628
4,590;0,8754;1,2130
4,590;0,3183;1,1669
4,590;0,4775;1,1459
4,590;0,4775;1,2932
4,590;0,3979;1,1952
4,590;0,8754;1,0963
4,590;0,3183;1,3448
4,590;0,3979;1,1585
4,590;0,5570;1,3029
4,590;0,3979;1,0759
4,590;0,7958;1,0256
4,590;0,5570;0,7685
4,590;0,7162;1,1837
4,590;0,3183;1,3448
4,590;0,5570;0,9685
4,590;0,7958;1,0526
4,590;0,7958;1,0526
4,590;0,5570;1,0642
4,590;0,4775;0,9470
4,590;0,6366;0,9730
5,100;0,6366;1,2740
5,100;0,3183;1,2105
5,100;0,7162;1,2661
5,100;0,3183;1,2105
5,100;0,8754;1,2560
5,100;0,4775;1,2499
5,100;0,5570;1,2568
5,100;0,6366;1,2629
5,100;0,4775;1,2855
5,100;0,7958;1,1605
5,100;0,3183;1,3577
5,100;0,3979;1,2105
5,100;0,5570;1,2990
5,100;0,3183;1,3577
5,100;0,7958;1,1408
5,100;0,7162;0,9711
5,100;0,7162;1,2360
5,100;0,3979;1,0862
5,100;0,6366;1,0392
5,100;0,8754;1,1087
5,100;0,3979;0,9223
5,100;0,7958;1,1669
5,100;0,4775;0,7685
5,100;0,6366;1,1218
5,100;0,4775;1,1136
5,100;0,7958;0,9462
5,100;0,3979;0,9223
5,100;0,4775;0,8023
5,100;0,3979;0,7899
5,610;0,6366;1,2422
5,610;0,3979;1,2923
5,610;0,7958;1,2318
5,610;0,3183;1,1944
5,610;0,9549;1,2099
5,610;0,5570;1,2154
5,610;0,6366;1,2433
5,610;0,7162;1,2791
5,610;0,9549;1,3084
5,610;0,7958;1,2200
5,610;0,4775;1,2514
5,610;0,6366;1,2680
5,610;0,7958;1,2963
5,610;0,4775;1,2514
5,610;0,8754;1,2216
5,610;0,6366;1,2397
5,610;0,7162;1,2067
5,610;0,3183;1,3639
5,610;0,7162;1,1498
5,610;0,9549;1,2480
5,610;0,4775;1,1092
5,610;0,7162;1,2022
5,610;0,4775;1,1092
5,610;0,7162;1,1811
5,610;0,5570;1,1979
5,610;0,4775;0,8913
5,610;0,8754;1,0532
5,610;0,3979;1,1736
5,610;0,5570;0,9771
5,610;0,3979;1,0993
5,610;0,4775;0,9109
6,110;0,5570;1,2888
6,110;0,5570;1,2971
6,110;0,7958;1,2601
6,110;0,3183;1,2557
6,110;1,0345;1,2621
6,110;0,6366;1,2947
6,110;0,7162;1,2639
6,110;0,7958;1,2454
6,110;0,9549;1,3297
6,110;0,7162;1,2114
6,110;0,5570;1,2950
6,110;0,7958;1,2454
6,110;1,0345;1,3082
6,110;0,6366;1,3016
6,110;0,8754;1,2223
6,110;0,7162;1,2543
6,110;0,7162;1,2775
6,110;0,4775;1,2979
6,110;0,7958;1,2151
6,110;0,9549;1,2721
6,110;0,5570;1,0303
6,110;0,7958;1,2565
6,110;0,4775;1,2021
6,110;0,6366;1,3200
6,110;0,5570;1,2244
6,110;0,5570;0,8434
6,110;0,9549;1,1302
6,110;0,3979;1,2183
6,110;0,6366;1,2482
6,110;0,3979;1,2136
6,110;0,3979;1,0936
6,110;0,5570;1,0650
6,110;0,3979;0,9372
6,110;0,3979;0,9520
6,620;0,3979;1,4223
6,620;0,5570;1,4358
6,620;0,9549;1,2386
6,620;0,3183;1,4383
6,620;0,9549;1,1976
6,620;0,6366;1,3784
6,620;0,7162;1,3076
6,620;0,7958;1,2727
6,620;1,0345;1,2853
6,620;0,7958;1,2000
6,620;0,8754;1,2713
6,620;0,7162;1,2916
6,620;1,0345;1,2760
6,620;0,7958;1,2290
6,620;1,0345;1,2037
6,620;0,7958;1,2797
6,620;0,8754;1,2255
6,620;0,6366;1,2772
6,620;0,8754;1,2757
6,620;0,9549;1,2616
6,620;0,4775;1,2282
6,620;0,8754;1,2760
6,620;0,4775;1,2282
6,620;0,7958;1,2893
6,620;0,5570;1,2172
6,620;0,6366;0,9304
6,620;0,8754;1,2812
6,620;0,3979;1,2306
6,620;0,6366;1,3114
6,620;0,4775;1,1303
6,620;0,4775;1,1497
6,620;0,7162;1,1581
6,620;0,3183;0,6276
6,620;0,5570;0,9162
6,620;0,3183;0,6276
6,620;0,4775;0,8808
6,620;0,3979;0,7452
7,120;0,2387;1,5086
7,120;0,3979;1,4112
7,120;1,2732;1,1826
7,120;0,2387;1,5086
7,120;1,1141;1,1508
7,120;0,4775;1,4550
7,120;0,4775;1,3161
7,120;0,7958;1,2838
7,120;1,0345;1,2422
7,120;1,0345;1,1674
7,120;1,1141;1,2058
7,120;0,7958;1,2820
7,120;1,0345;1,1897
7,120;1,0345;1,1875
7,120;1,1937;1,1312
7,120;1,0345;1,1482
7,120;1,1141;1,1210
7,120;0,8754;1,2563
7,120;0,8754;1,3112
7,120;1,1141;1,1869
7,120;0,5570;1,1264
7,120;0,9549;1,2402
7,120;0,7162;1,0930
7,120;0,9549;1,1967
7,120;0,7162;1,1911
7,120;0,6366;1,2353
7,120;0,9549;1,3281
7,120;0,5570;1,1323
7,120;0,7162;1,3064
7,120;0,4775;1,2746
7,120;0,6366;1,1486
7,120;0,7958;1,2762
7,120;0,3979;1,0860
7,120;0,6366;1,1613
7,120;0,3979;1,0860
7,120;0,7162;0,9617
7,120;0,4775;0,7432
7,120;0,4775;1,1144
7,120;0,3183;1,0678
7,120;0,5570;0,8478
7,120;0,5570;0,8306
7,630;0,2387;1,4967
7,630;0,3979;1,4506
7,630;1,1937;1,1569
7,630;0,2387;1,4967
7,630;1,3528;1,1867
7,630;0,3183;1,4470
7,630;0,3979;1,4506
7,630;0,6366;1,3692
7,630;0,7958;1,2902
7,630;1,1937;1,1714
7,630;1,1141;1,1906
7,630;0,7958;1,3412
7,630;1,0345;1,1809
7,630;1,1937;1,1807
7,630;1,4324;1,1881
7,630;1,1937;1,1657
7,630;1,3528;1,1588
7,630;1,0345;1,2273
7,630;0,8754;1,3048
7,630;1,5120;1,1771
7,630;0,7958;1,1358
7,630;1,0345;1,1801
7,630;0,9549;1,1334
7,630;1,1937;1,1797
7,630;0,7162;1,1017
7,630;0,6366;1,2806
7,630;0,9549;1,3161
7,630;0,6366;1,2661
7,630;1,0345;1,1738
7,630;0,6366;1,2044
7,630;0,5570;1,4719
7,630;0,7162;1,3715
7,630;0,5570;0,9702
7,630;0,5570;1,4094
7,630;0,4775;1,1319
7,630;0,7162;1,3566
7,630;0,5570;1,1398
7,630;0,6366;1,0064
7,630;0,3979;0,9706
7,630;0,4775;0,9371
7,630;0,3979;1,2752
7,630;0,4775;1,0844
7,630;0,4775;0,9371
7,630;0,3979;0,8967
8,130;0,2387;1,4861
8,130;0,3183;1,5046
8,130;1,1141;1,0834
8,130;0,2387;1,4861
8,130;1,5120;1,0848
8,130;0,3183;1,4325
8,130;0,3183;1,5046
8,130;0,5570;1,3587
8,130;0,5570;1,2626
8,130;1,4324;1,1387
8,130;1,1937;1,0739
8,130;0,5570;1,3587
8,130;1,1141;1,1227
8,130;1,2732;1,0708
8,130;1,5120;1,1136
8,130;1,3528;1,0843
8,130;1,4324;1,0611
8,130;0,8754;1,2287
8,130;0,8754;1,2319
8,130;1,6711;1,1128
8,130;1,0345;1,1496
8,130;1,4324;1,1762
8,130;1,1937;1,0848
8,130;1,4324;1,1095
8,130;1,0345;1,1125
8,130;0,7958;1,2067
8,130;1,1141;1,2056
8,130;0,9549;1,1226
8,130;1,1937;1,1270
8,130;0,9549;1,0629
8,130;0,5570;1,4421
8,130;0,9549;1,2493
8,130;0,6366;1,2296
8,130;0,6366;1,4066
8,130;0,4775;1,3242
8,130;0,6366;1,4238
8,130;0,7162;1,1549
8,130;0,7958;1,2200
8,130;0,4775;0,9764
8,130;0,5570;1,2373
8,130;0,4775;1,3224
8,130;0,6366;1,1123
8,130;0,5570;1,2373
8,130;0,3979;1,0115
8,130;0,4775;1,2491
8,130;0,4775;1,1120
8,130;0,3979;1,1817
8,130;0,4775;0,9764
8,640;0,3183;1,4451
8,640;1,1937;1,1894
8,640;1,5120;1,1119
8,640;0,1592;1,3083
8,640;0,3183;1,4451
8,640;0,3979;1,4919
8,640;0,3979;1,3217
8,640;1,3528;1,1947
8,640;1,1937;1,2041
8,640;0,5570;1,4485
8,640;0,9549;1,2218
8,640;1,2732;1,1940
8,640;1,5915;1,1292
8,640;1,3528;1,0910
8,640;1,5120;1,1246
8,640;0,7162;1,2860
8,640;1,1141;1,2040
8,640;1,6711;1,0896
8,640;1,3528;1,1034
8,640;1,5915;1,0988
8,640;1,2732;1,0932
8,640;1,5915;1,0979
8,640;1,1141;1,1811
8,640;0,9549;1,1410
8,640;1,3528;1,1126
8,640;0,8754;1,1210
8,640;1,4324;1,0665
8,640;1,1937;1,0884
8,640;0,6366;1,3580
8,640;1,1141;1,2252
8,640;0,7162;1,1491
8,640;0,7162;1,3056
8,640;0,4775;1,3689
8,640;0,6366;1,4123
8,640;0,6366;1,3217
8,640;0,8754;1,1692
8,640;0,3979;1,1935
8,640;0,6366;1,1398
8,640;0,5570;1,3837
8,640;0,7958;1,0677
8,640;0,5570;1,0728
8,640;0,3979;0,9918
8,640;0,5570;1,1350
8,640;0,5570;0,9450
8,640;0,3979;0,9860
8,640;0,6366;0,9543
8,640;0,4775;0,7814
8,640;0,3979;0,9860
9,140;0,9549;1,2157
9,140;1,5915;1,0801
9,140;0,1592;1,3031
9,140;0,2387;1,4223
9,140;0,2387;1,3702
9,140;1,3528;1,1675
9,140;1,1937;1,1704
9,140;0,2387;1,4223
9,140;0,7162;1,3251
9,140;1,3528;1,1879
9,140;1,3528;1,0489
9,140;1,3528;1,0780
9,140;1,5120;1,1242
9,140;0,4775;1,1325
9,140;1,3528;1,1048
9,140;1,7507;1,0635
9,140;1,4324;1,0894
9,140;1,7507;1,0740
9,140;1,4324;1,1176
9,140;1,7507;1,0685
9,140;1,1937;1,1538
9,140;1,2732;1,1014
9,140;1,6711;1,0917
9,140;1,2732;1,1373
9,140;1,7507;1,1060
9,140;1,1937;1,1382
9,140;0,8754;1,2447
9,140;1,2732;1,1158
9,140;1,0345;1,1101
9,140;0,8754;1,1896
9,140;0,6366;1,0901
9,140;0,7958;1,1985
9,140;0,7162;1,3683
9,140;1,2732;1,1235
9,140;0,3979;1,2602
9,140;0,6366;1,2293
9,140;0,6366;1,3377
9,140;0,6366;1,2717
9,140;0,3979;1,1851
9,140;0,4775;0,9749
9,140;0,4775;1,2291
9,140;0,4775;1,2479
9,140;0,3183;1,1007
9,140;0,7162;0,9981
9,140;0,4775;1,0240
9,140;0,3979;1,1374
9,140;0,3183;0,5556
9,650;0,8754;1,1551
9,650;1,5120;1,1505
9,650;0,1592;1,3694
9,650;1,4324;1,1338
9,650;0,9549;1,1776
9,650;0,4775;1,3336
9,650;1,1937;1,1828
9,650;1,5915;1,1595
9,650;1,2732;1,1705
9,650;1,0345;1,2360
9,650;0,3979;1,1517
9,650;1,5120;1,1411
9,650;1,7507;1,1490
9,650;1,5120;1,1642
9,650;1,8303;1,1609
9,650;1,6711;1,1477
9,650;1,5120;1,1626
9,650;1,1937;1,1837
9,650;1,5915;1,1735
9,650;1,6711;1,1293
9,650;1,2732;1,2124
9,650;1,7507;1,1562
9,650;1,1937;1,2065
9,650;1,0345;1,2021
9,650;1,5120;1,1553
9,650;1,2732;1,1642
9,650;1,3528;1,1424
9,650;0,8754;1,1270
9,650;1,0345;1,1662
9,650;0,7162;1,3210
9,650;1,4324;1,2190
9,650;0,3979;1,2946
9,650;0,7162;1,1701
9,650;0,8754;1,2403
9,650;0,6366;1,3103
9,650;0,3979;1,2074
9,650;0,4775;1,1299
9,650;0,5570;1,1631
9,650;0,4775;1,2920
9,650;0,3183;1,2011
9,650;0,6366;1,1622
9,650;0,5570;1,1287
9,650;0,3979;1,2235
9,650;0,4775;0,7398
9,650;0,3979;0,8053
9,650;0,2387;0,9419
10,150;0,9549;1,0813
10,150;1,2732;1,1615
10,150;0,1592;1,3586
10,150;1,5120;1,0951
10,150;0,8754;1,0722
10,150;0,3183;1,4490
10,150;1,1937;1,1180
10,150;1,5915;1,1149
10,150;1,1141;1,1056
10,150;0,6366;1,3291
10,150;0,2387;1,2174
10,150;1,5915;1,0464
10,150;1,4324;1,1335
10,150;1,5120;1,1230
10,150;1,8303;1,0698
10,150;1,8303;1,1368
10,150;1,4324;1,1965
10,150;0,9549;1,0300
10,150;1,5915;1,1537
10,150;1,8303;1,0874
10,150;1,4324;1,1409
10,150;1,7507;1,1274
10,150;1,0345;1,2408
10,150;1,2732;1,1152
10,150;1,6711;1,0848
10,150;1,5120;1,1357
10,150;1,5915;1,0673
10,150;0,9549;1,0892
10,150;1,1141;1,1315
10,150;0,8754;1,1518
10,150;1,7507;1,1535
10,150;0,5570;1,1899
10,150;0,8754;1,1191
10,150;1,1937;1,1247
10,150;0,7958;1,2069
10,150;0,7162;1,1758
10,150;0,4775;1,2513
10,150;1,0345;1,1483
10,150;0,4775;1,2515
10,150;0,3183;1,2358
10,150;0,7958;1,1353
10,150;0,7162;1,0570
10,150;0,3979;1,2148
10,150;0,6366;0,9296
10,150;0,2387;0,6193
10,150;0,4775;0,9934
10,150;0,3979;0,8681
10,150;0,3183;0,8887
10,150;0,3979;0,6098
10,150;0,4775;0,9056
10,150;0,6366;0,9296
10,660;1,0345;1,1271
10,660;0,9549;1,2407
10,660;1,4324;1,0904
10,660;0,7958;1,1597
10,660;0,9549;1,0518
10,660;1,3528;1,0942
10,660;1,1937;1,1319
10,660;0,3979;1,2611
10,660;1,6711;1,1047
10,660;1,2732;1,1355
10,660;1,3528;1,1124
10,660;1,6711;1,1130
10,660;1,6711;1,0941
10,660;1,2732;1,1829
10,660;0,6366;0,9734
10,660;1,6711;1,1355
10,660;1,6711;1,1514
10,660;1,3528;1,0995
10,660;1,5120;1,1171
10,660;0,8754;1,2731
10,660;1,3528;1,1031
10,660;1,7507;1,1443
10,660;1,5915;1,1035
10,660;1,6711;1,0944
10,660;1,0345;1,0782
10,660;1,1141;1,1588
10,660;1,1937;1,1563
10,660;1,6711;1,1314
10,660;0,7958;1,2266
10,660;0,9549;1,0789
10,660;1,4324;1,1164
10,660;0,9549;1,1375
10,660;0,7958;1,1620
10,660;0,6366;1,2637
10,660;1,3528;1,1237
10,660;0,9549;1,0982
10,660;0,3183;1,2470
10,660;0,7162;1,3450
10,660;0,7162;1,1628
10,660;0,3979;1,2624
10,660;0,7162;1,2196
10,660;0,3183;1,2809
10,660;0,5570;1,0571
10,660;0,3979;1,0519
10,660;0,3979;1,0247
10,660;0,3979;0,9929
10,660;0,4775;1,0589
10,660;0,4775;1,0621
10,660;0,6366;1,0820
10,660;0,3183;0,8961
10,660;0,3183;1,2809
11,160;1,1141;1,0739
11,160;0,7958;1,1049
11,160;1,4324;1,0405
11,160;0,7958;1,0779
11,160;0,7958;0,8772
11,160;1,1141;1,0669
11,160;1,0345;0,9967
11,160;1,5915;1,0566
11,160;0,9549;1,1172
11,160;1,3528;1,0547
11,160;1,4324;1,0368
11,160;1,4324;1,1154
11,160;1,1141;1,1396
11,160;0,5570;0,9010
11,160;1,5915;1,1028
11,160;1,5120;1,1161
11,160;1,2732;1,1318
11,160;1,2732;1,0587
11,160;0,7958;1,2382
11,160;1,5120;1,0990
11,160;1,6711;1,0999
11,160;1,5915;1,0959
11,160;1,5915;1,0824
