time;agentId;headwayDistance;headwayVelocity
0,2600;1;8,3240;0,4594
0,2600;2;8,3240;0,4414
0,5200;1;1,1525;0,0455
0,5200;2;0,7722;0,0000
0,5200;4;1,1525;0,8305
0,7800;1;1,1485;0,7388
0,7800;2;0,9896;0,4700
0,7800;3;0,9336;0,0000
0,7800;4;1,1485;1,1688
1,0400;1;1,1271;1,1126
1,0400;2;1,1821;0,6507
1,0400;3;0,7699;0,1190
1,0400;4;0,7254;0,1789
1,0400;6;0,7254;1,1126
1,0400;7;0,6877;0,0000
1,3000;1;1,0883;0,0000
1,3000;2;0,8062;0,0000
1,3000;3;0,7821;0,6758
1,3000;4;0,8926;0,5796
1,3000;6;0,8926;1,3329
1,3000;7;0,6998;0,0000
1,3000;8;0,8055;0,7632
1,3000;9;1,0883;1,3790
1,5600;1;1,0507;1,4792
1,5600;2;1,0864;0,5133
1,5600;3;0,7312;0,5133
1,5600;4;1,0171;0,9573
1,5600;5;0,7953;1,1633
1,5600;6;1,0171;1,4792
1,5600;7;0,7953;0,5432
1,5600;8;0,7312;0,8336
1,5600;9;1,3102;1,4489
1,8200;1;1,0130;1,5325
1,8200;2;1,2861;0,7990
1,8200;3;0,7322;0,7990
1,8200;4;1,0130;1,4759
1,8200;5;0,9072;1,2959
1,8200;6;1,1146;1,5325
1,8200;7;0,8528;0,8410
1,8200;8;0,7322;0,8410
1,8200;9;1,4718;1,4759
1,8200;10;0,9709;0,0000
1,8200;12;0,9709;0,1659
2,0800;1;0,9765;1,5786
2,0800;2;1,4361;1,0435
2,0800;3;0,7767;1,0435
2,0800;4;0,9765;1,4997
2,0800;5;0,9315;0,8562
2,0800;6;1,1967;1,5786
2,0800;7;0,9008;0,8562
2,0800;8;0,7767;0,8562
2,0800;9;1,5920;1,4997
2,0800;10;0,9546;0,5359
2,0800;12;0,9546;0,5246
2,3400;1;0,9412;1,5960
2,3400;2;1,5594;1,1213
2,3400;3;0,8339;1,1213
2,3400;4;0,9412;1,5089
2,3400;5;0,5965;0,8620
2,3400;6;1,2703;1,5960
2,3400;7;0,8703;0,8620
2,3400;8;0,8339;0,8790
2,3400;9;1,6865;1,5089
2,3400;10;0,9738;0,8815
2,3400;12;0,9738;0,6292
2,3400;13;0,5965;0,7164
2,5900;1;0,9087;1,6066
2,5900;2;1,6650;1,1612
2,5900;3;0,8709;0,7554
2,5900;4;0,9087;1,5147
2,5900;5;0,7996;0,1593
2,5900;6;1,3365;1,6066
2,5900;7;0,9833;1,2013
2,5900;8;0,8869;0,9049
2,5900;9;1,7627;1,5147
2,5900;10;0,6637;0,1593
2,5900;12;0,9942;0,7119
2,5900;13;0,8327;0,7554
2,5900;15;0,6637;0,7119
2,8500;1;0,8768;1,6155
2,8500;2;1,7679;1,1889
2,8500;3;0,8550;0,8843
2,8500;4;0,8768;1,5198
2,8500;5;0,7725;0,5978
2,8500;6;1,4028;1,6155
2,8500;7;1,0557;1,2745
2,8500;8;0,9361;0,9403
2,8500;9;1,8329;1,5198
2,8500;10;0,7836;0,5978
2,8500;11;1,0151;0,0000
2,8500;12;1,0200;0,8224
2,8500;13;0,9899;0,8843
2,8500;15;0,7725;0,8843
2,8500;17;1,0421;0,5978
3,1100;1;0,8472;1,6184
3,1100;2;1,8556;1,4578
3,1100;3;0,8362;0,9685
3,1100;4;0,8472;1,5218
3,1100;5;0,7734;0,7634
3,1100;6;1,4674;1,6184
3,1100;7;1,0970;1,3142
3,1100;8;0,9797;0,9594
3,1100;9;1,8976;1,5218
3,1100;10;0,8581;0,7634
3,1100;11;1,0003;0,1539
3,1100;12;1,0876;0,8262
3,1100;13;1,0806;0,9685
3,1100;15;0,7734;0,9685
3,1100;17;0,9980;0,7634
3,1100;18;1,0003;1,1637
3,3700;1;0,8208;1,6199
3,3700;2;1,8697;1,4557
3,3700;3;0,8144;1,0280
3,3700;4;0,8208;1,5231
3,3700;5;0,7837;0,8793
3,3700;6;1,5311;1,6199
3,3700;7;1,1202;1,3452
3,3700;8;1,0187;0,9755
3,3700;9;1,8709;1,3579
3,3700;10;0,8914;0,8793
3,3700;11;1,0205;0,6422
3,3700;12;1,1840;1,2012
3,3700;13;1,1202;1,4557
3,3700;14;1,1238;0,0000
3,3700;15;0,7557;0,0000
3,3700;17;0,7067;0,0000
3,3700;18;1,0205;1,1948
3,3700;20;0,7067;1,0566
3,6200;1;0,7990;1,6205
3,6200;2;1,5307;1,5240
3,6200;3;0,7938;1,0749
3,6200;4;0,7990;1,5240
3,6200;5;0,7863;1,0237
3,6200;6;1,5917;1,6205
3,6200;7;1,1341;1,3724
3,6200;8;1,0523;0,9961
3,6200;9;1,8244;1,3632
3,6200;10;0,6180;0,0118
3,6200;11;1,0085;1,0494
3,6200;12;1,1218;1,2037
3,6200;13;1,1341;1,4535
3,6200;14;1,1006;0,0000
3,6200;15;0,5318;0,0118
3,6200;17;0,8417;0,5821
3,6200;18;1,0085;1,2210
3,6200;20;0,8417;1,3544
3,6200;22;0,5318;1,0237
3,8800;1;0,7809;1,6203
3,8800;2;0,9620;1,5240
3,8800;3;0,7752;1,0919
3,8800;4;0,7809;1,5240
3,8800;5;0,7357;1,2351
3,8800;6;1,6543;1,6203
3,8800;7;1,1452;1,3821
3,8800;8;1,0548;1,4647
3,8800;9;1,7770;1,3652
3,8800;10;0,7925;0,1547
3,8800;11;0,9771;1,2046
3,8800;12;1,0548;1,2044
3,8800;13;1,1362;1,0096
3,8800;14;1,0896;0,8425
3,8800;15;0,7357;1,0919
3,8800;16;0,8549;0,0000
3,8800;17;0,6583;0,0000
3,8800;18;0,9771;1,2317
3,8800;19;1,0356;0,1547
3,8800;20;0,4231;0,0000
3,8800;22;0,7781;1,2351
3,8800;24;0,4231;0,9246
4,1300;1;0,4666;1,5770
4,1300;2;0,4666;1,5144
4,1300;3;0,7590;1,1143
4,1300;4;0,7610;1,5144
4,1300;5;0,7073;1,2033
4,1300;6;1,7142;1,6201
4,1300;7;1,1548;1,3875
4,1300;8;0,9899;1,4737
4,1300;9;1,7325;1,3663
4,1300;10;0,8923;0,4250
4,1300;11;0,9380;1,3021
4,1300;12;0,9899;1,2049
4,1300;13;1,1328;1,0231
4,1300;14;1,0861;1,2492
4,1300;15;0,7073;1,1143
4,1300;16;1,0330;0,0000
