time;agentIdA;agentIdB;type
0,9000;2;7;Agent
0,9000;7;2;Agent
0,9200;2;7;Agent
0,9200;7;2;Agent
1,6200;6;-1;Wall
1,6400;6;-1;Wall
1,6600;6;-1;Wall
1,6800;6;-1;Wall
1,7000;6;-1;Wall
1,7200;6;-1;Wall
1,7400;6;-1;Wall
1,7600;6;-1;Wall
1,7800;6;-1;Wall
4,9800;9;3;Agent
5,0000;3;9;Agent
5,0000;9;3;Agent
5,0200;3;9;Agent
5,0200;9;3;Agent
5,0400;1;8;Agent
5,0400;8;1;Agent
5,0600;1;8;Agent
5,0600;8;1;Agent
5,0800;1;8;Agent
6,2000;34;37;Agent
6,3200;12;14;Agent
6,3200;14;12;Agent
6,3400;12;14;Agent
6,3400;14;12;Agent
6,3600;12;14;Agent
7,5600;16;24;Agent
7,5800;16;24;Agent
7,6000;16;24;Agent
7,6200;40;-1;Wall
7,6400;40;-1;Wall
7,6600;40;-1;Wall
7,6800;40;-1;Wall
7,7000;40;-1;Wall
7,7200;40;-1;Wall
7,7400;40;-1;Wall
7,7600;40;-1;Wall
7,7800;40;-1;Wall
7,8000;40;-1;Wall
7,8200;40;-1;Wall
7,8800;45;40;Agent
7,9000;40;45;Agent
7,9000;45;40;Agent
7,9200;45;40;Agent
7,9800;14;17;Agent
7,9800;17;14;Agent
7,9800;43;45;Agent
7,9800;45;43;Agent
8,0000;14;17;Agent
8,0000;17;14;Agent
8,0000;43;45;Agent
8,0200;14;17;Agent
8,0200;43;45;Agent
8,1600;14;23;Agent
8,1600;23;14;Agent
8,1800;14;23;Agent
8,1800;23;14;Agent
8,2000;23;14;Agent
8,2800;17;14;Agent
8,3000;14;17;Agent
8,3000;17;14;Agent
8,3200;14;17;Agent
8,3200;17;14;Agent
8,3400;14;17;Agent
8,6800;20;31;Agent
8,7000;20;31;Agent
8,7200;20;31;Agent
8,9000;53;47;Agent
8,9200;53;47;Agent
9,9200;20;33;Agent
9,9200;31;34;Agent
9,9200;33;20;Agent
9,9200;34;31;Agent
9,9400;20;33;Agent
9,9400;31;34;Agent
9,9600;20;33;Agent
9,9600;31;34;Agent
9,9800;20;33;Agent
10,0600;32;20;Agent
10,0800;20;32;Agent
10,0800;32;20;Agent
10,1000;20;32;Agent
10,1000;32;20;Agent
10,1200;23;-1;Wall
10,1400;23;-1;Wall
10,1600;23;-1;Wall
10,1800;23;-1;Wall
10,2800;2;25;Agent
10,3000;2;25;Agent
10,3200;2;25;Agent
10,3400;2;-1;Wall
10,3600;2;-1;Wall
10,3800;2;-1;Wall
10,4000;2;25;Agent
10,4000;2;-1;Wall
10,4000;25;2;Agent
10,4200;2;25;Agent
10,4200;25;2;Agent
10,4400;2;25;Agent
10,5400;35;37;Agent
10,5400;37;35;Agent
10,5600;35;37;Agent
10,5600;37;35;Agent
10,5800;35;37;Agent
10,6400;31;34;Agent
10,6600;31;34;Agent
10,6800;31;34;Agent
10,7200;23;-1;Wall
10,7400;23;-1;Wall
10,7600;23;-1;Wall
10,7800;23;-1;Wall
10,8000;25;27;Agent
10,8200;25;27;Agent
10,8400;25;27;Agent
10,9800;2;25;Agent
11,0400;37;35;Agent
11,0600;35;37;Agent
11,0600;37;35;Agent
11,0800;35;37;Agent
11,0800;37;35;Agent
11,1600;23;-1;Wall
11,1800;23;-1;Wall
11,2000;23;-1;Wall
11,2200;23;-1;Wall
11,2800;25;-1;Wall
11,3000;25;-1;Wall
11,3200;25;-1;Wall
11,3600;46;40;Agent
11,3800;40;46;Agent
11,3800;46;40;Agent
11,4000;40;46;Agent
11,4000;46;40;Agent
11,6200;46;44;Agent
11,6400;46;44;Agent
11,6600;46;44;Agent
11,7800;46;40;Agent
11,8000;1;-1;Wall
11,8000;46;40;Agent
11,8200;1;-1;Wall
12,0800;44;40;Agent
12,1000;44;40;Agent
12,1200;44;40;Agent
12,2000;44;53;Agent
12,2000;53;44;Agent
12,2200;29;50;Agent
12,2200;44;53;Agent
12,2200;50;29;Agent
12,2400;29;50;Agent
12,2400;44;53;Agent
12,2400;50;29;Agent
12,2600;40;44;Agent
12,2600;44;40;Agent
12,2800;40;44;Agent
12,2800;44;40;Agent
12,3000;40;44;Agent
12,3000;44;40;Agent
12,3400;29;30;Agent
12,3400;30;29;Agent
12,3400;40;52;Agent
12,3400;52;40;Agent
12,3600;29;30;Agent
12,3600;30;29;Agent
12,3600;40;52;Agent
12,4000;23;-1;Wall
12,4000;35;41;Agent
12,4200;23;-1;Wall
12,4200;35;41;Agent
12,4400;23;-1;Wall
12,4400;35;41;Agent
12,4600;23;-1;Wall
12,8200;41;44;Agent
12,8400;41;44;Agent
12,8600;41;44;Agent
12,9800;40;53;Agent
13,0000;40;53;Agent
13,0200;40;53;Agent
13,0400;40;53;Agent
13,0600;52;40;Agent
13,0800;40;52;Agent
13,0800;52;40;Agent
13,1000;40;52;Agent
13,1000;52;40;Agent
13,1800;29;55;Agent
13,1800;55;29;Agent
13,2000;29;55;Agent
13,2200;29;55;Agent
13,2400;44;40;Agent
13,2600;44;40;Agent
13,2800;44;40;Agent
13,3200;36;39;Agent
13,3400;36;39;Agent
13,3600;31;36;Agent
13,3600;36;31;Agent
13,3600;36;39;Agent
13,3800;31;36;Agent
13,3800;36;31;Agent
13,4000;31;36;Agent
13,4200;31;36;Agent
13,4800;31;-1;Wall
13,5000;31;-1;Wall
13,5200;31;-1;Wall
13,5400;36;31;Agent
13,5600;36;31;Agent
13,5600;60;42;Agent
13,5800;42;60;Agent
13,5800;60;42;Agent
13,6000;42;60;Agent
13,7200;31;39;Agent
13,7200;39;31;Agent
13,7400;31;39;Agent
13,7400;39;31;Agent
13,7600;31;39;Agent
14,1200;23;50;Agent
14,1200;50;23;Agent
14,1400;23;50;Agent
14,1600;23;50;Agent
14,1800;23;-1;Wall
14,2000;23;-1;Wall
14,2200;23;-1;Wall
14,2200;50;23;Agent
14,2400;23;50;Agent
14,2400;50;23;Agent
14,2600;44;45;Agent
14,2600;50;23;Agent
14,2800;44;45;Agent
14,3000;44;45;Agent
14,5400;81;-1;Wall
14,5600;81;-1;Wall
14,5800;81;-1;Wall
14,6000;36;-1;Wall
14,6000;81;-1;Wall
14,6200;36;-1;Wall
14,6200;81;-1;Wall
14,6400;36;-1;Wall
14,6400;60;53;Agent
14,6400;81;-1;Wall
14,6600;60;53;Agent
14,6600;81;-1;Wall
14,6800;60;53;Agent
14,6800;81;-1;Wall
14,7000;81;-1;Wall
14,7200;81;-1;Wall
14,7400;81;-1;Wall
14,7600;81;-1;Wall
14,7800;81;-1;Wall
14,8000;81;-1;Wall
15,0200;67;53;Agent
15,0400;53;67;Agent
15,0400;67;53;Agent
15,0600;67;53;Agent
15,1000;42;64;Agent
15,1000;64;42;Agent
